"","SAS_RS01220","SAS_RS01225","SAS_RS05445","SAS_RS05450","SAS_RS05455","SAS_RS05460","SAS_RS06850","SAS_RS14630","SAS_RS08320","SAS_RS08470","SAS_RS09805","SAS_RS12120","SAS_RS12455","SAS_RS13460","SAS_RS13465"
"MSSA_As_1 (GE) - TPM",0.64121186129957,0.685875666226886,-0.533822570364516,-0.716418882271864,-0.841800702156188,-1.01308241304252,0.845788959717758,1.1488612442097,0.276339425012266,-0.168749310571944,0.38193314285447,0.569587447754396,0.563277883269988,0.321864574444519,0.816896014183255
"MSSA_As_2 (GE) - TPM",0.735042345547292,0.531805461940584,-0.543838190593393,-0.659279963557023,-0.781719919005417,-0.880489757425423,0.841423352390573,2.1241619270522,0.142250562759297,-0.731378395476551,0.449782286147953,0.631057881608398,1.33445660820182,1.01022313225323,0.91296106480467
"MSSA_As_3 (GE) - TPM",1.2934277489754,0.25857939782839,-0.302294754669087,-0.77782382151487,-0.733970233479276,-1.08251783428694,1.19280506805586,0.684579782519217,0.407916289271398,0.759655865788063,0.348858040396521,0.876350030874449,0.632690961663838,1.06213929797094,0.530862362322718
"MSSA_Bs_1 (GE) - TPM",0.817174944669976,-0.373725412831212,-0.390412874245968,-0.353860226219273,-0.707059662519362,-0.893027634890265,0.412233922447984,-0.277623653549831,0.513918633912044,0.339621302896997,-0.036543498787968,0.805817190768673,0.608261071966103,-0.430647600641689,-0.129549876274298
"MSSA_Bs_2 (GE) - TPM",0.483775543561758,-0.486624528664001,0.234620718756167,-0.0593989220415141,-0.344151250997212,-0.528629513451162,0.598144210101087,-0.234034538428371,-0.03358317249026,0.731527386245904,0.0863468895268352,0.565895412570665,-0.300449366082492,0.328299213943434,-0.0491398834306443
"MSSA_Bs_3 (GE) - TPM",0.457039816568532,-0.101028271116654,-0.247840188788099,-0.521927181780592,-0.881822737793774,-0.562956729673706,0.437583849889824,-0.0481949540214613,0.781839302015483,1.06862761037571,-0.00715908879873789,1.06607511234198,-0.0673915701514833,0.458619463741977,0.468363394744103
"MSSA_Ctrl_1 (GE) - TPM",-0.485579057055932,-0.185748271065998,0.015688541530047,0.114825670786103,0.212063000169586,0.432013942419016,-0.918233142936925,-0.441394263813772,0.170890604359241,-0.258894366936109,-0.235027376430614,-0.62103978988317,0.519501947279969,-0.251214840219768,-0.201484644553736
"MSSA_Ctrl_2 (GE) - TPM",-0.754013458744129,-0.174028799641245,-0.208928300802911,0.0131343893613461,0.134764981624909,0.061962303623984,-0.917485391364642,-0.378383080098289,1.32454813230075,-0.892935255686996,0.0357696118865121,-0.547637806672879,-0.698739377729711,-0.64163649009947,-0.366065312438281
"MSSA_Ctrl_3 (GE) - TPM",-0.6355389391142,-0.359684081980977,-0.0198806437073234,0.026865625583917,0.222132401218579,0.17132484753099,-0.787147958651483,-0.73855041000802,1.31837242763266,-0.913007242017417,-0.0444291430693188,-0.496568906791057,-0.87368292458026,-0.249557274145124,-0.0532422550522478
"MSSA_Li_1 (GE) - TPM",-0.703569182834414,-0.853172527758225,2.15013748965149,1.55500983557307,1.70630124908201,1.56865155374365,-0.279243315080397,0.143539494552424,-0.57132730788595,-0.249662633996372,-0.0216286704559837,-0.468738788218113,-0.171824331575138,-1.08806819543995,-1.03676299008525
