"","E2348C_RS02915","E2348C_RS03535","E2348C_RS03540","E2348C_RS03770","E2348C_RS05225","E2348C_RS05235","E2348C_RS06135","E2348C_RS09735","E2348C_RS27060","E2348C_RS11485","E2348C_RS12180","E2348C_RS27185","E2348C_RS12360","E2348C_RS13405","E2348C_RS13435","E2348C_RS13550","E2348C_RS13635","E2348C_RS13810","E2348C_RS14115","E2348C_RS14135","E2348C_RS25550"
"EPEC_As_1 (GE) - TPM",-0.769458223160491,-0.0365719167893629,-0.247661308478785,-0.126889782235689,-0.347208500178599,-0.129785683735363,-0.310886935313339,0.282881528482988,0.0568850068280419,0.193897355586488,1.84428306276187,2.80097581441647,-0.352869069969072,-0.50283229977939,0.9948301930171,-0.185699464541373,-0.319381330005892,1.01368697044364,-0.279202555263726,0.0292756008295888,-0.166666666666667
"EPEC_As_2 (GE) - TPM",-0.745688918722691,0.43639521556436,-0.247661308478785,-0.476431690265641,-0.00188328702586594,0.0530373008289474,0.0898613805821847,-0.515986081061955,-0.0557016313744395,0.390648095898164,-0.198091978795153,0.514208210597828,-0.486917089088172,0.812651951878929,0.0967466541562678,-0.284100615952357,-0.319381330005892,0.15483941118421,0.243130764110075,-0.496440245908155,-0.166666666666667
"EPEC_As_3 (GE) - TPM",-0.687901562651228,-0.315616186555516,-0.247661308478785,-0.740720578597371,-0.216280354591761,-0.273991771120566,-0.376657418268578,0.0700926721985616,1.46823659875903,0.0444432598047841,1.11675297473705,1.94123830367948,-0.344535780292397,-0.132288345565583,0.764740436656226,-0.436313591765848,-0.319381330005892,0.851635622256379,0.162188026346273,0.541076250115057,-0.166666666666667
"EPEC_Bs_1 (GE) - TPM",-0.0369355861332099,-0.353905604280683,-0.247661308478785,0.475400329761222,-0.104164388058657,-0.0551896465304966,0.664238926763818,-0.44817644914411,0.107394528474463,-0.103000464399712,0.184001237605983,0.7249916127871,-0.0541411152993009,-0.50283229977939,-0.402378843450177,-0.689624929819107,-0.319381330005892,-0.328320234594692,-0.279202555263726,-0.699146400932226,-0.166666666666667
"EPEC_Bs_2 (GE) - TPM",-0.0965877588201653,0.042413365910051,-0.247661308478785,0.14007938937309,-0.627404282547061,-0.366320889160125,1.65214409463876,-0.399711577106596,0.243265627802204,-0.192604656813374,0.463387515534124,0.623369969707391,-0.430314794326749,-0.245534369703576,-0.100169917000056,-0.533385613161596,-0.319381330005892,0.130054415513035,0.333782123130577,-0.710314863832182,-0.166666666666667
"EPEC_Bs_3 (GE) - TPM",-0.269248831557946,-0.197095208321945,-0.105528420889713,0.0641520352223022,-0.534113022973375,-0.486485162616642,0.908547051485036,-0.449490285673323,-0.123026049295513,-0.183617523056785,-0.393648795046016,0.930625719704748,-0.0688454418041862,-0.50283229977939,0.474305250791979,-0.438611731487419,0.0613509497724274,0.351053401214214,0.421912519954318,-0.43507519238195,-0.166666666666667
"EPEC_Ctrl_1 (GE) - TPM",-0.41089866825592,0.228442653974836,-0.247661308478785,-0.0394939039670424,-0.518717830585533,-0.403122089781124,-0.0863382602263152,-0.206109589311628,0.138397299750361,-0.731183730916579,0.137158541315229,-0.158830226661192,-0.150039322443351,-0.50283229977939,-0.833839788402318,-0.606991891890911,-0.319381330005892,-0.0904233471972878,-0.279202555263726,-0.654293330008284,-0.166666666666667
"EPEC_Ctrl_2 (GE) - TPM",0.536025806010156,0.091149185228906,-0.112569239568167,-0.0582816674060074,-0.450064477600074,-0.536673286777607,-0.717988723924582,-0.389582477942627,-0.423690429768919,0.179588877055767,-0.0340985586955467,0.8497303483143,-0.480189913684951,1.17544029179373,-0.584149048362617,-0.753935787687733,-0.319381330005892,0.225854160649083,-0.279202555263726,-0.573806244490783,-0.166666666666667
"EPEC_Ctrl_3 (GE) - TPM",0.0441299424756101,-0.2317554522774,-0.247661308478785,0.435293797492593,-0.627404282547061,-0.621225179423486,-0.717988723924582,-0.397401842483151,-0.568253359574584,-0.609122024745778,-0.0810282415585176,0.129662172380748,-0.344642186542382,1.0716218476362,-0.874314017070167,-0.416538847765016,-0.319381330005892,-0.296722318376339,-0.279202555263726,-0.876355886917959,-0.166666666666667
"EPEC_Li_1 (GE) - TPM",1.15451339518241,-0.517037480821316,0.0417275560155248,2.19277751100019,-0.247513996156637,-0.695925672042398,-0.717988723924582,-0.515986081061955,-0.112700299133811,-0.173749185908603,-0.792738325588367,-0.227417958392958,-0.0108668118424244,-0.50283229977939,-0.704872569073292,-0.497130280942935,-0.319381330005892,0.310831134367343,-0.279202555263726,-0.0710173038800916,-0.166666666666667
"EPEC_Li_2 (GE) - TPM",2.18065311425558,-0.517037480821316,-0.247661308478785,-0.43784235297558,0.879850078122987,-0.695925672042398,1.03394612921159,-0.515986081061955,-0.233133899287603,0.1534881636405,-0.276909137082398,-0.702407759516559,-0.8130596278684,-0.50283229977939,1.38585402140661,0.468747392812536,-0.319381330005892,-0.969655189303165,-0.279202555263726,0.233132255293977,-0.166666666666667
"EPEC_Li_3 (GE) - TPM",0.711566991810173,-0.517037480821316,-0.247661308478785,1.40029240280285,-0.49849090450241,-0.464395441666577,0.0312140843085282,-0.148440498391172,-0.30011310116285,-0.54202182626223,-0.130965983890439,-0.702407759516559,-0.450100849394826,-0.50283229977939,0.0166662782685524,-0.579645122551578,-0.319381330005892,-0.448225218657466,-0.279202555263726,-0.160680775493325,-0.166666666666667
"EPEC_Mig_1 (GE) - TPM",-0.517296502574521,-0.517037480821316,-0.247661308478785,0.658055988447406,0.339762752981203,1.04111985537818,-0.717988723924582,-0.515986081061955,-0.695972819231582,-0.731183730916579,-0.792738325588367,-0.702407759516559,0.0946345443048185,-0.50283229977939,2.0636803780213,1.86128054704839,-0.319381330005892,-0.969655189303165,-0.279202555263726,-0.213752116059548,-0.166666666666667
"EPEC_Mig_2 (GE) - TPM",-1.08923404723061,-0.517037480821316,-0.247661308478785,-0.934089145166352,0.266482894444729,0.106791265661171,-0.717988723924582,-0.515986081061955,-0.695972819231582,-0.731183730916579,-0.792738325588367,-0.702407759516559,-0.393599415069291,-0.50283229977939,-1.00633812972783,-0.753935787687733,-0.319381330005892,-0.969655189303165,-0.279202555263726,0.465242869669808,-0.166666666666667
