"","ETEC_RS27295","ETEC_RS00635","ETEC_RS00780","ETEC_RS00785","ETEC_RS02865","ETEC_RS03290","ETEC_RS03295","ETEC_RS03300","ETEC_RS03305","ETEC_RS03310","ETEC_RS03315","ETEC_RS03330","ETEC_RS03340","ETEC_RS03345","ETEC_RS03350","ETEC_RS03355","ETEC_RS03360","ETEC_RS03730","ETEC_RS04055","ETEC_RS04135","ETEC_RS27660","ETEC_RS04785","ETEC_RS04790","ETEC_RS04995","ETEC_RS05625","ETEC_RS05925","ETEC_RS05930","ETEC_RS06375","ETEC_RS07000","ETEC_RS07420","ETEC_RS07715","ETEC_RS07720","ETEC_RS07725","ETEC_RS07730","ETEC_RS08320","ETEC_RS09020","ETEC_RS09470","ETEC_RS09475","ETEC_RS12485","ETEC_RS14545","ETEC_RS14955","ETEC_RS15585","ETEC_RS15590","ETEC_RS15595","ETEC_RS15600","ETEC_RS17170","ETEC_RS17175","ETEC_RS17180","ETEC_RS17185","ETEC_RS17190","ETEC_RS17195","ETEC_RS17200","ETEC_RS18175","ETEC_RS19505","ETEC_RS20325","ETEC_RS20510","ETEC_RS21050","ETEC_RS21575","ETEC_RS21610","ETEC_RS21615","ETEC_RS21775","ETEC_RS21780","ETEC_RS21785","ETEC_RS21790","ETEC_RS21870","ETEC_RS22480","ETEC_RS25405","ETEC_RS26380","ETEC_RS26935"
"ETEC_As_1 (GE) - TPM",-0.276833615254237,-1.26407083693552,-0.528538396789922,-0.689206478561681,-0.765089406026558,-0.583891901105602,-0.53536026570392,-0.571537187979871,-0.546970129122776,-0.831664264346063,-0.578581363806359,-0.541369861699606,-0.661864427574346,-0.588267946923515,-0.577599622848037,-0.675787487128715,-0.519012625722219,-0.748070688874959,0.665465775714785,0.114596234992077,-0.189498016082989,-0.578372848094418,-0.53466004538787,0.833944514454261,-0.437095859085969,-0.594593235237429,-0.478654079373638,-0.507444041985506,0.374795848186611,0.586506169494274,-0.690693615757408,-0.738309945179014,-0.599406138829418,-0.687139223070019,-0.492125118676437,-0.0943116423975547,0.25488473106978,-0.610884345251825,-0.580706978335777,0.746147845352225,-0.847591190565848,-0.658051653807063,-0.701663840072447,-0.570032656639509,-0.603717410723082,-0.509004195223108,-0.404930900882739,-0.468880646352906,-0.361823520172792,0.0669365677475066,-0.040223147405084,0.530686566463977,-0.55462461460563,-0.504857953379886,-0.882542308498133,-0.5626017782246,-0.180828094669977,-0.520815180283799,-0.00982561561723622,-0.119459185087664,0.153425866100251,-0.513845975879781,-0.169990896840601,-0.448852005623674,-0.564520846797379,-0.847563730193109,0.0846468759273425,-0.339178708642355,1.3273014709855
"ETEC_As_2 (GE) - TPM",-0.276833615254237,-1.03879348749208,0.450151017419593,0.111365552399003,-0.687286813877796,-0.587813296860312,-0.553722774824654,-0.473344379220494,-0.5248628215457,-0.652872154990612,-0.340271235623047,-0.634889450936938,-0.656669507378302,-0.600584596170198,-0.583739100022568,-0.635552209782079,-0.600754276163586,-0.233333084079646,-0.556667866880675,0.526552219337941,-0.189498016082989,-0.151042068219597,-0.535062043151888,0.407091577642815,-0.519095764555882,-0.513282142629882,-0.256020154594807,-0.411789160728929,0.0236769413810003,0.926925617415329,-0.594770923385987,-0.714669576123738,-0.68540518118485,-0.39469483190058,-0.513109673340846,-0.625439132076,-0.00999773669164309,-0.276399099650603,-0.575511303146081,2.10853957442298,-0.796926759120358,-0.632108217873857,-0.548986615279086,-0.378813879315227,-0.34679965255609,-0.446407231266718,-0.436853167630558,-0.464722104388046,-0.245093126411548,0.113978484726049,0.173051469315398,0.71646509373782,-0.603657607418333,-0.620998692045968,-1.00838796977023,-0.618330085931661,0.166248748387005,-0.783607713505058,0.193550574942946,0.286394717015278,0.588502921083099,-0.272664883879633,0.493926653007723,-0.093965729005896,-0.353492108727692,-0.769835862419156,-0.25521951575473,-0.354539560303281,0.719448452012291
"ETEC_As_3 (GE) - TPM",-0.276833615254237,-1.07152093770334,-0.106570386971745,0.00325996971098051,-0.62021770531301,-0.616072339730334,-0.536643413497396,-0.571537187979871,-0.548048317473717,-0.363176696824768,-0.490323826752251,-0.639124821483719,-0.630915525553592,-0.587521148321601,-0.586346071157641,-0.547148867410892,-0.595347767627277,0.460098670432594,-0.556667866880675,0.551223426394405,-0.189498016082989,-0.504330506641352,-0.53449937998532,1.29122842958123,-0.787459949180801,-0.664063523158108,-0.29453569278205,-0.517110531996518,0.496948415213528,0.076210488412798,-0.587689813421674,-0.370624268616521,-0.411734286360511,-0.386039535409717,-0.593168230733152,0.0629910972703581,-0.504339780623315,-0.807847401510402,-0.558615993201959,1.34188139037868,0.201171279533923,-0.594258837182107,-0.642564439779598,-0.468264411605006,-0.415477194100894,-0.620870048183696,-0.511252788817635,-0.419288875751754,-0.193974116795147,0.667308510244841,0.554248708675709,0.99715937337321,-0.456770075922048,-0.681695115754789,-0.785288249845646,-0.0766819773059139,0.636269907079441,-0.553764648030614,0.249246373274158,0.786193737723736,1.07050291044383,-0.30875065822924,0.0750441417412632,-0.550248753551075,-0.545085040020057,-0.704322655763594,1.00365480843758,0.308391828161124,0.216968628606909
"ETEC_Bs_1 (GE) - TPM",-0.276833615254237,-0.543422392864981,-0.701975302068638,-0.570479780496598,-0.379213900681631,-0.609078050310168,-0.543503378273767,-0.532737110244674,-0.545408159589047,-1.08737185150467,-0.573733049779843,-0.704080890526712,-0.574339013943481,-0.554005530409585,-0.576395246418311,-0.573751745865199,-0.542399227733373,-0.567715127786309,-0.556667866880675,0.780907881873348,-0.189498016082989,-0.750266048166263,-0.490013352315436,-0.0254682386699895,-0.599986113927649,-0.394211505570174,-0.529880182866294,-0.568836010526864,0.234249766204304,-1.03921896420016,-0.907580471216622,-0.717187126372762,-0.819345317250093,-0.498016734859512,-0.777303463718164,-0.447464899620178,-0.388631333578055,-0.582056856834397,-0.524805043678802,-0.0676684970209174,-0.399880627194806,-0.632535473658145,-0.675334606190219,-0.619672721109092,-0.615664805446838,-0.616277199008014,-0.518192180171267,-0.551926157977619,-0.578368318199138,-0.57268675601026,-0.627260400683547,-0.685945779053402,-0.901874692213429,-0.767826372966612,-0.373001128797391,0.0141409432260529,0.241676798305735,-0.784329135702371,-0.229163655971938,-0.13530858887667,-0.348549615205456,-0.621945304390328,-0.63122396582791,-0.614302293890554,-0.855634597756296,-0.382241199651089,-0.334154296588289,0.303462321467547,-0.85542891787237
"ETEC_Bs_2 (GE) - TPM",-0.276833615254237,-0.905019424772838,-0.89279251192493,-0.595088831197478,-0.445944515385009,-0.68716616909276,-0.545720924731353,-0.571537187979871,-0.553700920383878,-0.439766037322007,-0.664651353177592,-0.730691674409633,-0.611322457034169,-0.602545070788698,-0.589845182067591,-0.62272445190342,-0.547106340322548,-0.517530195465165,0.31842190044165,0.403267109974351,-0.189498016082989,-0.78541586323142,-0.538232818784506,0.539625256988436,-0.756514853682193,-0.709672128292837,-0.61198210742768,-0.580407111854284,0.13250246047342,-0.998309621664177,-0.815976747321562,-0.637049498339876,-0.63977035008126,-0.625887886762504,-0.797708352242193,-0.411704265525718,-0.173488747485536,-0.938449727373238,-0.586369014230376,-0.0722156368798449,-0.85192672042465,-0.617695480671405,-0.721580500829333,-0.574293737741377,-0.685915468095262,-0.663871718270698,-0.575909995353891,-0.563553676972228,-0.593725158282042,-0.832897146333937,-0.712958072256144,-0.802059862702476,-0.954699605732554,-0.76248413833854,-0.505438550592405,-0.125296234332999,0.346321919815214,-0.785331889796133,-0.340438478162672,-0.32839514474142,-0.858063780008301,-0.797864151860995,-0.412193135525707,-0.669236905491789,-0.796657240962085,-0.522105542540567,-0.470777202254219,0.0558399459446228,-0.90919348597028
"ETEC_Bs_3 (GE) - TPM",-0.276833615254237,-0.0733348933528455,-0.947375809304479,-0.402667284878936,-0.449740443414183,-0.673849076634294,-0.556766879594059,-0.571537187979871,-0.549629794091115,-1.02906817096524,-0.714043130462371,-0.778061585502231,-0.649016231055849,-0.588598634947242,-0.579503610928852,-0.611604455245145,-0.617160450649264,-0.452390107668416,0.302260689445949,0.684010995670418,-0.189498016082989,-0.639852625237074,-0.55183629292812,-0.307482654882459,-0.502742831062174,-0.670586958022528,-0.55002183602035,-0.571200652366072,-0.0607400542408498,-1.13360227770584,-0.778196749544833,-0.76420484551148,-0.794491418670703,-0.429242307042308,-0.778100663906131,-0.725540532993918,-0.50074958595912,-0.464941150595781,-0.590031334636174,0.275400086369436,-0.67294796229597,-0.667285930360433,-0.612218041921807,-0.595785444793136,-0.643491394933712,-0.624534444744545,-0.506899762872919,-0.561731513960941,-0.631062245618111,-0.714947303838483,-0.54372252955868,-0.599650338153085,-0.822996462051651,-0.75271309371869,-0.260210436505735,0.5464291695201,0.55479929034036,-0.761097847931185,-1.20095174984363,-0.530022086861842,-0.452098055870552,-0.663891542526018,-0.419766842423738,-0.619730680513916,-0.864640399418855,-0.243627177947697,-0.625510582797773,0.172443141734854,-0.875042469566718
"ETEC_Ctrl_1 (GE) - TPM",-0.276833615254237,-0.253230189137954,-0.610786636983995,-0.472924119086538,-0.245014076154032,-0.603747147258375,-0.519795439909313,-0.571537187979871,-0.517862877282854,-0.477752671866353,-0.506038813830945,-0.594000946268854,-0.491924424074756,-0.506814926754233,-0.496288946348255,-0.354372362872796,-0.568988540111513,-0.4310298880459,-0.556667866880675,0.465633000099366,-0.189498016082989,-0.814304764904903,-0.432564454676683,-0.796855132567753,-0.856620971049838,-0.511657582180222,-0.566935011202386,-0.545785142712197,0.419411739760015,-1.04361108274747,-0.832704378066047,-0.783416111209704,-0.808537509408997,-0.417767794279825,-0.707673612343273,-0.377716117127595,-1.32479149920326,-0.942471690557704,-0.540020251262983,0.868940209522628,-1.03173744741113,-0.573243235256597,-0.653256020003475,-0.567766325833682,-0.476190334309751,-0.515984081212061,-0.409650275605569,-0.43122775791644,-0.495088012237024,-0.244449497778271,-0.912645955793207,-0.65054872973456,-0.63769788870903,-0.716229809858721,-0.20852773791539,0.0554979352931856,-0.396786463795379,-0.746153039089421,-0.190351106719901,-0.0554545054521348,-0.302342887101707,-0.391264768992512,-0.299576805846583,-0.669124406138207,-0.914118487254011,-0.0762432783876552,-0.369734954166809,0.368926115525544,-0.44089814409507
"ETEC_Ctrl_2 (GE) - TPM",-0.276833615254237,-0.419079616390375,-0.602783692527894,-0.682121807553124,-0.253534643454953,-0.5850036914308,-0.536872535661723,-0.571537187979871,-0.55219359317135,-1.17300831352222,-0.738061150812231,-0.548893154269141,-0.537297645548415,-0.59040588476683,-0.522644845446564,-0.3059366269515,-0.388535549987817,-0.232386089984444,-0.556667866880675,-1.01064707831469,-0.189498016082989,-0.37502837372545,-0.483715645342985,0.240258895858174,-0.464751429154718,-0.555501068432119,-0.418241051303334,-0.644455014533322,-0.0381186303687895,-1.15625500044576,-0.589694591261395,-0.226570086119447,-0.992757420999434,-0.852901322074174,-0.764732791667073,-0.168430915308647,-0.852048494882504,-0.408832208404776,-0.579778316565233,0.0926947109686478,-0.0474413972304188,-0.518216204364863,-0.603416992774135,-0.616031508129818,-0.783294131363151,-0.53293692060893,-0.538159109925089,-0.475798197267553,-0.623713714662296,-0.198878404153217,-0.393204683609779,-0.258897218426294,-0.775369497838344,-0.697677651030024,0.206347005936798,0.367512416721418,-0.0672124685769317,-0.786933085322477,0.124558309036869,0.190533914490316,-0.551280465464022,-0.327036142968863,-0.382262271950263,-0.705994204440871,-0.853928435615027,-0.457184158265258,-0.587133217437022,-0.436356852786589,-0.907176147686678
"ETEC_Ctrl_3 (GE) - TPM",-0.276833615254237,-0.438565980856077,-0.80347302537039,-0.61131070846573,-0.28535326338543,-0.697098276464381,-0.551210232248102,-0.571537187979871,-0.555098422338241,-0.915928944641786,-0.609371459556775,-0.690729071082721,-0.584200114620976,-0.597798761729163,-0.505893601062337,-0.527446298262491,-0.711084666980264,-0.433109936910562,-0.556667866880675,-0.43076514061343,-0.189498016082989,-0.894665843567916,-0.502894910468882,-0.882856478024037,-0.477377707806256,-0.878245173340299,-0.864818693022645,-0.601677271776541,-0.311262951484685,-1.03884234257031,-0.665980551979386,-0.870725226241044,-0.887976952847483,-0.739122450446039,-0.754698945490641,-1.03310039192718,-0.387915001242484,-0.755558400453056,-0.614057038494693,0.0936486354966308,-0.925500160076413,-0.528192133837534,-0.730384869439192,-0.539764152526875,-0.630367754044806,-0.595394426606628,-0.553235820460321,-0.511387238054995,-0.5883528359369,-0.493195685217124,-0.663645841475555,-0.24293502514665,-0.748611621769205,-0.767801416973197,-0.0289462191645728,0.333542088615257,-1.28861444401959,-0.77795220589004,-0.874412379374849,-0.40288246584599,-0.574333635756535,-0.473405265182263,-0.630768695575873,-0.651402986077608,-0.866952613483247,-0.36316394611996,-0.649579123572319,0.113222582624456,-0.763883862121176
"ETEC_Li_1 (GE) - TPM",-0.276833615254237,2.01466255689457,0.538698210072707,1.91354925825832,1.63666162464067,2.43961605534335,1.87548939972741,2.45068099730247,3.22413287141844,1.98665526343979,2.57174121293765,2.74216205205536,2.25207452554861,3.00668592567992,3.60036017671187,3.78826626621291,3.30222036603631,1.61627498599279,3.63323006062391,-1.21728194664448,-0.189498016082989,2.10317690768566,1.38145460721404,1.6658417877431,2.47134219397107,2.17369688851735,2.63362685976435,2.70120900986443,0.125763246654461,1.33012707560357,3.07220124466945,2.40083855058324,1.82312930550621,2.80189185471854,2.18941339443459,1.47393964942055,2.67125403635221,2.52897813722002,2.76486054395774,-1.81552222971468,1.79225226047575,3.13171033486442,2.40929987879949,2.5217120751723,2.50266584066451,1.21897105269977,3.46828292042065,3.01880324522081,3.18200177816129,1.87196612867604,2.43613087227793,2.07608134949494,1.9761357981852,1.79737152240381,2.14433543783856,1.91169117568179,-1.29443462618069,1.52733216248368,1.57844764246272,2.34396525607622,1.12297767089183,3.22977234741773,2.307531847871,1.84438853481416,2.68285647358088,2.92203929143631,0.0485756505470509,2.67298151646087,3.207033655042
