"","GBS_RS00260","GBS_RS00265","GBS_RS01255","GBS_RS01385","GBS_RS01595","GBS_RS01600","GBS_RS01605","GBS_RS01720","GBS_RS01725","GBS_RS01730","GBS_RS02775","GBS_RS11265","GBS_RS04425","GBS_RS05030","GBS_RS05035","GBS_RS05040","GBS_RS05160","GBS_RS05205","GBS_RS06170","GBS_RS07320","GBS_RS07365","GBS_RS07370","GBS_RS07375","GBS_RS07395","GBS_RS07530","GBS_RS07860","GBS_RS08085","GBS_RS08100","GBS_RS08105","GBS_RS08140","GBS_RS08230","GBS_RS08855","GBS_RS08860","GBS_RS08865","GBS_RS08870","GBS_RS08875","GBS_RS08880","GBS_RS09150","GBS_RS09155","GBS_RS11470","GBS_RS10355","GBS_RS10360","GBS_RS10365","GBS_RS10610","GBS_RS10615","GBS_RS10620","GBS_RS10625","GBS_RS10795","GBS_RS10860","GBS_RS11075"
"STAGA_As_1 (GE) - TPM",0.579466403622278,1.48767498925622,-0.835972348169669,-1.40342392535343,-1.04592874100334,-0.902530109105829,-0.40167118822075,0.360649793410916,-0.011215713096348,0.0266958344188731,-0.472095502601207,-0.426557736114512,-0.0168981906482063,-0.599003992020209,-0.83724427683521,-0.810154546786039,-0.800809162157072,0.884175212147455,-0.507818264037788,-1.07496631991211,-0.345499780972855,-0.285421732491524,-0.238179842738952,0.0530145846748722,-0.50698743411074,1.19016435051199,-0.252142255597589,-0.949047574923239,-1.04209929277035,0.173493155007048,-0.565757733128353,-0.0613736515534852,0.390784020208709,-0.170007860081802,-0.0890468801212717,-0.00478182804092053,0.202496177844504,-0.264935094749913,-0.384167743430155,-0.571082523123313,-0.613110642045871,-0.399063587274748,-0.957859432597652,2.90115267354501,-0.0697795465867904,-0.70072286298351,-0.284249533716624,0.167489376168789,-0.340647180000071,0.449754726963599
"STAGA_As_2 (GE) - TPM",0.635298303122174,1.35100839047547,-0.843244131696181,-1.2616787031963,-1.04624734787582,-1.00565994372075,-0.570266495909885,0.0196536150665795,-0.0282980456178177,0.0289767577196333,-0.326990307931115,0.955595502758871,0.282700657859329,-0.574417014573045,-0.797955953811501,-0.722070600327064,-0.530123859738182,0.963144329648813,-0.452476953033383,-1.10530473325307,-0.202604463569788,-0.271754120219338,-0.257414467649055,0.526587200628564,-0.494536076239959,0.893761683092229,0.0254927296306203,-0.876712537500654,-0.578838100021741,0.696159359398215,-0.514370967701454,0.77073969091965,0.398564615146343,-0.0536105865526019,-0.167310893417234,-0.133440775669569,0.0522942686589632,-0.339545260263475,-0.188192785971762,2.51198153812725,-0.36609061937913,-0.0381377413772377,-0.145955122620478,-0.231674609552568,-0.521602112828983,-0.791197240244479,-0.671979382599888,0.413413089801748,-0.232741854713667,0.332757748514696
"STAGA_As_3 (GE) - TPM",1.0434122807081,1.74681594809099,-0.606667194925652,-1.32100395717036,-1.00064414218145,-0.850219243693021,-0.910424583319615,-0.0165378584544553,0.00507801630615019,0.0437557733113465,-0.326430373601524,0.938498761975167,0.323509535880362,-0.510003666281618,-0.649515938018539,-0.686653185331164,-0.637501699576716,2.01922951369724,-0.276650372153887,-1.32219381612895,-0.151963543495718,-0.140197169391481,-0.24945831641822,0.267665820425469,-0.354342073577091,1.31829334206147,0.0668016188553337,-0.274292921441056,-1.0280338171104,0.876650210174004,-0.520546616216671,0.997097973169088,1.49733256332815,0.253258148869226,-0.0211618830285712,0.204437899243977,0.205820703311721,-0.288982242691967,-0.0562342170544702,-0.571082523123313,-0.428850603459278,-0.312253053613625,-0.271925658112135,-0.231674609552568,-1.07371499048712,-0.382345081795246,-0.308533182700618,0.227988812429187,-0.172847702090462,0.0229964483852325
"STAGA_Bs_1 (GE) - TPM",1.15813838919684,-0.0747706855462771,-0.0209213480940211,0.0802155045111987,0.16382231260753,0.859690502795057,-0.148824948728106,0.858038510897243,0.98791136285475,0.291766664744154,0.345224450536543,-0.426557736114512,-0.554721551633215,-0.209008745352754,0.510045337512236,0.458708408980605,0.198956345170407,-0.656000268650896,1.58699683346359,-0.528060883807428,0.302859728655291,0.985695085320426,1.23591550899185,-0.765456548931462,0.524586235505118,-1.17217318092835,0.870635217843279,1.11010741830527,-0.97083274970274,0.764163833449408,0.795201473076674,0.381947751792208,-0.210857802259106,1.02074955201378,0.541324115685481,0.817646119627635,-0.174815678217753,0.554029769219821,0.706118645735579,0.932201061906154,0.896089669697914,0.71349596689924,0.427990774640724,-0.231674609552568,1.30484355152697,-0.472279962444567,0.526819201916731,0.157953077395635,0.805299058001275,0.151820531000195
"STAGA_Bs_2 (GE) - TPM",2.6214636018321,1.64806900967909,2.49296746969917,1.27099009753313,2.05464282435702,2.33705262720719,2.04162833191062,2.97294342067747,3.71143708566449,3.40146441704019,3.20988991226448,-0.426557736114512,2.6131474238208,2.61069309494289,2.970781409145,2.8015595271163,2.85752083833265,0.838657620558102,2.66296313425501,2.91954019566744,3.71322796425955,3.91442711807,3.6275284135759,2.67326114563158,2.8879173338821,-1.33856684400578,2.87873025426802,1.89031012618111,2.02432784343596,2.14015562669064,3.24051287054012,1.96905560727633,1.56727033585043,2.35953953407605,2.53920220817372,1.97832033965431,1.35709316599355,3.84144272124446,3.52351437071104,0.562624982528233,2.7765131165827,2.48028777768466,2.82945611280839,4.9757840512423,0.696291421262269,1.30440088468318,1.63815698278477,3.84307404397453,3.80140509665871,2.79787398488999
"STAGA_Bs_3 (GE) - TPM",2.92416694106386,2.52478852453342,3.31929104914889,1.27193144185775,2.45469091341793,2.7194293050516,2.36335106196682,4.09950560233269,3.89584090967861,3.98581674538006,3.5572398655526,4.88686385835952,2.88886389108506,2.7223730868343,3.76459714943137,3.5692842506955,3.14485070729626,0.943834061905877,2.61121383013444,3.16746160702163,4.15507320790469,3.97565879997142,4.20327901854293,2.92952311244055,3.05789872954453,-1.64748252667178,2.77325828557849,1.7369081681638,1.54731456518275,3.261863923809,4.09359282583949,2.79675042368275,2.64912531392941,3.204277019044,2.90844329716052,2.81093963979932,1.58469088066727,3.83471779725869,3.95520511441601,4.1698155782831,3.15149755917819,3.2092922548955,3.45806341519245,-0.231674609552568,1.7815646924034,1.88638855219044,1.25786657520739,3.32032085475615,3.90352291797665,3.44877222943242
"STAGA_Ctrl_1 (GE) - TPM",-0.0943877050012477,0.0875866890092857,0.154518425639202,0.931738823723229,0.82839874847872,0.0765665743070252,-0.958418721206745,-0.0375263103006207,-0.08932863749129,-0.0596179645341179,-0.452608713366197,-0.426557736114512,-0.194175719398783,-0.423787081098321,-0.217746827999927,0.0666914718458789,-0.38918714198461,-0.164942283110638,0.0517499359880474,0.301565789136008,-0.3105728529207,-0.315762279094472,-0.299620332672057,0.0513533651710465,1.04009504293397,-0.160163051585485,-0.193677396600345,0.478923308975201,-0.577361949778502,0.186485970183456,-0.534022065937832,0.412686866694742,-0.0147554995002279,0.240670076266351,0.31804074658309,0.130515026369473,0.369767484765671,-0.439389448750654,-0.265608854149174,-0.571082523123313,-0.218780234677333,0.254027668586835,-0.266879832516654,-0.231674609552568,-0.841790351207865,0.392061959352489,1.28242090986685,-0.179276447397898,-0.299456422930123,0.374038044498348
"STAGA_Ctrl_2 (GE) - TPM",-0.427528056163425,-0.274639597591203,-0.205581280634004,1.62128364416253,0.670128402457521,0.362003319167239,-0.185643987034951,0.00079513164607166,-0.3039949832784,-0.234401196453022,-0.584057087810524,-0.426557736114512,-0.42722159677949,-0.57093582082937,-0.142229662234767,-0.336365653335681,-0.762755388838851,-0.685419932521519,0.0465222145108379,0.142880129071146,-0.301963596246602,-0.301940675520634,-0.32656792767336,-0.571049912167862,0.895813481336487,-0.401657975679293,-0.195437103628769,0.533693114231226,-0.459092848747028,-0.517037735087424,-0.543225724739919,-0.0965536785417092,-0.260971564451458,0.317897956015041,0.333978989363023,0.272827461222322,0.348829894608191,-0.303698288652369,-0.463825399338259,-0.571082523123313,-0.273920430319394,-0.75907564911062,-0.40022912231242,-0.231674609552568,-0.181888308837981,1.11581390477071,1.57189206120154,-0.495442657530781,-0.394648076025083,0.26279463984848
"STAGA_Ctrl_3 (GE) - TPM",-0.36335409460752,-0.200230993711186,-0.248325418078557,1.07722795696039,0.893289292171768,0.490788169018114,-0.290652916620898,-0.0169029532120828,-0.401710918412172,-0.290617509005014,-0.557623584925951,0.538130193762186,-0.397313274748683,-0.603528577409852,-0.197667264322106,-0.127396056327905,-0.764501929222743,-0.600310750724847,0.0312676042280655,-0.0257189225144765,-0.412444389160073,-0.327785468539932,-0.299369791657842,0.140102394188316,0.979866230521963,-0.217546632269322,-0.227462146796584,0.204640143237486,-0.443190959938535,-0.506222990694304,-0.533845308659103,-0.0795946415603558,-0.374982097761162,0.269469990617994,0.341880803243759,0.115773301345969,0.122139418907272,-0.274605272179077,-0.532490597883929,-0.571082523123313,-0.236018692791506,-0.513829743464607,-0.252379836674024,-0.231674609552568,1.1515549941466,0.989096172433212,1.53584844597938,-0.367948171809453,-0.436798560565875,0.148423353567237
"STAGA_Li_1 (GE) - TPM",-0.741629893726414,-0.748663423291828,0.822597796500956,0.614033305649997,0.954854181353794,0.714588745114774,0.092983573043877,-0.657819328525189,-0.55588839293166,-0.654948067292258,1.15705642057042,-0.426557736114512,0.0437410402772914,-0.114574259680207,0.240165246899241,0.0573038182101841,-0.2443017317671,0.373579701228507,0.0578302557391497,-0.329040318601827,-0.58482483210301,-0.460122416968563,-0.340608398521308,-0.220905862111709,0.105525737378829,-0.670583856155359,-1.33521796910388,0.585454176427552,0.333001195538404,-0.881432779100967,0.30312414400472,1.31462169473943,1.03476555370627,0.108278825835766,0.171349505788719,0.0683525289450834,0.0223656858842312,-0.322782946929382,-0.43092129941143,0.228439783401981,-0.406022388129624,-0.558079145004774,-0.347024803426594,-0.231674609552568,1.21036530329305,0.732798805802292,0.650476420057663,-0.517283875890757,-0.0263775623780779,0.577455060475777
"STAGA_Li_2 (GE) - TPM",-0.373518226702034,-1.30225784453992,1.37877292444657,0.536277923803614,0.578819942994483,0.37625574284051,0.53296172526967,-0.665563558212077,-0.41126208660838,-0.538704661826741,1.56608966905098,-0.426557736114512,0.390579365191977,0.160299456131994,0.11602423912252,0.308316344805729,-0.353819193262933,1.16348670078056,0.143684220084204,-0.516756154340342,-0.603225952529535,-0.458543983188218,-0.386873904489994,0.604364068626846,0.325769458221138,-0.643329360454306,-1.49506009322744,0.750880158529303,1.0724423971321,0.125508049595442,0.406883691141746,1.23208587712609,1.34362771972501,0.22209441417765,0.363964516246816,-0.0416033572781654,0.465972221945418,-0.439252427880146,-0.326441709121526,-0.240552930062236,-0.914605895030117,-0.189609141265602,0.255378081924089,-0.231674609552568,-0.806169768482414,0.606852623004897,0.311492563568193,-0.539287533536019,0.0365462424972032,-0.0518392822734276
"STAGA_Li_3 (GE) - TPM",-0.696813622093534,-1.21709972502891,0.915461362045225,0.818168988339543,1.04930381287597,0.681388221971503,0.253572026977302,-0.467996732110289,-0.437504226251789,-0.688750451873281,1.30143659619696,-0.426557736114512,0.187315400074921,-0.236935530818791,0.223821317534372,0.158296415516625,-0.241309948289128,0.117704459077548,-0.0463398640518181,-0.411677472662531,-0.533005245933024,-0.508356011485673,-0.387731229519139,0.0593831307755155,0.00111335697960165,-0.368747220877433,-1.13397333322697,0.206598168436584,0.721807663010008,-0.621172855588965,0.282721597397499,1.85228600158122,0.924262286277263,0.142568668294081,0.00195033667316363,-0.0638107552536251,0.171964733850045,-0.401913546859265,-0.3320879795214,0.629966523310251,-0.894335589647048,0.0940903480364378,0.172141759221831,-0.231674609552568,1.40933246107373,0.598183670582006,0.779392439138248,-0.499983190406674,0.0271933250499443,0.442413683620934
"STAGA_Mig_1 (GE) - TPM",-0.342250115828846,-0.442393712937839,-0.203839334853915,-0.0599695973106464,-0.755724298550607,-0.331181891461976,-0.520091535525177,0.450513613467029,-0.0294683663622064,-0.0105601170946922,-0.191136406555206,-0.426557736114512,-1.28783224698025,-0.796515584230636,-0.922120478693844,-1.10339698462823,-1.14352176234392,1.33397751942362,-0.244556492079109,-0.341814439400951,-0.33079709184604,-0.187466852747292,-0.260266175282993,-1.08244837373595,-0.674259703086132,-0.626164790663521,-0.473630187155501,1.25997813910973,0.777102486404122,-1.07273165961762,0.520112072240162,-0.880616276991163,-0.298572506554965,0.54754403334992,0.661548506595052,0.788936766093488,1.33821596457656,-0.184211009338054,-0.209524230354058,-0.571082523123313,1.59061299161388,0.756708017100154,1.40491949436913,-0.231674609552568,0.705633747237968,0.599773220517667,0.41867988375289,-0.997036573180707,-0.552161575336037,-0.995793231246324
"STAGA_Mig_2 (GE) - TPM",-0.884648986238968,-1.01998513873117,-0.596700953346377,-0.343606577509835,-0.95804382951757,-0.390309100928179,-0.60546270114554,-0.0109590947984918,0.0944119032295781,0.213275217503593,0.035190639246038,-0.426557736114512,-1.24376573793889,-0.739250006158412,-1.12985370209647,-1.06902860083497,-1.0286417535386,0.414705189900691,0.381341904576045,-0.473114963318816,-0.521203457786324,-0.248967711747915,-0.199998575222605,-0.0422697024766875,-0.907690751468545,-1.36027968768421,-0.394914461583477,1.4394997962209,0.225467395171452,-1.69480879845971,0.513659280082812,-1.0953689242438,-1.27472832236045,0.794509686956171,0.628444796423534,1.2093596718768,1.68315776010352,-0.388107375481704,-0.448210175803417,-0.571082523123313,1.14270091361469,-0.631743406929074,0.493885387269479,-0.231674609552568,0.886000048337568,0.457003729347505,0.561481172836469,-0.950468749080532,-0.595985700570796,-1.20496210810106
"STAGA_Mig_3 (GE) - TPM",-0.554391057141561,-0.584905172607107,-0.311906494032586,-0.649997410404585,-0.814093793751004,-0.757218428664499,-0.511238534116239,0.0383542859944139,0.116277137686596,0.529136590866374,-0.0238911557477115,-0.426557736114512,-1.42372450613447,-0.647974174590897,-1.15388244046839,-1.26540507492755,-1.02364145139156,1.74167250295839,0.273678100260818,-0.335441148535547,-0.529491619654438,-0.242464177227712,-0.289423162933618,-0.36191891714664,-1.20709866008223,-1.28964941695294,-0.29649722661867,0.829721705690946,0.0959174599750043,-0.8388930853951,0.473549246155046,-0.941361168849551,-0.278044132623305,0.722426981291052,0.785990781934575,1.31598167612069,1.82418314393019,-0.487349732278157,-0.452474700628798,-0.571082523123313,1.00317728244707,1.69461356309506,0.754748426695355,-0.231674609552568,0.0400576657387091,-0.249560140322484,0.0108053214613632,-0.996751407490412,-0.436690048061762,-1.16638575266974
"STAGA_Nd_1 (GE) - TPM",-0.50843838137558,0.429352813818837,-0.0350842865510745,1.36436971054943,1.33172682361281,1.34055674786207,2.08736539778996,-0.55434652029342,-0.537621513652494,0.0441936609308021,-0.685396474036847,-0.0328361420893349,-0.394479945556694,2.45405060879481,1.00766235873784,1.4391767702317,1.45210155496502,0.00652623053288807,-1.54782865405679,0.936742484527265,0.155374839317838,-0.24614828818262,-0.32686513188451,-0.616950608499549,-0.99089073897108,-0.381440245513902,-1.03343298691941,-0.932335860546583,1.75445266575248,-0.474274356211878,-0.185648133389611,-0.379294613892063,0.19393888290422,-0.587917065346286,-0.549206342003465,-0.597404410742814,-0.636665582109772,0.218285107327309,0.153825521592581,0.658460200893793,-1.05078452255122,-0.730524901753429,-1.06218968122181,-0.231674609552568,0.627290789793155,0.870560636516338,-0.223468865455444,0.427522516440434,-0.425536602860051,-0.380628110365995
"STAGA_Nd_2 (GE) - TPM",-0.654605462432125,0.358887553403981,-0.0730665971304121,1.35594872407562,0.974911058597414,1.39718733692256,1.86384955464623,-0.682863825943617,-0.553628497494928,0.0627928687894152,-0.737853703345852,0.495331323488517,-0.180430224829975,2.00196925444777,1.00742299160437,1.19358759845436,1.37896302949472,-0.207072191585785,-1.65562711642094,0.630814248433087,0.22091387219217,-0.279524422962172,-0.340419144918473,-0.472630921416815,-0.987161939106901,-0.804846417031602,-1.06517055839515,-0.719260764086969,2.00298690914735,-0.749265520854897,-0.190281456388703,-1.00484818783277,-1.11784105090559,-0.645014468398099,-0.546250110592905,-0.658944810615023,-0.630860130233602,0.409202664657565,0.00433343278912912,-0.571082523123313,-1.2895457301325,-1.5051000779095,-1.05455718881738,-0.231674609552568,2.20742188272716,1.13706767042453,0.0153238355329497,0.442470214319979,-0.452240978617191,-0.0245180508020051
"STAGA_Nd_3 (GE) - TPM",-0.560995410182018,0.488816615288769,0.241268543930537,1.26248593700739,1.73415246025435,1.61052752479821,2.56729491091517,-0.440881789678101,-0.291137241174068,0.274298281630791,-0.710979176893107,-0.426557736114512,-0.31854221427465,1.48864060826805,1.08435339231779,1.31766019101719,1.6047479057495,-0.0426973873112021,-1.68624357162964,0.625673398759032,0.101913247969779,-0.229066342650474,-0.276212437777615,-0.993478576193889,-0.590283461911779,-0.334967566782945,-0.473631175605215,-0.78439391331466,1.45869382065213,-0.366985894766248,-0.194440599644497,-0.0633254823540834,-0.286802233762435,-0.618162601618675,-0.50622093233262,-0.584566184919079,-0.61029103626461,0.363646775919465,0.165713606147386,1.45459210017981,-1.14918324926638,-0.233253450847151,-0.83697957806054,-0.231674609552568,1.68164696096152,1.48490720551354,0.632290677342747,0.455194744854478,-0.275643249479719,-0.533536999108395
"STAGA_Ns_1 (GE) - TPM",-0.108126253884935,0.282528639500292,-0.38894440822764,0.266771961967641,0.448160006828296,-0.129926666275539,-0.341849317673087,-0.617402741392762,-0.406940336212645,-0.447836943880735,-0.314861172014272,-0.426557736114512,0.181330289361453,-0.708528760083417,-0.602499645931141,-0.406251192976913,-0.419903352582339,0.345649926133427,-0.206339732503734,0.351704054138895,-0.420768369626824,-0.364164556281113,-0.298266847295098,-0.509931447247641,0.580095023424353,-0.527877824483626,-0.111365453157233,0.852726619529871,-0.439309399213393,-0.559542606903561,-0.53979896666485,-0.824843765152561,-1.18998554333738,-0.401895121001195,-0.380946517747473,-0.284796453303838,-0.188794117235503,-0.532874561726653,-0.51967339991687,-0.571082523123313,0.290112296011519,0.696366248806716,0.0682382060031709,-0.231674609552568,-0.427288880240165,0.156567352976475,1.01612507845129,0.00283932472255251,-0.308518605086624,0.122772645248502
