"","GBS_RS01305","GBS_RS01895","GBS_RS02045","GBS_RS02050","GBS_RS02055","GBS_RS02065","GBS_RS02070","GBS_RS02075","GBS_RS02080","GBS_RS02085","GBS_RS02090","GBS_RS02095","GBS_RS02100","GBS_RS02105","GBS_RS06225","GBS_RS07035","GBS_RS07245","GBS_RS07250","GBS_RS09885"
"STAGA_Li_2 (GE) - TPM",-0.434208647554536,-0.653172033305646,-0.925759333731532,-0.735619128335559,-0.73392782639849,-0.964097117026918,-0.967419903415746,-0.830451056212946,-0.911928440843345,-1.05028331827232,-0.971097266297794,-1.04432279520362,-1.05469142461729,-1.13871017824376,-0.411175522412904,-0.166666666666667,-1.05879592538143,-0.885397873615374,-0.623285419510842
"STAGA_Li_3 (GE) - TPM",-0.569598700245225,-0.502871877077748,-0.838847674366465,-0.672808539386569,-0.686436453101606,-0.901899251622924,-0.952539710157314,-0.805432026237774,-0.89573187090691,-0.933418003735285,-0.886118242823661,-0.977411213375689,-0.974325130910788,-0.985920638163606,-0.93802657960116,-0.166666666666667,-0.694303773481192,-1.06452215276789,-0.692764928466112
"STAGA_Mig_1 (GE) - TPM",-0.326075218180873,-0.600065106839013,-0.854211804175688,-0.976358640185036,-0.986346001396982,-0.536967264885091,-0.48979092716856,-0.54302393408043,-0.622995168758523,-0.448866509195211,-0.638588808986874,-0.581621729999964,-0.502853527443869,-0.621017836202597,-1.67269824098829,-0.166666666666667,-0.0888537048460202,-1.14837961620464,-0.904581125629657
"STAGA_Mig_2 (GE) - TPM",-0.445441953009818,-1.0738302473776,-0.878183661411896,-0.990182687174573,-1.01710861144406,-0.4982293855154,-0.590013483362752,-0.591492686715272,-0.402859312914552,-0.551423176448899,-0.485131770169648,-0.449688377223583,-0.462557060492863,-0.374167917763599,-1.09086364835684,-0.166666666666667,0.424029902950277,-0.300528827834939,-1.16216917955246
"STAGA_Mig_3 (GE) - TPM",-0.395486931192022,-0.952532308013012,-0.88037735410891,-1.09179970578551,-1.02402594447742,-0.606932436728575,-0.5925677032659,-0.573687845301693,-0.437858828419098,-0.452975655534253,-0.649189170275649,-0.555835980891738,-0.547668808433913,-0.698054014538653,-0.760833009468139,-0.166666666666667,0.0830019086685443,0.393235665168913,-0.984221543582049
"STAGA_Nd_1 (GE) - TPM",-1.21356519470457,-0.186701744270314,-0.327727594006296,-0.358223459389846,-0.205990690314974,-0.500900008433003,-0.384713239858351,-0.691031047972518,-0.751858563174777,-0.288274643074452,-0.395097719317084,-0.198625476667832,-0.203675196741681,0.428733461386706,-0.719889165102865,-0.166666666666667,-0.402331633291081,-1.35578853535342,-0.83703999248808
"STAGA_Nd_2 (GE) - TPM",-1.27965423695178,-0.215003476961856,-0.268614907374091,-0.295409918128237,-0.293435370757169,-0.56508428703412,-0.404913716880661,-0.736170585651507,-0.801714539372413,-0.334016170663556,-0.353923132997492,-0.142636735665088,-0.25178405728975,0.416230315530796,-0.348269057212823,-0.166666666666667,-0.466113827329253,-1.53640766933081,-0.755944718477519
"STAGA_Nd_3 (GE) - TPM",-1.20400783534007,0.239207473186069,-0.145921676832857,-0.330917674333082,-0.179206884312314,-0.464002275440003,-0.332710506313453,-0.634836288886121,-0.622167672131492,-0.105718314319254,-0.122057570937601,0.0584904912332788,0.0316397843839797,0.192967689629711,-0.229987312599928,-0.166666666666667,-0.698581207632767,-1.12122746149587,-0.776381657811335
"STAGA_Ns_1 (GE) - TPM",2.28733836107234,2.05168047385782,2.70025742433593,2.42500147458343,2.51226907945583,2.91398018227703,3.11831353104085,2.94884739979116,2.91333305761449,2.74569432585583,2.81240987436561,2.87795029543415,3.01299806889392,3.30709806981642,1.74904125884461,5.83333333333333,2.05312584972189,1.41276230851014,0.927350328652178
"STAGA_Ns_2 (GE) - TPM",1.84881229589281,2.30133638261241,2.20402647796318,2.08741625610907,2.32772127386256,2.5430883895139,2.51966012105227,2.30653579555765,2.11654659200164,2.37800814309673,2.50572130841349,2.27235078821333,2.55408074587314,2.3689350142228,2.61797024626559,-0.166666666666667,1.66869178034728,1.55103300221735,2.55072582132296
"STAGA_Ns_3 (GE) - TPM",1.98033442775104,2.02178989748489,1.71303570333246,1.05380676822133,1.87376242135586,1.41498721641717,1.51200419304998,1.45912674429359,1.9823816502951,1.91697490302731,1.35627282129988,1.54443362353796,1.21596618058185,1.36540648225582,1.17944943543185,-0.166666666666667,1.80178328507844,1.3960994549986,2.79920981197159
"STAGA_Oss_1 (GE) - TPM",-0.70772755115332,-0.143578236035435,-0.810124230151342,-0.675691580324495,-0.527009169489299,-0.637346394185725,-0.687362922497148,-0.611001717564256,-0.689671018398873,-0.655564715837606,-0.565360262758706,-0.58880614705511,-0.526918166804279,-0.334745510703354,0.542503448447101,-0.166666666666667,0.481216572267933,-0.0883707364369313,0.385139685409242
"STAGA_Oss_2 (GE) - TPM",-0.847985636793965,0.0452200523619818,-0.819534600096694,-0.555895748920718,-0.522439681109445,-0.641124176873135,-0.69435507747738,-0.542724282789218,-0.710464848418151,-0.724135458830999,-0.625489640893182,-0.661673811936516,-0.571140660609755,-0.308548367614324,0.655221295691191,-0.166666666666667,0.236106121422096,-0.339164845563938,0.640168184689385
"STAGA_Oss_3 (GE) - TPM",-0.68426393555684,0.308135344261918,-0.814885847896661,-0.54419606811635,-0.511847145275252,-0.676004152909444,-0.665494497406709,-0.615675428930458,-0.701893448526159,-0.674995083300947,-0.506142042573345,-0.581436552868093,-0.518037847250449,-0.165154528108888,0.00213719352297619,-0.166666666666667,0.271637912598793,-0.683959549199572,0.657509109231517
"STAGA_Oxs_1 (GE) - TPM",-0.67514640734321,0.690937291089281,0.163319955222846,-0.206729325926764,-0.000988067982594391,0.266117573338422,0.292677654489964,-0.365075727749086,0.157126943091992,0.299112348442955,0.195232266647873,0.211864759200096,0.433007300175187,0.239035806858814,0.0539105843536128,-0.166666666666667,1.45544959681103,1.00319181581005,-0.754138760631776
"STAGA_Oxs_2 (GE) - TPM",-0.751016735861192,-0.0707637534080151,-0.369970253585852,-0.576703179469282,-0.313744725496161,-0.182804424471101,-0.313471632202385,-0.58630020913048,-0.0933086204979208,-0.161806534162588,-0.1113134533399,-0.0404435698092873,0.0726518625818314,-0.210947677546477,-0.379356601198799,-0.166666666666667,0.353990909806433,1.4451892146123,-0.696648916021249
"STAGA_Oxs_3 (GE) - TPM",-0.744354110991967,0.396488671028427,-0.47929846463847,-0.619377835903747,-0.59138486686271,-0.107392740429221,-0.381350619776823,-0.631876108146117,-0.174749334567733,-0.379455428046329,-0.388773624421246,-0.239337685781497,0.10479209838392,-0.225746293428137,0.217854903952682,-0.166666666666667,0.503690552424004,1.3231768788112,-0.465893039850458
"STAGA_Sp_1 (GE) - TPM",-0.184689100575219,-0.916656332719247,-0.616483336728843,-0.582934864934338,-0.58364366258049,-0.561622384587277,-0.460912797181205,-0.405149337847756,-0.417878692376419,-0.556222827943845,-0.451827272188998,-0.625022174803895,-0.594614881424276,-0.712701258157808,-0.934989561459038,-0.166666666666667,-0.623303163102349,-1.08168965030612,-0.752246326179186
"STAGA_Sp_2 (GE) - TPM",-0.463619432388678,-0.698671480820565,-0.845386370364299,-0.730943975949073,-0.841838926067978,-0.577909947217439,-0.576055556448994,-0.635228152504753,-0.666897677036725,-0.697469700443865,-0.65572102625446,-0.681376502417595,-0.816023565206963,-0.8946175351065,-1.07671216909382,-0.166666666666667,-1.43318248870004,-1.08799912485184,-1.28872756035938
"STAGA_Sp_3 (GE) - TPM",-0.424236471482263,-1.0287670691382,-0.843996100488186,-0.906665373126329,-0.928947726657236,-0.679705052875506,-0.653295256792811,-0.598687059102736,-0.494622687643148,-0.426523562022974,-0.704567824625286,-0.726926637498939,-0.732632847299721,-1.00619987104158,-1.15923320841856,-0.166666666666667,-0.565765329096293,-0.508297563403499,-1.23320290305198
"STAGA_Tm_1 (GE) - TPM",-0.244120931185407,-0.96291560522069,-0.0199006812673587,0.133311791817248,-0.116752849183807,-0.452526643989088,-0.348729899166496,-0.297050372149782,-0.580456940004484,-0.713544369079898,-0.553005118013352,-0.716137882540073,-0.861150442200644,-0.701599848661879,-0.84123099831361,-0.166666666666667,0.247981596592059,0.131183130773708,1.07598971088321
"STAGA_Tm_2 (GE) - TPM",-0.0130975150674775,-0.397648122403309,0.25811997437397,0.683609501041594,0.230989171157445,-0.311918779046491,-0.174754232817792,0.111499223060376,-0.23190338714014,-0.323732322235783,-0.39742353574848,-0.378586138314713,-0.512188731689588,-0.52580128063005,-0.629454362027618,-0.166666666666667,-0.556034690062112,0.126450501281665,1.39301784143428
"STAGA_Tm_3 (GE) - TPM",0.0815714050087362,-0.265894861714346,0.297749434958943,0.409610383887524,0.432087844621895,-0.0421125071169174,0.0842693868773266,0.11216781072534,-0.0263643925947858,-0.175554911039125,-0.0277669028520433,-0.239106298044524,-0.35114969395816,-0.139632544648533,-0.389235357875672,-0.166666666666667,0.0214276143869881,0.627154910360447,0.981462135368732
"STAGA_Vic_1 (GE) - TPM",-0.092997662746655,-1.0486599379069,-0.444828183090741,-0.179169343705072,-0.433618266397769,-0.625906151600879,-0.603805666855072,-0.615103177938262,-0.832365616928268,-1.02995444035961,-0.872268633775149,-0.913091603426757,-0.960695687793518,-0.925287060764543,-1.46699411805675,-0.166666666666667,-1.84376517659621,-1.4572543634327,-0.53389669238285
"STAGA_Vic_2 (GE) - TPM",1.11661928448138,-1.57122736089956,0.300991539071113,0.876905279381771,0.389090763350309,-0.550905421057019,-0.421908391747068,-0.0743714427964603,-0.185622752811187,-0.509635324251984,-0.670004191488629,-0.526341878377937,-0.657138369310817,-0.75166455140815,-1.04229766959104,-0.166666666666667,-1.71914222607642,-0.520117494679012,0.308077527029926
"STAGA_Vic_3 (GE) - TPM",1.57794967651516,-1.62735759061701,0.540474721525462,0.948991691001366,0.752674398334076,-0.228353956980027,-0.139043750462631,0.0273186764222011,-0.185403311579986,-0.34883544746343,-0.267241538393389,-0.422190224977176,-0.559112506499339,-0.367085939983336,-0.768579124765299,-0.166666666666667,-0.79224876848469,-0.370956767932202,0.0593088763886538
