"","GBS_RS01305","GBS_RS01895","GBS_RS02045","GBS_RS02050","GBS_RS02055","GBS_RS02065","GBS_RS02070","GBS_RS02075","GBS_RS02080","GBS_RS02085","GBS_RS02090","GBS_RS02095","GBS_RS02100","GBS_RS02105","GBS_RS06225","GBS_RS07035","GBS_RS07245","GBS_RS07250","GBS_RS09885"
"STAGA_As_1 (GE) - TPM",0.824873388405437,0.109647748717301,0.533778804627422,0.395924573115941,0.539954288241705,0.945392475419078,0.72550757712407,0.751087166456584,0.490093417297399,0.419502610192371,0.78459472721822,0.654478707708214,0.799435056937772,0.721236912678443,1.05198617238601,-0.166666666666667,1.64789689039655,1.35894730393211,-0.0432606576001986
"STAGA_As_2 (GE) - TPM",-0.0614032847243287,-0.192159597901275,-0.207996329081186,-0.31706214293155,-0.284027717373956,0.00759869880326047,-0.102268348537306,0.079570755781653,0.0904528943057444,-0.081439553361747,0.11534736872538,0.1231250664852,0.238986843933642,0.154999310836363,0.374303286489901,-0.166666666666667,0.850332044277741,1.6197827430353,-0.130040338561635
"STAGA_As_3 (GE) - TPM",-0.34505705419177,0.00728384237467166,-0.336407295822634,-0.458225425395722,-0.437491519195995,-0.126761830243404,-0.202586610074204,-0.0621367056513125,0.127776348774378,0.0608303824302079,0.0772388371864712,0.105223776084038,0.308232242219918,0.0718428744286647,1.34318231588518,-0.166666666666667,1.48325563739733,1.58266958510536,-0.165476272937376
"STAGA_Bs_1 (GE) - TPM",-0.217754073769209,0.388770161394798,-0.00111310836327189,-0.300360452942576,-0.409628358092803,0.166365709565416,0.05648920859256,0.156325637333218,0.315101835572677,0.453010587336344,0.00122997936177956,0.164136105993907,0.228808863777077,-0.257141765743382,1.21107610538188,-0.166666666666667,-0.966164423366783,-0.125912340345495,0.233821751914732
"STAGA_Bs_2 (GE) - TPM",-0.679092027304535,0.27438580868226,-0.622208842923265,-0.883491749331315,-0.807069089320963,-0.451926673597983,-0.501601631825826,-0.520524312215771,-0.443595563167966,-0.446239381899758,-0.548573766271474,-0.551883280175152,-0.516057071252731,-0.481363573798235,0.65920249230051,-0.166666666666667,-0.5151276921491,-0.387853086099195,-0.463515348954334
"STAGA_Bs_3 (GE) - TPM",-0.821890922925288,0.306760617714323,-0.656115853159516,-0.948797031513445,-0.912214514374598,-0.533522650575311,-0.587249000562448,-0.570952113633049,-0.550065300628287,-0.457395208814511,-0.54768157245097,-0.613458027607956,-0.527671099489028,-0.512127993369771,1.34741017300218,-0.166666666666667,-0.552701161546789,0.224837930527824,-0.370619907277252
"STAGA_Ctrl_1 (GE) - TPM",1.10890810726062,1.18287486367516,1.81479775988046,1.67339925638485,1.52212971206997,1.46616511454892,1.50761678893934,1.45319413281503,1.84576329894977,1.8973725900923,1.63084949271911,1.56227412352957,1.50733518788029,0.818569733544501,0.505223510475802,-0.166666666666667,0.207450592350143,0.557918271098232,0.732746346700428
"STAGA_Ctrl_2 (GE) - TPM",1.91716839495863,1.68592671668716,1.72272847859401,1.98491505162756,1.77170629336254,1.94994367606274,1.69486124773104,2.07003309991228,1.70712619973454,1.55868395224944,1.88024415145176,1.91930142258271,1.58679350136549,1.51341206387771,0.862523922097123,-0.166666666666667,0.290513783331202,0.193161643235096,1.05431336936523
"STAGA_Ctrl_3 (GE) - TPM",1.51930648752121,1.65306422317375,1.63276181663776,1.96602413359817,1.72973010228026,1.67843727189289,1.66962825933302,1.87585215603117,1.59979250510001,1.69497036173996,1.90894555181036,1.86824069065645,1.56782037577751,1.69567230045935,0.491049530829596,-0.166666666666667,0.232590193892987,0.181114748891094,0.738650455304067
"STAGA_Li_1 (GE) - TPM",-0.436390257627144,-0.55503282567246,-0.874148586857493,-0.701352309560656,-0.732991280428383,-0.926120393396829,-0.95211288597538,-0.813576978972502,-0.913116753896393,-0.89668014412522,-0.873722291345512,-0.905909125996179,-0.960461336046105,-0.95590384989894,-0.00422016881465415,-0.166666666666667,-1.33775755357919,-1.06408144951595,-0.903435666340395
