"","PA0028","PA0046","PA0047","PA0068","PA0334","PA0399","PA0569","PA0659","PA0855","PA0867","PA0998","PA1062","PA1069","PA1079","PA1083","PA1084","PA1099","PA1103","PA1104","PA1123","PA1385","PA1441","PA1451","PA1453","PA1459","PA1461","PA1462","PA1548","PA1549","PA1624","PA1717","PA1720","PA1722","PA1723","PA1724","PA1725","PA1808","PA1809","PA1844","PA2074","PA2323","PA2506","PA2525","PA2536","PA2537","PA2538","PA2613","PA2655","PA2685","PA2733","PA2933","PA3028","PA3082","PA3145","PA3146","PA3148","PA3150","PA3172","PA3302","PA3484","PA3485","PA3659","PA3693","PA3696","PA3876","PA3906","PA3907","PA3908","PA3911","PA3912","PA3988","PA4164","PA4310","PA4320","PA4321","PA4322","PA4329","PA4346","PA4375","PA4412","PA4413","PA4414","PA4415","PA4416","PA4417","PA4476","PA4579","PA4866","PA4868","PA4966","PA5025","PA5114","PA5149","PA5223","PA5411","PA5413","PA5508"
"PSEUDO_As_1 (GE) - TPM",1.60482730419813,1.9461879057207,2.04824411538713,1.2785683855989,1.14682736892235,0.0147636220035551,1.10489364914012,2.21947350294718,2.09107174346187,1.43236234676168,0.889808115874334,0.364915333135128,1.17545366113929,1.94772499232405,2.26808616812674,1.30919521146922,2.82105629711005,2.18587187314763,1.66399227891978,2.63906391886228,0.058921296729096,1.71568040834888,1.82594763200896,2.34050991217086,1.54013265549712,1.65553463840707,1.94212569582287,1.58302941761021,1.45897943439134,0.467585751689846,1.07078352673243,1.23392198319782,0.891544848454921,1.32154279570419,0.752929829795559,1.45924396655367,1.24085351263903,1.03698866820166,1.43358237600388,0.125855820799619,1.01568110207883,-0.637590554296257,0.0705874338093751,2.14918245408428,1.50517081980279,1.55533762350784,1.47945061020062,0.968610437713493,1.25583876625952,0.816916085337289,-1.14661218470182,1.64181380190461,1.92470365511082,1.18714774128854,1.46632219728669,1.42643516536916,1.04351810862871,1.92500604407059,2.27913115963096,1.18157628638712,1.56674548014331,0.934951999815206,2.4127051850568,1.00527330366388,2.12101746170285,2.71426943594919,2.53734507536168,2.27433003470787,1.6743904824866,1.93458975505716,2.39545518741361,1.15161088157392,1.638037090612,1.9252565574306,2.12712409911227,1.86369056835063,2.13748718750322,1.79464518397127,2.19670334966512,0.818983800226625,0.651186791289813,1.04232004203269,1.58147397285958,1.42912978731607,1.35002889781171,0.960740161613913,1.65543000760438,2.7705273090723,1.57284577719306,1.70976175502744,2.05523142791255,1.07293117189605,-0.196621081692716,1.34639301833917,1.68692946562686,1.96751572473541,0.746462629760745
"PSEUDO_As_2 (GE) - TPM",3.03747528092176,2.2080002976888,2.86137178516401,0.777034757107813,2.22240367999077,1.71573268936206,1.25657083508109,2.51990433957094,1.62496868253357,2.20382567700874,2.27027082853874,1.03270237901452,1.93143336705635,2.21633213785734,1.20408443675156,2.56632206778402,2.94018330533462,3.15379495679622,2.60853964902914,3.07043168617142,-1.72679858300194,2.08094388519161,1.84313647558098,3.01082489717435,2.96439698918856,2.42591662139571,1.95782071375411,2.71138131058836,1.91266337379161,1.90231548145016,1.26008876798625,2.25120489858001,1.68692545510698,2.40063109972565,2.36086568749573,1.21118041715321,1.28965686436696,2.19517627883994,1.77467321157379,1.43633013896873,1.45256280334119,-0.897701977741009,-0.216965914297288,1.40843340756778,2.16273190760203,2.33020694485831,1.78332474615583,1.02535600113509,1.56508858080987,1.39149479775235,-1.06052615457996,2.99409400498535,2.59372540244389,1.2479118864196,1.37653409814868,1.90817686579354,1.20171110640954,2.62525988263843,2.68405172731459,1.26160755872011,1.6066829425591,0.798803510322431,2.87921021739051,3.1607643748652,2.19076551633251,2.41579059082981,3.27351560972236,2.95828610844154,3.02606216269396,3.16195083779735,2.63605387437027,3.08393056510308,2.11791537390414,1.91063501119827,2.23733359175131,2.19619747139759,2.6710902849596,2.24860180065595,2.83436413385959,1.34115304721143,1.31687603074538,1.57743347722365,1.63685671889126,2.21558206329472,2.16535813799283,2.25305970526546,2.47795593246542,2.90905715067411,3.03193611571531,2.39009060880411,2.93029108978953,1.67547654309797,1.14143506342941,2.17172228604472,2.54446413865612,2.55991081485427,1.4784448135436
"PSEUDO_As_3 (GE) - TPM",2.50031183919447,3.06766302394808,2.62199852234019,1.56381603660241,1.4938149891617,1.49027821741318,-0.738284408798648,2.62549059826111,1.30662324514402,1.15823859408336,2.52767597789199,0.624537010165001,2.03488946714824,1.61291240422792,2.06343976299109,2.85045113746436,3.1400283741729,2.87778478258691,2.402685524046,2.39271532187759,-1.08867421781166,2.18063761483632,1.19555651857376,2.95125654595034,2.95768332381977,2.00803043616402,2.53204419243477,3.71810356941695,2.1749974780113,1.07201826418818,1.58902824683514,0.995498852290107,1.31149096916159,2.42754420789743,1.50341380402013,2.0052694904354,1.92745501368692,2.41660773862655,0.576932255898216,1.71989486465698,1.58381355864742,-0.745729166617359,1.01720028977489,2.67184574449002,2.09285931644348,1.43187683333208,1.58611870996013,1.98876536301605,1.20866843448447,1.8062878201449,-1.56716820849864,2.77680749583414,2.37705589899094,1.27678875098741,2.15053304159021,1.68015027409355,1.00098315240667,3.07555763449766,2.54984879534804,1.17562101780682,2.04772728062857,1.73490958558565,2.43627939929464,2.01625334118306,2.69448501142996,2.97578390881697,2.50859365797164,3.14353105206876,3.32045728859238,3.44202916795789,2.91079130952396,1.47775438270298,2.24545229070667,1.96663154348926,2.68902802470454,2.45068214574891,2.953061830672,1.53500021361551,2.95100276320869,1.36651800870075,1.55117395743762,1.4955254360437,2.07265869857919,2.45659371230713,2.26541540193952,2.43832487513429,2.39865191129122,2.54594521439415,3.06076571907297,2.91030457886638,2.86184970362865,1.93177810729897,1.42066998418534,2.76224538895579,1.74680504859323,2.65320660020472,1.6874862462693
"PSEUDO_Bs_1 (GE) - TPM",0.532449551591452,-0.672769917838969,-0.713991729706665,-0.228549212534303,-0.0833559411796878,0.612644612633397,-0.193250930269809,0.0406462505067704,-0.018110183195844,0.324628580690706,-0.690644091196998,0.438064951075051,-0.287385450655638,0.736442944371874,1.0558998475763,0.464197676174747,0.0444281341191607,0.450254260984752,0.812197614327622,0.248587635826247,0.315211469294518,0.722844481426897,0.107564216965171,0.429814963571654,0.238805654166356,1.18193052880209,1.6259082375535,0.522101102810285,1.1678999288035,0.0413288834020239,-0.224052399599812,-0.539698766969179,-0.495327961441592,-0.0708499526452138,-0.917799670910515,-0.76875347876529,0.0692150167054056,0.329045166388229,-0.143148551743983,-0.434855676543179,0.536760916051804,-0.758687865242217,-0.367472883776922,-0.661677212960554,-0.401817697654633,-0.391886232358033,0.484735770203434,0.202938415236051,-0.336764402887934,0.299513142928389,-0.832696036781257,-0.125668624896513,0.39704386108687,0.185152175857347,-0.361109237325027,-0.20913510281242,-0.0259599275427271,0.219755203100514,-0.0868364927920896,-0.630196718246013,-0.691204600765784,-0.124805733693049,-0.0139131474041168,1.09926011674995,-0.629427524284477,-0.269914000668856,-0.188142896047724,-0.259704579869011,0.0451502929842499,-0.0192879285042097,-0.0596003237200935,-0.400668153337689,0.43207930761957,-0.234097154951295,-0.249510136188284,-0.438769332806156,-0.430365210071219,0.01991425825576,0.285623020600047,-0.309032728755681,-0.176259051562157,-0.36148182998616,0.372073335876808,-0.00609067844004107,-0.143245829113704,-0.0171501894225452,0.000626486585898338,0.559458519564843,0.465803844961951,-0.259135153534326,-0.211521796904135,-0.183131322467913,0.761615260263941,0.321046778833645,-0.322866715141273,0.248658512563364,0.266629005265462
"PSEUDO_Bs_2 (GE) - TPM",0.280374720831023,-0.487053693673447,-0.576963666477693,-0.217841342042272,-0.131408717332817,0.415630714550869,0.0180943952503039,0.136067337926362,-0.461033155916625,0.61399384077168,-0.623982202508726,0.0433060747681985,-0.464945476256501,0.497599483177327,0.529418430254612,0.448116290159434,-0.0891061432983006,0.278763587564081,0.786756395330344,0.329569787389846,0.988839924523634,0.866906420531824,0.0931033473859222,0.0232182272888979,0.359707372632033,0.834475121682134,1.27837550187387,0.582983658153738,1.23684178351003,-0.160624189767722,0.00151052303894655,-0.73299406593085,-0.339357123771781,-0.169566905407031,-0.312026838335821,-0.310810413796723,-0.0254240288561769,0.0508911496784967,-0.0763632630026311,0.108500275016106,0.519780633247196,-0.401962916116872,-0.274992881562578,-0.751535257882963,-0.609913367208894,-0.3802601852728,0.137272027269879,0.897412170478205,-0.44924971774659,0.407935538278765,-0.903022362572725,-0.196017632913738,0.24483757680193,0.494540679191172,0.0670311683222894,-0.0414593362367407,0.373492619456231,0.256590498071697,0.0746544075960204,-0.752916511956462,-0.694604994849783,0.0826926838710844,0.509184523070632,0.0369852353619141,-0.731148032444029,0.104795024517088,0.0548530714798614,-0.390348538704458,0.142451888388027,0.106012546201648,-0.136001599088582,0.559778497614703,0.337271928358311,-0.137356502766127,-0.350201269682153,-0.466808043536436,-0.401528487961961,-0.766297704354118,0.0312782695317908,-0.368926129073271,-0.142528116545337,-0.556320133983945,-0.0225316631361387,-0.0801216072901735,-0.0959091399810931,0.201666692575635,-0.218987540917728,0.427607792557853,0.246990241987778,-0.0589155422468367,-0.505014083735332,-0.154334962790981,-0.383183717540861,0.369126703770793,-0.553932379104206,-0.146337973891413,0.297681658354716
"PSEUDO_Bs_3 (GE) - TPM",0.372251575631499,-0.232028318797191,-0.738779996108848,0.0206880647655865,-0.186851114754897,-0.0956451239458079,0.0533249139259446,0.462374415054442,0.0515781922092466,0.388072664060925,-0.571502839817867,0.307197300754193,-0.318039519745382,0.311968605624942,-0.0283818223212146,0.254189671841256,0.288314441079056,-0.233751646582506,0.642368372844965,0.620771675800333,0.949278814343094,0.937648962018784,0.209955581283192,-0.0472920893538087,0.354996222088385,0.998915791343457,0.534540146764061,0.243742456129147,1.35667672093367,0.290674934344744,-0.213570301884468,-0.425405833592154,-0.512228183514063,-0.783777012207608,-0.132253657224139,-0.522877689666716,0.134292060337806,0.235329020441905,-0.465698021602253,0.0132179479983277,0.573495699282137,-0.60608781822775,-0.023545633699086,-0.583206419649845,-0.692566789970731,-0.77639694984106,-0.0036541810863946,-0.287759209136209,-0.193428502289845,0.598561413402406,0.317230008345525,-0.163983859284445,0.305362003465833,0.127793385298087,-0.280088886973524,-0.0253269667334684,0.387976880077544,-0.21285853749421,0.290913798648282,-0.724826598989031,-0.700639173007739,0.530658514830523,0.0770148104422951,0.55485663122988,-0.711713163479507,-0.0690831093168135,-0.438215010674919,-0.279078515445376,0.0817855397292513,0.19385930635912,-0.0721636987827079,-0.118281035517929,0.104403174496007,-0.0891587279583929,-0.296913741841659,-0.432888407228609,-0.0648387135035509,-0.398927889753914,0.109457819078117,-0.386200121310563,-0.119973180448339,-0.297460830421783,0.263775013125391,0.0331833416407477,0.0184395934572062,0.161259486775328,0.0318223112222252,0.669912591267418,0.493399550695968,0.284446104103142,-0.154674921669034,-0.00489369262691631,0.143595766815292,0.369171797502986,-0.435593639744203,0.00895063591661867,0.437424287667338
"PSEUDO_Ctrl_1 (GE) - TPM",0.862353776833879,-0.376447025911934,-0.43076271816887,0.816255707559315,-0.0755813520640298,0.563605768813047,0.0862886817666478,-0.0324426351955203,0.620319968256896,0.355768897810283,0.247737463214864,0.338400024949743,-0.301258415941709,-0.205761455289444,-0.206804870967461,0.193269060007766,0.124373750599906,0.208038398665072,0.266498870606381,0.294335949399521,0.00996493735530325,0.291737794489858,0.271496835581205,0.30390332135422,0.301185134434293,1.16480783155367,0.300300541224422,0.04945124820083,0.579669606409572,0.0421374912699194,-0.209262191055399,-0.416877091213265,0.154615773292816,-0.683173192313704,-0.167897381045406,0.202438463109767,0.0501007492064409,0.495716605350536,0.118722911916606,-0.0882769339071917,0.883788296958033,-0.109603593683568,-0.801159585188228,-0.216243390414122,-0.189227751330031,-0.243556673881644,0.548160774680973,-0.0408424584378661,0.312831094693601,0.862892676842073,-0.535112107113279,-0.236786524004086,-0.0669269185383821,-0.151948897786855,-0.223311770518154,0.1122475166962,0.444408771802935,0.235759121280432,0.375484116551828,-0.467008424194498,-0.446776689353475,0.174895557734362,0.385179755347915,0.306921613814207,-0.587011995506301,0.572062793976376,0.211902596980789,0.0983957182617902,0.35393676457822,0.110232299915532,-0.166181693576013,0.629086578905459,0.126403838022657,-0.166634138285533,-0.130691876463211,-0.469407101934095,0.0455784678176251,-0.454914706340412,0.4769076328938,-0.401182826438096,-0.392824947507995,-0.337823126171395,0.128401196675852,0.0271037869588353,0.214732998344705,0.202970023404333,0.241018372829915,0.0311399122012743,0.325776005864837,0.0865506541399741,-0.0223281193782509,0.0849299204069593,-0.00121734546315085,0.447387936350893,-0.249373513004922,0.45516968727893,1.14645547174939
"PSEUDO_Ctrl_2 (GE) - TPM",0.655188844677902,-0.264847956556745,-0.57788299641189,-0.121688483740771,0.36337552281948,0.203179215971308,-0.20207035639932,0.396917770907912,0.71031268980124,0.912288918739307,0.180345741442896,0.386859642960854,-0.220973623096653,-0.212655104581036,-0.0293853641928622,-0.0823917974361939,-0.121087546228825,0.731738631088382,0.516415584740587,0.42039914082191,0.269781167564023,0.140107802528236,0.0447135116206756,0.257138410834366,0.563827437473308,1.26195532638011,0.780113825116187,0.87240685369887,1.0293556378956,0.581925088656233,0.343662947920847,-0.100233342653248,0.0545181409885472,0.228493426072152,-0.184960095639607,0.297511656341394,0.0940090154551206,0.288959862964023,-0.282687050138789,0.608281658228235,0.995748764936925,-0.676181538986315,-0.475648151135683,-0.369795546071238,-0.132285450415851,-0.546192615323261,0.732421657543049,0.606761534088282,-0.0372321794781928,0.707455878470587,-0.537197993791488,-0.0896401520750218,-0.21671769838854,-0.498876207551549,-0.524868011939341,-0.201708389167334,-0.0795687277575877,-0.395743234788501,0.103893305632243,-0.0968252778592106,-0.28434752393137,-0.0330931524053955,1.14780298709312,1.02054770270874,-0.555008875797949,0.640686564438901,0.356795569589927,0.17127812886519,0.0310736604277888,0.0103782480188316,-0.352093667549915,0.779612202151375,-0.046347962175542,-0.0365875126382675,-0.145418041760422,-0.32923473423647,-0.104546884639728,-0.179802113411469,0.199371013768313,-0.273633333748955,-0.396362230781593,-0.0644282553788077,0.0884721750620378,0.154082264498633,0.226756388183648,0.319218503948543,0.133935711105773,0.618260449589048,0.699455645880179,0.19454032250652,-0.139868985648088,0.0128648439735296,0.597798729275425,0.530697003213988,0.289793398147833,-0.259992473592082,0.650161003381572
"PSEUDO_Ctrl_3 (GE) - TPM",0.303139008368131,-0.344276944993361,-0.680829303341489,0.757772460893447,0.0801367428978514,0.611603049357828,0.529479081513668,-0.129696054228602,0.312891418880475,0.522135066002079,0.0973994161685116,0.91879740423318,-0.358366300864111,-0.364279423648686,-0.437968178068642,-0.0214055410981852,-0.282245776675381,0.291626854806206,-0.137222052636238,0.290879669231163,-0.0251019782367331,-0.0870583468019798,0.0453322710992806,0.0823444786633897,-0.0933312076266507,0.421874250252415,0.370307784005277,0.990102059031954,0.688811792645509,0.324271713123046,-0.299735398879148,-0.26268354929341,0.939512174627665,-0.179771926694638,-0.96475521934742,-0.200801418808505,0.500099223567177,-0.122496997270869,0.523350468123357,0.0296460438837775,0.844370406544116,-0.721725017241669,-0.80336717830583,-0.538233529474014,-0.294756653222149,-0.718944296215251,0.536435310081937,-0.182922404407635,0.0887452866101594,0.493890066432375,-0.982858891957605,-0.112272191055542,-0.24874233829698,-0.562483451360442,-0.535066811237794,-0.184130155125736,-0.121311077861093,-0.0724940530852918,-0.0428096896586015,-0.28638267722512,-0.261517179197234,-0.163197912460888,0.492543470617086,0.697527317669185,-0.47162772665566,0.522798640847446,0.274115659033892,0.0815501554419809,-0.238407236574975,0.0379917547529459,-0.0900113718100014,0.527507091479427,-0.176910380045861,-0.324559867010954,-0.215803277286347,-0.533283156430785,-0.176650643114801,-0.946594503216539,0.0120479502636868,-0.650779683649155,-0.446849145871884,-0.457403660247187,0.0725043417717403,-0.000862885372502881,-0.0490875422644182,0.377870012107631,-0.225607734792009,0.109085861075395,0.640781456348998,-0.0874660699754612,-0.169619122071875,-0.388621111938673,-0.663654699173936,0.172540575422863,-0.220280798490993,-0.319617960584895,0.379069158921857
"PSEUDO_Li_1 (GE) - TPM",-0.00118589829568781,-0.536539432995308,-0.576269944421686,1.24366646358299,-0.147375425260387,0.914945212068851,1.30240189621118,-0.39075922884444,-0.649347919406231,0.522656128873044,-0.369907231586785,1.13809392661751,-0.281184374843633,0.464914163281857,-0.31680750200343,-0.579543587797714,0.175902760693794,0.0674607035175001,0.940028404672744,-0.291649854278639,-0.32707079238363,-0.608067839433474,-0.238826373421901,0.56239924803192,-0.463776210606178,-0.154219510888092,-0.304578272367634,0.0735644193151139,-0.0609892428708297,1.50019069200237,-0.503078309966851,-0.474973656517389,-0.297115787697493,0.0742778432949233,-0.303425645832867,0.0652042784076147,1.10516844828507,0.887914449754775,-0.702727174453075,-0.608113475124125,0.434793285804518,0.340868678346316,1.37193297414267,-0.0397357743377059,-0.537888037863489,-0.812200305895104,0.781719884794035,2.25085714645797,0.630506699081192,-0.317466827909691,1.76919053853029,0.708790711495031,0.119940873592695,0.802162724420717,0.356803429258052,0.504078909696544,0.666399332041368,-0.239647131188551,0.793997067110887,-0.457409335943926,-0.285573940366236,1.64430052951926,-0.507828725335793,0.658816399399689,-0.434631016954078,-0.682341984122188,-0.678751180655426,-0.367586488200208,-0.273781200589448,-0.148695156733789,-0.136914732850753,1.1917820619505,-0.613372949493947,-0.227365067241346,-0.35432935437989,-0.403848417847862,-0.248096705978729,0.0355078002091964,-0.267637735590224,0.160041709110073,0.682176598514047,0.448913056903211,0.20780359118239,0.188054705485845,0.495666838096105,0.929507830843248,-0.00248312237752843,-0.446409087474774,0.803408385369852,0.205228912905699,-1.0369206873661,-0.36463886782231,-0.0649148232979682,0.200837374096194,0.725137172386118,0.639646836623681,0.644125611061657
