"","lmo0174","lmo0223","lmo0324","lmo0335","lmo0684","lmo0742","lmo0748","lmo0834","lmo0928","lmo0944","lmo1193","lmo1345","lmo1354","lmo1715","lmo1842","lmo1954","lmo2310","lmo2807"
"Listeria_As_1 (GE) - TPM",-0.0672603182218494,0.373982101741208,-0.261201990982805,-0.462751364722384,-0.472914875645673,0.868905057220618,0.230901153454216,0.542154294601092,0.447445717800113,-0.215913779299519,-0.720078394073585,-0.328733050107227,-0.178605606176396,-0.490061892883867,0.19131450068103,-0.57811453474985,-0.271685422605417,-0.115476538143497
"Listeria_As_2 (GE) - TPM",-1.01542619236518,0.134200500269432,-0.40338988781598,-0.416935015494905,-0.472914875645673,-1.08625782654007,-0.507768567119676,-0.980397421254408,-0.428314851082999,-0.214121876251577,-0.55189884351813,-0.804650394601919,-0.177812854079066,-0.834151518414558,0.181954180300869,-0.611052558116402,-0.271685422605417,-0.449904975355748
"Listeria_As_3 (GE) - TPM",1.32871478680897,0.299052324140227,-0.0909190333612565,-0.652369993020925,-0.472914875645673,-0.33965579784566,-0.321672841061143,0.214583319969128,-0.332012269683451,-0.228611182216133,-0.788702414137572,-0.804650394601919,-0.180413954375481,-0.45606737194302,0.482800491766856,-0.620135185521897,-0.271685422605417,-0.145628334390723
"Listeria_Bs_1 (GE) - TPM",-0.513994707342048,-0.740924787693294,-0.303129669200618,-0.384960381975601,-0.472914875645673,-0.295116358452553,-0.269061068510208,0.0931916187023019,-0.209639272441099,-0.164134790615682,0.530955153415227,0.36988360593553,-0.201087983854509,-0.834151518414558,-0.368321420388819,-0.779884067668577,0.134841944720531,-0.0072646060176958
"Listeria_Bs_2 (GE) - TPM",-1.01542619236518,-0.758547812732695,-0.40338988781598,0.287778703333967,1.19195801246504,0.184890613586367,-0.344650926477444,-0.620922740802853,-0.571069257597681,-0.149990389483892,-0.411273389487557,-0.0181013176042325,-0.203661008702103,0.0188643898984119,-0.743814590655825,-0.792127728752385,-0.271685422605417,0.345182442019904
"Listeria_Bs_3 (GE) - TPM",-1.01542619236518,-0.776989040917457,-0.40338988781598,-0.019469039756424,0.199552985320431,-0.115873607984722,-0.457842569817358,-0.980397421254408,-0.275020829289888,-0.127353496162124,-0.291557843851439,0.148447549024142,-0.203859282499086,-0.834151518414558,-0.739295077421654,0.728937739839876,-0.271685422605417,-0.0406486181500065
"Listeria_Ctrl_1 (GE) - TPM",-0.0439857607295927,-0.696847585023891,-0.257711714994541,-0.263823627676573,0.559177673040713,-0.531249223407471,-0.262562482642687,-0.0890113180899568,-0.887779175544852,-0.265492120383293,-0.0128058997540586,-0.0732509160132026,-0.169421824501897,0.399724369950887,0.583385024446633,0.865749565450783,-0.271685422605417,-0.0268947653169641
"Listeria_Ctrl_2 (GE) - TPM",-0.227246042768376,-0.685801871941607,-0.40338988781598,-0.0218742418223541,-0.472914875645673,-0.593003180808777,-0.0495171187724622,0.466058396682224,-0.845719861085929,-0.259700427635412,0.16082831855884,-0.0134204756679629,-0.178324113349628,0.309971550820208,-0.741066889592381,0.65596541911504,-0.271685422605417,0.104813957723044
"Listeria_Ctrl_3 (GE) - TPM",0.285104225356235,-0.720782575927957,-0.40338988781598,-0.392283861980499,-0.472914875645673,-0.730747996747153,-0.177487046528508,-0.383719177659522,-0.650878645409723,-0.264289700000872,0.431014350183713,-0.151869062084854,-0.17922641909043,0.109774088795262,-0.630743001595688,0.714849005015411,-0.271685422605417,-0.0244225261257554
"Listeria_Li_1 (GE) - TPM",-1.01542619236518,-0.4164560375174,-0.40338988781598,-0.652369993020925,-0.472914875645673,0.149831322357849,-0.307040170552802,-0.980397421254408,0.625558681441201,-0.217174786671104,-0.6081740356719,1.24582925454254,-0.116331449514863,-0.834151518414558,-0.603700725526409,-0.583944815120146,-0.271685422605417,0.00424584790681084
