"","KPN_RS01460","KPN_RS01465","KPN_RS04705","KPN_RS05095","KPN_RS28845","KPN_RS17555","KPN_RS23610","KPN_RS24340","KPN_RS25165","KPN_RS25170","KPN_RS25180","KPN_RS25270","KPN_RS25390","KPN_RS26260","KPN_RS26490","KPN_RS26500","KPN_RS26505","KPN_RS26510","KPN_RS26515","KPN_RS26525","KPN_RS26530","KPN_RS27190","KPN_RS29770","KPN_RS27950","KPN_RS27955","KPN_RS30000"
"KLEBS_As_1 (GE) - TPM",-0.627014922186724,-0.47254678857999,-1.10023065311807,-1.07175319449253,-0.824131144476407,-0.114662733698837,0.718969551430578,-0.507127131571474,-0.387255585134949,-1.02748848367589,-0.751736146740919,0.123054788238209,-0.0883439797999755,-0.760887746480452,-0.739189930055137,-0.578923056205776,-0.507180841124011,-0.753877594927789,-0.235664539723046,-0.545367623867794,-0.578074665423361,-0.955702840474987,0.293947707909596,0.0113494998407674,-0.512277846985761,-0.910833928683798
"KLEBS_As_2 (GE) - TPM",-0.591579786621332,-0.496533634212878,-0.830968152022527,0.606011926310273,-0.326267444429599,0.0917873989236479,0.168849595895965,-0.557814911884752,-0.820295512566839,-1.0542240832975,-0.639347833143894,0.544948124052162,-0.201645241417555,-0.357574698313893,-0.66937138368845,-0.319940879836295,-0.285600486815424,-0.218813328406001,0.204358683853065,-0.680281298812259,-0.72041297032721,-0.456860193139862,0.172504345336312,0.268945328188675,-0.527063327611602,-0.573418173381856
"KLEBS_As_3 (GE) - TPM",-0.642899598192872,-0.391877905832612,-1.05817284182232,-0.420096726631414,-0.797641556745281,-0.0618132106402217,0.183348326103466,-0.424357053024096,-0.746324702958208,-1.02802550584833,-0.576241707200944,0.258659447230358,0.000950030605175488,-0.414173649610653,-0.75427323834722,-0.728400338992606,-0.550089637688085,-0.128485801470086,0.396420125967414,-0.435697261515181,-0.63238527477218,-0.537939778484085,0.752155478445517,-0.00963378373405876,-0.322449844133761,-0.598172409896685
"KLEBS_Bs_1 (GE) - TPM",-0.879919863661761,-0.539604461301925,0.1231036800537,0.353237531365092,-0.480124248718335,-1.00653044745748,0.271417742636243,-0.517095194042835,-0.290402009398019,-0.530403282741032,-0.237443199138852,-1.17427404950225,-0.527553909942137,0.00508585580594217,-0.553850377251668,-0.990303829439361,-0.635906991097185,-0.311911557180373,-0.67005555696456,-0.488716508486031,-0.563100285615813,0.0619384564310395,0.231940375218793,0.284847282850768,-0.603179917488522,0.03083886208534
"KLEBS_Bs_2 (GE) - TPM",-0.755023387148752,-0.503864774603894,0.608020144659967,1.2764600467497,-0.264404452832796,-0.926663420162688,0.132406346570088,-0.382020028576008,-0.248602625764373,-0.432464370596077,-0.0878757883406947,-1.05369330134106,-0.259034508402938,0.0489865711322473,-0.00524833827734269,-0.693321011485449,-0.566873567966014,0.253875621751573,-0.358447142052721,-0.296601637604095,-0.225914642971688,-0.00426739109853174,0.203350728006172,0.297302067809534,-0.270360573934897,0.425855729181236
"KLEBS_Bs_3 (GE) - TPM",-0.829084701912086,-0.602186211429398,0.303430129137317,0.649268931076163,-0.26425496329251,-0.692615746142475,0.167912232014534,-0.296711108739834,-0.472386245695822,-0.470844200873306,-0.164023480444072,-1.13634164660007,-0.331687190223413,-0.123321418174977,-0.426250319627682,-0.752188121986541,-0.600679702437621,-0.149788352881604,-0.478698334600279,-0.442408750906775,-0.636479943997282,-0.123481184882665,0.357854060583533,0.610017900422698,-0.500416274776372,-0.0719095302618968
"KLEBS_Ctrl_1 (GE) - TPM",-0.991519836103161,-0.534008166024539,0.135219408982298,0.113434732797553,-0.598735703070494,-0.250183322625734,-0.450165262171025,-0.467238728636756,-0.245461999241794,-0.391877550005374,-0.362535744789629,-1.11561961542827,-0.621386601440917,-0.4287443796398,-0.583927420273503,-0.973241777472454,-0.644548969303893,-0.123856037211979,-0.555457332773505,-0.380583687334426,-0.360408113373369,-0.539870569447907,0.306641213141105,-0.278927328097973,-0.591369342696451,0.251442824213537
"KLEBS_Ctrl_2 (GE) - TPM",-0.926543166402068,-0.535764178648508,0.366127596880177,1.57855792344054,-0.287684154482364,-0.353580287575782,-0.299752309533157,-0.856007671224507,-0.395975449461532,0.219142797287644,-0.135455212416537,-1.18564346923262,-0.531307657573041,-0.26359628670396,-0.493975848175649,-0.933094727808381,-0.995325320456679,-0.756679014059726,-0.739081867033369,-0.566543256229528,-0.246617170770124,-0.329240263194893,0.55203581233852,-0.26678219696625,-0.233290904129519,0.634875407642677
"KLEBS_Ctrl_3 (GE) - TPM",-0.956696536012271,-0.297933024822808,-0.13350656294703,0.654183797678953,-0.387395689678748,-0.402839019678029,0.952252389444705,-0.148434059205596,0.0801526188239609,-0.279271970630191,-0.323474988778906,-1.04787556153063,-0.53170453408461,-0.555578734346075,-0.591731475549173,-0.97004802722576,-0.467539046966717,0.157599981310133,-0.673993918020785,-0.413946848513384,-0.260809212032351,-0.510056793753231,0.404307171186828,-0.670012542443527,-0.372476082178811,0.543137166818159
"KLEBS_Li_1 (GE) - TPM",-0.041692989429411,-0.408901127872357,-0.380560247025895,-0.32716715470166,-1.10440463364799,-0.219570094856498,0.0544841019822565,-0.951226955992634,-0.263978236982537,0.603300982870461,0.177150977731286,-0.895778307841137,-0.670123813553518,-0.557936975276546,-0.687979215345152,-0.0896138090140774,-0.46643169078419,-0.657383401041565,-0.611596848851882,-0.356372193124894,-0.137898665503466,-0.632002658515085,0.410755933004975,-0.46467531194252,-0.842861795276538,-0.24142813839444
"KLEBS_Li_2 (GE) - TPM",0.0982704279111383,-0.336842223995486,0.256194795516727,-0.034774021867262,-1.0633565003474,-0.356004871470428,-0.649536734614282,-1.01074840330851,-0.271936914531809,-0.204414293943662,0.352188133232492,-1.08262873457541,-0.775801067183455,-0.62279054646767,-0.991276580788749,-0.499811771878288,-0.386920622730209,-1.05268422373218,-0.378883390982423,-0.500440954718195,-0.361064265960775,-0.718862460587041,-0.249639501486566,-0.646134701446193,-0.860312667495563,-0.635952002860589
"KLEBS_Li_3 (GE) - TPM",-0.0890095773411993,-0.557734851657037,-0.925026679147464,0.297841738356732,-0.609790182841726,0.179069818954259,-0.37369293856781,-0.338879399068874,-0.38930784098177,0.0303679753636033,-0.212284830014971,-0.56872616332906,-0.314091137891296,-0.403811571967706,-0.691214933720743,0.433009189794706,0.180807422988152,-0.529859522492105,-0.303683009541265,-0.548404301689946,-0.194932321584162,-0.433449455808764,-0.524154960058279,-0.372337576997124,-0.443988283864798,-0.661041325539607
"KLEBS_Mig_1 (GE) - TPM",1.08212197404068,1.4434988254313,2.544611515377,1.45358608630412,0.0967293669982895,2.03068304721123,0.643932937063477,0.460579800942946,1.73726439528395,3.25560270148701,3.52521087627867,0.29558163952142,1.82051754843027,0.240421485176091,0.352168779007402,0.222831360698948,0.635127222774418,1.4506111573531,0.712403432812772,0.958900787489219,2.68216814635689,0.521620466271878,2.18090731485312,1.37081720709005,0.168038114166577,2.41016057816826
"KLEBS_Mig_2 (GE) - TPM",1.05343573135733,1.61185378180729,1.04157016636571,0.580686669438546,-0.435736408346321,1.86622364371476,0.816310491628046,1.55048232950215,1.29281749888565,0.950313371302486,1.98997404538074,0.33537885975962,2.11524081232814,1.0791694944692,0.518099413826934,1.10128409709964,1.05450701960917,2.86847399512754,0.203855376855995,0.828665885249095,1.88841350803495,1.08989432105963,0.426638440924986,0.863447780747154,0.308609076814177,2.23703581682515
"KLEBS_Mig_3 (GE) - TPM",1.12910273196517,2.12160853457235,1.47923667750226,0.81208216694142,-0.0237150811421359,1.63299697868017,1.73574564315908,0.888446585763712,3.08734728143525,1.54244131503683,1.0955250915362,1.95529063916832,2.69356041156781,2.8545971506225,1.08797368197672,2.63780573499019,0.782248998188225,0.0985014389767207,1.73678593966836,1.7621059307452,1.51745386607225,2.01919907203434,1.97743475388768,1.7797785904916,1.779628400336,2.59372370431673
"KLEBS_Nd_1 (GE) - TPM",-0.129840198034333,-0.495104796638863,0.0148809609026299,-1.2254660022475,-0.90630271820296,0.970483140395235,-0.0681760737633131,-0.354259398360998,0.0883164448962627,0.891684375484975,0.540115414526149,-0.12138007353536,0.369572606205396,-0.114436533738147,0.063739956837472,0.601495723264994,-0.248726743731024,-0.212563792072462,-0.423801076016303,-0.499576358129418,-0.322065876286198,0.0549024739735003,0.675498452896368,-0.989890971863374,-0.0475128338118541,0.645745586058413
"KLEBS_Nd_2 (GE) - TPM",-0.571610900287569,-0.668904475418774,0.572767948798883,-1.23345497515006,-0.745725262019108,1.34776576649798,-0.198365215299782,-1.01074840330851,-0.0232863325479288,0.893534862169242,2.26715608901819,-0.948694809661073,0.540828657378662,-0.389362252089106,-0.184219393415918,-0.232549669746224,-0.17971954911604,-0.367002829735671,-0.350029499784239,-0.524497358482412,-1.11249236694011,-0.087529609267183,0.0933007876965496,-1.04128214752971,-0.149842786965401,0.212139841970268
"KLEBS_Nd_3 (GE) - TPM",-0.405036130644413,-0.500634472661761,0.39260408726766,-1.23823566656087,-0.700499918366041,1.90469147201932,0.540028528786331,-0.773457025886217,0.229046301561163,0.723992187681871,0.437032691818573,-0.604458563179964,0.272970886596044,0.0321802450616378,-0.314215476365481,0.262662044902356,-0.396458716378571,-0.568069152377163,0.0683591469043034,-0.597156287875452,-0.498815256204534,0.195594334091073,0.64456746849385,-0.88256020555865,-0.571579794868939,0.146069288453445
"KLEBS_Ns_1 (GE) - TPM",0.893218814825949,-0.510295534060101,-0.500003343716877,-0.757707821613296,0.18702742276646,-1.133785274585,-1.18603096612698,-0.868103301434076,-0.639035371360892,-1.05179829828968,-0.438285907271554,-0.069788422022873,-1.09857540789242,-0.64372253598632,-0.390752822115817,0.648131786579765,-0.926782778310408,-1.19121823046228,-0.966786794391143,-0.477808652769467,-0.541653829218805,-0.648537640361025,-0.58133978814561,-0.921521189756405,-0.59045854637935,-0.75129068170668
