"","KPN_RS01460","KPN_RS01465","KPN_RS04705","KPN_RS05095","KPN_RS28845","KPN_RS17555","KPN_RS23610","KPN_RS24340","KPN_RS25165","KPN_RS25170","KPN_RS25180","KPN_RS25270","KPN_RS25390","KPN_RS26260","KPN_RS26490","KPN_RS26500","KPN_RS26505","KPN_RS26510","KPN_RS26515","KPN_RS26525","KPN_RS26530","KPN_RS27190","KPN_RS29770","KPN_RS27950","KPN_RS27955","KPN_RS30000"
"KLEBS_Ns_2 (GE) - TPM",0.832759056761768,-0.61710754350121,-0.229083341131036,-1.02860796263891,-0.691060192014684,-0.558413013383862,-0.805096197455374,-0.619445996542994,-0.728884644918044,-1.05816126741502,-0.81608283519406,-0.207813962702355,-1.0262930363994,-0.992363911197655,-0.322829883744178,0.987884972038301,-0.609281860005599,-1.22581546462169,-0.868126562513217,-0.355506226267709,-0.100873083764689,-1.12051691271601,-0.922046339762503,-1.04128214752971,-0.456080529065454,-0.337621871592883
"KLEBS_Ns_3 (GE) - TPM",0.72373394851055,-0.558058012113614,-0.474698358339155,-0.80187214438774,-0.453464547620879,-1.18653372645375,-0.562673029196669,-0.940965492947808,-0.841392513711734,-1.04578330854728,-0.424936249034876,-0.147515194174373,-0.876298933717792,-0.965598630158859,-0.449549090539505,0.461584120834796,-0.845018783947275,-0.830894325676764,-1.2754994518602,-0.514380498217023,-0.327489595902555,-1.01080238243379,-1.23547196459056,-0.868523136782528,-0.847736004753123,-0.622891215150944
"KLEBS_Oss_1 (GE) - TPM",2.09005078808963,2.27688864432271,1.12727897742117,1.61064560390055,1.28024004878979,0.256412514895603,2.46498750948395,2.84506925483131,1.93289344419583,2.55343584583217,1.65912210788368,1.33562889308682,2.24375757586242,0.908030101268839,2.12212260899035,1.11915022676266,1.94030455892491,1.18337328291869,1.74569578246875,2.56778051532321,1.33966931970327,1.62638495679131,1.52053834128184,1.8786804351586,0.948915519221397,0.631344903324343
"KLEBS_Oss_2 (GE) - TPM",3.21514384130858,0.941914144293182,0.854066033083324,1.5579759724215,1.75143143138725,1.25253107067272,1.76090738059974,1.20608611924136,0.990161318255853,0.667772098315341,0.102714037256529,2.01747194545447,0.989648575163588,1.32914329619104,2.48195259445371,1.73901365106441,2.08144480534932,2.20613641937878,2.40371928595207,1.75501737508971,2.35775978047725,1.55522157079138,0.862996607419714,2.35212252686561,2.22176348782771,0.653376622488045
"KLEBS_Oss_3 (GE) - TPM",1.21757926089512,3.40540483570658,2.01401458656244,1.75879268960986,1.41739627301055,0.794328846529166,2.70432697017818,3.21850481990139,2.99317586226761,1.15587527835088,0.155446698664452,2.14486369245163,2.14380210209922,1.5784585580499,2.55263304819504,1.28763509760128,2.42634025952383,1.74225681494724,2.84740603762961,3.54958580344671,1.71749123482545,1.69944346612421,2.00799059846229,2.87872335337206,1.34073727557047,1.4933507796074
"KLEBS_Oxs_1 (GE) - TPM",-0.81956282737934,-0.57721927257167,-0.888111684567047,-1.03351829060497,-0.963995225293173,-1.01273490502459,-1.02807556529878,-0.572076236892184,-0.62743036777752,-0.51035824629413,-0.866745147624448,-0.984907829576806,-0.859004481931484,-0.950998223192147,-1.09654460911887,-1.42311408097059,-1.15479061782718,-0.936493477226415,-1.23132457797901,-0.546720339910482,-0.661855849329597,-0.928438294105386,-1.2538551909515,-0.350414160996091,-1.00073229616303,-1.25283271049308
"KLEBS_Oxs_2 (GE) - TPM",-0.50472887684955,-0.509174605185871,-0.352834467440142,-1.12678093168024,-0.518658351244983,-1.00285701304785,-1.03483600402075,-0.774958996006289,-0.602333957797665,-0.58129646330685,-0.878398037327784,-0.896178010352001,-0.500609544316739,-0.435276332548723,-0.848800795440064,-1.32806281163902,-1.00832551561053,-0.767466348921449,-1.05405506203097,-0.515810442553805,-0.700860590358808,-0.45000823658589,-0.977429461862426,-0.0268368698949044,-0.565272570783466,-1.28685624824416
"KLEBS_Oxs_3 (GE) - TPM",-0.500797912088247,-0.530164141157051,-0.522285805486213,-1.02766092486588,-0.717044419824651,-1.11894891491766,-0.887162634300097,-0.574031524012989,-0.736482614781638,-0.640414885453233,-0.877450591935618,-0.710940435130572,-0.593436868329584,-0.412612837730735,-0.791441455775293,-1.47693214574734,-1.1276623456163,-0.737819563264509,-1.27195062605578,-0.583896380090035,-0.519034386777253,-0.337050142112052,-1.02457235221026,-0.00779673242839799,-0.804448184442851,-1.35625826607778
"KLEBS_Sp_1 (GE) - TPM",-1.06884083542095,-0.668904475418774,-0.907579884137372,-1.4797920180842,-0.430374338745077,-1.39871074112482,-1.10623993077661,0.500693549112415,-0.259206887941762,-0.376446085340472,-0.67337192714289,0.689325110241155,-0.649244890384296,-0.840826964079576,-1.26576356022633,-0.960262424079508,0.394708541739975,0.25071187125306,-0.382268836512137,-0.833295051925534,-0.824225777931083,-0.969310434192445,-1.62407715808468,-1.04128214752971,-1.45856677030112,-1.13684922580409
"KLEBS_Sp_2 (GE) - TPM",-1.07111316099808,0.965678648226065,-1.99844557048787,-1.5836870554838,-0.353731520714333,-0.986941449176076,-1.24256234195785,-0.563337656445766,-0.676107377172864,-0.803328704914015,-1.1342984292588,0.606587633627457,-0.223061638792555,-0.531790027233119,-1.02652472463727,-1.21712871408769,-0.326479947276374,-1.00878488765116,0.436089563996825,-0.796611200147419,-0.802619271243129,-0.850691109442562,-0.722847382487805,-0.925702478150982,-1.21038189437027,-1.2560279674319
"KLEBS_Sp_3 (GE) - TPM",-1.00631353763814,-0.668904475418774,-2.01796829834452,-0.920782375018736,-0.596981075337827,-1.45906977704502,-1.52403096735284,0.69070261108543,-0.411304651659304,-0.597238010278921,-0.874862774793142,-0.370601281691678,-0.932901314271592,-1.60488037639621,-0.617643397634977,-1.0311789242058,-0.815369417129771,-1.22581546462169,-0.926793769301342,-0.616710305391655,-1.09447090745754,-1.52800601798716,-1.67787727706738,-1.04128214752971,-1.2561760495115,-1.14223950414142
"KLEBS_Tm_1 (GE) - TPM",0.378928109727994,0.202031515860039,0.65843164321244,0.186955369372587,1.78232037275748,0.307120695147782,0.204485351946926,-0.236686318329955,-0.246058538456501,-0.335561794533492,-0.583499880064664,0.93677315076849,-0.425368664721198,2.23816944666257,0.593789656848782,0.864421489043454,1.36274156921744,0.247433906574054,0.487633953079922,0.715951287279078,0.103263350604619,2.18396390903542,-0.987940558877709,-0.416396063471835,1.27027590999594,-0.0766485175671268
"KLEBS_Tm_2 (GE) - TPM",1.09361627474358,0.224591361821663,1.00254192647332,0.773459939515542,1.7309998837215,0.451141325110364,-0.270213545880502,0.410295209307182,-0.192899007841043,0.0160258945275309,-0.401715706149809,1.17109678123507,-0.297883815086318,1.68994662156595,0.948933178184258,1.33533074048441,2.32392571330427,1.15398547732494,1.08585330703603,0.723015698119641,1.35243794222558,1.46574683823871,-1.33842087182398,-0.467690961628061,1.33724492334397,-0.0938818647598041
"KLEBS_Tm_3 (GE) - TPM",0.472229683593485,-0.266028033890302,0.384610222185124,0.45399523218175,1.80076688271384,0.0373736881595545,-0.0617294067253687,0.504914752849684,-0.296576806271268,0.0837859805938608,-0.191233191283708,0.573738231034746,-0.422581291307135,1.50343641988449,0.524559234117716,0.305992893723324,0.840654586379952,0.31577448329754,0.827963518235094,0.090017712089266,0.920624556991403,1.70911086959087,-1.02962519100767,-0.449233604395192,1.13320342443686,0.344600456456235
"KLEBS_Vic_1 (GE) - TPM",-0.00150291620908292,-0.423041296663923,0.264594150559606,0.0789006559833138,1.36961545395919,0.736653401307762,-0.437472432755916,0.171223982115347,-0.385361760356662,-0.386524221889576,-0.373916182205682,1.28686406406775,-0.0552661489666093,0.0097513019010694,1.18483664879169,0.416042895068521,-0.17451747946654,0.808221408214339,0.481322635025271,-0.194128662043875,-0.517508427749571,-0.0588342025293498,0.251215752993989,0.470873204175078,1.89853155185303,-0.31743540856575
"KLEBS_Vic_2 (GE) - TPM",-0.017288565381869,0.120340762959556,-0.744771864072316,0.376981549605461,2.52014031944176,0.854213259527726,-0.524624637296115,0.645471321720509,-0.474229133378561,-0.552637673644871,-0.684779311996797,0.88177912234102,-0.240642072934292,-0.333191603923688,1.22729860896848,0.481286529143358,0.390880663375863,1.11409047619041,0.302215584754759,-0.152610627526149,-0.317131271475389,-0.254489781469675,0.0444225378286969,0.488286717817135,1.44635120111169,-0.0454913739797101
"KLEBS_Vic_3 (GE) - TPM",-0.852570417787758,-0.642472571318628,-1.07905689713591,0.13829870297942,0.608812277889717,-0.471018098680472,-0.809928905830334,0.653260659070236,-0.7586580769145,-0.228712964784985,0.408358938966295,-0.834182690871122,-0.137001455672457,-0.81390031253545,0.838466859915619,0.292553568726047,-0.49346072958988,-0.0957639645834449,-0.18388417725207,-0.0869682806981842,-0.620087682320615,-0.697072381843784,-0.2217058834935,-0.374993488156838,1.18553623731113,0.115382796924971
