"","KPN_RS00405","KPN_RS00705","KPN_RS28545","KPN_RS01745","KPN_RS01895","KPN_RS02470","KPN_RS03250","KPN_RS03580","KPN_RS06040","KPN_RS08300","KPN_RS08310","KPN_RS09710","KPN_RS09800","KPN_RS10105","KPN_RS10580","KPN_RS10765","KPN_RS12040","KPN_RS12380","KPN_RS13735","KPN_RS13740","KPN_RS17585","KPN_RS18080","KPN_RS18380","KPN_RS20420","KPN_RS22280","KPN_RS22285","KPN_RS22290","KPN_RS22385","KPN_RS22525","KPN_RS22710","KPN_RS23625","KPN_RS26095"
"KLEBS_As_1 (GE) - TPM",-0.644328343842472,-0.521826784563227,0.207722737252632,-0.74933891192229,-0.330589978022267,-0.466153061746157,0.0290566253798522,0.434361211742153,1.03520289576116,-0.166607407728559,-0.371547450891406,1.99204302260179,-0.0391131978424764,-0.425234727469426,0.940401733420131,1.49168715616087,-0.293947047444382,-0.166666666666667,-0.0266307986139313,-0.274135470487547,1.19662452990787,-0.557817161100342,-0.657124439799265,1.09281130786878,-0.153085119207631,-0.145590146559733,-0.193181881810226,0.305474152427078,-0.205960713587341,-0.423455363440558,-0.259941982721275,-0.265763130235926
"KLEBS_As_2 (GE) - TPM",0.702973239550573,-0.440877264143093,-0.254021865810124,-0.77730371954476,-0.371464255743392,-0.449740604252294,-0.334970523435349,-0.0479483080037827,0.567306861790233,-0.312807798905855,-0.307470281024207,0.755466528537694,-0.812166240629258,-0.299636114699704,0.634925497565389,0.5875909326768,-0.26370830987588,-0.166666666666667,0.332139613916126,0.155769321536094,1.32458674010779,-0.568132075114068,-0.607979598150631,1.69109184733179,0.0250289641972347,0.514400170393475,-0.248959268254708,0.166620540239275,-0.182466403676607,0.721587324539761,-0.729808060177695,-0.656174324210889
"KLEBS_As_3 (GE) - TPM",-0.775075694457955,-0.422163326870819,0.70408212082033,-0.790704707432869,-0.21256760790972,-0.319797523986771,-0.425588140011392,0.646416565950003,0.850401806488098,-0.206138955513581,-0.346514016689435,0.262441169997034,-0.767881023939281,-1.27843911504347,0.538995468268027,-0.353896427223663,-0.54259715433388,-0.166666666666667,0.924815684911953,0.0470884456195642,1.45523388329141,-0.510775625820488,-0.416175015778801,1.2585983980178,-0.148814956551924,0.208882232932826,-0.129637883341631,-0.0968877693843792,-0.104771890173986,0.040436924908521,-0.0375264600428232,-0.332447099967683
"KLEBS_Bs_1 (GE) - TPM",0.542481583284309,-0.162064546196948,-0.350882333153954,-0.206729438928634,-0.0469417100745587,-0.336222963195766,-0.694467273348047,-0.0384979536170793,-0.206836696331672,0.220579819043493,0.597059127378593,-0.14270325133895,-0.435079638748618,0.19727455549499,-0.505822352812148,-0.605255984039106,-0.297462894629082,-0.166666666666667,-0.546772030302418,-0.323638117112227,-0.0746324816738286,0.307323184219903,0.865418410890072,-0.660904926115446,0.0148608872876612,-0.169528689336192,-0.362907622166441,-0.25119626221615,0.145594209383219,1.11697845616665,-0.150830341690646,0.138717521674191
"KLEBS_Bs_2 (GE) - TPM",0.811853265516682,-0.0122814616355225,-0.316555719253122,-0.268411676807337,-0.0852657497289637,-0.350030766455397,-0.679767024803429,-0.445396728734047,-0.163802153126073,0.511129865537589,0.743284218589642,-0.28495782890228,-0.618978870314805,0.404428382989343,-0.468389035535168,-0.60129426342416,0.352836512088735,-0.166666666666667,-0.442586073854834,-0.17308043828568,-0.341929148680905,0.174210078435726,0.381673310935404,-0.722304266474413,-0.117994396137234,0.2171693936414,-0.343495114875938,0.123926407062981,0.287165920888713,-0.0591982661259415,-0.363952692540603,-0.0464147789675727
"KLEBS_Bs_3 (GE) - TPM",0.891824150672733,-0.0741620144921382,-0.382475346640946,-0.497420310253099,0.110297127047135,-0.294547004998068,-0.645893699733732,0.219776432916535,-0.186773237134534,0.526181366817972,0.402366805426983,-0.620443987322227,-0.435381455193798,-0.565779463938851,-0.245446399249455,0.956516049835296,-0.390129052470997,-0.166666666666667,-0.675551640339457,-0.268513987899824,-0.299242459937036,0.497104739991991,0.544325200804618,-0.683727527975952,-0.0860129047772418,-0.407310151286793,-0.319885248222482,-0.238629203143449,0.0185883265796595,-0.167618917345417,0.298908843003449,0.0888604330408984
"KLEBS_Ctrl_1 (GE) - TPM",0.250290956937609,-0.210270146981115,0.916638328934252,-0.444895888178665,0.494419047172147,-0.35825377753306,-0.674388733948423,0.322023850550732,-0.123525670865848,0.424136061314509,0.220745787571129,-0.290316497105754,0.21409129307117,-0.829598859206507,-0.676237338810594,1.31981932088419,-0.537759245023305,-0.166666666666667,-0.654842619020216,-0.332959158001938,0.130151608042832,0.666804266952318,-0.252290231054909,-0.706252336588531,0.0844008236420307,0.442932891878331,-0.155692344127026,-0.830356454121316,-0.203228316858789,1.03506968168347,0.17599907707604,0.357637835601624
"KLEBS_Ctrl_2 (GE) - TPM",-0.0341753153723594,-0.175297940267225,-0.769322907415673,0.183221920961469,0.33056088711044,-0.386497268591443,-0.70122094204879,-0.436382026932563,-0.356127369043875,0.218839734087713,0.275261822183387,-0.095741913955941,-0.0276406089355063,-0.24651669322579,-0.675853569140694,-0.543385658206463,-0.249119600392797,-0.166666666666667,-0.763659879060425,-0.368402311347776,-0.193059114391807,0.435377347248094,-0.262846200795039,-0.782066507834483,-0.268352678611843,-0.147761382108168,-0.357375945109916,-0.342712546978668,-0.283292388615721,0.106090598844319,-0.356211842852734,-0.325888845671574
"KLEBS_Ctrl_3 (GE) - TPM",1.43044794329411,0.00180806454449483,0.551329379190151,-0.606841467909286,0.056591417956377,-0.383078237588208,-0.684845200616527,-0.533992301411903,-0.187357284845801,0.219654784501958,0.262682203564729,-0.33833095520936,-0.719115135648087,0.489733579493835,-0.0380945532181496,-0.876950844533635,-0.418486026285637,-0.166666666666667,-0.731846624087899,-0.138869728301099,-0.14021863097948,0.666648082386538,-0.334470489976895,-0.661515528053346,-0.0179300162281558,-0.447981560375616,-0.349211443686893,-0.701270997354674,-0.244174669398735,-0.846006429600388,-0.156285987104886,-0.0757546363031631
"KLEBS_Li_1 (GE) - TPM",1.62395822167653,3.07644288868216,2.00346870742673,2.96691637726549,2.69679536599874,2.69463787105167,3.1965004573476,2.38899373167483,3.10487718782862,2.66890846161745,2.89616294297637,1.8323574564285,2.65901919661989,1.13572186704708,2.72231770248923,2.58733179384523,1.19635860816183,-0.166666666666667,1.8883944844958,2.37160863759626,1.97341954513469,2.33869001888127,1.93591680837512,1.81986258019152,2.56132848485202,3.3898346883467,2.93677871946786,2.77440814984682,2.73688238383554,1.21401895482414,1.20274142574906,2.25691176029168
