"","SPD_RS00325","SPD_RS00440","SPD_RS00475","SPD_RS00480","SPD_RS00485","SPD_RS00570","SPD_RS00575","SPD_RS00580","SPD_RS00880","SPD_RS00885","SPD_RS00925","SPD_RS01535","SPD_RS01540","SPD_RS01545","SPD_RS01650","SPD_RS01830","SPD_RS02000","SPD_RS02025","SPD_RS02255","SPD_RS02555","SPD_RS02565","SPD_RS03140","SPD_RS03290","SPD_RS03295","SPD_RS03300","SPD_RS03305","SPD_RS03380","SPD_RS03385","SPD_RS03830","SPD_RS03920","SPD_RS04115","SPD_RS04555","SPD_RS04585","SPD_RS04785","SPD_RS05340","SPD_RS05395","SPD_RS05400","SPD_RS06035","SPD_RS06040","SPD_RS06045","SPD_RS06630","SPD_RS06650","SPD_RS07780","SPD_RS08290","SPD_RS08295","SPD_RS08300","SPD_RS08305","SPD_RS08575","SPD_RS08580","SPD_RS08585","SPD_RS08590","SPD_RS08595","SPD_RS08600","SPD_RS09095","SPD_RS10300","SPD_RS10305","SPD_RS10460","SPD_RS10465","SPD_RS10710","SPD_RS10715"
"STRPN_As_1 (GE) - TPM",-0.526085221024948,-0.871050131230033,-0.373565019083134,-0.353927811214073,-0.384615150044848,-1.07519526556749,-0.212705829649218,0.236526609483693,-0.352508320574184,-0.228481445402394,0.195269807025113,-0.412670295488004,-0.339493597098823,-0.26574558575579,-0.654473472082783,-0.229047466401577,-0.574468494053392,-0.22004915322942,-0.568160633427333,-0.475956172455723,-0.460366520520362,-0.623797264684626,-0.264514812923156,-0.137517041117316,-0.076901494954311,0.0500746870774392,-0.584091878551059,-0.877255572491165,-0.519687146321568,-0.549766429352768,-0.336010921115875,0.210765310284251,0.459423726503374,0.767013259759205,0.224358015680445,-0.580561196397955,-0.508167429507649,0.0644318077968665,0.694506986175985,0.916093389512208,0.390516496293258,-0.235542255839986,0.150502999614932,-0.545244654872557,-0.0907753096464634,-0.631824338803774,-0.771818573480557,-0.341278426992039,-0.261744945029723,-0.544472475430914,-0.6483466684725,-0.0462196657768639,-0.114256602205568,-0.776214033731707,-0.501625103285656,-0.958429778099309,-0.633103552211036,-0.625203427785709,-0.379300234560401,-0.508911737391055
"STRPN_As_2 (GE) - TPM",-0.481243505721227,-0.867912334195023,-0.375013427029142,-0.294977133152523,-0.384991890546139,-0.858383572227582,-0.0485889856404932,0.240076746461228,-0.0876383210416938,-0.519580942986919,0.203263515993704,-0.729362388959133,-0.300582578793629,-0.291880247585203,-0.680355151211118,-0.384439228259358,-0.559173175517206,-0.233371916560498,-0.529811351162815,-0.337394553289425,-0.360211884844901,-0.63561926744494,-0.340388283452523,-0.205454851461196,-0.186882140006302,-0.0628729122052271,-1.01549928033488,-0.687986462047984,-0.505755094786096,-0.492998158284282,-0.266034552648291,0.402773650992354,0.155444086283552,0.921969545550137,0.261792951736888,-0.534538430203036,-0.422386500229352,-0.0115574396522011,0.248467562662824,0.258062199942731,0.243833106358267,-0.295509468014703,-0.158777440619357,-0.483612386889027,-0.00632664417085871,-0.667982056508345,-0.786840627621744,-0.342617389004751,-0.218773358929666,-0.531442659766591,-0.610856775027753,-0.234572139219248,0.152507981174197,-0.722112237540649,-0.440049568893902,-0.832222589345004,-0.641797081748031,-0.625330362598027,-0.277478373449168,-0.45170139278888
"STRPN_As_3 (GE) - TPM",-0.647798085377891,-0.970379055213136,-0.359967582971042,-0.353927811214073,-0.368389489729824,-0.975980476483284,-0.716290803209295,-0.331879394627783,-0.515781155028193,-0.335703993221556,-0.612248079146717,-0.191365447903662,-0.35577252291639,-0.30478457024864,-0.734705101994427,-0.568606078660106,-0.662272568688937,-0.421557233677197,-0.566470125111081,-0.273757706334068,-0.288734303547336,-1.16455736412251,-0.464878341984952,-0.435614756489971,-0.529251542378518,-0.425504165461224,-0.970015309164062,-0.874369899554253,-0.647043335450897,-0.680838901623527,-0.694912301840633,-0.27242999458279,0.116648152448885,-0.296707358516611,-0.239593039968521,-0.637914150133806,-0.498427115379378,-0.282433846251337,0.113525184547733,0.399632649315784,-0.32199081156945,-0.0737428628135804,-0.293798042636934,-0.757444198885363,-0.649484987145146,-0.409545249117186,-0.684190922314544,-0.637400445331077,-0.349984833550434,-0.610789383554299,-0.678052355825595,-0.770974382176379,-0.461896696052086,-0.556016389028821,-0.744075794064927,-1.12350333143622,-0.671271254320376,-0.684269866167317,-0.537142231400143,-0.722790597555752
"STRPN_Bs_1 (GE) - TPM",-0.806936614019938,0.324066233885761,-0.375860670481155,-0.353927811214073,-0.3811865130546,-0.640232609765932,0.435714466633772,0.569700480318614,0.284828768541059,-0.520798100110137,-0.13353959164272,-0.879010737802181,-0.492735893655267,-0.269391955552069,-0.676556396614245,0.0193304316501749,0.491812212685147,-0.0425956118311311,-0.602794444987516,0.0224977121972569,-0.344933087890104,-0.201441754034333,-0.191438011636026,-0.264258877202319,-0.185642550194,-0.450283403795737,0.238007012674039,-0.386222691709999,-0.66941313723181,-0.301187956365263,-0.513342473962217,0.617913849122166,3.65072320039916,0.182706460540491,-1.03275803858327,-0.100914075480488,-0.02801119323605,1.68198342466617,2.41643113236124,1.78882845571138,-0.118811116286939,-1.00547319290278,-0.150041742339054,0.444164966145249,0.308239619634346,-0.529294381200891,-0.282241667225929,-0.134572198128032,-0.847919570080362,-0.496894084232357,-0.752740412127702,-0.64078194502854,-0.425033894508286,-0.151969163164276,0.386577052538482,0.0703727087261702,-0.524350088913697,-0.524163795957367,0.243798243970746,-0.179902383177602
"STRPN_Bs_2 (GE) - TPM",-0.70176776819254,0.898279131762414,-0.34199072842526,-0.353927811214073,-0.361694382697151,-0.108589662054566,0.705334103345829,1.17547506250166,0.633719556324671,-0.754852487982843,0.187090998775896,-0.879010737802181,-0.304111115480276,-0.39087079869149,-0.529877890762809,0.167880169307241,0.393034061142851,0.0438371247342208,-0.491380941755341,-0.174543551261217,-0.0559950841836558,-0.303565062703979,-0.264307731590984,-0.209525465994074,-0.269830407929676,-0.451824962456085,0.0492564472492534,0.0732176184426223,-0.365328203855829,-0.19618130427621,-0.305159894486242,0.803796750138206,1.11334367313013,0.174944595960585,-0.990599858341861,-0.0300019104533013,-0.0208180671570701,0.909441857397398,1.34474371760261,0.115012541815895,-0.112663024657757,-0.96537009529766,0.102080600690027,0.481029658351874,0.183717548607418,-0.275444516766849,-0.264250786546449,0.352365702241013,-0.0766784048194314,-0.504993452680668,-0.814232171178204,-0.384669410217656,-0.703918424109058,-0.0836654627409877,1.31632599068679,0.924099328983743,-0.459665921633667,-0.427235832545024,0.624426069485979,0.169286436674452
"STRPN_Bs_3 (GE) - TPM",-0.663773879702716,1.50781444035408,-0.33962354117833,-0.353927811214073,-0.378464724260729,1.32395193576584,0.531425400502463,0.678336849280806,0.884969310993397,-0.158600346923426,-0.795628619814503,-0.879010737802181,-0.617605935405789,-0.326813534701397,-0.596398051404836,0.0696465838616451,1.62791820225281,-0.191300777351112,-0.56165608629575,0.0553301684993353,0.301030367818217,0.0190749134045876,-0.451114870810738,-0.504244896139087,-0.610736099221234,-0.662626730081833,1.34349989901224,-0.532141615847938,-0.506019267010956,-0.651694940169763,-0.540165345651541,0.704760729795942,1.56015796632632,-0.232730859263108,-0.980124333251333,-0.304646702314727,-0.252979598420116,0.418893607481973,0.852693898539023,0.280613511592424,-0.303095254440305,-0.928099053887715,-0.062504156442839,0.0961451284364718,-0.676514525947438,0.0157869205060328,-0.578777144576585,-0.281432693357522,-0.538628247385773,-0.641796187866245,-0.540946978621862,-1.09966074248619,-1.18346706468936,0.527938433539776,0.512708028519572,1.79263327143321,-0.390717423736777,-0.44201250991869,-0.129596471701161,-0.376119546282913
"STRPN_Ctrl_1 (GE) - TPM",-0.554221024777308,0.0556272915546911,-0.379395030669329,-0.353927811214073,-0.380433486937775,-0.791928384416609,-0.137653461390573,-0.266359926843094,0.0648108760412203,-0.0273953656992742,0.533436090868684,-0.292545966052867,-0.33393113209448,-0.346146856085076,-0.434027088340482,-0.413214982973752,-0.530765314482257,-0.30056252698896,-0.290984325694968,-0.517218909067668,-0.434485671407163,0.107180954654173,-0.148945469590975,-0.0189105173046858,0.143614132711203,0.415539010759023,-0.409241065254526,-0.542881641403975,-0.379106941148,0.216061921130261,-0.0880680465469497,0.122815039914822,0.227154955354242,0.963507063415625,0.0253809547640994,-0.329924155748617,-0.248957264110176,0.238545307539361,0.358426287031224,0.771061453161868,0.237713591842068,-0.223880024986593,-0.494762318842288,-0.183172724245743,-0.20078127878151,-0.728887370821031,-0.468575991266838,-0.0709639186160428,0.160710438790588,0.38948565856727,0.095009411226141,1.3478533048405,1.27799609202378,-0.143705927049122,0.152121727590176,0.520554659181009,-0.551899740076869,-0.409990280266773,0.923768558338657,1.08963411774548
"STRPN_Ctrl_2 (GE) - TPM",-0.559056138755814,-0.126620383392832,-0.381778273220272,-0.353927811214073,-0.384469210222494,-0.837971612555236,-0.420100589348748,-0.1911740536083,0.0401820720036749,-0.0994302948963398,0.649978733383014,-0.326099677225481,-0.344028333375773,-0.324176775528113,-0.333308454044055,-0.412823960534993,-0.469217659172524,-0.338609119338265,-0.290915501240484,-0.502688725845918,-0.465082156885735,0.153877084868318,-0.211040465078299,-0.0587179684844464,-0.0320881536188851,0.358890644832265,-0.336196818143413,-0.425276343056082,-0.326080423596727,0.371975844520689,-0.19291192615594,0.135103885854965,0.177450577352048,0.965985854035669,-0.0590114187082415,-0.280512370483255,-0.234190167824758,0.223600584457394,0.334915050988446,0.834057260733236,0.281103187619322,-0.184872790349155,-0.508509326197522,-0.146940147718726,-0.281263237483772,-0.794329979424078,-0.391968391253714,0.0697785761790122,0.202231127995792,0.294128861878768,0.0986981763193087,1.19159302753229,1.41987317530339,-0.206338581885005,0.30017289898324,0.648200681694525,-0.540153083078003,-0.429829258825663,0.92334624149774,1.04330285821688
"STRPN_Ctrl_3 (GE) - TPM",-0.555944491610826,0.0878954213084175,-0.369386623484967,-0.353927811214073,-0.379153680742306,-0.865628425804145,-0.282681365233893,-0.283924767141817,-0.0200077137847047,-0.0880254948026565,0.903626819309286,-0.352099638526668,-0.340109874179063,-0.323735022382592,-0.37070216904856,-0.422867866942639,-0.5230815032917,-0.315614813836151,-0.292056356079337,-0.46758938650105,-0.496698172207926,0.161832868332065,-0.161145995719586,0.0195772150303627,0.0410013877933482,0.450345078872517,-0.34868600133468,-0.356398775376356,-0.335296002053861,0.188540062508092,-0.171429143543547,0.0354498820604106,0.284528421807293,1.10955050787085,0.0437808471279261,-0.246540845082273,-0.246948119930567,0.23746122774804,0.318401670640219,0.802489287540329,0.203956837264145,-0.189875729929045,-0.484632216177012,-0.201957927052585,-0.288252833940829,-0.783611415522156,-0.492866457385315,0.0405594050814873,0.156567660702542,0.341045585706272,0.0548350717336575,1.63697116877715,1.59825398160064,-0.134853526918192,0.238009189660733,0.823117056057275,-0.549663623517331,-0.455738420840244,0.899031137068805,1.10997958228242
"STRPN_Li_1 (GE) - TPM",-0.532468203303984,0.294096945626594,-0.354414032375593,-0.303917296283419,-0.369719529534316,0.0478046436708606,0.371294338546001,-0.387535259976905,0.763767308048891,-0.723099068166225,-0.429269691755467,-0.625103870905401,-0.380301356084799,-0.386034512706868,-0.479099110898827,0.297300997606185,0.106313469676285,-0.367606530265035,-0.646386306083419,-0.514638042069936,-0.488631134818908,-0.472836489038243,-0.336846006957276,-0.0443114341321338,-0.27943841050608,-0.349586990690492,-0.182228142282149,-0.42849697827243,0.576889183071464,0.532599913248873,-0.0965451954676758,0.838061951810763,-0.266752965235337,-0.691394013605235,1.02314018492078,-0.393657036521163,-0.212759375342363,-0.26672204807258,-0.451686154115495,-0.369669039342627,1.1961794451619,-0.569166321235743,-0.230559831877832,1.34412160941581,-0.0952738955516299,-0.0981122323305832,-0.165227044741461,0.0865310396069208,0.217877608734394,0.0759271034477219,-0.286247600941544,0.481073043540786,0.909227092683003,-0.488741829323155,0.266719574048236,0.195721596124257,-0.567969209248262,-0.462011501711123,-0.303837829297489,-0.134610521519147
