"","NTHI_RS00130","NTHI_RS00145","NTHI_RS00155","NTHI_RS00160","NTHI_RS00165","NTHI_RS00170","NTHI_RS00175","NTHI_RS00400","NTHI_RS00460","NTHI_RS00610","NTHI_RS00990","NTHI_RS01100","NTHI_RS01280","NTHI_RS01285","NTHI_RS01320","NTHI_RS01325","NTHI_RS01330","NTHI_RS01445","NTHI_RS01450","NTHI_RS01455","NTHI_RS01480","NTHI_RS01555","NTHI_RS01560","NTHI_RS01570","NTHI_RS01575","NTHI_RS01650","NTHI_RS01655","NTHI_RS01660","NTHI_RS01675","NTHI_RS01715","NTHI_RS01790","NTHI_RS01865","NTHI_RS01885","NTHI_RS01905","NTHI_RS01965","NTHI_RS01970","NTHI_RS01975","NTHI_RS01990","NTHI_RS01995","NTHI_RS02080","NTHI_RS02085","NTHI_RS02090","NTHI_RS02095","NTHI_RS02130","NTHI_RS02190","NTHI_RS02305","NTHI_RS02390","NTHI_RS02455","NTHI_RS02550","NTHI_RS02745","NTHI_RS02750","NTHI_RS02760","NTHI_RS02765","NTHI_RS02790","NTHI_RS02795","NTHI_RS02955","NTHI_RS02960","NTHI_RS02990","NTHI_RS02995","NTHI_RS03040","NTHI_RS03100","NTHI_RS03120","NTHI_RS03125","NTHI_RS03320","NTHI_RS03375","NTHI_RS03430","NTHI_RS03435","NTHI_RS03440","NTHI_RS03445","NTHI_RS03575","NTHI_RS03605","NTHI_RS03805","NTHI_RS03840","NTHI_RS03845","NTHI_RS03870","NTHI_RS03925","NTHI_RS03950","NTHI_RS04035","NTHI_RS04040","NTHI_RS04045","NTHI_RS04055","NTHI_RS04080","NTHI_RS04140","NTHI_RS04145","NTHI_RS04150","NTHI_RS04245","NTHI_RS04295","NTHI_RS04355","NTHI_RS04420","NTHI_RS04425","NTHI_RS04910","NTHI_RS04915","NTHI_RS04930","NTHI_RS04935","NTHI_RS04965","NTHI_RS05015","NTHI_RS05040","NTHI_RS05080","NTHI_RS05090","NTHI_RS05095","NTHI_RS05135","NTHI_RS05140","NTHI_RS05145","NTHI_RS05150","NTHI_RS05160","NTHI_RS05350","NTHI_RS05355","NTHI_RS05395","NTHI_RS05490","NTHI_RS05505","NTHI_RS05510","NTHI_RS05560","NTHI_RS05565","NTHI_RS05635","NTHI_RS05670","NTHI_RS05770","NTHI_RS05810","NTHI_RS05820","NTHI_RS06055","NTHI_RS06080","NTHI_RS06205","NTHI_RS06345","NTHI_RS06355","NTHI_RS06380","NTHI_RS06390","NTHI_RS06395","NTHI_RS06400","NTHI_RS06405","NTHI_RS06540","NTHI_RS06550","NTHI_RS06555","NTHI_RS06585","NTHI_RS06845","NTHI_RS06850","NTHI_RS06855","NTHI_RS06860","NTHI_RS06870","NTHI_RS06875","NTHI_RS06880","NTHI_RS06900","NTHI_RS06905","NTHI_RS09685","NTHI_RS06975","NTHI_RS07355","NTHI_RS07360","NTHI_RS07540","NTHI_RS07545","NTHI_RS07550","NTHI_RS07555","NTHI_RS07575","NTHI_RS07595","NTHI_RS07600","NTHI_RS07605","NTHI_RS07620","NTHI_RS07700","NTHI_RS07710","NTHI_RS07730","NTHI_RS07740","NTHI_RS09730","NTHI_RS07860","NTHI_RS07865","NTHI_RS07875","NTHI_RS07890","NTHI_RS07895","NTHI_RS09735","NTHI_RS09740","NTHI_RS08145","NTHI_RS08185","NTHI_RS08190","NTHI_RS08195","NTHI_RS08215","NTHI_RS08230","NTHI_RS08235","NTHI_RS08240","NTHI_RS08325","NTHI_RS08330","NTHI_RS08410","NTHI_RS08425","NTHI_RS08430","NTHI_RS08515","NTHI_RS08520","NTHI_RS08810","NTHI_RS08970","NTHI_RS08975","NTHI_RS08980","NTHI_RS08995","NTHI_RS09000","NTHI_RS09025","NTHI_RS09140","NTHI_RS09145","NTHI_RS09150","NTHI_RS09170","NTHI_RS09215","NTHI_RS09220","NTHI_RS09255","NTHI_RS09270","NTHI_RS09285","NTHI_RS09290","NTHI_RS09370","NTHI_RS09410","NTHI_RS09480","NTHI_RS09485","NTHI_RS09490"
"HINF_As_1 (GE) - TPM",0.372347526331098,1.14475091520923,0.342461462391137,0.364579529559514,0.0513622105201938,0.018694440812956,-0.125861518228751,-0.516584934449253,-0.174077655955698,-0.248545435911496,0.202961622788207,1.07443821981998,0.131288242727665,-0.000413732001658841,1.24210032393193,-0.190671404002221,0.312907701931365,-0.0445999538795943,-0.065965749488911,0.820203722459214,-0.783699082650551,0.448978172096509,0.528285650201062,0.0063554858635138,-0.472881006808877,0.618144436018808,-0.117258485672962,-0.0178744683676604,0.279039254551901,-0.238213712022398,-0.349387142841419,-0.05653014150536,0.947225166774771,-0.176044228543806,0.229243522088204,0.398709119175949,0.446170148860632,0.148790181251018,-0.383998822847576,-0.408177675974289,0.303487553196589,0.0148517012481756,0.412638756047217,0.602531737893795,1.02220099000782,0.872717663232909,0.337139393808867,0.355208718425544,0.152739775209512,-0.224009162440536,-0.225968940555255,-0.392096442979788,-0.0245048894461863,-0.564817002443832,-0.371490474520013,-0.436940396453103,-0.702075404526665,-0.174077655955698,2.6450381516824,-0.255199727985085,1.17353132147029,0.556732482608928,-0.301287372561361,0.34614777392165,0.760938440052505,0.0685340763154117,-0.423019905726662,-0.285700088823736,-0.206249397791636,-0.782055365434984,0.723238064961139,0.301256333824429,-0.26227996053977,0.737724297226213,0.41604352983864,1.91935403028145,0.93713064035394,0.111391885189467,0.305878855687562,0.284399515102474,0.135197591748613,0.118979139011504,0.0526789473899091,0.0180161755905743,-0.905013424172347,1.09492861914128,-0.881539137537768,0.468570612784968,0.598076665630121,0.418360732956869,0.592042326820857,0.551328839690736,1.38421063993983,0.0663591199804245,0.237016716728542,0.471865822722373,0.791421873330288,-0.119047502800152,0.444280944727212,0.389738248763176,0.551912005452899,0.24233946310975,-0.0115463568545422,0.162056215280342,0.561722189612223,0.279973753288345,0.229884112537378,0.663120861667781,0.652690401000983,-0.0214420478474511,0.273928043074429,0.273686570814442,-0.111305146876269,0.141191995503581,-0.663403247752856,-0.382433742064493,-0.428514096735816,-0.0225217259569685,0.768505827496228,-0.0234406685228344,-0.435493891076608,1.63608568034645,2.26807193995494,0.302374520497813,-0.0906420919796492,-0.450069728593639,-0.20351717389162,-0.167426057327814,0.153543574588092,0.226245453087293,0.738297278539226,0.524655653710471,0.233819673648972,0.333454748469599,-0.565084052782497,-0.0742089437117153,0.355269864634582,0.234037143923771,0.450908548164321,-0.413226610212932,-0.282977500843387,0.65460451525467,-0.245546845306966,1.03097821063351,1.01505020447519,0.191687544469298,0.188610429787961,0.138720976951135,-0.0803770951649463,0.152579500816757,-0.476589595838235,-0.483190523250803,-0.164026352604849,0.718739922041711,0.116376804960062,0.570397942645941,-0.0936511146538671,-0.53652204238434,0.564580823515805,0.451511975716392,0.172491781088438,-0.399106459015857,-0.148724165222854,-0.17451107429547,1.40081356432887,0.694002949607256,0.535143323403553,-0.0751065835724354,0.229612800051525,1.46998339748113,0.709724340076497,-0.265148328688306,0.226881021409648,0.486778397726402,-0.103401218445318,-0.436606432901965,0.296750222220165,-0.223125951009664,-0.0981069220984547,0.576856143018499,0.139338993964444,0.0602191319802314,0.0161532006573143,-0.231858999742026,-0.635483814112903,-0.139629890844304,0.297831871318779,0.138953077306716,1.94260289952686,-0.425921513371929,-0.258723922701548,1.10232489477739,0.240245392592887,0.187037590760726,0.533689675108147,-0.411658252768554,-0.285110215054606,-0.322125275557903,0.0902879480070239,-0.266150447917681,0.613034454452448,0.618195082986263,0.925459272791686
"HINF_As_2 (GE) - TPM",0.620022120916512,-0.501663857013293,0.369403288068896,0.700035802453802,-0.158049894003777,-0.203033362185321,-0.0675491191650452,-0.489672607266067,-0.174077655955698,-0.248545435911496,-0.202132308958187,0.518836240133597,-0.288202115421695,-0.0168984234280353,0.40853912052908,-0.24065190354639,0.290132289812656,-0.377353414898913,-0.304930933910163,0.676274530285492,-0.789287555866156,0.4202139859835,0.313638696854808,-0.644548002636438,-0.421415375256956,-0.017064029832307,-0.42666340809107,-0.252425033623374,0.0407599577947392,0.22929455106854,-0.193279115729331,-0.0998750506396748,0.690829815344008,-0.2320612419189,0.2873433197868,0.405770077255649,0.513894183997913,0.0976363898477767,-0.111667729963832,0.237926531213845,-0.0648684409561729,-0.265621466331747,0.4254825772388,0.278948767172614,-0.00388841629455447,0.0126178777160456,0.233286854414234,0.0161655993645643,-0.192869882883812,-0.744669581135621,-0.426417024003277,-0.493952833714724,-0.344265525807389,-0.628327253147909,-0.349613112272167,-0.508795195650187,-0.763047429748761,-0.174077655955698,-0.287655047168728,-0.169512906843948,0.937661446373028,0.57202422179445,-0.438662872424039,-0.0508256269164092,0.477571474203398,0.440814936707861,-0.213967767843647,-0.434272737031631,-0.355783922126878,-0.751808798316676,1.46062471447958,-0.185493365145877,-0.308906155335941,0.638377747938447,0.124748397550741,1.28607452435514,1.21379656208845,0.152323232497557,0.293856727939666,-0.239117392367769,0.188830606885376,-0.101270001046216,-0.229524401872937,-0.297254584541464,-0.518182074518694,0.32086845443838,-0.950231090963859,0.603878580950407,0.591010379167383,-0.00655424149817395,0.0188246423682627,0.749488700756798,1.34701197291427,0.0247471052034831,0.282338397661678,0.600010430082459,0.414704454620451,0.0891442232242065,0.410966198343295,0.410023223084143,0.491185867606386,0.433103322518845,-0.0623192770777917,0.495404744750235,1.1866452836729,0.491286816410608,0.342100955185545,0.381118510094305,0.868973299906765,0.815403116537699,0.404524696661599,-0.200326506314583,-0.351780339591133,-0.209893587961439,-0.300580225368019,-0.41862824729148,-0.386260936245574,-0.278301327141982,0.663192737543096,-0.367196647360477,-0.660973052163667,1.1550813182803,0.970997948065139,0.510128762389559,-0.150459338349271,-0.523303209342798,-0.399411156207329,-0.31984594423486,-0.0150548189173838,0.175002850131898,0.0332130519458541,0.0416861842390202,0.268565609657055,0.300223565380655,-0.498421245848482,-0.230891785874337,0.118670471837722,0.0281113001550189,0.0876869711367191,-0.327383710002405,-0.289007132611016,1.95189378690728,-0.291648423912779,-0.226973135083059,0.643435557430482,0.398389608392544,0.0695894996106354,0.234392085056927,-0.158728368690835,0.0460134804353528,-0.330361662512533,-0.329182533050782,-0.0582684330781954,1.25381934149395,-0.323100686230628,0.755677631445025,-0.203818110028811,-0.162972117378716,0.05158231483247,0.146942017131473,0.0447000229942535,-0.408693048687838,-0.346396471803058,-0.446952373951679,0.76192523586639,0.815539583761184,0.689351241161005,-0.200951087394706,0.386708269362608,2.22896332954574,0.746596933521225,-0.0981748774097023,0.506366533259982,0.81124911460594,0.0979817263007531,-0.364140346745984,-0.0810129193076387,-0.0436856755076067,-0.0510971724211549,0.26419450902779,-0.151691659365783,0.155267255125832,0.0468178901068423,-0.406519709254995,-0.123465908628166,-0.0148825129347616,0.599226657569545,-0.442594918918569,1.64438480005297,-0.4253577849793,-0.183760240128079,0.720686074618807,0.457372592816125,0.175902105536818,0.000275354314407886,-0.558618103450531,-0.287725804549938,-0.324274622704894,0.326738615297362,-0.2942080069961,0.355143223491911,0.296296298920689,0.479909926394966
"HINF_As_3 (GE) - TPM",-0.992788816362812,1.38834718973811,0.699442725554247,0.543971297649009,0.876091834168639,0.350128221018943,0.0845016880241956,0.201642559430262,-0.174077655955698,-0.248545435911496,-0.075284762792099,-0.264272691724003,0.973723112381266,0.377048391233351,-0.361687485794111,-0.7526740926027,-0.23474478619687,0.473217170784048,0.736379633014463,1.05905800666191,-0.740242212462052,0.0129575177002039,0.0896704432395229,0.246772431852484,0.172773091766553,0.5651674594166,0.0221259066319728,0.205760969220197,0.625099536764268,-0.123414436698439,-0.16002279912516,-0.0127683373121092,0.497044005316044,0.0737393858188107,0.457932661803013,0.614529177514236,1.0156688300943,0.163268850756106,0.416044378333208,0.667443399522403,1.5413143981577,0.854751155989098,1.02428056520031,0.533012935046358,0.028305665085176,2.15773862339329,-0.223864683519216,0.467730474120797,0.918782665001763,-0.451677876628091,-0.161729592410268,-0.51010948387019,-0.296558380510843,-0.798242791115619,-0.243437587988729,-0.764960399806084,-0.890406516741768,-0.174077655955698,-0.287655047168728,0.305795832314388,1.08060352157663,2.01089779996688,0.881082536424181,0.00379488301424545,1.6697645048153,0.80917939430035,0.156879826234749,0.34218073586597,0.375296268306378,0.354426605853683,1.21611676535538,1.12875704830719,-0.955804884705641,1.03928055640929,0.475333352803682,1.06085060798508,0.547228774651716,1.06471197619016,0.897933766292843,0.272147173752372,0.00660654915592928,-0.0061816373835813,-0.223481318637944,0.213702793857124,0.4319996190005,0.16691279151852,0.0675288187636637,0.75638773549532,1.19879454330652,0.578450422139346,0.132213828111029,0.682159687203037,0.620297769100807,0.813228848598343,1.90526209023159,0.291544847204986,0.754649501420646,0.611841291376513,0.244079802570836,0.574119522666977,-0.356684053086365,0.62270361421274,0.769667945696351,0.638240687051122,0.94300749695008,-0.365294422755742,0.262291693907643,0.906197226383975,1.01296811255056,0.610382459516993,0.540453921976922,-0.263679747923243,-0.387692103275326,0.117676812952915,1.74382948158123,0.159831614245298,0.605897212865134,0.664529961172024,1.27682356293667,-0.120984727711601,0.0359330208004523,0.366182200644234,-0.0330907979658988,0.103192433705997,0.0720790097715214,0.368461838418672,0.128977219308099,0.153060932990448,-0.0121422120852152,0.219231569264065,0.117652950744646,0.354845223713845,0.181274193189585,0.542393958939581,-0.244305854451658,0.40850221085745,0.939381970579275,0.398612043759825,-0.150232653113792,0.461867119377548,0.105827532894682,1.16269329568698,0.164417847041086,-0.0863079568292931,0.304602570763952,0.638539952991641,0.900814049569506,0.555332774574549,-0.710151828299529,1.00246204588278,0.282977618892761,0.698617008204139,0.809758790165115,1.26941264470334,0.22255055476048,-0.48658443323559,-0.0323280795021824,-0.333291498166603,-0.20689310324071,0.649108849809794,0.382397308561259,-0.13014349190864,0.0164862260367451,0.403783380860277,0.755754808278285,-0.0748742166551847,0.590762230872734,-0.0676587636210528,0.548732639808783,-0.0478120494358917,0.713671550433747,0.64606711466695,0.740620149613725,0.795220401747424,0.586155427686142,1.17617003075604,2.03115875802718,0.451969459238734,0.809720931073535,0.339856039742792,0.273895298990036,0.0977065470197008,0.242879418033955,1.16584266552849,0.142407280635257,-0.319534657316454,0.204612137426419,0.828778444972567,1.652576233022,-0.248051735844501,-0.0553157736803904,0.20665089029198,0.78492166175142,-0.100523592942894,1.22390621086361,-0.193450690511244,-0.182840083975426,-0.291384489807246,1.63455448482261,0.267741101246777,0.486966961178163,0.272572090772018,-0.375687013054048
"HINF_Ctrl_1 (GE) - TPM",-0.0321442366055857,0.129926606930714,-0.115115331430619,-0.228875353755868,-0.0820258179105037,0.148878305823,0.0279007786727655,0.227686597371812,-0.174077655955698,-0.248545435911496,-0.546832122565175,-0.271735644168143,-0.000774187833013933,0.530992490808471,-1.09968175534028,-1.07717675631291,-0.779430645475872,0.567602685684906,0.333368032071114,-0.438278186741431,-0.683597236403574,-0.19204281833026,-0.00858524092335349,-0.676643542123281,-0.162808909856923,0.850179242175252,0.648455432228271,0.159662909626031,0.0536314826541016,-0.74550792687843,-0.926376995185226,-0.305041728314283,-0.197466787699061,-0.623931186715131,0.0915503143998493,-0.148211531277918,0.0304089066764386,-0.673742148479469,-0.887933951998986,0.0830953875157838,0.450546658219121,-0.61197410274201,-0.200829419493371,0.34516002155399,-0.537839134023904,-0.0187390503075323,-0.166634437736918,0.17954109162053,0.367720576531734,-0.761966140998115,-0.535317779657284,-0.497553634374324,-0.434766732644448,-0.796821940567238,-0.430921152458468,-0.816201379912671,-0.854505582701314,-0.174077655955698,-0.287655047168728,0.451907793138775,-0.228628993968548,0.753241304793469,0.312289435878344,0.11740767811479,0.115806585945161,-0.521053957835439,-0.433895779871884,0.169040704720642,0.280618516996522,0.872415211139742,0.966086658320724,0.790919566154869,-0.762863534406106,0.551917642850037,0.511477042744698,-0.335890917507109,0.26419603708649,1.03582322395893,0.296766744585937,0.0487120973050526,-0.373446420646876,-1.09105667213989,0.789750528458693,-0.0686164392269665,1.11528613459745,-0.556624554220481,0.0513717476389918,0.677532483509829,-0.0200754507455466,0.557389388820094,-0.441504808869733,-0.518221442650565,0.196045441510005,0.647077931984584,0.917688968531544,-0.560538286246113,-0.176494171449611,-0.0434528643626666,-0.285981631413585,-0.217267470805698,-0.287198443034815,-0.427041496253152,0.00459949449241021,-0.295896530401466,-0.851556716071125,0.307306946274116,-0.167237217068123,0.91113970915738,0.773246425681436,0.522331641557042,1.20822421030068,-0.659606134611651,-0.393807732105397,0.223191733892185,0.310271482911374,-0.042363903821059,0.810747777263079,0.647179089522024,-1.36230826643415,-0.162555418415862,0.0967300483570644,-0.48768588247221,-0.410281444715457,0.397316220012359,-0.199046085473897,-0.114574180764205,-0.423200255911144,-0.62111564326924,0.378164673822971,-0.301010543993959,-1.0384243185065,-0.516552320644129,-0.030366164882815,-0.671253134965755,0.103851386239633,-0.355791467925916,-0.868550367452877,-0.492461801043133,-0.0596042704108533,-0.00776313796466352,0.269458541567849,-0.328636372614756,0.479190341934462,-0.683463410056921,-0.0320473110751159,0.586854778726796,0.377569407371753,0.0693074231040165,-0.266434661544805,0.426087932083299,0.0169491189205684,-0.286673731994041,-0.185737699256642,-0.101035128998409,0.771518086026486,-0.0762147713962026,-0.299009204539032,-0.68136608778641,-0.655964627962824,0.605079267280574,0.826790106160536,-0.239967221629575,0.35947457751073,-0.017045565093582,-0.431543641378192,-0.677638171321901,-0.789060661094244,-0.121335639585601,-0.292771559419172,-1.35584900159171,-0.861141041003937,0.324536047416017,-0.301020638807265,-0.410430290647503,1.32897752184997,0.388559752314663,0.431375937040967,0.113599695154906,0.201193863140709,-0.446089754264934,0.0171671742884807,0.0314189320420975,-0.325535983099727,-0.77813240501818,-0.0102401270576689,0.180288792815825,-0.512338608897286,0.466581903483191,0.673702108677612,0.0374174193159494,0.203940946670834,0.319832658348298,-0.203696774035211,-0.245816218420177,-0.109297442897035,-0.093392374685131,-0.105185543962979,-0.321639579975857,0.26693890690166,0.268208690946147,-0.184743688778399,0.184444162992244,0.142492051473581
"HINF_Ctrl_2 (GE) - TPM",-0.421055003924047,0.344555122172625,-0.529568018868919,-0.130731573906981,0.350702932790288,0.437863874788636,0.683694497453788,0.769231963026611,-0.174077655955698,-0.248545435911496,-0.469300316554926,0.899069238894348,0.442828979162492,0.0830101517190395,-0.580415735062178,-1.0355823096727,-0.61972258950112,0.483605239827836,0.434718225318547,-0.613146550557254,-0.781003047683076,-0.225879744812529,-0.267169250175187,-0.802197154027363,-0.16026332226212,0.372393093426547,0.529206988030614,0.434997090198273,-0.41584298886641,-1.03554161507834,-0.929924343633901,-0.373237760368746,-0.050472995790884,-0.533504091898009,-0.206721429234728,-0.258467203181092,0.272124323879945,-0.858880938867164,-0.663544315981635,-0.0647148173928124,-0.311137090695299,0.453630553407927,-0.704396879459459,-0.37457149320911,0.695055019889989,-1.78535960535082,-0.201179107237044,0.399813038228938,0.270952745090342,-0.88031534268109,-0.20199810559184,-0.299026382395307,-0.265171155865184,-0.823858040622146,-0.553951119852658,-0.783734570847382,-0.782203909901762,-0.174077655955698,-0.287655047168728,0.370053565477291,-0.726636296796984,-0.271072561770194,-1.16111930675361,0.522090825073838,-0.475022689747142,-0.219107228556603,-0.417636080099242,0.240856886569506,-0.322186864057668,0.786625362044314,-1.25808634001616,-0.49938906919358,-1.04477558128101,0.828416805767979,-0.64995314853252,-0.457048607040574,0.822345491862416,-0.0648197821608222,0.149676494051669,0.106564798904184,-0.0953714451089786,-0.813037860143371,-0.131602706465116,-0.773188440359378,-0.154216465703877,1.2769207535726,0.492790002840227,0.441831703976957,-0.305942728563167,-0.286499645041796,-0.742841949962871,-0.554830279697434,-0.188656952254907,0.0848955679153838,-0.22555959383153,-0.852247500527294,-0.146715849840936,-0.451962140127492,-0.234334294163113,-0.121602910411826,0.107184667599302,-0.442675228362274,-0.0384840836228808,-0.0496383525962733,-0.571804271638531,-0.142581652673776,0.0912046289731382,0.569063114540073,-0.702056077381016,0.129761712178411,0.491782435952655,-0.503710733873587,-0.509143341007425,0.845432846645587,0.351832988752853,-0.0790720591526853,0.504258927781388,0.24434160537204,-0.848215530293481,-0.566804818584596,-0.324619060803556,-0.666667657369778,-0.890033322741464,0.679346884735513,-0.477153914607968,-0.0709406371599319,-0.810681755427611,-0.787578897694846,-0.0631996123493287,-0.133199815283373,-0.0771417267105216,0.101205404487859,-0.701744048712811,-0.959575735915923,-0.19122680477549,-0.611134909285719,0.45642145880386,-0.0204162758340275,-0.585972292384558,-0.18850924922896,-0.066136900646419,-1.39226517177704,0.262944684459299,-0.449868159880107,-0.776271250152395,-0.210338470307064,0.182645181475001,0.396769084607528,0.272622565013973,-0.053944649286743,0.0112123035139896,-0.0502849109289709,0.250005230348561,0.45874021753434,0.93598716290549,0.901399642213923,-0.348284647114291,-0.401692447568537,-0.304086860490321,0.664730774297422,1.18267009335418,-0.354267362108646,0.130116839109161,0.713147899642211,-0.973982039582041,-0.982161169481961,-0.864094422339327,-0.62218494804383,-0.569701381063634,0.23665782773832,-1.03631778325619,-1.07643124041872,-0.281060444389548,-0.245301851881692,0.54415242048974,0.574227268935788,-0.490631357286501,-0.0353732728090441,-0.183993452171254,-0.53666968218809,0.10808537081651,-0.223009008225481,-0.0848462768350618,-0.477497341183116,1.1831572965684,0.800396345588817,0.57250052253543,0.288034773109413,-0.877999467702167,-0.219491473833717,-0.150653657067963,-0.452151111994486,-0.51471496262833,-0.588576642263791,0.149236941843725,-0.178309565651214,-0.59996271803841,-0.322007141735215,-1.55087754545507,-0.0798169878816441,-0.153019466596612,0.270855866147125,-0.224559611616815
"HINF_Ctrl_3 (GE) - TPM",-0.758709424451184,0.120119161551104,-0.22341759958434,-0.590259089738169,0.0504851940165127,0.228642434935294,0.300983203693108,0.183559732076158,-0.174077655955698,-0.248545435911496,-0.525772563858088,-0.0757685257872136,-0.0679117446888932,0.152366755806266,-0.634517828575818,-0.571032353851827,-0.408186839291623,0.813403914151356,0.189763840121231,-0.957185261247725,-0.737310159493099,-0.228397399400059,-0.263342610800625,-0.817254835660654,-0.2300908681999,-0.769740560706132,0.395831666075841,0.214793569701543,-0.267443224047761,-1.0334199299386,-1.27015947939857,-0.41755141635311,-0.161361419799449,-0.739809703747959,-0.16957995935605,-0.372755724892195,-0.0951548288749495,-0.94753859601679,-1.00875406130806,-0.370122256755672,-0.0636266974760825,-0.429815259166824,-0.998785331692824,-0.314152388387577,0.416068595092934,-1.47801951070252,-0.095025449611721,0.362946007585323,-0.474461998743871,-0.855650980998045,-0.679889040200243,-0.365814596365713,-0.613970432087684,-0.796180451264938,-0.485797281844235,-0.704741567838298,-0.755275522639029,-0.174077655955698,-0.287655047168728,0.486121230742226,-0.76684327006636,-0.420716217696331,-0.739525200554444,0.108680545639549,-0.716784840413079,-0.58704888248106,-0.441093830701832,-0.0567881505433057,-0.308786072710623,0.380378016798401,-0.628665010088036,0.0852857571807112,-0.677261178820722,0.0516694577734098,-0.223869349166723,-0.750124136799648,0.940471503736799,0.870072761749315,0.368255546715999,-0.422688452692467,-0.451431096781556,-1.35453363109985,0.347651484420804,-0.796286967019705,-0.165786625944369,0.696897592290373,0.281870232256588,0.0786821673896857,-1.03690663407152,0.0625678467180701,-0.533472175122683,-0.815060287527986,-0.148246190086748,0.328419426762295,-0.172962492762391,-0.873639893259371,-0.452156523466034,-0.546994992803182,-0.299583335791734,-0.425262999807391,-0.185921422675746,-0.760383811466758,-0.123533878020973,-0.295665142697326,-1.35195251693493,-0.450701563373808,-0.253719163590192,0.326739257572875,-0.174746337927296,0.292338014746902,0.478655221166598,-0.409051712311367,-1.0061239031111,0.353759301225555,-0.0865919979830098,-0.18854604711247,0.373892047904592,0.324151074065509,-1.27423252083983,-0.618727365589707,-0.802507206089801,-0.951831805961872,-1.06988891083548,0.393128104910773,-0.576684282590797,-0.323347694078692,-0.686176132702638,-0.776337384097735,0.316494110343226,-0.225987338411891,-0.255948344465096,-0.50888188555023,-0.295299064432755,-0.973291713130557,0.381040255360221,-0.538315152375783,-0.585535839613211,-0.447874145076315,-0.334622620903328,-0.308013208470477,-0.166491718180143,-0.882023073922208,0.183430444759542,0.634172726304158,-0.801088334347565,-0.0321791743127355,0.250936144312605,0.0627014195842103,-0.421111934691805,0.13991545247731,-0.248230061923377,-0.494234626522282,-0.297550207023759,-0.650191667809984,0.482016490622108,0.845286816957008,-0.457711831556651,-0.616014786674757,-0.439116355519223,0.307564334029583,0.725809523634311,-0.367050200083009,0.142511894657501,0.346209895037405,-1.11492316682878,-0.714415772583718,-1.0101478145749,-0.727527342798802,-0.934545198286593,-0.805817877837412,-1.35216730872421,-0.202308425743524,-0.367614792536057,-0.535813042216966,0.42911218384933,0.618590270559172,-0.0366369164701879,-0.103483611373579,-0.0459458700522937,-0.628416607264468,-0.444487355265688,-0.153632319228428,-0.437630705165673,-0.585374479715331,1.12177028598634,0.371386361958911,-0.0556325572705849,0.330297200147207,-0.590273836773771,0.434865312250355,0.332376411603643,-0.328668823192655,-0.598728679612093,-0.562009834260001,-0.155853631625287,-0.199247947660896,-0.413439847226109,-0.320065317201736,-0.727862913997024,0.121813127495075,-0.358467619332517,0.0754774423399839,-0.341207188075876
