"","pWR501_0003","pWR501_0084","pWR501_0166","pWR501_0167","pWR501_0283","SF5M90T_968","SF5M90T_969","SF5M90T_970","SF5M90T_971","SF5M90T_972","SF5M90T_973","SF5M90T_974","SF5M90T_975","SF5M90T_976","SF5M90T_1339","SF5M90T_1355","SF5M90T_1360","SF5M90T_1495","SF5M90T_1496","SF5M90T_1825","SF5M90T_1960","SF5M90T_2086","SF5M90T_2087","SF5M90T_2189","SF5M90T_2352","SF5M90T_2363","SF5M90T_2364","SF5M90T_2367","SF5M90T_2368","SF5M90T_2369","SF5M90T_2370","SF5M90T_2371","SF5M90T_2434","SF5M90T_2435","SF5M90T_2436","SF5M90T_2437","SF5M90T_2706","SF5M90T_2773","SF5M90T_3441","SF5M90T_3442","SF5M90T_3904","SF5M90T_3912","SF5M90T_4086","SF5M90T_4104","SF5M90T_4105","SF5M90T_4150"
"SHIF_As_1 (GE) - TPM",-0.210385592780325,-0.242224228411117,0.483042334573235,0.199092590364206,0.0492410905246044,-0.248672343046257,-0.363535905160901,-0.465681151224758,-0.35715699017023,-0.374056841196745,-0.358484983663602,-0.273817950964401,-0.335848312602267,-0.29601701824728,0.741753032919308,-0.258401324342755,-0.400441795074455,-0.314821729250473,-0.368835326232996,-0.111497846437601,-0.687860203190099,-0.140510013188821,-0.354898455365136,-0.311967089616859,-0.259695635240996,-0.297363442453573,-0.307587612833046,-0.309706134168871,-0.30902990404019,-0.311385213960939,-0.319122702968456,-0.322570824386325,-0.349904566711376,-0.373911408938302,-0.427437704323851,-0.381437596929311,-0.688090596248953,-0.414456252639868,-0.442392101628576,-0.369364021853896,-0.366729045532262,-0.117629204042374,3.47769838501171,-0.341357232042905,-0.456749623066752,-0.375706542320967
"SHIF_As_2 (GE) - TPM",-0.0182458016537547,-0.214782978818776,0.645002750651527,0.483254546729589,0.130919951349424,-0.215684518928232,-0.384609506098626,-0.372097160616404,-0.261238334329716,-0.451910580632032,-0.316930210040301,-0.311874515705281,-0.327134219738326,-0.399524048306387,0.711947710834254,0.21154062951666,-0.451760267171323,-0.313439887754604,-0.371990474977227,-0.305142314223438,-0.679877797320473,-0.125289541413585,-0.366532529426863,1.02660016949418,-0.185928127273,-0.28443248912705,-0.299994978196951,-0.301979815121748,-0.308382563093807,-0.313872429731287,-0.318098449087898,-0.321416659990825,-0.342387322445357,-0.372120449099637,-0.426696210243919,-0.391196532434057,-0.237638949097668,-0.390425802227197,-0.424145010873583,-0.385199594218612,-0.366729045532262,-0.111547999208991,-0.28084341099152,-0.3957685726264,-0.209042624747549,-0.225535725615775
"SHIF_As_3 (GE) - TPM",-0.185733865375498,-0.151486795364157,0.21356216718119,0.551047346922515,-0.228716811727777,-0.453637104790366,-0.442045501271846,-0.5074082488737,-0.476156017417696,-0.564570988028719,-0.444039152592053,-0.209439733029123,-0.278693132145605,-0.220725899373551,2.54184059573191,-0.070548694981544,-0.216071791714666,-0.317726685874628,-0.374199857934386,0.173617858072825,-0.523040059404734,-0.22884823492846,-0.367288303037034,-0.311967089616859,-0.241674358931404,-0.316868531898437,-0.30410462120694,-0.280181327079171,-0.310135039732432,-0.313793665501428,-0.323237899020863,-0.323453244761753,-0.343896903557073,-0.368260465033255,-0.421919480287013,-0.427231826854473,-0.688090596248953,-0.276544642755362,-0.380501382906839,-0.37828156683046,-0.366729045532262,-0.110380899889966,-0.28084341099152,-0.340245465697334,-0.34654181920317,-0.219430130618178
"SHIF_Bs_1 (GE) - TPM",-0.565065343935689,-0.305045082732442,-0.836747029288129,-0.766012970840736,-0.313646128975289,-0.172127094471135,-0.211860902355738,-0.166420840010677,-0.273443804819852,-0.412620497794812,-0.247259614148407,-0.253805162325693,-0.251709236255604,-0.35454333528677,-0.424274447333326,-0.362943804724288,-0.511941750811044,-0.316415812065311,-0.374727979285042,-0.27821537492301,-0.648267400904551,-0.521448697452704,-0.365830494394168,-0.311967089616859,-0.462043037943007,-0.330636025005449,-0.307623802246438,-0.323831078437992,-0.308629480913965,-0.317685032658149,-0.323228952005712,-0.324740221272593,-0.364649701445305,-0.375095726749939,-0.430090125534755,-0.450111104113638,0.00287332417101455,-0.59812575480681,-0.450742717829098,-0.577140289507206,0.148256323014231,-0.124595418571697,-0.28084341099152,-0.390371333318189,-0.477929310813103,-0.604255132721077
"SHIF_Bs_2 (GE) - TPM",-0.373925120892893,-0.320894224173869,0.0222741854107259,-0.834002123882931,-0.308446518188649,0.1567453294003,0.0819230349403627,-0.0140917841791222,0.0305124816843681,0.0257231966777795,0.0705727593715645,-0.0705038036948138,-0.091154825944487,-0.0201863205248598,-0.330533681330475,0.0502843391962743,-0.00947788695930693,-0.314330932547024,-0.371819250996201,-0.441810270364064,-0.508764760940925,-0.304608621700177,-0.365712212984302,-0.311967089616859,-0.453820388986735,-0.328201365598482,-0.302962578618097,-0.312550741785127,-0.310454742802221,-0.316005524314445,-0.320311814238007,-0.323168067812091,-0.373462776248329,-0.374677336833914,-0.432677826321446,-0.385823582645759,-0.056315730229412,-0.783974922163652,-0.543079134106697,-0.474635203525744,1.39903688011366,-0.14643973284421,-0.28084341099152,-0.347537152548493,-0.440879070350441,-0.617403426374533
"SHIF_Bs_3 (GE) - TPM",-0.378161525264365,-0.210343495090712,-0.0755373408070462,-0.387901989717507,-0.299483780944807,-0.306843361035352,-0.310391186612953,-0.404955206825523,-0.260690257709387,-0.38692414001948,-0.313779700345578,-0.265396772990263,-0.352601090811353,-0.414705733158457,-0.0245280897518466,-0.122237027925232,-0.545885880192736,-0.314996181728178,-0.379335247909976,-0.185845930999704,-0.327423180514032,-0.435395039017198,-0.368306429815791,0.303871683334909,-0.326910671640686,-0.312190006183075,-0.310046411292318,-0.315820611823841,-0.309589489847526,-0.318510658934103,-0.322807282809831,-0.324661482350886,-0.358657667943152,-0.37960463814292,-0.428417679996525,-0.468627517102625,1.07345518617929,-0.469591338147902,-0.54572917348006,-0.524849741624318,-0.366729045532262,-0.13576272167072,-0.28084341099152,-0.47753695493398,-0.50633683742562,-0.374084365214999
"SHIF_Ctrl_1 (GE) - TPM",-0.458650152661397,-0.370942717671027,-0.275890527328301,-0.601547416902881,-0.529911026003501,-0.135443123493116,-0.0362566251586567,-0.161828952255897,-0.222713369985348,-0.230789381100899,-0.156245767981678,-0.23996209282899,-0.263495000895391,-0.1384453755365,-0.424274447333326,-0.523583387604597,-0.341297224306043,-0.31590595898085,-0.371392014847291,-0.262765702522555,-0.348853472360622,-0.366188348186213,-0.367541264383582,-0.311967089616859,-0.508511394961516,-0.330628456243982,-0.308718568947121,-0.34905055511975,-0.31063231511722,-0.317902452827594,-0.323397412420344,-0.325374187506142,-0.369388539272339,-0.382391290468906,-0.428612074981559,-0.492031353574569,-0.305232853103928,-0.7909636138739,-0.601615988339333,-0.615058548898352,-0.366729045532262,-0.169134596968008,-0.28084341099152,-0.412256005022739,-0.467839234806885,-0.676828452775901
"SHIF_Ctrl_2 (GE) - TPM",-0.553586787865929,-0.499252042640505,-0.420880334847063,-0.711377320207661,-0.688586379765417,-0.0221186089675049,-0.0347540607096575,0.0314952819716249,0.125410406920469,-0.129714388275182,-0.0079876841268937,-0.124436874354634,-0.168420481190592,-0.028775588695487,0.297203568089889,-0.677212139472753,-0.367000329346604,-0.315035358385117,-0.360980815301931,-0.3178142279802,-0.827909993099678,-0.0516120408160196,-0.365338657931471,-0.311967089616859,-0.497947547052511,-0.326480322154981,-0.301920169266742,-0.333984338293308,-0.30853030751817,-0.317286691689701,-0.320344547134175,-0.322879838386014,-0.376078535888813,-0.395382014224368,-0.435446790601467,-0.478502950160252,0.638037626572368,-0.851130793786884,-0.725696017799967,-0.631126764973607,-0.366729045532262,-0.153995038793147,-0.28084341099152,-0.500555010487996,-0.633509416100456,-0.604327685840711
"SHIF_Ctrl_3 (GE) - TPM",-0.605286536047351,-0.24886965954765,-0.53655997921523,-1.36946423717621,-0.716417229569442,-0.040632238292987,-0.0467453815569155,-0.135416665769085,-0.0598422514848764,-0.680142637362816,-0.0559056269604901,-0.230868879463528,-0.2929425378129,-0.398578304751039,-0.424274447333326,-0.618370602026887,-0.0594345641601265,-0.318245096407415,-0.372447068791273,-0.438630870873367,-0.817156603023107,-0.0804366040682936,-0.368680404189178,-0.311967089616859,-0.503689700954703,-0.331927108504334,-0.311539690080242,-0.327683253168559,-0.310627887482215,-0.317300924087038,-0.321591747521772,-0.323759275346144,-0.382047332700426,-0.387502851019648,-0.433246181303295,-0.489826820945615,1.99400835274981,-0.833313813020231,-0.722196906450641,-0.651807072424253,-0.366729045532262,-0.197043732781247,-0.28084341099152,-0.47972370325608,-0.15317391779942,-0.628857707563649
"SHIF_Li_1 (GE) - TPM",-0.738313368317585,-0.597362187426651,-0.769089308679496,-0.67988412572101,-0.586100514726053,-0.438995198851177,-0.526757106200832,-0.259456348311036,-0.456723978788495,0.0339912526570167,-0.237798337238082,-0.405102810235532,-0.447452772852618,-0.297857236638364,-0.424274447333326,-0.581546133000973,-0.741013379448476,-0.318673133675859,-0.372488048478208,-0.551637635550901,1.11085482023422,-0.424374445768264,-0.36640482059952,3.0980256252483,-0.527383129939507,-0.324095289832757,-0.307314099792957,-0.340184637418236,-0.316296995534844,-0.32009079230273,-0.324840541503913,-0.323765240659152,-0.380471489417536,-0.408434627103815,-0.416823306052612,-0.394015872290614,0.459432491626938,-0.386043337182199,0.881575877748286,-0.406774680152808,-0.366729045532262,-0.242775743303471,-0.28084341099152,-0.60539234407527,-0.199009532140186,-0.262643569664361
