"","KPN_RS01245","KPN_RS02330","KPN_RS03555","KPN_RS03910","KPN_RS03915","KPN_RS03920","KPN_RS03935","KPN_RS03945","KPN_RS03950","KPN_RS04615","KPN_RS04965","KPN_RS05450","KPN_RS28695","KPN_RS05475","KPN_RS06080","KPN_RS06115","KPN_RS06410","KPN_RS11385","KPN_RS11440","KPN_RS12325","KPN_RS12440","KPN_RS12535","KPN_RS14125","KPN_RS15610","KPN_RS16060","KPN_RS18385","KPN_RS19330","KPN_RS19460","KPN_RS19960","KPN_RS23040","KPN_RS23240","KPN_RS23305","KPN_RS23565","KPN_RS23570","KPN_RS23930","KPN_RS24505","KPN_RS25785","KPN_RS27790","KPN_RS27915"
"KLEBS_As_1 (GE) - TPM",-0.575428299842033,0.116067626984969,-0.427778728929292,-0.444787135685185,-0.394771465295092,-0.228590241830145,-0.112817755777951,-0.657679687749957,-0.560006569730848,-0.846188381088216,-0.317511069937462,-0.648756074241287,-0.451123928078462,-0.395831799451352,0.715816629828376,-0.179018482177286,-0.65897681853644,-0.426201921442676,-0.529358836754599,-0.275283742023118,-0.103706526533714,-0.842117037808625,-0.447705947154785,-0.623281345651581,-0.578644285322967,-1.31828489953614,-0.763301378532711,-0.813848149868847,-0.438206827286051,-0.0270637757888525,-0.177902758378724,-0.840155524024404,-0.335850993926105,-0.875288000855616,-0.70471222497246,0.0783834634859358,-0.460782503079758,-0.540274228929676,-0.274948411949192
"KLEBS_As_2 (GE) - TPM",-0.118242417982047,0.24311386038406,-0.591181318289663,-0.458421714984879,-0.384222289678519,-0.388464625277106,-0.209199355099515,-0.597207227616262,-0.276236916680318,-0.498208505906164,-0.0825276054278024,-0.541401751788997,-0.451123928078462,-0.360353668810561,0.257814887940444,-0.342597716315653,-0.574923641088601,-0.331100179238918,-0.640746731580202,-0.623586429991281,-0.519209372197732,-1.13271684504372,-0.449219267423433,-0.572165434574059,-0.636882449527212,-1.34348356024048,-0.190391572410749,-0.634965962671228,-0.503596121734865,-0.0270232963295631,-0.389451871887618,-0.517977028896584,-0.290366903787625,-0.340895741857101,-1.12744609210421,0.354845401581749,-0.440970634720895,0.0573803523187982,-0.655794609697221
"KLEBS_As_3 (GE) - TPM",0.257161157114756,0.30661183554499,-0.781909455723799,-0.501714859059795,-0.417322501608099,-0.424461001426351,-0.374869455783588,-0.74707871795494,-0.512988246431385,-0.986652948509016,-0.355215502394786,-0.697055453373582,-0.451123928078462,-0.483542494272186,-0.466965328440944,-0.426060212577466,-0.668158415848763,-0.36708474018671,-0.615797267101923,0.196204517428928,-0.972221495488839,-1.15294346250679,-0.66903870954008,-0.560772126695793,-0.697685186285312,-1.27685741239938,-0.690204614422628,-0.931678164736807,-0.435757404551739,-0.143159283156421,0.0767322489909625,-0.742559675325702,-0.169688719946269,-0.5265213951045,-1.13974380272545,0.937795897779756,-0.533704891343664,0.564360736193202,-0.778853265117807
"KLEBS_Bs_1 (GE) - TPM",0.288414367862696,-0.55242292459529,0.552393153715787,-0.350088416565211,-0.64031903595128,-0.607502524398241,-0.559782282888669,-0.358319618399853,-0.433386826292086,-0.735844804252668,-0.523780367727555,-0.425044727761609,-0.451123928078462,-0.508240649759116,0.0744419904131028,-0.171238953790656,-0.770069532416227,-0.417459421027394,-0.70986771273644,0.654563458772123,-0.972287520560223,-0.274131240582788,-0.813161441231531,-0.662394651978675,-0.365224019031024,-0.13346621167841,-0.00947254881680255,0.154682491577013,-0.181462576622378,0.334476800696344,1.21051132417438,0.037340339302801,-0.350115461905876,-0.0399573581547802,-0.361270041235136,1.0047930382905,-0.520484933293703,-0.868607162051936,0.675054070821202
"KLEBS_Bs_2 (GE) - TPM",-0.517858469454662,-0.665726417973946,0.872081989248813,-0.442246532614628,-0.654065166608964,-0.617047700233351,-0.542984996780466,-0.421985572472351,-0.351633080947405,-0.258869320637171,-0.119656155268695,-0.340649544973046,-0.451123928078462,-0.459039537422637,0.98442174330166,-0.122568227289969,-0.713404690764599,-0.615561995809338,-0.508965356063943,-0.680233847066645,-1.02838366747975,0.0516583666376853,-0.822948661870832,-0.652508442199956,-0.419931474433711,-0.110918396980188,-0.116288489247421,0.178836557535271,0.233226671036439,0.865693472390699,0.593291466795399,0.0240738680209076,-0.465896910999288,-0.11681680103959,0.00623409271012409,-0.00152095944169474,-0.490896999813716,0.0585297963368541,0.471026533412172
"KLEBS_Bs_3 (GE) - TPM",-0.38150855373455,-0.54448274773427,0.685603920818107,-0.392666604274778,-0.60331831970506,-0.577847325442943,-0.554709021394861,-0.349331587632485,-0.306083782832986,-0.748139651964855,-0.627843745281392,-0.443220370421201,-0.369995583019651,-0.458586282366537,-0.331979035280662,-0.156838324833369,-0.776492762870614,-0.61007017919261,-0.739408251641417,0.911629924296181,-1.07323023292891,-0.907391047799694,-0.797717374330887,-0.652318264312465,-0.374011832172819,-0.376237825255812,0.129472078760585,-0.291336836462184,0.097947354802401,-0.207204829536713,0.298720504330783,-0.103926157718975,-0.409326776993694,-0.302986415667539,-0.304745318702717,0.207079509452073,-0.456364150459105,-0.692499978733099,-0.00288742118589273
"KLEBS_Ctrl_1 (GE) - TPM",-0.283927853993717,-0.546748715459626,-0.468439172180471,-0.105172247578726,-0.565302589653734,-0.526319653680406,-0.540521916550874,-0.424667011167682,-0.597908796183218,-0.249565815359895,-0.580196401126237,-0.376236579749797,-0.451123928078462,-0.448195309884169,-0.147144799069809,-0.221588962060615,-0.73126863676675,-0.339384150421458,-0.703529457390773,0.00577551190255951,-1.06025564897526,-0.0615195563370951,-0.865109850431802,-0.687388592312811,-0.640996798062946,-0.344065133216031,0.534789711599331,-0.301758081356625,-0.18559156939295,0.0135902469258844,1.06155974639115,-0.187238446904867,-0.590040921188398,-0.434224379504982,-1.47716802789733,0.584787993956447,-0.562152638256194,0.653646642194891,-0.683373464829012
"KLEBS_Ctrl_2 (GE) - TPM",-0.717635187920844,-0.578674853501243,-0.1201305294527,-0.30979205903582,-0.663078684209546,-0.623188558984319,-0.543774117145814,-0.417243625892815,-0.62666784731667,-0.767637825901684,-0.421189067580658,-0.341690264662523,-0.451123928078462,-0.397977497694609,-0.315917410471689,-0.358923942849543,-0.744889987520054,-0.343804548544237,-0.694397830166362,-0.993810712867696,-0.895632232451743,-0.870429280966478,-0.896402667187525,-0.634204999378384,-0.843012345718253,-0.438970620633185,0.610946359767648,0.508687496450322,0.321210744184579,-0.13065242318408,0.246182113093198,-0.133638388152655,-0.381012550898978,-0.133990188225963,-0.828080812392961,0.288528492850815,-0.834314638874229,-0.202139086159242,-0.0264680309594601
"KLEBS_Ctrl_3 (GE) - TPM",-0.770096572400603,-0.393417967797965,-0.513067762977676,-0.354493597540675,-0.631945483285548,-0.562991508104034,-0.382781737627456,-0.113604557265391,-0.488847389670259,-0.559872354839145,-0.188045803224739,-0.364313682556034,-0.451123928078462,-0.482307188096179,-0.845534140837333,-0.36040522377635,-0.829092017887218,0.104193423364648,-0.698477537729428,0.0634627577283981,-0.845695058394817,0.19790486658765,-0.783127672006607,-0.659118625113039,-0.81918349324792,-0.938262240767892,0.818939141706552,0.0307657336163865,0.000867516314173098,0.819587943760712,-0.0384875617640646,-0.0480482795303319,-0.636894979454545,-0.363432655023369,-0.524538163826526,0.243223591278071,-0.571634759354842,-0.852394045328092,0.841780983710119
"KLEBS_Li_1 (GE) - TPM",-0.110246206848783,-0.356886931587702,-1.23099943590511,0.0820314656286745,-0.645304064296005,-0.507738271278667,0.019972512958875,1.23941934467,1.10427821202695,-0.471761905842264,0.314701667871334,-0.227953991167223,-0.451123928078462,-0.513206272169506,-1.06330141988551,1.14077386069042,-0.292954481158519,0.129816614664189,-0.714374979165235,0.830652941351862,-0.523955792679133,-0.214725012683846,-0.482477799938307,-0.679734634457275,-0.536832174781444,-0.352815085007802,-0.294550781472771,0.832565419293455,0.633168223553877,0.400400477653198,-0.502176415369609,-0.241195793760689,-0.673850688909513,-0.0773024616694613,-0.728094615173153,-0.390522172095326,-0.555259479856529,0.893625886796515,0.357649713861305
