"","KPN_RS01245","KPN_RS02330","KPN_RS03555","KPN_RS03910","KPN_RS03915","KPN_RS03920","KPN_RS03935","KPN_RS03945","KPN_RS03950","KPN_RS04615","KPN_RS04965","KPN_RS05450","KPN_RS28695","KPN_RS05475","KPN_RS06080","KPN_RS06115","KPN_RS06410","KPN_RS11385","KPN_RS11440","KPN_RS12325","KPN_RS12440","KPN_RS12535","KPN_RS14125","KPN_RS15610","KPN_RS16060","KPN_RS18385","KPN_RS19330","KPN_RS19460","KPN_RS19960","KPN_RS23040","KPN_RS23240","KPN_RS23305","KPN_RS23565","KPN_RS23570","KPN_RS23930","KPN_RS24505","KPN_RS25785","KPN_RS27790","KPN_RS27915"
"KLEBS_Li_2 (GE) - TPM",-0.0439010583715568,-0.696815992485988,-0.804943018648771,0.232479637753638,-0.649618952325196,-0.592392469671897,0.0904153341688979,1.66506002770167,1.25959063479612,-0.3588513593458,0.709544514161119,-0.100825781739486,-0.451123928078462,-0.417249023890558,-1.24893253884837,1.03187390330195,-0.338497274433731,0.0930949522810108,-0.705064770761173,-0.993810712867696,-0.531167051042893,0.282974570580457,-0.822061514503377,-0.755606514613366,-0.286523829762087,0.119571337218957,0.787117311653265,0.182720901522734,0.984362094343209,-0.084162091284341,-0.420041396207126,0.299178653001155,-0.663449581830704,-0.00443627337193531,-1.17002085216342,-0.713585191101372,-0.873741975123926,-0.533280726800178,1.23687667268031
"KLEBS_Li_3 (GE) - TPM",-0.246739535521544,-0.464133271941757,-0.0770727927608404,-0.161059353387624,-0.633833447180887,-0.607932208149458,-0.243944420657716,0.347957406607807,0.198671671041845,-1.00916038717212,0.187543888271165,-0.435906648478802,-0.451123928078462,-0.468543598274864,-1.03939496751654,0.360979551873006,-0.371457850669573,-0.44213277680726,-0.318871000769927,-0.444630259062462,-0.830765739777188,0.843878159954193,-0.705768485872394,-0.71101961859993,-0.527004437181975,-0.350841859429277,0.199870922382981,0.963630357501758,0.527267236798712,0.932632905128428,-0.426112510112865,-0.446503947715069,-0.596371566693882,-0.7806054762896,-0.57493974750288,-0.503359243874852,-0.574160162312935,0.540268478354328,0.154380548868912
"KLEBS_Mig_1 (GE) - TPM",-1.0895673133621,-0.0552394118852773,-1.21370440415552,-0.817996245946413,-0.59421520295178,-0.734135811204258,-0.731585627594251,-1.00708783171988,-0.665586337903722,-0.956461905759782,-1.5993748046858,-0.70690416609031,-0.451123928078462,-0.563883992543507,-0.966552824429519,-1.15098615661079,-0.0986275123775607,-0.865067047333619,-0.525922708152387,-0.993810712867696,-0.710779978460554,-0.463935645402255,0.549481064362898,0.335332615123109,-0.539784438767668,-1.25221882333395,-1.21817951199545,-0.0600556705653867,-0.568780142771285,-0.936225360332125,-1.36990755507637,-0.95384262812891,-0.604534229048547,-1.30702036577838,-1.06229911586771,-1.49405211000971,-0.354665313630296,-1.10355825761847,-1.3449460060259
"KLEBS_Mig_2 (GE) - TPM",-0.636815899616923,-0.528794739497319,-0.724117566406332,-0.868438638585355,-0.618519377430866,-0.68405205121924,-0.789019348802402,-0.926784144026101,-0.852935332849663,-0.990078590542471,-1.4888944700793,-0.753481718066069,1.94746259351352,-0.563883992543507,-1.05528942791784,-1.08245800646665,-0.454509718947479,-0.522291829056009,-0.172865242699493,-0.993810712867696,-0.168838278208481,-1.0198294471251,0.73145084373464,0.374745088097596,-0.445715487127852,-1.13446922042654,-1.09882541475113,-0.894380083996137,-0.939408424238133,-1.39783389234394,-1.24100654011989,-1.06596420370679,-0.872386877104378,-1.02861363117733,-0.688194777745412,-1.26471848812598,-0.873741975123926,-1.10355825761847,1.48922604822653
"KLEBS_Mig_3 (GE) - TPM",-1.15850287171586,-0.319883396528743,-0.971576313291736,-0.863694993220101,-0.594886320979484,-0.70959841349704,-0.81249332414911,-0.974615898510221,-0.713347972357301,-1.34890099744672,-1.63349872007389,-0.777785208994755,-0.451123928078462,-0.563883992543507,-0.419702757359549,-1.10414860255569,-0.327032434356322,-0.955264399172695,-0.257157929861402,-0.993810712867696,-0.213461012255747,0.0217000662272689,-0.0792407528156131,0.630727817996927,-0.739667796734957,-1.3535514498759,-1.04378357768434,0.987195559449651,-0.716231379827497,-1.06541339691245,-1.3894395747973,-0.951486108047736,-0.593894116199145,-1.18370698212085,-0.812924040190027,-0.824436709316146,0.432808251514811,-1.10355825761847,-1.3449460060259
"KLEBS_Nd_1 (GE) - TPM",1.34624087293341,0.921085135556082,0.310224273038625,1.46925954826335,1.05903657510508,1.59709529981652,1.86192430487102,1.48387335502655,1.99958981754092,1.05963059832596,1.8266472219736,1.28570921320067,0.85532692191489,2.22144378921856,1.034239491118,1.73530272235057,1.36739337317195,1.41492083802929,1.70694851638133,1.83558200008297,2.14640947922141,1.6698333264134,1.93785504886481,1.59917457579977,1.40981436833555,1.22690113052735,1.58466588830567,0.808602249421479,1.45322928024438,0.389990392264732,0.492457197577555,0.933875227247847,2.02607624526196,1.71302238471009,0.91793331310974,1.0575825142064,2.43365879164831,-0.269170051465558,1.51241896611972
"KLEBS_Nd_2 (GE) - TPM",3.27181720661764,1.76226002627079,2.27265410197257,2.13017450331931,1.14165447550754,2.33414072520867,2.10480976580822,1.55781912541502,1.29055749142148,2.38559140206999,1.91623449035754,1.21802990892416,0.916745190679897,2.9533744857787,1.84313690211512,1.68799517394439,1.76207436547952,1.37280238839107,0.992416750243909,1.61106425563995,0.907633137158717,1.05170552987928,1.81994361598135,1.84350059910175,2.36107618589414,1.21804225119753,1.14053232861831,2.54840803305262,2.54791891847695,1.90057167824375,1.37950067892751,1.92435643744837,2.25981524067927,2.90929767391282,1.53020928500907,1.16404146456707,0.614901305790942,2.11425361016078,1.24109466120679
"KLEBS_Nd_3 (GE) - TPM",1.97090119332946,0.937836094624237,1.76979973704996,2.27057032651206,2.13393370090712,2.52009277684462,2.40197222531565,2.20558856144575,1.72683095876475,1.86389069918855,1.43360291877313,1.74857207551978,2.69174157642975,1.99201282500893,1.75354354757229,1.48691415906145,2.2405165060244,1.61795300862607,1.29753876894466,0.502452996319774,2.0755652231003,1.39144575060497,2.06341327973281,1.70481682967462,2.29008347647734,2.16906165576526,2.46731078347267,0.411190993568456,1.78181349567822,0.696684086342651,1.51518109548091,1.1816186944954,2.20146142420116,1.71263508093098,2.22257622076851,1.79983188101976,1.523101615889,0.507815250500859,1.13079585410508
"KLEBS_Ns_1 (GE) - TPM",-0.157705959266215,-1.04470829998923,-1.25281401522495,-0.56978323788129,-0.715150439896594,-0.613957796535901,-0.601278796696105,-0.644242118559805,-0.404302650691725,-0.458602946841603,-0.289213100865672,-0.478513570383339,-0.451123928078462,-0.445132079642657,-0.750676941854104,-0.699807165810016,-0.0564140663382975,-0.204975746452477,-0.57719560115327,-0.993810712867696,-0.747022542815346,-0.95720640649084,-0.3809807593653,-0.663442276705226,-0.562353709309849,0.419530437003719,-0.520741239904168,-1.63273034699065,-1.38719923110908,-1.44565825139326,-0.732225687789818,-0.473065637415331,-0.661432196343266,-0.508316797016819,0.254171750263809,-1.30525408275055,-0.655669474450122,-1.10355825761847,-0.372612878007842
"KLEBS_Ns_2 (GE) - TPM",-0.135950281966466,-1.22023447187683,-0.755454892833085,-0.582762779162298,-0.704404822964137,-0.64373850285314,-0.669376608626868,-0.632730148337286,-0.34321843969985,-0.519740214232504,-0.0601313290032426,0.69258826923071,-0.451123928078462,-0.563883992543507,-0.435355731183649,-0.674272463701894,-0.0227688123001949,0.110209239078443,-0.332715189165124,-0.993810712867696,-0.724526230902928,0.483407300711429,-0.368478858797135,-0.817359950331972,-0.183835220702895,0.321357234059524,-1.49269084941934,-1.06019125783409,-0.864699954996787,-0.390250944848735,-0.688767155464793,-0.696174712796564,-0.634496018827254,-0.811662679749634,-0.31377527699681,-0.64468790286493,-0.774039644861158,-1.10355825761847,-1.02741111533076
"KLEBS_Ns_3 (GE) - TPM",0.0664062680247069,-1.10862779778978,-1.15271217107567,-0.550779059286363,-0.728846043044399,-0.68397435647632,-0.577268069276515,-0.717174208250297,-0.459397204775495,-0.448248143485484,0.425001297806228,-0.282482581929242,-0.451123928078462,-0.423049551029183,-0.900718432647291,-0.561357113543601,0.0376758596420719,-0.380596290917725,-0.594890897224796,-0.993810712867696,-0.848810761103299,0.192339412742035,-0.727277570712408,-0.691864074232352,-0.655093615379036,0.370966584685414,-0.419094096748445,-1.25883272705615,-0.851325825925659,0.0359904959654874,-0.685837972863256,-0.541542144245728,-0.699090460204548,-0.46088679102105,-0.198326108646429,-0.939293099464364,-0.731498663491159,-0.192975883150449,-0.212394382714717
"KLEBS_Oss_1 (GE) - TPM",0.57799064034557,-0.643206192007454,-1.19124741849721,0.742978575489081,0.180348893338505,0.30504825133811,0.369177905441207,1.03204473233268,1.15838625371271,0.924631271040671,0.65335500019497,-0.0790880001014496,-0.451123928078462,-0.186153967241414,1.0462403548082,0.63936524380726,0.364448794689324,-0.674494629345211,-0.488438116694882,1.11799839391567,0.698977574904738,-0.103175181591074,0.16954097582238,-0.496258637245692,0.396304540635723,-0.428489319119841,-0.741045265574929,-0.261911526585105,0.0612489420326391,-0.508125711914126,-0.166168689916757,-0.283257275734792,-0.321828056932064,0.302431457619259,1.77353747970644,-0.726539953702254,-0.813897467603917,1.30449628199963,-0.582567871143935
"KLEBS_Oss_2 (GE) - TPM",-0.190038992565359,-0.46631358797524,-0.758337760449627,-0.0294517360254995,-0.241967255545426,-0.123322461088693,-0.338649865534558,-0.272144023045266,0.232838889935352,-0.0568829998448851,0.0793715152330796,-0.238694089296728,-0.451123928078462,-0.330071461205838,0.504499643436418,0.194777713302705,0.0724899088320266,-0.504194088080733,-0.539133282535444,0.486650753930847,-0.076905869002948,-0.0775005707674987,-0.280613954834737,-0.561331699623203,-0.0688451850853792,-0.550314608954705,-0.628058076569916,-0.732636773538147,-0.433745571788495,-0.848374961927208,0.0262821433975376,-0.1901999533334,-0.174784503249892,-0.401614568863621,0.707505805305002,-0.894446850922482,-0.686262898284597,0.109793228166005,0.170741034249649
"KLEBS_Oss_3 (GE) - TPM",1.11956967421208,-0.336687486763066,-1.13825136613155,0.603287151873612,0.209299240914502,0.389001219959828,-0.140332472009906,0.18304102559753,0.374241764639844,0.280497206563758,1.04897609266951,-0.16466753810053,-0.451123928078462,0.0288515841517222,2.07296426785996,0.445713442523587,0.471240942320928,-0.455934587977074,-0.71767583206519,-0.993810712867696,-0.00713712478507902,0.235933277088447,0.101485183579485,-0.317206263922593,0.466076312610831,-0.650361824541261,0.439927506621786,1.28977001851409,0.0473401340141241,-0.697789710435252,0.323185795754738,-0.0421646428756405,-0.598992060551826,1.35659016782406,1.72168869573662,-0.325080489755413,-0.215210315731528,-0.227580051747405,0.371035593164815
"KLEBS_Oxs_1 (GE) - TPM",0.613710584922344,2.93876625359065,1.64662175078973,2.08422548067034,2.45430102268129,2.04770942232765,2.37132771210945,1.79356532447254,2.45831765292125,0.9282403457978,1.50681157566456,2.3948488531487,1.80836102480252,1.39604960581353,0.959226507461282,2.29016053974501,2.75701139433005,1.35391557949321,1.19577631924021,-0.540883738742254,1.55012521317351,2.38820134893323,2.11020140296522,1.84633348232999,2.28642932776849,1.72888467857423,1.16763670695358,0.856948237952243,1.95469432622273,2.15005052177663,2.68202003624106,2.88031767195162,1.55606488013044,1.02152830367385,0.176482176771643,2.69355523316028,2.20881104476188,1.69395373505457,1.91503192330086
"KLEBS_Oxs_2 (GE) - TPM",1.32131949537954,2.43475097361414,1.18503364848797,1.76353712804829,2.39070767970287,2.30137691077295,2.30272848659056,2.15922350648411,1.710075033941,1.0677697723236,1.91115448584269,2.49806913720062,3.35308495685789,1.97508511812736,0.403470678693278,1.73382274105684,2.09434124784449,2.58464451147794,1.76452148921901,1.99921027085641,1.64896391690124,1.69796605561904,2.1510155054575,2.82488629418518,1.53498673879844,1.74550910296942,1.64902038582911,1.68760880048877,2.02420805897069,2.30911770302283,1.80287571164845,2.15073183629078,1.84497093482711,1.35013327860305,1.50273335128774,2.00136605242849,1.93049744542077,2.65836978534384,1.55890285440499
"KLEBS_Oxs_3 (GE) - TPM",1.72559356839658,2.15827779249636,1.32450053572203,2.43386892453432,2.75350438965438,1.69513560487437,1.60342446123422,1.27337237305425,1.42883707255947,1.21095237681876,2.06506943309733,3.08057644805145,1.42874330501811,2.35291000490545,2.21444024656153,1.96618534178062,2.0375487845248,3.54189300214028,1.83683069956611,2.15771517189564,1.69031545541671,2.73619685449696,1.90465739027881,2.29061909401487,1.65579564341354,1.45809537376004,2.15227082515094,1.37627707072659,1.23499851624455,1.05298164248265,1.25219510824743,2.71664280754841,2.53322742211155,2.2690054786277,1.6714663550438,0.806738855404921,1.95897005756601,-0.161540524050755,1.7382289076679
"KLEBS_Sp_1 (GE) - TPM",0.451998923936727,-0.696011854471304,0.40930348703153,-0.9014769323412,-0.760673007675091,-0.76765738460702,-0.770075830394262,-0.787224795840611,-0.982801411506026,-1.25184915900254,-0.115305729034555,-0.777785208994755,-0.451123928078462,-0.563883992543507,-1.24893253884837,-1.06334809790654,-0.877616446734402,-0.453375245642274,-0.594353235625134,0.653443681823497,2.17892061494199,-0.480588201018684,-0.766199702608743,-0.590848269109637,-1.06460773563142,1.59581080599558,-0.858423520325812,-1.69948389250026,-1.23568574099123,-1.4913753830366,-1.36950664535424,-0.778942645971829,-0.814815197243436,0.261210132465473,-1.05760784413759,-1.40776087137879,1.56528502926728,-1.10355825761847,-1.3449460060259
"KLEBS_Sp_2 (GE) - TPM",-1.24694194386595,-1.05488649675282,1.9396878243836,-0.88726286189616,-0.697059283811236,-0.738052993235135,-0.764578140794833,-0.836005425174706,-1.17865494981482,-0.831781144949102,-0.596509460547383,-0.609664368253312,-0.451123928078462,-0.462301531080688,-1.24893253884837,-1.02721201403505,-0.901574637529235,-0.74132772439359,-0.665289545647642,-0.993810712867696,0.499934904410446,-0.217490960569238,-0.984745034536115,-0.620311985135237,-0.963465596105585,1.46498106374127,-1.40534073540214,-1.6205479249445,-1.13542974752329,-1.60995296414505,-1.59326751952787,-0.849766565947707,-0.604575156289183,-0.867695517775511,-0.675836066427214,-1.08486459962875,0.0838455673730082,-1.10355825761847,-1.3449460060259
"KLEBS_Sp_3 (GE) - TPM",-1.38904322629954,-0.915471291207129,-0.124622975075494,-0.911426894632365,-0.711401532787257,-0.6918560723632,-0.847499457572455,-0.894316716117065,-1.10352311760356,-0.75893700786545,-0.535792560859713,-0.324916545027,-0.451123928078462,-0.563883992543507,-1.24893253884837,-1.11517894758198,-0.882785481746636,-0.751870328569749,-0.671487769107461,-0.993810712867696,0.484029853342992,-1.46653841393207,-1.09035283650248,-0.719007699176068,-0.923504733668586,0.42045309548152,-1.22981045078463,-0.591204409349552,-1.31760285785103,-1.98789725119474,-1.41379125339848,-0.780091172093092,-0.64585017646215,-1.02603022261505,-0.862153498535053,-1.22553524950445,1.53231120906136,-1.10355825761847,-0.309423251322233
"KLEBS_Tm_1 (GE) - TPM",0.0686241175394889,-0.244227765795412,0.968602517927954,-0.541503374459663,0.274880087414066,-0.131476231370265,-0.509288151847402,-0.866772432431911,-0.912746656913309,1.90668663125348,-0.623948961412096,-0.548863959840081,-0.451123928078462,-0.425564532177542,-0.176004544076159,-0.676292303358199,-0.396416259092795,-0.132752648338195,2.61912485021753,0.0607097470939702,-0.554636364842825,-0.639104065602629,-0.114269243151283,-0.263379162612589,1.02959983477477,0.0435905730216156,0.178575620094523,0.511641471306814,-0.461422071057552,-0.0353428990702321,0.0448461340748388,0.0327740058886621,0.649963426560814,-0.113314013981616,-0.205947788584649,0.134703329786176,-0.709385303049627,0.880482617738883,-1.24025642114484
"KLEBS_Tm_2 (GE) - TPM",-0.314434302236317,0.185849505748781,0.855529809213258,-0.58786954527132,0.0423124773331007,-0.26093973406949,-0.421642908453654,-0.748424713684627,-1.02260648984754,0.586843861802818,-0.790983769336473,-0.348696550955319,-0.451123928078462,-0.371835702096653,-0.362563245335247,-0.767147465631683,-0.413156652922211,0.210932299107122,1.96335043557881,-0.330067911640785,-0.528949044226989,-1.00797268224805,-0.118502859939092,-0.201750701211183,0.452217640121334,-0.542275931116267,0.601923972754739,0.228468941819109,-0.335352445277974,-0.237302657553799,0.348247496602813,-0.0487670406479496,0.373749306088328,0.289426967367366,0.974660437358981,0.207039024399974,-0.240108306989165,1.07239385474664,-1.18021008810237
"KLEBS_Tm_3 (GE) - TPM",-0.153485310889132,0.0420731888345045,-0.185445033294763,-0.479878591311879,0.447878655246349,0.203601696586677,-0.459790290798288,-0.620587258999149,-0.71962388773364,1.71676997404751,-0.378279518707125,-0.262986809310538,-0.451123928078462,-0.267863312147678,0.641843042008978,-0.59262413035446,-0.319031539155223,-0.263645366357548,1.38805967653844,1.76372125625369,-0.457733757169915,-0.279271847410949,0.0723112942158935,-0.0145790929142922,0.651621654965105,0.35695568754744,-0.363429488067631,1.06939287995013,-0.181490240092259,0.526311578109361,0.657806812766688,0.189917700769706,0.27709660889139,0.0471094939865563,0.685701015881356,0.179922318229994,-0.201032492652763,0.742044154747764,-1.04738145203679
"KLEBS_Vic_1 (GE) - TPM",-0.572253358240836,0.49845340115073,-0.0788747175331184,-0.599611237407573,0.0331993339378395,-0.108261711791423,-0.30547938997483,-0.34852968140207,-0.618920146960768,0.0497562319196772,-0.878305301388662,-0.496671116134815,-0.451123928078462,-0.398820584428438,-0.364232855856491,-0.686979363914587,-0.472357054324387,-0.567264402329859,-0.322973266836919,-0.828187577572321,0.2491897968969,-0.00634834146509204,0.039221725346248,0.108497625290629,-0.612933970884384,-0.557842270701011,-0.585223832187303,-0.260230099323013,-0.460347399859668,0.282400320386525,-0.274240851433219,-0.606284543472263,-0.224307435219798,-0.291910418606835,0.442168501070093,-0.0256303985028846,-0.650021659324229,-0.12779804430897,0.0252674350311056
"KLEBS_Vic_2 (GE) - TPM",-1.10420469427243,0.478089661387255,-0.0511077324823251,-0.528618261203002,0.0877034664011934,0.0407416910765966,-0.175975242516533,-0.337479790420087,-0.228073861328148,0.383511592182133,-1.11328928147191,-0.554777280482268,-0.451123928078462,-0.407202019718322,0.341978769577947,-0.5678179547844,-0.26278788869496,-0.823273030653636,-0.558265829123479,-0.181542105809349,0.0619059556894778,-0.863237477601862,-0.132406411036091,0.247607541709531,-0.410043881338685,-0.576359617608986,-0.698997823095544,-0.611146490367287,-0.532660478959605,0.38352575195149,-0.616503251718721,-0.351676141489553,-0.0997353807815091,-0.284262997577378,-0.0448055670694348,-0.31088737153905,-0.190104664602863,0.748869690638029,-0.256311979033599
"KLEBS_Vic_3 (GE) - TPM",-1.16521976024752,0.410367259429847,-0.178248168080239,-0.571415832734874,0.0414652887403688,-0.278443990017944,-0.146034123749224,-0.239727990137094,-0.582717537230933,0.747464407454844,-0.758521376481103,-0.569360322401988,-0.451123928078462,-0.425355394882522,-0.211014685140747,-0.604994561511343,-0.249476562378759,-0.345248579362273,-0.167343328175967,-0.0145041858395958,0.203340177125898,-0.206972161521681,-0.0527699545515023,0.00161149878340745,-0.638222027531295,-0.629624700725809,-0.0951462762578127,-0.97045481560094,-0.737505501060145,0.176803067286104,-0.516760403314668,-0.496358584029097,-0.608837567760145,-0.950898286672693,0.275561302873648,0.337957682100591,-0.314084372008533,-1.10355825761847,-0.858833134152192
