"","PA0152","PA0160","PA0333","PA0480","PA0492","PA0495","PA0520","PA0521","PA0522","PA0523","PA0524","PA0525","PA0558","PA0643","PA0644","PA0665","PA0678","PA0689","PA0725","PA0918","PA0951a","PA0952","PA0976","PA0981","PA1015","PA1061","PA1150","PA1196","PA1472","PA1510","PA1572","PA1847","PA2075","PA2118","PA2259","PA2333","PA2455","PA2532","PA2693","PA2706","PA2707","PA2709","PA2827","PA2885","PA3047","PA3052","PA3281","PA3282","PA3392","PA3396","PA3428","PA3439","PA3455","PA3548","PA3634","PA3808","PA3809","PA3810","PA3811","PA3812","PA3813","PA3814","PA3815","PA3865a","PA3868","PA4073","PA4165","PA4176","PA4194","PA4315","PA4324","PA4337","PA4388","PA4615","PA4618","PA4619","PA4623","PA4683","PA4691","PA4692","PA4714","PA4782","PA4783","PA4793","PA4804","PA5023","PA5269","PA5275","PA5349","PA5407","PA5409","PA5422"
"PSEUDO_As_1 (GE) - TPM",-0.901980640721639,0.0239945087979441,1.25130554354369,-1.09116127863396,-0.876286451785748,-1.48076764253273,-0.960486178291201,-1.01165336855119,-0.923833022612603,-0.643076139389963,-1.16301571541943,-1.27014110248457,-1.0700606588714,-0.807849961763352,0.125731090708713,-0.271852952562804,-0.4421859475806,0.13687113608432,-0.497545562863501,-0.368259592225797,-0.219870850043333,-0.0753683400841923,-1.3014295516036,0.188453814857782,0.295180095734799,0.104456953169463,-1.00261081579817,-0.52169945615173,-0.675223538886202,-0.455166119871839,-1.19120617357706,-0.981834375008547,-0.239327128917872,1.11102712076631,-0.670609608390045,-0.384461981973243,-0.35254653370683,-0.724181634765984,-1.04460451833699,-0.371301919838794,0.440230179105253,0.312434864020529,-1.12229480930104,0.187729757897219,-0.469103464931923,-1.11534453818701,-1.32489699384176,-1.34487741804686,-0.646423728390151,-1.04418545404665,-1.20869559221924,0.0239920318715808,-1.09783445978583,-0.849851228592536,-0.600517627289902,-1.38720492073805,-1.15451127495089,-1.15718932275921,-1.26651942702196,-1.11473939872526,-1.02439707232286,-0.933473515147066,-0.924726174572959,-0.114770333028396,-0.867409089344304,-0.601493295386206,-0.426783101739727,-0.0168034976349452,-1.6084971527143,-0.599928930740108,-0.154409832886678,-1.04716240225146,-0.304218299187647,-0.688017518243353,-1.01538680001089,-0.671124979616453,-0.885899046136451,-0.478666140714283,-1.39810844306915,-0.94450421365759,-0.427728702228092,0.0447898514602393,-0.809646448427499,-0.616811645606715,-1.18346502974955,-0.895557859593588,-0.978938483988609,-1.14586206222498,-0.68826539291736,-0.440825936383103,-1.46359680473678,-0.484714368972223
"PSEUDO_As_2 (GE) - TPM",-1.43783725971267,0.702520477005246,1.26588263175621,-0.811027611421527,-0.718487489424616,-1.37103534533724,-0.808838517952169,-0.800667800106436,-0.900701925246113,-0.647675716850614,-0.926246374329313,-1.01146148821103,-1.00597348455062,-2.27168339252049,-0.755105222958149,-0.702963421985308,-0.175999510094653,-2.20340607056836,-0.947820450551597,-0.523440265660793,-0.506639022642419,-0.292727912420748,-1.84796868586332,0.550842550137033,0.00446487082511166,0.427503695083532,-1.03127280911636,-0.5603689949215,-0.689468278946227,-0.868504784597162,-0.955179160173828,-0.932950054904847,-0.857163543323566,1.68802850645631,-0.847261794815558,0.257300987415178,-0.548075769377847,-0.0102363776623147,-1.83766054388214,-1.97206617711036,-0.32430310817036,0.107926506237294,-0.631625455697181,-0.486671973683938,-0.344562173278556,-1.97560643537539,-1.42922660678464,-1.30337468173364,0.139954404154206,-0.911483662919917,-0.943411513862887,0.695398715074779,-1.56379542401568,0.0555982348105091,-1.60358334536277,-1.28424590017568,-0.970747799819461,-1.04252904522835,-1.11502972329379,-0.990413161702409,-0.921608530443932,-0.882688982117943,-0.906604790999358,-1.03700327797238,-1.85489077262751,-1.23908789385058,-1.19451731019318,0.184970778201689,-2.14010307003619,-0.830378715815011,-0.248884697825703,-1.36812658531791,0.481519830430783,-1.00126105775781,-1.47962699423792,-0.99248320699689,-0.898352111324789,-0.846328332754846,-1.24055606619583,-0.896010558398199,-0.489853141523884,-0.236368569909758,-0.826746034051361,-0.887319325548996,-2.34116171082474,-1.17268781699878,-1.47741867431543,-1.06861167784477,0.153703971265319,-1.60168035147146,-1.85154569498969,-1.24288291188777
"PSEUDO_As_3 (GE) - TPM",-0.587512655363992,0.999521617023391,1.46641121089643,-1.04546844680999,-0.764040001599697,-1.50957243630797,-0.811436686383248,-0.891647655020419,-0.880778610441689,-0.635885646332247,-0.936157841943732,-0.98002318730001,-0.644300183441915,-1.57111139193259,-1.35877874510118,-0.658365504187693,-1.07753047739398,-1.05782946258622,-0.670529644643808,-0.262397209347755,-0.777924990927312,-0.463246136984273,-1.83790255723192,0.12888834631734,0.427278653593498,-0.175596395037306,-1.32920518387279,-0.265985031683648,0.345570104563238,-0.620411336462714,-1.24941402724305,-0.969891039980672,-0.358368464459491,1.23660081324371,-0.914215606706661,-0.773577672508053,0.0281586393314085,-0.231178914141183,-0.779086068704668,-0.928189962849733,-0.515814514196928,-0.123282490586,-1.19511165565126,-1.60160176293711,-0.510540966959462,-1.45875061781894,-1.32990068159857,-1.13838821340075,0.185918301668032,-0.739293461181731,-1.25648168059777,0.422830688041164,-1.27068212778391,-1.06645879417936,-0.50424280761374,-1.03345618001981,-0.874093782719902,-0.968235319449977,-1.05935294250731,-0.900390709783568,-0.852456843502299,-0.86276379790695,-0.809661257157434,-0.883546970212937,-1.16111310778592,-0.932529505120058,-0.508360522809281,0.3255871845987,-1.81821786986683,-0.709567285554524,-0.17264625851602,-1.255634729883,-0.157280541346386,-0.83046007448285,-0.958276705391676,-0.695436635580137,-0.540782146382853,-1.07153446397532,-1.13560861925787,-0.81024075893832,-0.527324137474997,0.18133744471636,-0.88229692772453,-1.08361466963691,-1.3354688743576,-0.948816720935889,-1.55763314819225,-1.17002602853933,-0.523163095161772,-1.03950659144664,-1.47868881684887,-0.675796709520615
"PSEUDO_Bs_1 (GE) - TPM",0.620648654427893,1.76171045590609,-0.684437125679146,1.07766720942302,0.852994788602724,0.0766237251642562,1.42258544824117,1.2784219225571,0.865458202844499,0.911854446607326,0.759851792239936,0.745076628982439,1.2289825346593,0.56639165678667,0.215173313363892,1.15417317291778,-0.527504018519528,0.973180130581695,-0.349769355072294,1.47613985828981,1.06529512749525,0.868600330088965,1.6330573961739,1.22435349397498,0.541907796325254,1.22026678413004,0.373028421571944,-0.723842308678264,0.646251399829765,0.409557022181698,0.549385598210405,1.120451892237,0.89460597146551,-0.683124744096723,1.7749530657664,0.665102245849279,1.04760205097611,0.667208054202272,1.18788172041131,1.9456494186343,2.22023789622621,1.15014707971199,1.84202259213197,2.67958321597049,0.85732543324754,0.53859007909809,1.31755938532363,0.995376260772611,1.1449892352017,0.69942693662361,1.19324439864454,1.31391375699771,1.18820473363787,1.3222938488173,0.49222112672428,0.87115718439646,1.27776584794361,0.612537872442514,0.63445107799176,0.133563911517167,0.36968280468199,0.697835209338401,0.424868891916313,0.979913429425559,1.14064894110754,0.769143781069544,0.855302067702457,0.432833086532997,1.98447771213077,0.366000803694882,0.934308933603297,0.916092678944493,0.841904895963601,0.505986411048023,1.31860795855425,1.16093118352517,1.26152054613819,1.5124565969934,1.01479034485795,0.882295780281197,0.534372063046513,0.875664452960379,0.692221036273805,1.26630034778009,0.689813169252005,1.04903487833756,1.31032051395163,1.106514303293,1.7310780758685,1.00351400566218,0.411860421820264,1.00206669544735
"PSEUDO_Bs_2 (GE) - TPM",0.315850355336501,1.7251414598504,0.00801244223997389,0.908572358804543,0.915528953384647,0.0305931771908785,1.40062243305269,1.33998915287401,1.51963341701557,0.929052408869194,1.01692201119144,0.998075378698778,1.13083891540982,1.35976534267579,0.0740844251257947,0.652186255746612,0.314499596704794,0.373295961666836,-0.334201900358617,1.43872747240296,0.874897932757958,1.3651758942467,1.31711240869882,1.63692715528247,0.77813100421518,1.0708301599991,0.0972325086141656,-0.724860118290496,1.40204588566938,0.427848854430913,0.465937619135453,0.855379205928369,1.45750294679283,-0.230393937079851,1.14653501643124,0.419935414412056,1.11535252281678,0.758848294543251,0.891407924523154,2.21379166148612,1.86694863742561,0.671466512126621,1.84286783338443,1.99354330756949,1.06196018868368,1.0007934533481,1.95052828808263,2.28077911684614,1.42388402562044,1.42509897098507,2.00614833693775,1.0255150266089,0.889140909421866,1.62532832157659,1.24048798731639,0.781038819284585,1.1574153553869,0.813806636290697,0.525095073002278,0.31283635681507,0.526089904257171,0.747957651177618,0.461073057212734,0.291374389471191,0.860487575713547,0.706854968062562,0.917220769611305,0.125363231656754,0.378578330550872,0.614881543247269,0.789001219583485,0.946217545645731,1.10410018854676,0.756054006419602,0.693155743488598,0.514714831809735,0.787615477610654,1.34496660471392,1.52053130365368,1.54215898344945,0.715130482092099,0.949614637515996,0.725942414310262,0.767939790553776,-0.105211033538314,0.796384243647807,0.590418318646552,0.65250280513915,0.740561091579774,0.322057100370575,0.297463494848816,0.148854076844812
"PSEUDO_Bs_3 (GE) - TPM",0.695788754854863,1.45312611320445,-0.15052813205412,0.569749632669327,0.927873405496657,0.263117080348169,1.45674257663408,1.2549602385378,1.21146035774965,0.963303512067766,1.11798430425491,0.982690666363985,0.769154174207992,0.831684270135265,2.05825993467975,0.591752500770163,2.04986851981429,0.539984187001799,0.643232068756778,1.52656176328986,0.89816684978928,1.51232017533105,1.97252073912833,1.41504130893065,0.634358328571917,0.876737656815014,0.257329554600383,-0.488896715568396,0.468676489658151,0.465061037517597,0.707212082829509,0.965653871216951,0.402893129838624,-0.153860642133195,1.14519621573245,0.0880121079219795,1.08577105421493,1.28003846123699,1.63247657773594,1.42179013917623,1.96352035268095,1.22060123938781,0.81129161348429,1.67823295224057,0.859756767618323,0.549865546938656,1.94641291541236,1.93301835478107,1.29238516593488,1.32851649710907,0.88094947098528,1.01106853751659,0.733697773079632,0.977399149725483,0.662187879411135,1.6635725044293,1.35271744277235,1.06585298846433,0.630878785329607,0.240938266043529,0.358107640016249,0.550137249503642,0.422394518206059,0.0974029770811278,1.35910473780238,0.298493369556762,0.615787610078285,1.23598485112911,0.556481616937558,0.280061477616038,1.09411724047234,0.99885181083079,0.1098425656239,0.782325158504745,1.36085460416972,1.38604219463427,0.765287994048809,1.64068584685579,1.47903979359971,1.07765524786377,0.829992925235567,0.387567819356354,1.00165202864998,0.73260094354184,0.301886505166243,1.1344073470404,-0.0373268074694815,0.814481220466487,0.114735347423533,0.640032060151474,0.372950176973461,0.0298591788902846
"PSEUDO_Ctrl_1 (GE) - TPM",-0.151536731288274,-0.0143540993410879,-0.829314705410823,-0.234052154328123,0.646190556423146,0.874988824330096,1.33231105684281,0.968752208293389,1.12015552313621,0.812182152883991,0.985578206302846,0.872691770749851,1.01262674960179,1.37057983654124,1.34439220113935,0.851980892380187,-0.619610777097724,1.04883527953813,-0.0525160946682489,1.57025932034695,1.17402006763039,0.994165800209107,1.02670219486518,1.254776822346,0.710386466404115,0.599085260343879,0.483495535996432,-0.724618743184159,0.38607654284931,0.559331495591219,0.293943778166767,0.990700589746606,0.959705083766016,-0.148684490927237,0.653953604841038,-0.548595334893295,1.13282087177595,1.08086178794027,0.590454742971748,0.307999346836436,0.45821834669636,1.61893005596079,0.324085511936081,0.659575207327328,0.51639109601609,0.0516694211465519,0.933214593680657,0.989825497184864,1.38823497984153,1.62933974904579,0.976542594834268,0.841011715612189,0.997739381859105,0.341571797654697,-0.324137160412257,0.768174979911097,0.870517590151139,0.528049592896927,0.349278841404623,0.159650192444827,0.316207808998183,0.091105689153257,-0.262450096577234,1.48524084614183,0.7201305674749,1.55624787792812,0.577508969933124,0.905443247319182,0.443019739281291,0.617933244367536,0.0214227058541886,1.26680743160474,0.199720555375716,0.684788356855843,1.09699580712655,1.13075553614968,0.512484001603463,0.842613932586277,1.12779892550607,0.877465790137437,1.20987739285167,0.261496494982748,0.376077604123209,0.727711820395356,-0.315195131302713,0.709223009086646,0.853717650987662,1.3617711892985,0.959484084798915,0.557723716025303,0.730469319064574,0.657182805812589
"PSEUDO_Ctrl_2 (GE) - TPM",-0.316323441096557,0.0127228118903086,-0.569219731362904,0.676945551827207,1.53299958000934,2.14691550429469,1.45198150798098,1.42675795713642,2.13056139681565,0.927961873018049,1.31819238688867,1.15864535471665,2.4162535946804,0.736799370696684,0.997442154525188,1.73365325379324,1.80049771328586,0.359757724557036,-0.257097731259609,1.78222574252909,1.08220031758122,0.849140792293795,1.05381335073888,0.556621149141635,0.395571292410536,0.835752606222465,-0.196450195542924,-0.743815439015612,-0.0821335777502534,0.437922287185438,1.08066046725379,1.36783572263246,0.885017047420099,0.095723452906791,1.06880905399169,0.150665527274116,1.01209363342808,0.430589234219017,0.355854824418953,-0.293320948815812,0.362191979005406,0.58832614760627,0.697653932411805,0.294850739455802,0.391621798371772,1.20380005222511,2.29461775090391,2.36230536193129,2.02745263939813,1.45759866469723,0.932240755986927,0.821242664856718,1.19851492755086,0.754233041359328,0.191428040412831,1.14882413403168,1.21751388250921,1.36192788081113,0.946983506732017,0.0687404808199537,0.409141763992948,0.584635941558677,0.146441750815103,-0.31793346337132,0.131810382645098,1.98420415527067,0.786108210220547,0.0926374741837971,0.482117441242723,1.46771556554528,0.229473009150588,1.26132415046297,0.658875506017212,1.10049260428087,0.58120310209189,1.22712781102662,0.401527046457121,0.666777540942997,2.35029492963828,2.28217795461097,1.83744300962851,1.38639480579147,0.771161699169607,0.533054427577535,-0.205132605697823,1.07950443260076,0.675846171429734,0.556268553932274,0.605163325217672,1.01316538714327,0.419410740352108,0.564372496112825
"PSEUDO_Ctrl_3 (GE) - TPM",-0.0787625446493045,0.0400600765433161,-1.83893372439332,0.0313722528203462,0.720233531019421,1.81692252067886,1.12690250214993,1.30297907981479,1.57248265557722,1.18479977105191,1.10212676288596,0.689454591515161,0.914278541922596,0.955803654742115,0.0671073819105242,1.70231745873042,0.819873358535961,1.04645186846208,0.681308123795942,1.33226976652148,0.602073681502303,0.528459984363047,1.15443549425175,0.558589607350581,-0.101367306949749,0.7643717669605,0.0953605653562844,-1.01840124208524,-0.0132286905342644,0.384250964643376,0.683320265961388,1.2733097201173,0.320495099780477,-0.349490137178076,1.03621288529621,-0.483877578563259,0.968338995281944,0.569622654894338,0.308530237816472,0.300181873230435,0.587773524771211,0.316040041401337,0.57406855409877,0.0794626505955467,0.607355693906225,0.33558723323905,1.75842612995355,1.57755081967855,1.4836119042542,1.80427681476608,0.963244760596025,0.532517291729618,0.764348195683557,2.17714003546512,0.619929998333493,0.717630109667418,1.35096656318329,0.852543197016809,0.862358303594806,0.364432107802871,0.723899742870707,0.577513782122163,0.200989668941461,0.298416903991599,0.958842747267662,2.00722628342243,0.495426041765218,-0.0471024769982782,0.560363990349384,1.93202396006145,0.0402467123751676,0.682543095359186,0.103066132845435,1.19520106808829,0.718319900772389,1.24089469240598,1.14097108576428,0.876232788732208,1.9737305762338,1.96222363239728,1.77290917637993,0.74184011248405,0.439309512970161,0.564378982436804,-0.154387316333119,0.725817355453112,0.794091521084579,0.85783731780744,0.606986598831029,-0.127350027055848,0.619091261151652,0.631188418473601
"PSEUDO_Li_1 (GE) - TPM",1.73673206368705,1.28295905786356,-1.30834077338862,1.85549368294155,1.23438890448784,1.70102235259118,0.664772848526172,1.0738125435376,1.1475703540547,1.40889191381599,1.05121350720983,0.695937581020653,1.34581649723415,0.94808453805212,0.213275943668221,1.31283751470656,0.275450989225607,1.15377180782813,0.393073218514279,-0.741144816058917,0.545586680152839,0.254103221011874,0.0769660751408945,2.20818864120861,0.0702289855701492,1.18864049860835,0.580176026355949,-1.14365810036818,-0.135884940278271,0.876574435814604,2.66214488813276,0.760270066118604,0.585595893351736,-0.973079993404201,0.0719322869414025,1.82817936210019,1.15890413678418,1.03521399767517,1.58366201611627,0.0908168009978831,0.313189442444631,1.04350296419151,0.996101670059692,0.295852633450358,0.957683077507442,2.12383492890674,-0.271339447335352,-0.348586095376372,0.753690117445833,0.873285299278213,-0.669716459913465,1.30821054941139,2.05884313617425,0.67742748459388,1.22829745751771,0.615190748409665,0.952441081756151,1.08717696549325,1.80596655477932,1.32490228649558,1.36530417882975,1.15043438367253,1.13115450306851,0.737193962687485,0.303219373636022,-0.509669632940014,1.8436068929288,2.04150866292148,0.609224923777015,0.762075313367108,0.0327529126172282,0.81951754012445,1.2658395816286,1.05312696540562,0.839783945891816,0.139977784587955,0.988775944561227,0.10645126803573,-0.603534479894386,-0.259130237362128,1.6053112209687,2.01674111777975,1.11775207706103,0.864319059804087,0.224915237155854,1.87941127167797,0.977606858982494,0.93293157212796,1.01251933335656,0.880552629939998,1.97536433286479,1.76210463399116
