"","ECP_RS01255","ECP_RS01465","ECP_RS02940","ECP_RS03290","ECP_RS03745","ECP_RS24620","ECP_RS05795","ECP_RS05900","ECP_RS05950","ECP_RS05975","ECP_RS05980","ECP_RS06005","ECP_RS06035","ECP_RS06855","ECP_RS06940","ECP_RS07110","ECP_RS07760","ECP_RS08345","ECP_RS09175","ECP_RS09195","ECP_RS09295","ECP_RS09715","ECP_RS09895","ECP_RS24955","ECP_RS24965","ECP_RS10645","ECP_RS10855","ECP_RS25090","ECP_RS11170","ECP_RS12215","ECP_RS14370","ECP_RS25365","ECP_RS16045","ECP_RS25860","ECP_RS22130","ECP_RS22675"
"UPEC_Li_2 (GE) - TPM",-0.669964324413787,-0.497600664050197,-0.386597494309937,-0.298832896613188,0.201928295040798,-0.344156076251059,-0.340698704629011,-0.373175052438486,-0.225585767062642,-0.356936342897275,-0.312315664406714,-0.37484874168267,-0.526798951589836,0.223945624942393,0.325813606989914,-0.187894626967362,-0.217750297397046,-0.533640257283752,-0.660343578559727,1.21470958375975,0.203654465491209,-0.295948739122288,-0.237617669449842,-0.534175356986704,-0.189140618594344,0.770215536638863,-0.524662839708404,-0.170384512545736,-0.470200632088945,-0.686069356340853,-0.370134329702221,-0.618082228559675,-0.34583731021947,0.0842822764688671,0.180136380164929,-0.350625608515265
"UPEC_Li_3 (GE) - TPM",-0.463299900816423,-0.443900272963294,-0.518744417639388,-0.298832896613188,0.157897446134936,-0.344156076251059,-0.359541313896003,-0.602118776768682,-0.250986810228413,-0.387789468586188,-0.475355512838739,-0.13177347980303,-0.525551533586421,-0.803280948963833,-0.384766982264606,-0.173401027967819,-0.217750297397046,-0.612102366955945,-0.194325512764185,1.28641605890888,-1.03956174448232,0.340689413489905,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.104249492382637,-0.310839163883469,-0.170384512545736,-0.470200632088945,-0.294964065580606,-0.394417126024118,-0.618082228559675,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.752485461606707
"UPEC_Mig_1 (GE) - TPM",-0.705763500744375,-0.00162664108210432,-0.518744417639388,-0.298832896613188,-0.384247042588251,-0.344156076251059,0.518259586217598,-0.761913530673127,-0.563745613507629,-0.475560056726727,-0.475355512838739,-0.37484874168267,0.234597281568118,0.263105350058099,0.0560153945493879,-0.00989334630606037,-0.217750297397046,-0.612102366955945,-0.860736232261385,0.321119549035921,0.432018637275526,-1.11359385240804,-0.237617669449842,-0.534175356986704,-0.189140618594344,0.745208428073919,-1.14392724828675,-0.170384512545736,0.474017469331996,1.18479388283754,-0.693407144201685,1.50857577373132,-0.34583731021947,-0.257763685996406,-0.671553174080467,0.863798976603276
"UPEC_Mig_2 (GE) - TPM",-0.805290155119339,-0.560794767466971,-0.518744417639388,-0.298832896613188,-0.384247042588251,1.43758411557785,-0.119376904417317,-0.274100473710736,-0.563745613507629,-0.475560056726727,-0.475355512838739,-0.37484874168267,0.286000261810678,-0.439876704647405,0.748768210097672,-0.224900156529128,-0.217750297397046,-0.169036405879121,-1.08184561070091,-0.29391229039184,-0.550389264071141,-1.11359385240804,-0.237617669449842,0.800152885067209,-0.189140618594344,-0.714595657275269,0.445577551619871,-0.170384512545736,0.734959817249997,0.806362833097263,-0.693407144201685,0.73910638622625,-0.34583731021947,-0.257763685996406,-0.671553174080467,1.10417654164618
"UPEC_Mig_3 (GE) - TPM",-0.366365952390785,-0.560794767466971,2.0932801587572,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.31608678332165,-0.192740957904469,-0.563745613507629,-0.475560056726727,-0.475355512838739,-0.37484874168267,0.189351658215538,-0.0801016487033679,0.426605665156811,-0.288648029697338,-0.217750297397046,0.421822368499822,-0.903041841033,-1.37870425496893,0.844149305015848,-0.0775921962668742,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.714595657275269,-0.402083606939804,-0.170384512545736,-0.470200632088945,0.358738432504596,-0.693407144201685,1.49331276710783,-0.34583731021947,-0.257763685996406,-0.671553174080467,0.69173047868917
"UPEC_Nd_1 (GE) - TPM",-0.0979340533697557,-0.560794767466971,-0.268538282127476,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.406842509340713,-0.516568551871913,-0.563745613507629,-0.340799230299842,-0.16665691155627,-0.157141831882221,-0.388688761953517,0.518677446542174,-0.539386231112085,-0.254686402160901,-0.217750297397046,-0.0178637489447859,-0.556489224181898,-0.287514678079251,-1.15590238308875,-0.637248005327695,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.714595657275269,0.135175935499212,-0.170384512545736,-0.470200632088945,-0.385822580606199,0.377737527970957,-0.314706073342143,-0.34583731021947,0.389863941375131,0.941030353948277,-0.544973044437516
"UPEC_Nd_2 (GE) - TPM",-0.00375412299922851,-0.380229358228408,-0.518744417639388,-0.298832896613188,0.453196516160935,-0.344156076251059,-0.47208837976622,-0.515080647375424,-0.0806311474844733,-0.475560056726727,-0.358891494203561,-0.37484874168267,-0.557378395119546,0.425623406815368,-0.45686753626618,-0.278672508188579,0.0324435873770395,-0.163720565295636,-0.18915597192856,-0.55534889998575,0.37859127166431,0.144397144963106,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.714595657275269,-0.661354614477894,-0.170384512545736,-0.470200632088945,0.3711673642973,0.461207861432726,-0.389170234445231,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.230558249826239
"UPEC_Nd_3 (GE) - TPM",-0.405369926866161,0.316563524306455,-0.518744417639388,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.269078045482355,-0.162239213912115,-0.563745613507629,-0.146176480488445,-0.475355512838739,-0.37484874168267,-0.668052953730495,-0.829149702950568,-0.305296742308374,-0.262838572389511,-0.217750297397046,-0.612102366955945,-0.353186328903755,-0.489672591206333,-1.27786306917004,1.3605194965436,-0.237617669449842,-0.534175356986704,-0.189140618594344,0.812400318914178,-0.883394327298994,-0.170384512545736,-0.470200632088945,-0.686069356340853,0.80265060503451,0.123432391040067,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.24528181863048
"UPEC_Ns_1 (GE) - TPM",-0.815808062014503,-0.560794767466971,-0.518744417639388,-0.298832896613188,-0.161980198096763,-0.344156076251059,-0.48586153196283,-0.729157432954855,-0.307297697038329,-0.457568089554985,-0.413533818336459,-0.37484874168267,-0.690204661154831,0.255401122283577,-0.441788844574822,-0.239878837788143,-0.217750297397046,-0.612102366955945,-0.804055543673735,-0.213223303921913,-0.691674502739506,-0.636615542408555,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.33925369942808,-0.93046033177427,-0.170384512545736,-0.470200632088945,-0.605897243043946,-0.693407144201685,-0.618082228559675,-0.34583731021947,-0.257763685996406,0.189633288723099,-0.39231969975064
"UPEC_Ns_2 (GE) - TPM",-0.711279805318545,-0.414673559542583,-0.365965384272712,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.430428598990071,-0.687008155895365,-0.368267228066652,-0.393273390371933,-0.451793603665663,-0.365353413481529,-0.574076212612023,0.936163207467378,-0.157121838827006,-0.240526557829668,-0.116516531732595,-0.612102366955945,-0.543625679873568,1.5085704707358,-0.421449575017514,-0.422794693843222,-0.137518831962447,-0.534175356986704,-0.189140618594344,-0.428489842971118,-0.493063419550459,-0.170384512545736,-0.470200632088945,-0.594402115555901,-0.459816253212214,-0.571770898452223,-0.154650639631822,-0.257763685996406,0.641332044626434,-0.646894037692157
"UPEC_Ns_3 (GE) - TPM",-0.543958140143645,-0.560794767466971,-0.518744417639388,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.573742886850772,-0.430818364201527,-0.347733248681615,-0.475560056726727,-0.475355512838739,-0.33287769113728,-0.65152070706109,-0.00664632735556893,-0.373365073980259,-0.25350088610282,-0.217750297397046,-0.411619830984357,-0.501267876948736,0.339293789001562,-0.784102073621687,-0.752000384456986,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.0822761969057443,-0.712387051610925,-0.170384512545736,-0.470200632088945,-0.618538420517109,-0.693407144201685,-0.618082228559675,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.519118963125494
"UPEC_Oss_1 (GE) - TPM",0.471441376270135,1.10577057125371,0.078684239626191,1.1427250716621,-0.384247042588251,0.012463332562526,-0.371033269371636,0.0191817369671506,0.0095548590687557,-0.475560056726727,-0.444643271230896,-0.306775927012405,-0.123043386038242,0.31456846026545,0.42735100254239,-0.0194186504147664,-0.0857951213588074,0.718107742839707,-0.346503799479758,0.141161041027724,0.469403650251034,0.912387092215669,-0.0419039226132283,0.326379907160777,0.336230228718007,-0.0930450828983101,1.04065504041305,-0.0388593541506861,-0.309390203098465,0.887156366833082,0.433164110655941,0.43831278233608,0.152574866308386,-0.128899505304834,0.398013381409612,0.665157640683149
"UPEC_Oss_2 (GE) - TPM",2.25406782086063,1.06127081195112,0.0313008525616594,1.91320847027733,-0.180923497024563,-0.344156076251059,-0.330515718463618,0.706340591076228,-0.211858450012797,-0.376808741037028,-0.107762496603638,-0.203920170822979,0.0529308244174872,-0.33425104718977,-0.0482028797112275,-0.0950606427742148,-0.0962607780082153,0.803116005033039,0.492524461908392,0.753595053152834,0.15208105046246,1.91887553666488,0.603274863536872,0.285448151526291,-0.189140618594344,0.544363196441607,0.262042783283648,-0.170384512545736,-0.396172532790515,0.854054390556346,0.540044141029245,1.10482689329433,0.113044695362169,-0.257763685996406,0.707078441323956,0.996238071718449
"UPEC_Oss_3 (GE) - TPM",2.00736976619192,0.810855542697949,-0.518744417639388,0.689883931361716,-0.384247042588251,-0.344156076251059,-0.332273147455995,1.11313220691145,1.00908555167607,-0.475560056726727,-0.475355512838739,-0.37484874168267,-0.109420609853765,0.865390522763881,0.89121492237273,-0.212375923199314,-0.217750297397046,1.57753048713745,0.0807437018816623,-1.08086847524303,0.719457475986153,1.32421873735953,-0.237617669449842,1.41967732701809,-0.189140618594344,-0.203034533187148,1.12539200008895,-0.170384512545736,-0.470200632088945,0.133442068813719,1.31137871134764,2.11449247318767,0.679695863686009,-0.257763685996406,0.208743123389778,2.07949826885996
"UPEC_Oxs_1 (GE) - TPM",0.866924934045709,-0.180425733107029,-0.518744417639388,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.371357552195001,-0.371940227392262,-0.563745613507629,-0.332759431248969,-0.444688435984154,-0.275979347719864,-0.497916095115746,-1.3589191698411,-0.121789468104255,-0.294160502360539,-0.0201086088620238,-0.494035350652556,-0.757359791236017,-0.65602319940822,-0.64783351448504,0.164091358494045,-0.237617669449842,-0.297129908333336,-0.189140618594344,-0.342213735572687,0.0844168496528151,-0.170384512545736,-0.470200632088945,-0.367909928967877,-0.389376186345087,-0.256422285527292,-0.34583731021947,-0.257763685996406,-0.0307569686384392,-0.587566042311949
"UPEC_Oxs_2 (GE) - TPM",2.04493308553133,-0.440190641030133,0.237851374750521,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.298985618608813,-0.432181890612076,0.0816227146193219,-0.475560056726727,-0.086409443690829,-0.218105476434781,-0.139959895326549,-0.802437575568216,-0.701474645616218,-0.284689629707383,-0.217750297397046,-0.612102366955945,-0.516248692432601,-0.462138398979342,0.0743877582677025,1.1670669838296,0.423331307170409,-0.23353406730447,-0.189140618594344,-0.0848802347240493,-0.176960465845491,-0.170384512545736,-0.470200632088945,-0.585190114624997,-0.0764502873635649,-0.465186215958748,0.285361998801403,-0.257763685996406,-0.12974484557349,-0.543320564358905
"UPEC_Oxs_3 (GE) - TPM",1.34147080704869,-0.153828767327635,-0.00813375701570108,-0.298832896613188,-0.384247042588251,0.0622381595508088,-0.19665982199804,-0.428120059500382,-0.563745613507629,-0.383888557557563,-0.422857201011986,-0.37484874168267,-0.341144817786023,-0.288314956739046,-0.480952282304507,-0.29008754556334,-0.217750297397046,-0.409985971690796,-0.337690841676042,-0.265276261475115,0.215491832728016,1.39768392675511,-0.0145873559556216,-0.432727100817476,-0.189140618594344,-0.289613902520189,0.161244026761459,-0.170384512545736,-0.470200632088945,-0.686069356340853,-0.0688502448832278,-0.308523274740473,0.506129088214157,-0.257763685996406,-0.305898076159817,-0.564270781371469
"UPEC_Sp_1 (GE) - TPM",-0.371396725813402,-0.560794767466971,-0.518744417639388,-0.298832896613188,-0.384247042588251,-0.344156076251059,1.68516266593024,0.367111770988468,0.541148613431395,1.07479144678557,1.12278030263333,1.0205723703724,0.852813122827273,-1.63689119926694,-0.701474645616218,-0.289170050628374,-0.217750297397046,-0.612102366955945,-0.230731612938915,-1.37870425496893,-0.856935256492157,-0.702585965604082,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.714595657275269,-1.14392724828675,-0.170384512545736,0.227124203809392,1.38643814835972,-0.693407144201685,-0.618082228559675,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.752485461606707
"UPEC_Sp_2 (GE) - TPM",3.29506663015408,4.87176390211086,4.02532457052064,5.1834441744181,4.65488119707693,5.08077015381177,4.91938059059989,3.69387052821973,5.25031964195879,4.41930386127994,4.43021673093793,5.27349520561389,4.32853169496603,4.47610179871864,5.18599839246332,5.80380729903836,5.80419139444246,4.78397089420969,4.16842170963647,3.57565138848042,4.25954881736859,3.75262762518226,5.71681224829287,3.5285001735866,5.80485049358776,4.95845397761745,4.66361729885706,5.8319327807057,3.19919323482741,4.76680277265505,4.86470171599083,3.51419707117818,5.34058052726708,5.62311651582611,4.20954935430641,4.27244188845015
"UPEC_Sp_3 (GE) - TPM",0.285885021827463,-0.560794767466971,-0.518744417639388,-0.298832896613188,-0.384247042588251,-0.344156076251059,0.354882941564342,0.411428318003762,-0.563745613507629,2.10236948658312,0.631888426416057,0.294471676500376,1.03509296213414,-0.60140380023125,-0.701474645616218,-0.133338926203975,-0.217750297397046,1.5193200148854,0.404267181047224,-1.37870425496893,-1.27786306917004,-0.686453066996677,-0.237617669449842,0.535649202828172,-0.189140618594344,-0.714595657275269,-0.379276743562826,-0.170384512545736,0.979191886554174,-0.686069356340853,-0.693407144201685,-0.618082228559675,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.752485461606707
"UPEC_Tm_1 (GE) - TPM",-0.454050210868975,-0.122718413835322,-0.111600648106658,-0.0532297866304657,-0.384247042588251,-0.344156076251059,-0.15144492996294,-0.362679997474813,-0.0428115234679377,-0.329368515465676,-0.286983764967535,-0.324240178041726,-0.43732209208656,0.911214161527466,-0.30584113334102,-0.0492824724608075,-0.150305347525903,-0.00774930428564191,-0.474414307690009,0.322931652081169,0.21057565438068,-0.168909221126924,-0.237617669449842,-0.23083250253571,-0.189140618594344,-0.206296417036684,0.200309842492849,-0.170384512545736,-0.470200632088945,-0.116069193032762,-0.3821567263251,-0.556374253629368,-0.0910888017738509,-0.257763685996406,0.421800870419806,-0.189700249608301
"UPEC_Tm_2 (GE) - TPM",0.00214425394344183,-0.330232100639961,-0.518744417639388,0.0889550373068633,-0.384247042588251,0.0395751557346804,-0.354268800178568,-0.709383676392191,-0.358117156156041,-0.417853829258332,-0.376214136704334,-0.235011615525882,-0.61826436988759,1.15535720312309,0.131424157789333,-0.179794413796907,-0.217750297397046,-0.0395668834587327,-0.631916214959888,1.19122942501078,-0.651162451944317,-0.27218833839017,-0.237617669449842,-0.342593582962662,-0.189140618594344,-0.112672358797453,-0.459267792452307,-0.170384512545736,-0.470200632088945,-0.107507385620718,-0.20196729076968,-0.423218180685041,-0.34583731021947,-0.257763685996406,2.43582242328437,-0.219329392375117
"UPEC_Tm_3 (GE) - TPM",-0.494011653950579,-0.408545643585599,-0.518744417639388,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.222221155857498,-0.449726741557669,0.454635405455795,-0.189768257794704,-0.278955273431276,-0.355061670109059,-0.630562318420795,0.0224094151433491,-0.701474645616218,-0.04542997311905,-0.112271069933153,-0.328552474497367,-0.182319429109064,0.81971191968432,0.58438894020603,-0.0528811277201259,-0.237617669449842,-0.534175356986704,-0.189140618594344,0.676557716579931,0.28020716089596,-0.170384512545736,-0.213110909070475,-0.622395016718551,-0.303987877908842,-0.618082228559675,1.64620775193275,-0.257763685996406,-0.32956718302844,-0.26839907341793
"UPEC_Vic_1 (GE) - TPM",0.216523774342026,0.791428853381676,1.17785872887758,-0.298832896613188,-0.384247042588251,-0.344156076251059,0.720542886321415,2.19566959977441,0.883439193447694,1.65661453616004,1.79231044690683,1.0310862085089,1.81304449448077,-0.710676114871449,-0.33511044253585,-0.131529484122052,0.1569815874131,0.731039634535124,-0.0679152327809763,-0.556575170556182,-0.17520487736547,-0.575257824406604,-0.237617669449842,2.16247700623166,-0.189140618594344,-0.00855342350898517,0.301634482927552,-0.170384512545736,0.899828122806866,0.218783886693286,-0.00166992157544493,2.12477051814104,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.283450573906903
"UPEC_Vic_2 (GE) - TPM",0.0350558499418068,1.50431801823904,1.20862118271154,-0.298832896613188,-0.384247042588251,-0.344156076251059,1.68552206643067,2.62569705577879,-0.563745613507629,1.38515543249549,0.85663456759319,0.59136453006451,1.52496383056525,-0.676473580688616,-0.141964082257921,-0.0150824464089429,-0.217750297397046,-0.0992915275875843,-0.00484438161516868,-0.750927437172996,0.40611397087354,-0.908057468254692,-0.237617669449842,1.5249852690025,-0.189140618594344,-0.714595657275269,0.327845106363981,-0.170384512545736,3.01697394442617,0.350347978617476,1.41943182830305,-0.0944724321645575,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.274946131174599
"UPEC_Vic_3 (GE) - TPM",-0.044751366353138,0.39064519002194,2.46562887686654,-0.298832896613188,1.82209266288881,2.03110201697452,0.457545461449687,0.86385929126324,-0.563745613507629,0.774625237971531,2.28618306844145,1.23265303273687,1.55949054683786,-0.827348361220852,-0.0570295695669783,0.133257405143062,-0.217750297397046,-0.0214461006193885,0.217847356503196,-1.37870425496893,0.17684232332524,-0.87685674791896,-0.237617669449842,2.43050487600509,-0.189140618594344,-0.714595657275269,-0.296332484947985,-0.170384512545736,2.74302554348207,0.109761967081066,-0.693407144201685,-0.014987707896956,-0.34583731021947,-0.257763685996406,-0.671553174080467,1.44763650410252
