"","ECP_RS01255","ECP_RS01465","ECP_RS02940","ECP_RS03290","ECP_RS03745","ECP_RS24620","ECP_RS05795","ECP_RS05900","ECP_RS05950","ECP_RS05975","ECP_RS05980","ECP_RS06005","ECP_RS06035","ECP_RS06855","ECP_RS06940","ECP_RS07110","ECP_RS07760","ECP_RS08345","ECP_RS09175","ECP_RS09195","ECP_RS09295","ECP_RS09715","ECP_RS09895","ECP_RS24955","ECP_RS24965","ECP_RS10645","ECP_RS10855","ECP_RS25090","ECP_RS11170","ECP_RS12215","ECP_RS14370","ECP_RS25365","ECP_RS16045","ECP_RS25860","ECP_RS22130","ECP_RS22675"
"UPEC_As_1 (GE) - TPM",-0.523361246775981,-0.300406759182684,-0.518744417639388,-0.298832896613188,-0.211725262866523,-0.344156076251059,-0.419279180370233,0.0771123236208276,0.232465824034569,-0.447629609437428,-0.451362755864014,-0.316834995849975,-0.403048820768038,0.741314968428544,0.75987943511114,-0.0865766458457097,-0.114665393793979,-0.196432182151626,-0.882367498673266,-0.474067090697934,-0.0266269203054654,0.385824766630853,-0.237617669449842,-0.441447676111479,-0.189140618594344,-0.131920694961751,-0.0172261043837859,-0.170384512545736,-0.470200632088945,-0.312695566569545,-0.17011012430489,-0.476607722486572,-0.151154643190841,0.346257408745498,0.49822762642555,-0.365405379883949
"UPEC_As_2 (GE) - TPM",-0.834116621979602,-0.486232098885294,-0.362824375889554,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.460002351592603,-0.558059220588505,-0.164751100167807,-0.475560056726727,-0.138707001919824,-0.37484874168267,-0.290916028994069,-0.412718224356341,0.207597751966854,-0.120237878553793,-0.217750297397046,-0.241792862038069,-0.331008929989468,0.321277283597166,0.318174613394055,0.22219829033968,-0.237617669449842,-0.441240656076597,-0.189140618594344,0.064038767474987,-0.745380223170369,-0.170384512545736,-0.470200632088945,-0.249494092338603,-0.407335156318308,-0.334501515874654,0.0443973051452186,-0.257763685996406,-0.0016146566837452,-0.192121529080332
"UPEC_As_3 (GE) - TPM",-0.619176616538113,-0.245716436321928,-0.0794984562185501,-0.298832896613188,-0.384247042588251,-0.0819596899127693,-0.464160999389456,0.278973861756576,-0.423243527830252,-0.396700881052123,-0.37374333591043,-0.361199013453891,-0.214417801853821,0.0157503788465839,0.579009808549295,-0.0709511118687312,0.146063716908223,-0.416500963590643,-0.108818733817044,-0.580528026947534,-0.153804387717621,-0.30348398736843,-0.237617669449842,-0.534175356986704,0.100559691307591,1.34181910087775,0.259517821946508,-0.170384512545736,-0.470200632088945,-0.334673273989507,0.31396788573462,-0.418361779966863,-0.0710025668533825,-0.257763685996406,-0.435640759694523,-0.084610217012596
"UPEC_Bs_1 (GE) - TPM",-0.642940834420867,-0.0324296573669477,-0.0767929068435049,-0.298832896613188,0.595953893939998,-0.0803446829127394,-0.405116880367846,-0.581344777062306,-0.281010587906172,-0.435887601108868,-0.441276159373046,-0.319913525090699,-0.468502648642494,-0.484098677652706,-0.629898443413298,-0.128552781604852,-0.217750297397046,-0.152887862239962,1.66076205777366,0.0668624608196943,-0.146880712809392,-0.587723037951929,0.341504105576548,-0.534175356986704,-0.189140618594344,-0.300779395434185,-0.249603813093607,-0.170384512545736,-0.380980256700638,-0.420898967959915,0.117456846245103,-0.618082228559675,-0.34583731021947,-0.257763685996406,-0.196822125284291,-0.691395548551775
"UPEC_Bs_2 (GE) - TPM",-0.574237784324019,-0.377120354047435,-0.518744417639388,-0.298832896613188,-0.384247042588251,0.114384826824075,-0.308010589590302,-0.761913530673127,-0.072312805110952,-0.303169438972359,-0.238416883234923,-0.350977479422779,-0.440694955955239,-0.419112167038773,-0.452655851555755,-0.132079083247622,-0.217750297397046,-0.498076838984201,1.43879696467985,0.156771114428673,1.34320983432145,-0.610873703573045,-0.237617669449842,-0.534175356986704,-0.189140618594344,0.484188064442649,-0.489418386083335,-0.170384512545736,-0.160045782782248,-0.609252185622687,-0.458508073948275,-0.501655509796864,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.274663007348293
"UPEC_Bs_3 (GE) - TPM",-0.663850317552323,-0.0596183760723393,-0.0695914027058047,-0.298832896613188,-0.384247042588251,0.0133241142840944,-0.417868053209154,-0.615104664802506,0.0109386495087813,-0.260525871673953,-0.336816836306735,-0.356238617015963,-0.292814846722086,-0.0668108931542273,-0.119534478918934,-0.122164089210781,-0.217750297397046,-0.434312917183042,0.875550113826156,-0.616937337516421,-0.69403502157667,-0.543524769297037,-0.237617669449842,-0.444937521537283,-0.189140618594344,-0.340765161284965,0.514409753884011,-0.170384512545736,-0.470200632088945,-0.626182404848687,-0.510278956683701,-0.618082228559675,-0.34583731021947,-0.257763685996406,0.293380202681263,-0.338583062067031
"UPEC_Ctrl_1 (GE) - TPM",-0.72946343117862,-0.369173262024147,-0.251607759672993,-0.298832896613188,-0.0880068488712966,-0.0252355962183335,-0.492945720475825,-0.587282487407789,-0.221948434423186,-0.403620260473944,-0.392958739767557,-0.225424100898587,-0.506256008327489,-0.517937017655391,-0.35536197112198,-0.202427392949883,-0.217750297397046,-0.532796298990641,1.58218376695578,-0.213677920799263,-0.301263214091293,-0.287153942044069,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.547842079449499,-0.461099568859128,-0.170384512545736,-0.470200632088945,-0.686069356340853,0.123467902152861,-0.618082228559675,-0.34583731021947,0.0879614089792665,1.05014790964674,-0.678634123689944
"UPEC_Ctrl_2 (GE) - TPM",-0.618111691211047,-0.560794767466971,-0.518744417639388,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.374740139920096,-0.425928866817884,-0.563745613507629,-0.198740222131297,-0.316826699210292,-0.37484874168267,-0.72667888588812,-0.0826803245402513,-0.701474645616218,-0.189309936824731,-0.217750297397046,-0.612102366955945,0.677041510482958,1.23634900046422,-1.02733672681126,-0.257416027439051,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.714595657275269,-0.924970732884025,-0.170384512545736,-0.470200632088945,-0.480484728970023,-0.693407144201685,-0.618082228559675,-0.34583731021947,1.07256484780575,-0.671553174080467,-0.610397797719766
"UPEC_Ctrl_3 (GE) - TPM",-0.106698189556716,-0.560794767466971,-0.518744417639388,-0.298832896613188,2.36286186032301,-0.344156076251059,-0.243221061986928,-0.357064269921694,0.492777768011388,-0.179064234233249,-0.475355512838739,-0.220887429291563,-0.666043260159005,0.340856442883658,-0.701474645616218,-0.221390004036209,-0.217750297397046,0.123322501821183,0.685929835541091,-0.178306633416559,-0.2716127307417,-0.524072115608866,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.19914654188403,0.439080423874687,-0.170384512545736,-0.470200632088945,-0.520921373287129,-0.188401463055307,-0.618082228559675,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.638345161243216
"UPEC_Li_1 (GE) - TPM",-0.555928685437298,-0.560794767466971,-0.518744417639388,-0.298832896613188,-0.384247042588251,-0.344156076251059,-0.353445548862336,-0.466725716450722,0.591769011008632,-0.394491037090983,-0.475355512838739,-0.26259090229337,-0.387537659189755,-0.0867510671739899,0.176103378273512,-0.209114167352115,-0.217750297397046,-0.612102366955945,-0.763855793008773,-0.065835054515513,1.36341189468952,-0.683755762525869,-0.237617669449842,-0.534175356986704,-0.189140618594344,-0.150851398636404,1.16451008853897,-0.170384512545736,-0.470200632088945,-0.144204652787418,-0.14108481966234,-0.618082228559675,-0.34583731021947,-0.257763685996406,-0.671553174080467,-0.12831192883287
