"","D7S_RS00055","D7S_RS00115","D7S_RS00280","D7S_RS00425","D7S_RS00430","D7S_RS00540","D7S_RS00930","D7S_RS01365","D7S_RS01795","D7S_RS01835","D7S_RS01945","D7S_RS02010","D7S_RS02190","D7S_RS02275","D7S_RS03180","D7S_RS03255","D7S_RS03460","D7S_RS03780","D7S_RS03785","D7S_RS03985","D7S_RS04010","D7S_RS04140","D7S_RS04145","D7S_RS04330","D7S_RS04365","D7S_RS04495","D7S_RS04500","D7S_RS04655","D7S_RS04790","D7S_RS05330","D7S_RS05375","D7S_RS05395","D7S_RS05740","D7S_RS05805","D7S_RS05945","D7S_RS06075","D7S_RS06125","D7S_RS06185","D7S_RS06450","D7S_RS06585","D7S_RS06735","D7S_RS06940","D7S_RS06990","D7S_RS07400","D7S_RS07440","D7S_RS07475","D7S_RS07550","D7S_RS07725","D7S_RS07965","D7S_RS08065","D7S_RS08395","D7S_RS08450","D7S_RS08580","D7S_RS08900","D7S_RS08965","D7S_RS09150","D7S_RS09210","D7S_RS09215","D7S_RS09280","D7S_RS09465","D7S_RS09545","D7S_RS09710","D7S_RS09715","D7S_RS10390","D7S_RS10995","D7S_RS11130"
"AGGA_As_1 (GE) - TPM",0.148339764964549,-0.091499322056654,-0.488252846731822,0.00216565391798921,0.06067635791314,0.277529821965938,-0.0616067816998813,-0.249656633776151,0.516415198087852,0.298856866717566,0.119415728802714,0.598458809372652,-0.141430336960667,0.222828973551933,0.694899639802602,0.020579327471496,0.923039991479222,0.318991464389597,0.170198619433044,-0.0377876363633646,0.537985544314737,-0.00285263701958134,-0.0942940901022114,-0.676085324873841,0.14640616010859,-0.0949576024914888,-0.169619557078716,0.261882410683781,0.769487527422582,-0.166790351325375,0.0610450598731429,0.88763647896237,-0.663074601948755,0.794667935843516,0.242034158528886,0.392664908155765,0.0746044426330634,-0.380894337144103,0.0328857537220886,0.729505009061015,-0.663849298508216,0.100854751567705,-0.391765852446395,-0.402428319567976,0.46362372709575,0.365239678186161,0.0587074692500329,0.513954928798394,-0.460747200191101,0.560567906008071,0.416122136435107,-0.216069009619917,0.157039434610351,0.144138502809448,0.320897609762907,0.325260402326265,-0.0800449487650214,0.0654942257925757,-0.665287039971428,0.236311781061013,0.301495871184488,0.0510334211751182,0.395670822411146,-0.712262759521656,0.786287979829081,0.729887831013946
"AGGA_As_2 (GE) - TPM",0.452270834699872,1.21368794578253,0.818000494054955,0.794874435810994,0.163945709482949,1.77528638182974,-0.00444290930642508,-0.460199374934374,0.00839431464688392,0.116651771796805,0.152799719192917,0.46733821473074,0.590907295288759,0.0282051935207411,-0.106934641318562,0.450388421596231,0.77537855408437,0.430111453881653,0.713797851526304,0.342037808885824,0.0616458108605346,0.152397722455216,0.161096977825372,-0.0135115401410554,0.195758814244694,0.448539869203421,0.271845506920804,0.379291628912748,0.362965895755769,0.291464420200774,0.502001415798611,-0.0401793010902233,-0.298672545385575,0.0910389516952369,0.61357584878011,-0.0789941286103715,0.967329168808008,0.265551062339024,0.280932885299131,0.58812406025419,-0.579268700366543,-0.219006503938237,0.75435893229835,0.369193486990928,0.279165144974536,-0.313750480401447,0.340512788056928,0.507901069591067,-0.0453216027947271,0.489649764960357,0.33619397906293,-0.533833539777384,0.553742828866175,0.44152784848663,0.344627618507163,1.05876945752539,-0.452877965942372,0.229632700286246,-0.0083167737303398,-0.107753575178864,0.476243250961088,-0.575404340574946,0.387136063191022,1.17653732656544,0.309650028815146,-1.02492901918829
"AGGA_As_3 (GE) - TPM",-0.0252126292010911,-0.104712288567791,0.760458580113428,0.539160498286301,-0.600528126760597,0.148530530128365,-0.128340034599567,-0.578809525447302,-0.36104970935237,0.178555442114212,0.143470127553325,0.451390727216405,0.610118800426123,0.692250240046083,0.291421546927817,0.350014646024084,0.842002472564416,0.628373658154936,0.112853644866637,0.257493011036015,0.241580440844675,0.469636459452751,0.451834240532012,0.821545567028618,0.439120333341657,-0.643193750848682,-0.0495724604934394,1.11862009310948,0.781776264284906,0.228082061927831,0.702336233984412,-0.365043935394066,0.513286342524827,0.256833485699396,0.861995238793886,0.918490639171189,0.89060029187726,0.48981356650299,0.0674921799965256,1.17932068477745,1.45037993218737,0.231882333648778,-1.23734395850339,0.487423125138688,0.21016264555116,-0.916557029187415,-0.0383881761734094,1.39289805599846,0.0858538694708679,0.752490699402436,-0.133579467234981,-0.589009507735437,0.358938271116857,0.229168644175383,0.469886584031618,0.664316373609616,0.231969132492839,0.493081110673889,0.204965194788947,0.127411676634963,1.04182600623546,-0.777605260272507,0.127647197428162,0.544703920668657,-0.37492301196389,0.282841780224634
"AGGA_Bs_1 (GE) - TPM",1.91831259143217,1.78103169163225,-0.128488336173923,-1.55889828117534,-0.704381172810545,0.776663739738913,1.79841812818405,2.14648783139215,1.99431204553847,2.02873686501036,1.50862246748011,2.74821535069982,0.974236927846861,2.49518937445771,2.3284678420823,2.20575493787434,2.39758223149546,2.44741940192679,1.9722342415731,1.67125211070186,1.88388981246392,2.38817740575407,2.14733751007449,1.64602886635053,2.35159050517742,1.18762064123219,1.08642180878242,1.72032418887037,1.29581546602588,1.81354791879464,2.16127977808961,2.35662308348094,2.24030626487807,2.5874289614598,2.82483501878758,1.62046743469781,1.35092906064267,0.723049534322166,2.8581835628672,2.10450344671904,-0.988615307185433,0.887857474789251,2.92391476732761,0.803837215902348,2.41431395603872,0.743389334108538,1.66939179576074,0.205430310790773,0.869067841554469,2.0838427426276,1.87996410376957,2.05926010927393,1.74111470721713,1.97757094584749,2.79944466037551,0.678008393179605,1.0895296278139,1.80699210188971,2.47770597041438,3.08441849806655,1.62279205569864,2.21846532804506,2.21207491703023,0.928277779357726,-1.51375966914317,2.37049537756789
"AGGA_Bs_2 (GE) - TPM",2.2862338453342,1.34848818363053,2.14373004851306,-2.57511793508707,-1.64418071454157,0.495272387983337,1.64601838580684,1.56512580937731,3.22152479882409,3.02827140399754,1.65622024427601,2.7418514497642,2.28929346810194,2.63842700672942,1.15542520627308,2.8995435065495,2.34880534931048,3.23813671467684,2.84246889767955,3.52957403969371,1.42050378753088,2.55092622238156,2.53575267854962,1.34362591891338,2.82505748828361,1.35685330610686,1.67705872874804,1.72725375144232,0.830615839803267,1.89199136333916,2.32111484190721,0.957920066709715,2.45409718319351,0.808957057773405,2.59127805836633,1.14560200212186,2.1802875455308,2.74501555496562,1.49827304211888,2.83174748572166,1.87116863856122,1.36242445897671,0.902673126834611,1.79081223969637,2.68481101044439,0.394056992703876,3.25220167506311,1.21222275977877,1.86777160183543,2.91988643086682,1.66182174271757,2.25215153601523,3.85123583184805,3.16132276171433,3.06022747984005,2.94159965564533,1.69441728255418,2.66437063543043,1.640460934897,2.34389370418547,3.12904329362681,1.76964453312661,2.68657016541674,0.860087647820835,-2.00022388057512,3.4945409403498
"AGGA_Bs_3 (GE) - TPM",3.3754250325896,2.72975242489206,1.75320494182267,-0.677487074385968,-2.61980582134051,3.1807472079823,1.74797285120488,1.95246401172614,2.35951035582285,3.17179325952789,0.774685946475405,2.48040924978201,1.68493581362563,3.35956026294606,1.46598031034298,3.34147230088934,1.92539735614382,2.59596744589654,2.79373513991947,3.53127974078843,1.72314793932958,2.62122167647384,2.00983631581405,0.733373333380614,2.57276196628572,0.913465690872984,0.754994804656379,1.03695678961479,0.675408749818229,1.73874007876793,3.17254222061382,2.52890395502389,2.92458006274076,1.54299978957288,2.98413955640424,0.580220164789867,3.15443490790827,2.68459244848123,2.7344820628004,2.64772844750593,2.66544380949461,2.03713220555974,1.59593089162562,2.42997214291371,2.45976737260278,1.66924277697376,3.43708539037567,1.3768859035053,1.435543003304,1.79262181000608,2.03251746804061,1.06985578334584,2.85924373244465,3.03429939275507,2.78807200968841,1.98324213464677,3.05391762479556,2.21847132058352,1.89984883361745,1.16027384297641,1.55322315165647,3.64758352802117,3.23944313552547,1.89597299773374,-2.04989302084812,-1.12612775317178
"AGGA_Ctrl_1 (GE) - TPM",-0.627275219509942,0.477952826333621,-0.473921358365794,-0.000414551581436807,-0.0457402233476814,-0.0930965912924241,0.133410268446812,0.90351424347813,-0.627436344151338,-0.374442014245495,0.309858126148925,0.967516845449884,0.723741277533453,0.396098457476765,0.598758027102964,0.621199096188778,0.797866400399887,0.844212771935403,0.514502298267448,0.256140708922043,1.74729020816855,0.482074728947047,0.667408282708247,-0.0123723070832013,-0.155848956446036,0.11291634619331,0.708593954032458,-0.23092092913881,1.29354858449584,0.00249467412174981,0.390524078283472,0.427549091025296,0.212832409865241,0.313079842059681,0.254579755249508,0.33695497122559,0.203517856445281,-0.518265176236591,-0.300796554627372,-0.443000349522064,-0.480043987666101,-0.720044420557253,0.959538214531024,-0.910889397764625,0.433560665201789,0.622704104887079,-0.279667301282885,1.03350959001301,-0.35052685552296,0.658847777983893,0.144670121319578,-0.535210802629323,0.145499535493715,-0.0455362673814852,0.068649407157339,-0.0585088780963245,-0.370057344148334,-0.178686306976465,-0.0373241214948489,1.06384126510874,0.51298132993952,-0.0318009646657698,0.603214078218171,-1.02811356082626,0.312743029661733,0.957450070120726
"AGGA_Ctrl_2 (GE) - TPM",-0.552070192102466,-0.0883260785877012,0.487512763454954,1.61865544520386,0.785154647247028,0.902922208062869,-0.298597392018256,1.33724974417353,-0.518331366982191,-0.586434927968065,-0.370225952832265,-0.0333600006075416,0.468800220156364,-0.289678538198144,0.486588614002024,-0.532650332657594,0.0264773090093137,-0.209402689955277,-0.091007540870823,0.0112513357615522,-0.292840159686095,-0.262028000333302,-0.296077116160392,1.1536561011568,-0.260039503922109,0.234456465100495,0.862112757362569,-0.926191150530886,-0.076888678046025,-0.0994947832249298,-0.254007854926814,0.185894371645425,-0.492580990016334,0.471989628766558,0.150386432102022,-0.382057848296731,-0.215357446630965,-0.709949769584479,-0.175557978624374,-0.594751900023105,0.0506129948704569,-0.736921775190375,0.477997963542793,-0.747067881284013,0.127630652776591,-0.462849512722095,-0.156214281228934,0.109031517750491,-0.299515352442992,-0.557347431323832,-0.725679432211401,-0.990050518639042,-0.353653621945754,-0.252796291546766,-0.313439078182846,-0.0828476540664156,1.01882626685524,0.0906530454126169,0.12561444693235,-0.0655029308491388,0.0761642385395697,0.374091605570313,-0.246351657581364,0.189361650095994,0.689109088036412,0.0100557615406836
"AGGA_Ctrl_3 (GE) - TPM",-0.407724930225352,1.24643527570898,1.35737411998739,0.732897335166216,0.771586335297274,1.45843034532385,0.0305791607655837,1.60627871008225,-0.187940205761729,-0.419665051210322,0.253586435352571,0.620830707264422,1.81017765299403,0.430120468880149,1.1378399715854,0.281789065208404,0.861573884606176,0.352829467461555,0.658859565350873,0.341881062531775,0.627275334752289,0.456985453996197,0.497093203238785,0.670099945152845,0.290529028266656,0.802434558824417,0.770128225296817,-0.702309708252801,0.207933460717905,0.164485611926228,0.490317775887956,-0.032532461224907,0.241008711110016,1.49496822281409,0.595451182232416,0.263805765126224,0.137504642806184,0.0271424904908618,0.964868695887821,0.0641093331523677,0.547550394284769,-0.335336174244304,1.20821141843164,-0.817803572383559,0.637997744517295,-0.494436600982127,0.131700128131597,0.210837848254107,0.275240369476626,0.418963937027608,-0.0606882695479508,-0.314281848784454,0.141517810477546,0.25557881952596,-0.00146887273827621,0.243442486163315,0.201173824605341,0.100973830682544,0.362522001411977,0.821615451403834,0.885004228617309,0.34702163007353,0.380059483774428,-0.655847938909374,0.171107262179387,0.595676688740889
"AGGA_Li_1 (GE) - TPM",-0.246910598888174,-1.25735277129572,-0.138194016484666,-0.911152241677829,1.04184714483431,-0.559658441499703,0.71945881714139,0.0444043422823499,-0.519442842348895,-0.511400940349655,0.844576342208416,-0.1247617766694,0.445737772902431,0.818313530276288,0.0331370730095519,0.457488722888562,-0.085937636880304,-0.0349802359045502,0.386091723494811,-0.194479025422882,0.680420111615673,0.643391508219387,0.18995008884187,-0.118795193875259,0.0691176238749783,0.66699485313343,1.44175045695099,0.998210334760373,2.19069723985058,-0.0708273057530943,0.323208632649349,-0.332592127454216,1.20755579269158,-0.140300733224302,0.300893944304088,1.22265641923238,0.754215932854884,-0.294938768809148,0.434121333807184,0.431341355194458,0.861364812456345,0.536431894743918,0.561829981316556,0.318811342535548,-0.323859087534504,1.22975175048214,0.0648068525196005,0.151974622669341,0.819874305551121,0.339233975770601,-0.36965706181057,-0.387371200718679,-0.518351366485441,-0.361476426814042,-0.305714372608362,-0.275190177929462,0.822670508526584,-0.285795020826229,1.41924512479381,-0.337071916790458,0.907232608588901,1.20773324045681,0.451710605056105,2.18119511216451,-1.39895912310079,0.180719611653279
