"","CJJ81176_RS08630","CJJ81176_RS08635","CJJ81176_RS00245","CJJ81176_RS00445","CJJ81176_RS01010","CJJ81176_RS01545","CJJ81176_RS01920","CJJ81176_RS02230","CJJ81176_RS02305","CJJ81176_RS02330","CJJ81176_RS02340","CJJ81176_RS02365","CJJ81176_RS02550","CJJ81176_RS02955","CJJ81176_RS02990","CJJ81176_RS03775","CJJ81176_RS03825","CJJ81176_RS04300","CJJ81176_RS04305","CJJ81176_RS04310","CJJ81176_RS05195","CJJ81176_RS05205","CJJ81176_RS05395","CJJ81176_RS05405","CJJ81176_RS05460","CJJ81176_RS05800","CJJ81176_RS05980","CJJ81176_RS05985","CJJ81176_RS06025","CJJ81176_RS06075","CJJ81176_RS06300","CJJ81176_RS06475","CJJ81176_RS06550","CJJ81176_RS06995","CJJ81176_RS07040","CJJ81176_RS07095","CJJ81176_RS07125","CJJ81176_RS07145","CJJ81176_RS07475","CJJ81176_RS07490","CJJ81176_RS07615","CJJ81176_RS07620","CJJ81176_RS07625","CJJ81176_RS07630","CJJ81176_RS07805","CJJ81176_RS07925","CJJ81176_RS07960","CJJ81176_RS07990","CJJ81176_RS08220","CJJ81176_RS08225","CJJ81176_RS08230","CJJ81176_RS08470","CJJ81176_RS08475","CJJ81176_RS08480"
"Campy_As_1 (GE) - TPM",0.00633571396534286,0.944505690930361,1.03960443441668,0.659824619408176,-0.75343896108171,-0.957558429542368,-0.661301421094377,-1.88823289302013,1.02556639983597,0.488215735045508,0.889443705043488,1.50404272247869,-0.398749106535112,-0.367321345590084,-0.0529020198325343,0.679457800187211,-1.42358591912917,-1.11339169637283,-0.302666235179028,-1.16203518557402,0.92382012107887,0.446042551456474,-0.0652193222987777,-1.48161173456795,2.56100374043413,-0.71886784080684,-0.337362933072834,-0.142076049192627,-0.135432490032814,-0.169785901939566,-0.782606975488145,0.495241590368434,-0.0966641371325054,-0.755109762948042,-0.221623237442496,0.789982026235564,-0.0607873547531255,0.736658654158774,0.573213955516921,0.299686939371029,0.35609632460924,0.899252319960969,0.86722936941034,0.712333783377629,-0.679342933905339,-1.23578462169404,-0.720891181215363,-0.00146691636873269,0.896154001980405,1.27298439585496,1.25533663690236,0.17440267382004,-0.793547532526775,-0.79150351557948
"Campy_As_2 (GE) - TPM",0.433707629757488,0.194151245228073,0.4174845854566,0.977941376588417,-0.401029579151451,-0.822601365170732,-0.206984543692517,-0.122453240460926,0.764374090621395,1.05056122942378,0.984221079897656,0.985374448929534,-0.703415917202201,-0.535252034033027,0.555498070912271,1.30769676180158,-0.0667568921666625,-0.462051608430292,-0.431637146697696,-0.568185779720991,0.478954253725431,0.656952811070031,-0.341777111345694,0.332496628738406,0.318005740716173,-0.466122748869929,-0.545997337821329,-0.149092332559729,0.143270242456668,-0.463354942807199,-0.839080299036725,-0.66247759795292,-0.520192821984942,-0.0819135258576147,-0.633411919651575,1.21156948148395,-0.562143856395202,0.0940278532186012,0.401786313027872,0.71475056254168,0.25744106584366,0.14604519603497,0.375617582194242,1.25024045399844,0.0752317859223958,0.0805176940446487,-0.583344718463064,-0.767100434876818,0.838868254511247,0.995342412641815,0.383201895383958,-0.18863600494279,-0.249048296076922,-0.71886106257802
"Campy_As_3 (GE) - TPM",0.511649580056346,0.3232815179332,0.451029445893026,0.0624134355648793,-0.286476529377099,-0.733686955227784,-0.106861403511991,-0.392938651914874,0.939377899802692,1.18406737989083,0.656163763838813,0.6643989370813,-1.89391669029626,-1.00486947821179,0.728705504258893,0.665900014753048,-1.33042290004883,-1.22439174344232,-0.368002590210953,-0.296725893287873,0.25379868614298,1.67042932744255,-0.699419253163427,-0.444227606866224,-0.359671988799683,-0.796003219851145,-0.781140244047753,-0.867161878491155,-0.882258820060324,-0.281301195213786,-0.15416865707818,-0.984149060682349,-0.414223057727136,-0.692441947037516,-0.513668160303532,1.02373883215323,-0.272464844171361,-0.424749555258841,0.443121858463755,0.886016181687403,0.581777989139474,0.387605510576574,0.746972796225681,0.701835029402474,-0.689554728768564,-0.376369790263575,-0.696094052907562,0.531849431241094,0.808495209398902,0.724383154282886,0.370167038053854,-0.239834664186278,-0.662129801949278,-1.03413444047287
"Campy_Bs_1 (GE) - TPM",-0.997795729034743,-1.10081388519483,0.701811945505534,0.945541045032844,-0.329770665581636,-0.188113390068897,-0.34450514955944,-0.602390766949335,0.307950038030774,0.311856664798189,0.334841405547852,0.895249699858801,-0.0475527494941399,0.319117373270918,-0.109682160589853,0.176487269271328,-1.00540870441678,-1.17505108503096,-0.7784571651293,-0.278520978365601,-0.885249881284135,0.12914217054969,-1.02757036194367,0.552101898813723,0.450708361172187,0.0156563045088682,-0.553414485867113,-0.9480046834294,-0.343840391575106,-0.41364685579683,-0.327153300330267,0.435269970545063,0.0122130401033688,-0.783530825757443,-0.711621920724889,0.0277038786041094,-0.157387684661517,0.118251093655589,0.333949067065555,0.297402858800054,0.849805451058801,0.224381999396764,0.0823112682994608,0.485255223842724,0.072544897582719,-0.810045584247761,-0.981923110544567,0.587238843496951,0.604846872235908,0.775227164695315,0.54434352054998,-0.242489612764112,-0.323232510991305,-0.116682959341782
"Campy_Bs_2 (GE) - TPM",-0.822236835004006,-1.41497659312839,0.744701809330668,1.15794719347739,-0.330576337662351,-0.611413845812527,-1.34508200498938,-1.2735472774614,0.272790352784255,-0.116802152454576,0.517250891080868,0.379972942380628,-0.109162143130788,0.598794771416174,-1.05183792951496,0.131378216543548,-0.714689210676278,-0.770121560549455,-0.761912897198039,-0.110129048172974,-0.60639986816775,-0.293847315856985,-1.49953802844159,-0.738012843455239,1.16990758946273,0.128112095956015,-1.07548058240744,-1.1086492824425,-1.31764780643859,0.279961102861241,-0.474281123584735,-0.279263518055073,-0.775004472278849,-1.15342989867675,-0.781658311506509,-0.492077419910577,-0.86644040118089,0.205725080027872,-0.106039848539775,0.409061910728996,0.781488863744226,-0.0564235739566872,-0.213186143134628,0.489976371592007,-0.173171058807217,-1.94088998365002,-1.16604862617094,0.221997014805941,1.06291320798422,0.655979967354727,0.565893326721602,1.03093092708212,-0.411560604258491,0.384531909144478
"Campy_Bs_3 (GE) - TPM",-1.13938163934474,-1.10701799599193,0.667328034226976,0.879213752065597,0.00819904626156983,-0.531070187846353,-1.11554109833928,0.527520311078498,-0.215701945131636,0.382254085470132,0.264313845278272,0.235985844546409,-0.51112522078453,0.265917573766408,-0.51630972436941,0.469726440466499,-0.717147202354554,0.0996875849242235,-1.15509831887871,-1.51407170708112,0.0302306864777469,-0.113141199413668,-2.07724709309876,-0.919253675179383,0.129048806472136,-0.375100259523247,-0.834096251339515,-0.798030399936334,-1.39559191022331,0.10701728622512,0.396206787988169,-0.505892432101058,-0.937816892622629,-0.755059452195217,-1.40878749245636,-0.359701343738916,-0.636655690635407,-0.78751747504679,0.166190391598377,-0.392080127310017,1.07823615631618,0.17396433325739,0.123710469160967,0.489297146940208,0.23678046098786,-1.45592616984308,-1.49411234342695,0.553913391640629,0.56978936839596,0.693492080837165,0.426132771314142,0.404368245768035,-0.780827756261552,0.351756129241889
"Campy_Ctrl_1 (GE) - TPM",-1.19587082812018,-1.12946688245351,-0.821368540660779,-0.504608489170123,0.356315498104247,0.192088356180252,0.985422313812849,2.48043009165101,-0.708416415625702,-1.00879577509223,-0.217672533935613,-0.157770908324711,1.86744899250539,1.14850370279072,-0.087574236923755,-0.49968742797108,1.14925854277974,0.56411014454768,-0.157060903350838,-0.38749248170452,-0.176068225638595,-0.769147050376589,0.82371712590803,-0.661106896836967,-0.644510943584968,2.26714440634856,1.83152437101588,1.5777516732513,0.646998560154649,-0.25784033518506,0.498997728991379,0.702921395795836,1.013637396165,0.810600799811725,1.15814928445549,-0.65217138192538,-0.565415656991638,0.658319685902857,-0.670191965297313,-0.497027542885063,-0.899754405417626,-0.708195429265712,-0.610447006431988,0.155343866252953,0.225982189565136,0.904469710804833,1.47447729330838,-0.968857085721911,-0.540836325084403,-0.820222684419872,-0.865425446377077,0.815182708536002,2.26619081656049,1.93866398260392
"Campy_Ctrl_2 (GE) - TPM",-1.14426462834866,-0.0785675003558007,0.117268585981077,-1.10546495382689,1.67670375370234,-0.465629817428796,0.467185259828341,-0.377136769389045,-0.406019513915745,-0.910498289837449,-0.404878661856175,0.228905804009097,1.30434006095887,1.1651450810972,0.675306480673983,0.0376010563345618,0.139164015018036,0.244515934428418,0.339887661305884,0.328637608617473,0.766089180922273,-0.925555004342331,1.61571978655216,-0.573826996692153,-0.280004032223494,0.875251674102875,1.35084901983898,1.78133526748507,0.0415805398600897,-0.506179651062715,-0.750273209284447,0.507849453980425,-0.757558784035636,-1.03044820109284,0.345113755189531,-0.208179877928545,0.692326133191953,0.206961827579565,-1.20806146143703,-1.06029694020774,-0.61377410485165,-0.18092648578045,-0.180726562106057,-0.400031451796891,0.207469512793821,0.148823802561771,-0.00453500219938727,-0.771130442199282,-0.102475482783578,-0.0526359261448399,-0.692327007139501,1.39640111671328,0.977666361215173,1.55471583651439
"Campy_Ctrl_3 (GE) - TPM",-0.311402759636135,-0.53805784015048,-0.177802601171393,-0.836445765324618,0.39600418416227,-0.611866286888296,-0.387077704326263,0.691121212786688,-0.0295415580948646,-0.664325659265487,-0.21589796032109,-0.524131756240727,0.777126343416596,0.780730507021533,0.166702752107841,-0.671735450942419,0.158885314735138,-0.41567852266883,0.876857404482141,-0.160094954301104,-0.0908989992135115,-0.665679734250914,0.506069981301713,-0.546719526186096,0.514141613947691,0.716063014406781,1.23738844861246,1.70371684084596,0.0215087012949102,0.00944938316218328,-0.90973937498162,-0.53528040316134,-0.494060356533661,0.0326508382878868,1.1660097056316,-0.530046482230906,-0.112100160505977,-0.320512470367959,-0.805261425734894,-0.507728688429558,-0.386222759049229,0.179924241548129,0.238382976767485,-0.238105980041267,-0.250456446571699,-0.0507515797704311,0.732725310359749,-0.6180519055009,-0.343900569774294,-0.323408381962132,-0.637746509574354,1.90201727433971,0.711470329655438,1.42500781591146
"Campy_Li_1 (GE) - TPM",-1.40297181666863,-0.810515373802634,-1.31423905760917,-1.79411699750752,0.843305124606096,1.5648979292611,0.541038858744757,0.277004034977883,-0.892970436921572,-1.25199975447949,-0.711032823312894,-1.62239298206871,1.65400155208986,1.70140324956899,0.841434400542478,-1.40916495871542,1.74159821499448,1.20483651342139,2.44546920197955,0.834533953998131,-0.0242945755940818,-0.99722876919072,0.854240388093723,2.1417339383808,-2.53416290724554,0.559922372103643,0.533462307956737,-0.0574126118875446,0.4896228053864,-2.09078685578246,1.1327761253483,0.359656666736133,0.412375236554155,0.685706195094915,0.194345632285718,-1.17488533365929,-0.994089429475804,-1.35663927091512,-1.21484667700823,-0.685810374003074,-1.60025899626803,-1.1936747477437,-0.759286048403439,-0.570637127623111,1.26591096590202,0.851971529862304,1.3266489210244,-0.846592910980514,-0.414656484005837,-0.688268501524022,-0.962481975965312,1.53635424618891,0.732765558049081,-0.0310038094401012
