"","SPD_RS00185","SPD_RS00640","SPD_RS00800","SPD_RS00865","SPD_RS01065","SPD_RS01180","SPD_RS01405","SPD_RS01490","SPD_RS01815","SPD_RS02035","SPD_RS02175","SPD_RS02245","SPD_RS02495","SPD_RS02640","SPD_RS02725","SPD_RS02945","SPD_RS03055","SPD_RS03115","SPD_RS03205","SPD_RS03335","SPD_RS03345","SPD_RS03485","SPD_RS03615","SPD_RS03785","SPD_RS03835","SPD_RS03840","SPD_RS03945","SPD_RS04020","SPD_RS04530","SPD_RS04700","SPD_RS04820","SPD_RS04880","SPD_RS05130","SPD_RS05235","SPD_RS05275","SPD_RS05320","SPD_RS05485","SPD_RS05560","SPD_RS05605","SPD_RS05780","SPD_RS05975","SPD_RS05980","SPD_RS06125","SPD_RS06360","SPD_RS06625","SPD_RS07515","SPD_RS07700","SPD_RS07775","SPD_RS07900","SPD_RS08335","SPD_RS08475","SPD_RS08480","SPD_RS08485","SPD_RS08635","SPD_RS08665","SPD_RS09125","SPD_RS09175","SPD_RS09375","SPD_RS09395","SPD_RS09430","SPD_RS09700","SPD_RS09780","SPD_RS09855","SPD_RS10060","SPD_RS10395","SPD_RS10400"
"STRPN_As_1 (GE) - TPM",-0.71998155363242,-0.462937242478776,-0.0224363717963741,-0.614735409833319,-0.308099375317385,1.12569409396089,-0.86772629506879,1.26716715448672,0.940773791363541,0.811620075211927,0.609785498870671,-0.533141481173865,0.619816416394751,0.919989949276443,-0.215121770227872,0.690849737665743,1.55572933896003,-0.583163121736922,0.862956656227165,0.646476915065878,-0.821147373780925,0.581038876426698,0.501511373740672,0.387301174598132,-0.508853210254443,-0.852406888488698,0.945880909200285,-0.14506800135328,0.134090055250785,-0.167910767640147,0.207348562673757,-0.225241661538747,1.01698108483799,0.340993692779613,0.290021823437973,0.643274882899899,1.13777771579269,0.461854513426307,-0.731793107091965,0.291405971622759,0.901497076367503,0.887115211964221,0.538583690217329,-0.327281160833881,0.446883805300465,0.135418696282853,2.28776636489906,-0.444544929731567,-0.334646726818028,-0.98767161252337,-0.465515003059094,-0.624959175762667,-0.530242594402376,-0.215599618335676,0.314489854387346,-0.622168120999461,1.03335247263208,0.34273281407401,0.760272251965619,-0.391376653534098,0.136693853268704,1.554751973715,0.649342853409619,-0.331852971753088,1.42901702837281,0.648135056798576
"STRPN_As_2 (GE) - TPM",-0.724032287185207,-0.497809094749761,-0.63478425691851,-0.484768266885486,-0.224806995029454,0.967427459127869,-0.793426602931191,1.61639759944808,0.778434265852589,0.931450705613781,0.338622319031014,-0.425080083304229,0.857757873869788,1.00966246481925,-0.038479144192425,0.65349456745786,0.996683489842176,-0.555583104077264,0.95637323244413,0.440431702005392,-0.826503476926241,0.800921372116694,0.650506384205367,0.550717969926544,-0.529456989399512,-0.887738553731151,1.43054779067786,-0.250102353663082,-0.39177332906562,-0.109986677432259,0.277717782714614,-0.230255855274223,0.945668265872195,0.505462066465409,0.278120489855668,0.777000231600287,0.998425964148177,0.765434342074879,-0.717817232743667,0.37077589025924,0.984183101033944,1.02558046714261,0.289819365334345,-0.221949302664311,0.3903879414342,0.0743103187248745,1.24724459018486,-0.562823012294881,-0.195876274082491,-1.01597365662624,-0.634054432616059,-0.563589756655385,-0.54424856050843,-0.0590021923815497,0.568916686015904,-0.716612671685479,0.688266644645142,0.225036335237024,1.35920093397797,-0.429578731927755,0.140546504419476,0.566048326968587,0.421417110148798,-0.460782583532417,1.12786852724177,0.802511285509203
"STRPN_As_3 (GE) - TPM",-0.320996067485759,-0.557565596899703,-0.336704745602495,-0.756227869721021,1.57885608795423,0.829275430045746,-0.871602291122114,1.79337449417171,0.0402457715120499,0.229105856668444,0.690307492583919,-0.869859787111869,1.23444140824892,0.441113023137665,0.328581630242717,2.12748541610344,0.38895369411172,-0.287232931394399,0.203009603605277,1.17833562584421,-0.831801689260204,-0.112100789982823,1.79517185068541,0.104935446227276,-0.805469183357834,-0.803558943754233,2.20185295713933,-0.377446976296027,1.10951025152889,-0.504561069235201,-0.339267016531972,0.185748730619326,-0.0986416452728645,0.314309274032322,-0.10234773737709,-0.110155981535332,0.466888675512477,2.35102614182901,-0.0854135160167712,-0.662771885155893,0.236011150325183,-0.27253449554732,1.00584376137497,1.18584819614916,2.36079811307717,-0.210558270472909,0.106975410403249,-0.119381363268205,0.662088654585513,-0.931538520923904,-0.756655477650705,-0.730712418858411,-0.690098877690101,0.0382983306484821,1.2787173355819,-0.699348706725467,-0.533574784638151,-0.163171449920498,0.33520798087945,0.15886082963534,0.372952517723308,3.14748063533301,0.409201997151187,-1.09193213709148,0.423592302656478,0.314936277982751
"STRPN_Bs_1 (GE) - TPM",-0.653499773888464,-0.58333501776641,-0.207318486356514,-0.245505453736846,0.455360021514269,-0.562211569285917,0.374014970222837,0.365425075333935,1.8872771230092,1.03298256828541,0.61849877167654,-0.189687634913165,-0.0203739354733068,0.32744924215916,-0.666914424981083,0.356242258720307,-0.3318665236625,0.958915655182023,1.24718879722385,0.089488113198114,-0.707602040074794,0.0852437326127341,0.46196929341931,-0.685567374610861,-0.6953482747118,-1.02568648231144,-0.35786051185643,-0.150362799081372,-0.532593779092196,1.05065578820229,-0.229050457034541,0.0803017060881184,0.76523376105604,0.836179096902556,-0.758151102697873,0.102219308869119,0.373189203533616,0.517612439808543,-0.911567823900584,-0.799326743712241,1.48010588211639,-0.00135099959969366,-0.140558123390978,0.945563396891553,0.646691532719314,0.421947318422669,-0.510049152059475,0.519465153154414,0.100189943280291,-1.03882568047667,-0.529078063262361,-0.674451494399244,-0.633950441208182,1.18301042322653,1.34269962315985,-0.248791237466159,0.500282151974761,-0.278811647569631,1.46775932010932,-0.181749083020756,0.994790144762887,-0.706387033709878,1.10429004231539,-0.350188965344772,0.26133264548263,0.201891271774253
"STRPN_Bs_2 (GE) - TPM",-0.631802985588449,-0.644308048821937,-0.141993707122387,-0.0582171916492112,0.291283711399948,-0.555724079685098,0.536732291086416,0.218712781840272,1.41787795014968,1.41152350131125,0.0138199926469824,0.195876484805046,0.475207837323524,-0.532340880707417,-0.291499890142544,-0.0722609543244114,0.33534864845153,0.47127964275014,1.30080815451888,0.182619821297078,-0.552490694074931,1.92440459693312,0.531196446846847,-0.0793656251461949,-0.580609327486833,-1.00026389658691,-1.01967528240937,-0.198647200847681,0.257299852060176,1.4226298286223,0.109475090378595,0.056728065210418,0.702671336929116,1.35303363627763,-0.186591371050415,-0.324260578995408,0.528421043019093,0.381769398944429,-0.927823337512835,-0.742832795314067,1.39200620827042,1.32024057178619,-0.187600809612039,1.11927079460935,0.899648326389181,0.213535107244326,-0.202233753297837,0.547228198321088,0.578418216673203,-0.982165501963519,-0.900576082789828,-0.666463093198551,-0.64137201696065,0.830908054642133,1.59504226036785,0.213595879339789,0.270370288638584,0.0996862226198502,2.11411084092191,0.0311687368819706,1.05850183367024,-0.715360703699519,0.975591910797473,-0.0612398322588868,0.232248428280761,0.186913119931373
"STRPN_Bs_3 (GE) - TPM",-0.264333316242782,-0.618126744050582,-0.538555051898924,1.26921090944214,0.572557599997454,-0.823530371996865,0.669659078395176,-0.00938683425111868,0.478361012866427,0.593530892413678,0.921321775748401,-0.509803933791363,0.322622996218003,-0.770735626711178,0.635680235878703,0.609794141146174,-0.067143113315805,1.77898813375125,0.734870054104527,0.209613374297165,-0.544003509316737,0.934290696218953,0.744761789097776,-0.116225575048246,-0.430569775949007,-0.923163491694084,-0.335293523337661,-0.343548042920813,-0.199084696279323,0.775302963246011,1.0030696747932,0.443121090882141,0.265619251682804,-0.00946771697007791,-0.582091358446546,-0.035534492701271,0.941773971042876,-0.200502237113334,-0.836803897349855,-0.0110398157548958,1.4145020364677,0.283585826594672,0.344725345561183,2.06889642783951,0.75242579862756,0.264455325386469,-0.808614666936879,1.74085910987015,0.88978709791878,-0.688622525931368,-0.374989695597706,-0.62718655319533,-0.607181626420965,1.61890374778148,0.647423212652148,1.49060182789402,-0.176048484788771,-0.19355735345918,-0.241137696466082,1.196299571657,2.01654358636894,-0.292698968528159,1.7791466479535,-0.535968544734441,-0.0498931689980445,0.587373833059259
"STRPN_Ctrl_1 (GE) - TPM",-0.487855117677,-0.407128133041993,-0.187094067353806,0.708144054972096,-0.365544891820461,0.593849568461454,-0.622630384932674,-0.0346661513115667,0.47170849085413,0.326322499425727,0.131853202532691,-0.382332206494654,-0.604831716915485,0.817416568478952,-0.512899296240088,0.359785703580474,-0.314755355915608,-0.19481184239182,0.117737387756718,-0.217473029026203,-0.414372200503849,0.225768550594717,-0.0139433103162097,-0.702442303708357,-0.599663066893299,-0.693701108888241,0.764870838211632,0.366880348648101,-0.187124042165928,-0.595325434742238,0.0676688093108905,-0.384847317959826,0.126443225977,-0.386449676747254,-0.192929168754625,0.675558257784186,0.107335891391607,-0.0176433940647257,-0.642710464378862,0.568684408236544,0.396662115227761,0.516840834654518,0.240913341357367,-0.140155413261244,-0.316863289985845,0.19648323367783,0.0186768784973052,-0.867856727712591,-0.532562910120798,-0.466036810778495,0.121807790237081,-0.240976477894893,-0.18913822556526,-0.12755222933825,-0.38021267326464,0.349159003648887,1.08426537312412,-0.129267164279247,-0.17866533621813,-0.329577623823828,-0.210980849931519,0.617042221768186,-0.225125945072818,0.0409421070173274,0.213742294254873,0.0537005794696131
"STRPN_Ctrl_2 (GE) - TPM",-0.464370094294071,-0.428629142903045,-0.256534283210988,0.893074071840382,-0.346670537550132,0.605841397449008,-0.6767731684475,-0.0421453762679055,0.436344137213836,0.372525212948134,0.212257858421097,-0.427840217470829,-0.498811222065684,0.803821634624218,-0.542767709476234,0.317655474571931,-0.348159358261357,-0.133910468598827,0.148366055626647,-0.185739598270194,-0.409821297662166,-0.0220219080921281,-0.0604789624679514,-0.710979664911239,-0.602141601398168,-0.695510680739014,0.739745047614908,0.39079545830816,0.169849757050662,-0.336167270951503,0.152471855373237,-0.373777969296062,0.138593642042083,-0.385825981807149,-0.222780868543145,0.681583440776913,-0.00879350111147302,0.0299804428496123,-0.655529555297583,0.704109933023534,0.406747479764953,0.52067956545541,0.264104191998258,-0.0426830997581145,-0.430685829668156,0.219744348578573,-0.195255348710223,-0.912458991878828,-0.547432487067947,-0.461855804617145,-0.0874093606626768,-0.253223378601247,-0.158165582746661,-0.0378925359845581,-0.213975747683008,0.451627294883568,1.18215853302251,-0.127090287005762,-0.0127389799965698,-0.325443038205637,-0.318831717608252,0.522649142450283,-0.0980450403795939,0.0328113695421442,0.150610108392214,0.0659847870077382
"STRPN_Ctrl_3 (GE) - TPM",-0.479729209668816,-0.427369843290513,-0.278687196768116,0.791134567878963,-0.368163936260417,0.601166052317088,-0.631018622900348,-0.0177287558088761,0.469885102886134,0.327872019596318,0.301186169860102,-0.44711599040514,-0.532134695948554,0.918416054465554,-0.510710977602692,0.361221788838903,-0.376923795226767,-0.147452198596707,0.139296875314637,-0.182287570070826,-0.393496476175319,0.212765555240299,-0.0839612026534445,-0.751997233520113,-0.52535078247713,-0.688577800799743,0.755161665926895,0.355181510529939,0.238875636293077,-0.234429502114484,0.136298568627994,-0.341700132066525,0.0952681535588729,-0.408272051760556,-0.330225675543356,0.685955747882025,0.0734258993884238,-0.139514844016775,-0.629661465107342,0.685263352126212,0.454877116059772,0.57893729490249,0.24946461080497,-0.0739878435354914,-0.449729234742962,0.236673761268426,-0.183554629905208,-0.919836020094639,-0.471749385449672,-0.466760795516384,-0.102388479770236,-0.250909957998516,-0.198052806821539,-0.0685197076476649,-0.169802756416377,0.383994607930379,1.16977831905655,-0.125648756739363,-0.377909691049448,-0.452548619799386,-0.250076094518721,0.516166688220322,-0.171894903841732,0.069816781448379,0.176750897924802,0.086835494917885
"STRPN_Li_1 (GE) - TPM",-0.664005663558052,-0.569535433655586,-0.221048967429245,0.724044056076697,-0.578638708943988,-0.632354776829658,-0.0628983607898783,-0.605784577013029,-0.502846653467249,-0.0762901417126018,0.74596830802635,-0.0959755730405956,-0.0674041034305546,-0.0419877310684419,-0.0162637951204411,-0.467307149110968,1.68459038262713,1.47413335440461,-0.331504511727324,-0.0296226294460985,-0.264162454705277,-0.0276263309314582,0.832637271652067,0.669141358229177,0.0982025798690162,-0.380742725722944,0.514025899393401,0.290963337578803,-0.18043492496649,0.739165915180159,0.577624249194624,0.311216417545981,1.02742177187793,-0.327917687480026,0.71107986490101,0.11607893491331,1.04033342335625,-0.05575516914932,-0.441197854736255,0.657555971766859,-0.210393678679552,-0.0745713161792627,-0.519719385414174,0.238485364301904,0.288934618558552,-0.916083299093576,1.16181615124644,-0.615373574304313,0.526060976459062,0.818994431404903,-0.315991640232346,-0.226306170940175,-0.395488472555276,0.193665325214775,-0.556993980761507,1.01184624300168,-0.431740587288631,1.07786793761536,-0.557380285749311,1.02611138165082,0.389140712742211,0.961119190047853,0.950387308982786,-0.0326254594049947,-0.741297111630132,-0.567469402947512
