"","B4U56_RS02775","B4U56_RS03265","B4U56_RS04695","B4U56_RS04945","B4U56_RS05595","B4U56_RS05865","B4U56_RS06760","B4U56_RS06765","B4U56_RS06770","B4U56_RS06775","B4U56_RS06780","B4U56_RS07065","B4U56_RS07410","B4U56_RS07415","B4U56_RS07685","B4U56_RS07690","B4U56_RS08950","B4U56_RS10190","B4U56_RS10195","B4U56_RS10200","B4U56_RS10205"
"SEPI_As_1 (GE) - TPM",0.246521602951906,1.56786215797835,0.197214635694799,-0.194295124234207,-0.722970655233055,0.330525492844437,0.354943733067674,-0.226799517372446,-0.219330963239869,1.093153795658,0.437107481508454,0.0439200695637199,0.0518452124010696,0.0295535397354357,-0.296036644829851,0.0519967146848673,-0.678502634949826,-0.546605914252924,-0.611032429723321,-0.528387121317637,-0.459986069683857
"SEPI_As_2 (GE) - TPM",0.478311068242043,1.1167777492095,0.0920895593711086,-0.0184351403735547,-0.587345473494261,0.141600154991803,-0.416895914520699,-0.552586834743409,-0.34912191123638,0.964930315003844,0.606270400388442,0.620414229732027,-0.0240716285908591,0.038318016529669,-0.505770506681139,0.308870809532621,-0.950480035433547,-0.521954447334354,-0.517238218323207,-0.53975142644568,-0.494739520324185
"SEPI_As_3 (GE) - TPM",1.09262162171139,1.36026586923878,-0.11215260340261,-0.0888052922675997,-0.595528563481999,0.257321155343617,0.197720767388656,-0.187914681587448,-0.57259882493422,1.23014582330095,0.751125707898594,0.574433691943773,-0.127290692719782,-0.117918733846927,-0.623117857788896,0.322216577690993,-0.648586493747426,-0.629783504005718,-0.557640028848747,-0.556515583830968,-0.413134465878342
"SEPI_Bs_1 (GE) - TPM",0.0147321852264332,0.0639948806364086,1.76491145608153,2.06035020262093,1.72261640322841,1.87225537393981,1.47157381357742,0.914321210684392,1.12814931447971,1.45410738422625,1.19964937203382,0.457933992297893,-1.16564118485974,-0.735808266870567,1.45329083088265,1.93030180430573,-1.45247023516585,-0.938525739042219,-0.946313457450711,-1.01677668489333,-1.00113217456754
"SEPI_Bs_2 (GE) - TPM",-0.128225330765825,1.59499890159355,1.23987060375076,2.33946448882242,2.07353395656575,1.52317371448678,2.24423663997644,0.958669188846429,0.879850637625858,2.06093373771431,1.33552040060048,0.558964296696236,-1.22060286957929,-1.075792012283,1.51419445083756,0.740972836680738,-1.16346376186992,-0.982491781326072,-1.01058129027828,-1.05008705329504,-1.0281429334403
"SEPI_Bs_3 (GE) - TPM",-0.19768855368571,0.813640230449792,0.498303103982069,1.58416032771465,1.27353828410593,0.962501834281384,0.291570023309803,0.822582100636412,0.952022382082119,0.399242176852061,1.08191403825091,0.109319317069609,-1.0633450268058,-0.686436535004345,0.171591095665337,0.022118455122909,-0.619014777909574,-1.02518351676174,-1.07140837010467,-1.09843459365649,-1.03300881727215
"SEPI_Ctrl_1 (GE) - TPM",0.36475480884919,0.201915551206443,-0.222643365313217,0.214759299571202,1.37569766007578,-0.699963259581093,0.226063142032673,-0.298243135819645,-0.286639455099871,0.015035355129074,0.0253330815551714,1.39041164699352,0.0505488712080602,-0.393883380889415,1.11777128916001,0.782257995870303,0.969224901420545,-0.133313280249195,0.0896765097732929,-0.050219359981552,-0.151486497747574
"SEPI_Ctrl_2 (GE) - TPM",-0.669010027812512,-0.380353567944375,-0.221728508150436,0.47635932731177,0.614590046427394,-0.734608206996994,0.206931437652853,-0.251055499550257,-0.231864703611252,-0.464391844118966,0.467016999970457,1.10318634213699,-0.403471422889361,-0.345418372391736,1.0263028960993,0.856558166068304,1.67359397497544,0.0884237855690787,-0.110919487890834,-0.147676918382122,-0.147992769391918
"SEPI_Ctrl_3 (GE) - TPM",0.668187996876376,-0.702770646802038,0.00825691375937492,0.392244910687562,0.86099600686517,-0.489683162261609,0.656656231797364,-0.0632939599296887,0.960810711176875,0.0365792020019845,0.569005374414821,1.3317769568238,-0.523092256900621,-0.671695057984006,1.17801083545325,0.50922868989227,0.822970595075667,-0.0769742685694412,-0.176922451699983,-0.148842344733218,-0.126190579971687
"SEPI_Li_1 (GE) - TPM",1.67006760618252,1.12286859330493,2.37777119138547,0.952428510282999,-0.396957828882429,0.79553160901542,0.656971837897252,0.418165553054278,0.711162796450545,-0.0082498115083495,0.777929485909423,-0.309220948135031,-0.171454202260343,-0.396802045793974,2.03536745933226,1.97633252346789,0.555026521668675,0.123148599459646,0.0990522949102198,0.0390451769966997,-0.144071513964417
"SEPI_Li_2 (GE) - TPM",-0.620811928759068,-0.949691864158754,0.561798016484771,-0.795396250536596,-1.07344853540531,-0.0252927196676918,-0.628000980130257,0.320717434034468,-0.685890753327594,-1.13612286601488,-1.63460204256594,-1.10480293541816,0.86353522744795,1.80683712838909,-0.707863436374686,-0.176558362175838,0.333219338117688,-0.541687498629534,0.0941469590984297,0.0184292319508479,-0.273954841226709
"SEPI_Li_3 (GE) - TPM",1.5409793441521,0.0421824113636228,1.56224337311145,0.0314350404219876,-1.01679436444518,0.115056931734784,-0.351448638941585,0.230021541340353,0.332136271593842,-0.286558370049366,-0.24943358021836,-1.04747020780621,1.92914681829302,0.908665693470511,-0.0611845575710189,-0.0193221064007686,0.45393168320144,0.114188103052196,0.303842550790581,0.0349294508415389,-0.207087631755726
"SEPI_Mig_1 (GE) - TPM",0.944461773944991,1.74735268622431,1.03367728481124,1.09334186025773,0.682786033282561,-0.432978035416441,1.41338898755601,1.2186583956365,1.62559642392618,1.86420095851097,1.05613419291699,0.869308297155747,-0.847915228074459,-0.978026103815076,0.76901208610705,1.26060511790107,-0.488491132849726,-1.11889844557392,-1.17066929290198,-1.15531035785494,-1.09799327162931
"SEPI_Mig_2 (GE) - TPM",-0.0956850750577288,1.30841864398133,1.69377315981209,0.781568738574787,0.0748191264345477,-0.365941002428292,1.09149239975667,1.64645696182399,1.77491454271416,0.969957579673455,0.466246685741625,0.92835411989717,-1.11427455663093,-0.946594330617286,0.96044309802645,1.01468094297767,-0.758033193904852,-1.11295158325279,-1.15987073340785,-1.16178818925207,-1.15905691240904
