"","SAR_RS00560","SAR_RS00565","SAR_RS00570","SAR_RS00575","SAR_RS00580","SAR_RS00585","SAR_RS00590","SAR_RS00595","SAR_RS00600","SAR_RS00605","SAR_RS00610","SAR_RS00820","SAR_RS00825","SAR_RS02160","SAR_RS02165","SAR_RS04005","SAR_RS04010","SAR_RS04015","SAR_RS04020","SAR_RS05625","SAR_RS05630","SAR_RS05635","SAR_RS05640","SAR_RS05645","SAR_RS05650","SAR_RS05655","SAR_RS05660","SAR_RS05995","SAR_RS06000","SAR_RS06005","SAR_RS06010","SAR_RS06015","SAR_RS07020","SAR_RS07575","SAR_RS08150","SAR_RS09275","SAR_RS11840","SAR_RS11860","SAR_RS13375","SAR_RS13380","SAR_RS13385","SAR_RS13390","SAR_RS13395","SAR_RS13400","SAR_RS14000","SAR_RS14005","SAR_RS14085"
"MRSA_Ns_3 (GE) - TPM",-0.610208360557657,-0.501869123878176,-0.51531030427802,-0.434254403778239,-0.620438751765828,-0.54178202147428,-0.709943325747576,-0.717962895839873,-0.886263896196088,-0.517678477471093,-0.356790274671151,1.09982046866819,0.387241729147289,-0.629691654243296,-0.608864497978051,0.100066523092274,0.769870950431629,0.986859649417986,1.42783581666915,-0.705410809163181,-0.964204238662471,-0.770743490646756,-0.798230593545002,-0.790361953253102,-0.875324139983519,-0.820543409429012,-0.793624273416192,-1.66930087480138,-1.30091342822298,-1.20766738419875,-1.2959102888658,-1.25243100195212,-0.592197817023726,-0.981032303619865,-0.656445243451148,-0.989888529518012,-0.37965431513504,-0.735825473932801,-0.881207726652699,-0.77775656364534,-0.775305285290772,-0.799001455400019,-0.545042505195431,-0.492830573500329,-1.32654485862026,-1.51798648545379,1.11734641141727
"MRSA_Oss_1 (GE) - TPM",-0.593212972447346,-0.513760097937638,-0.540034753041506,-0.533896730360633,-0.51909141669588,-0.437734783661465,-0.69476789367437,-0.527221534766754,-0.5064526609758,-0.595048861081269,-0.109748630624984,-1.01016124336939,-0.911523222298327,-0.702323411528842,-0.756042341711309,-0.929391902373105,-0.861381323537627,-0.751394301384705,-0.691615848289309,-0.688524651631687,-0.787538311296553,-0.750306445306891,-0.730661906346276,-0.7480045161941,-0.758489960525981,-0.64548044038405,-0.743273220442766,-0.403123233638511,0.184704119716531,0.282224910741961,0.332308641518767,-0.146008485967184,-0.512637563225459,-0.132068753450321,0.35711027145695,-0.541638800326179,-0.849050367754286,-0.473613905726181,-0.597703045097733,-0.620342682043648,-0.700986362920713,-0.789032544700477,-0.777306129886112,-0.797168581554086,0.601085052934243,0.478089843285919,-0.061243272234636
"MRSA_Oss_2 (GE) - TPM",-0.582697490868757,-0.326080773962296,-0.583160003207471,-0.503755761485593,-0.730594008092302,-0.602987371420364,0.326883882838412,-1.01258062564338,-0.0468459297491738,-0.388584996743841,0.50293046520355,-0.874444446356496,-0.912198833543443,-0.71434908947485,-0.71253758627559,-1.05737574299376,-0.940229183909026,-0.852269844659945,-0.68787691875458,-0.644838534781358,-0.721594631979556,-0.618628684527103,-0.691255831567395,-0.816059101586543,-0.827421499779569,-0.836578495385537,-0.644788718349096,-0.686195457500974,-0.46147832649878,-0.110379735016325,0.364182174567457,-0.472753110996635,-0.862903511821873,-0.981032303619865,-0.302954363180874,-1.07688339532756,-0.896192023517629,0.414392826540649,-0.0537263173657664,-0.666753769984578,-0.705073271252416,-0.864380788742388,-0.72775222328461,-0.702019711533874,0.927791097703372,0.208050634436127,0.0721945619841371
"MRSA_Oss_3 (GE) - TPM",-0.573446423456672,-0.559732648951939,-0.504446785257487,-0.585065488378523,-0.570853529569962,-0.48014777633712,-0.635997703145039,-1.06251904071943,-0.265969725288743,-0.464480290525638,-0.546896312135333,-0.927345313969239,-1.06544479129462,-0.732414914376716,-0.753131781692353,-1.04735442333635,-0.769289327329395,-0.725680461003379,-0.652716044493108,-0.709515751484923,-0.711447321987418,-0.805441400575921,-0.783730953074639,-0.778794653993075,-0.724155252603682,-0.650553614576821,-0.657423363998601,-0.608965328714064,-0.102240036119561,-0.974369091892115,-0.41352768968223,-0.656760954397669,0.124106994822226,-0.981032303619865,0.378197915935992,-0.45360605317526,-0.782303271950879,-0.832975415220999,-0.602429573108145,-0.650968545242268,-0.606455606284824,-0.798991456926729,-0.576333801617692,-0.63082831489488,0.195978156798723,0.451702059665067,-0.0136801931086393
"MRSA_Oxs_1 (GE) - TPM",2.76032520226598,2.57184388898829,2.32050200419473,2.6351117718857,2.58332452507127,2.691522747897,2.7113041918827,2.28424406094058,2.76497104650129,1.96505451325097,2.39474334607857,0.89893448755256,2.09766998904789,-0.337423642288136,-0.185842100053041,2.07461622691143,2.14134424504027,2.42911654899811,1.41216322275122,1.30673821555683,1.16678377517086,0.69611689295401,1.49867374570161,1.26333801804924,1.66043052143491,1.47593490135905,2.31222198257776,1.20548620025451,0.59376951275249,0.202277259682211,0.532638937749014,0.711340395406772,2.28739981595615,-0.312476960257468,1.9789535375366,1.55733325925843,2.25382022311847,2.14902532746726,2.22732167099544,2.294237179733,1.75651068811129,2.33677642863103,2.40536729679592,2.18933747124369,1.34442819949772,1.48288606873431,2.32932771646534
"MRSA_Oxs_2 (GE) - TPM",3.05091891675428,2.75945044767983,2.60239492594399,2.5159051779644,3.04389577039194,2.79935534936629,2.15565980756541,2.38495957203066,2.41239710317213,3.15144208336092,3.05903847919149,1.80342563810761,2.01714323984308,-0.250741154267645,-0.217484374009646,2.23888098062043,2.43280967135192,2.42650164640679,1.47860609533037,0.898038876132892,0.695068700166071,0.642396184946677,1.35054765463388,1.24016356304633,1.48284394566816,1.57216372143566,1.71629149485604,1.09316457480732,0.506833360240746,0.537067099040136,0.343307370173187,0.740256445666354,1.04616811318755,2.7957802513586,1.70168045998324,1.49132219793782,2.24759660864223,2.20409942197248,2.55662707613932,2.32226960966715,2.50722007558426,2.38818356534889,2.46817936653558,2.17875320137446,0.988862003003059,0.816302231749085,2.07874940934254
"MRSA_Oxs_3 (GE) - TPM",2.25753634474786,1.70166784182431,1.88311460976333,2.0914718967314,1.42387357317259,2.06948766032413,1.07438019971587,1.46935771817578,0.402920462122653,0.682330172626503,0.95350037971416,1.69014193050152,2.02802752521068,-0.194103299700919,-0.034611035970701,1.84176169347229,1.97564814287311,2.10159570679197,1.50036482617205,0.651640364755386,0.741929268434956,0.595933430640126,1.40303200506554,1.40480159742199,1.11326228475246,1.69051000605597,0.74836811354746,0.877799436519273,0.140358553761029,0.196536440001844,0.300727787039586,0.428976499561861,-0.135477977242695,2.18780242181657,2.39553056785497,2.6338177663179,2.34071243026963,2.21389272312714,1.728746293179,1.90786802369497,1.97016349071008,1.61885633296211,1.76536235888654,1.83215708847115,0.995960620540859,0.596020198192816,2.74754064426614
"MRSA_Sp_1 (GE) - TPM",-0.538837753138012,-0.502649234983739,-0.48945106612916,-0.475647265734933,-0.495142011050521,-0.521224540700887,-0.1241299408064,-0.291301632338241,-0.319235821641467,-0.423182595612021,0.230766546923018,-0.222235840807778,-0.627924041004824,-0.673382182776248,-0.67150423619962,-1.10595181787356,-1.0020796631613,-0.994575562984016,-1.02223625883797,0.112939768926394,1.08633435060021,-0.0980190106832044,-0.261243751842938,-0.321720420831062,-0.224540622233053,0.0571894839495183,-0.365292820428994,0.35054906298105,-0.572135199124922,0.0758869449321817,-0.750726255051808,-0.773841985243784,2.15864509452092,-0.453959771162565,-1.27008344208503,0.644746199169876,-0.72262583400211,-0.651059079739852,0.0557772072533518,0.05527474193315,0.518534958405284,0.0627736280755105,-0.260395932230496,0.0400104049489466,-1.13044603084865,-0.978099731973259,-0.415996516352933
"MRSA_Sp_2 (GE) - TPM",-0.55716280891945,-0.522029795488531,-0.512424533803441,-0.548738123961483,-0.539193410431607,-0.576506292010739,0.0496673293533366,-0.331806143213346,-0.357713451866775,0.0393543816052011,-0.397466305893845,-0.535893906077728,-0.836462211741395,-0.594510393002447,-0.660386890334822,-1.10120826143739,-0.977845329798819,-0.973917882257226,-1.05349143473832,-0.0683647118531673,0.605261296147215,-0.22264330673359,-0.23917244318851,-0.365836679218879,-0.314383233039694,-0.28630770958961,-0.202580117825792,0.490825178946449,-0.583708529607163,0.393819251178993,-0.691493336907516,-0.630564818575099,-0.862903511821873,0.179382901367083,-1.24761290424159,0.629089297738092,-0.75099020886147,-0.351347571853071,-0.14816428807198,-0.0657232111647927,-0.0856526454727985,0.0565474288435042,-0.343785731937133,-0.178230388325091,-1.05951773551302,-1.17150728660076,-0.57364068863731
"MRSA_Sp_3 (GE) - TPM",-0.553813663060553,-0.513597575186366,-0.568734100822147,-0.522072897802932,-0.633007664216916,-0.505103586192023,-0.0703091311048825,-0.221570864731149,-0.295600278565363,-0.240666962427941,-0.895117229083158,-0.506242261889662,-0.706411879550035,-0.710958411618366,-0.694257674104181,-0.987984301628274,-0.941978932042938,-0.946882427217874,-1.07129600151844,-0.0933073930604622,0.50222399277273,-0.264438236632527,-0.365910071929998,-0.433606133835621,-0.431263629416749,-0.444507968540521,-0.321046848099959,1.22028813753495,-0.0119388721420753,0.5870016196623,-0.809758330701411,-0.680743542261877,-0.862903511821873,-0.413055758761628,-1.27861547525407,0.12090993832275,-0.795144431089677,-0.529665136956705,-0.135262852398512,-0.160329126949171,0.117313096544178,0.168220253044937,-0.197568089925737,-0.107013937989522,-0.824550669981478,-1.11541105939786,-0.424817526763508
"MRSA_Tm_1 (GE) - TPM",-0.528348753762691,-0.438764294087273,-0.500631854935872,-0.487314223369243,-0.256060281053624,-0.479946582269317,-0.377184881787648,-0.355605262769729,-0.490188197507971,0.208901953819902,-0.719720778856342,-0.917001833160809,-0.771044073806521,0.307065180521277,0.279005727777331,-0.860285373849162,-0.726872607197366,-0.697685793566392,-0.779680798849682,-0.573598419859395,-0.621204976089961,-0.629589830943867,-0.452959125057682,-0.448145098463811,-0.500156224999885,-0.513542171792038,-0.507237738284064,0.0239608064207145,0.566119750741622,0.157224548885437,0.74754989566561,0.798517453711372,-0.37487900277609,0.237454362016452,0.2604480773134,-0.845438262202372,-0.731099828364099,-0.703988240633166,-0.526202713310125,-0.552588099085135,-0.57816698448758,-0.619481466062397,-0.713594521167032,-0.722775007331004,0.126204700432192,0.0867530053807467,-0.307620802790707
"MRSA_Tm_2 (GE) - TPM",-0.550034433896334,-0.49502938910645,-0.512348147522358,-0.525227115454153,-0.347379430594919,-0.470240710647639,-0.509536460204026,-0.600833559478608,-0.456004990837163,-0.0896621234104551,-0.318011173347107,-1.06957224403781,-0.880345229538463,0.510182102144242,0.31461479469661,-0.912420266771809,-0.797066599747448,-0.713487073699248,-0.833102194628795,-0.602950978763606,-0.680375003027575,-0.529534823178928,-0.627974597232152,-0.528712406934222,-0.585625113926144,-0.382338988443999,-0.422585064466862,-0.00708290352470581,-0.199034806596,-0.155149444638416,0.197349253199989,0.217898949295121,-0.620740029428461,-0.184459739420765,0.457644700605369,-0.197290701707187,-0.790472264215841,-0.687251562107838,-0.634174137505064,-0.613969013732047,-0.574450254243514,-0.584880763011137,-0.756497432021637,-0.797058333653196,0.104563599746654,0.19220860266541,-0.403629332834916
"MRSA_Tm_3 (GE) - TPM",-0.554817164568059,-0.527331017004729,-0.507172894855403,-0.437093793728126,-0.463299940384114,-0.445094219828144,-0.82259707133208,-0.26810401001533,-0.523788598383995,-0.322234101817011,-0.402926951375306,-0.799863477043924,-0.676832761094676,0.38800512984543,0.363427488492394,-0.714017461568022,-0.777585643946332,-0.645289868073929,-0.854307279078531,-0.543479007118498,-0.682524617806169,-0.5852385307084,-0.499702936461717,-0.37477985650371,-0.340186760866307,-0.405581218031326,-0.469680732302138,-0.181325566908656,0.127505315773199,0.106103335553895,0.0972283542262412,0.290554346482357,-0.862903511821873,0.215673292292278,0.0273120019822268,0.687405520056848,-0.643185269919635,-0.484628449947599,-0.481735033290217,-0.529341485327135,-0.463762257571967,-0.433118602331027,-0.521144467264089,-0.702612469195273,0.103221085008145,0.342094789171882,-0.614651616590328
"MRSA_Vic_1 (GE) - TPM",1.32266474968535,2.27340495063676,2.29175582904249,2.15832071213359,2.14494184982673,2.00605567118011,2.81337867036341,2.10125867613066,2.33851739730759,2.72139767005463,2.47264439158796,-0.0466196008839107,0.0580188109433683,3.48027924810799,3.19334571110902,1.21494882086049,0.854875558499261,0.633319403133407,0.764110241722221,2.3326367900004,2.02029809102933,2.74973579137025,2.29086198950713,2.44998930539095,2.95150169849501,2.82444585589034,2.56162430334505,1.99563046421653,2.87194050559042,3.22521033180141,2.04939272558096,2.40553601923711,0.772958452757949,1.82261127390777,1.57010216100409,0.734851888336381,0.304998054017323,1.21382449638484,2.10271058748245,2.16027378550887,2.74270737110528,1.97066513874073,2.16619996299413,2.27902741034672,2.06781635332351,2.15031786582402,0.664874577736834
"MRSA_Vic_2 (GE) - TPM",1.42759060007658,2.1967676773752,2.15161160972191,2.02490279387964,1.65259688228316,1.56920925393648,1.7637288308076,1.81845149427986,2.14493672019694,1.13294347377282,0.666100577022142,0.50080607512376,0.12094444602343,2.52631174433702,2.75309628766418,1.1595160604958,1.041308842444,0.763694432687709,1.05499136178094,2.81424353202653,2.66487717018148,2.63357017147185,2.77903706214685,2.74871833128217,2.29526776686648,2.25585274882621,2.25354781206615,1.74961228164429,2.25894611818409,1.9042668107087,1.91749581629245,1.86119793644152,0.443804648281434,0.816678443452602,1.57175928775246,1.3088179376496,0.294452480103821,1.38439680045491,2.03104324069848,1.80670424781683,2.03441563181978,1.81500725405842,2.17673942704569,2.20556213880803,2.41171782176915,2.19644058511186,0.683063589693543
"MRSA_Vic_3 (GE) - TPM",1.31313430072612,1.33780901389663,1.73706219954016,1.49930478655792,1.58778967000885,1.5842339753085,1.63968526602502,2.27627927025633,2.01255990119765,1.82163903485251,2.18574623888336,0.145235558150829,0.246798166079112,2.07954493763465,2.20266789759558,1.02939854832772,0.726047493168999,0.640232657433408,0.761458886809536,3.0784584177527,2.82930492739235,1.99864405597954,2.76051152934125,2.82025461566841,2.37842669575442,2.56964116553408,2.64616155821441,1.77886844185668,2.84052570376273,2.37395651963093,2.95313478058901,2.14044838228473,3.32150661728395,1.45966397886116,1.02975823364936,1.24227569284558,0.277432673363141,1.44096280874619,1.64157578097466,2.07644502819373,1.29190646125664,2.21182940144137,1.53607001254297,1.69698879920286,2.05471253589208,2.36335241365212,0.30614555653485
