"","SL1344_RS24250","SL1344_RS24360","SL1344_RS24710","SL1344_RS23640","SL1344_RS01295","SL1344_RS01630","SL1344_RS01860","SL1344_RS02415","SL1344_RS02445","SL1344_RS02455","SL1344_RS02950","SL1344_RS02960","SL1344_RS02985","SL1344_RS02990","SL1344_RS03000","SL1344_RS03910","SL1344_RS03920","SL1344_RS06810","SL1344_RS06815","SL1344_RS06820","SL1344_RS06825","SL1344_RS08215","SL1344_RS08375","SL1344_RS08680","SL1344_RS09340","SL1344_RS09380","SL1344_RS09640","SL1344_RS09920","SL1344_RS12550","SL1344_RS13000","SL1344_RS13020","SL1344_RS13025","SL1344_RS13030","SL1344_RS13035","SL1344_RS13040","SL1344_RS13210","SL1344_RS25770","SL1344_RS14525","SL1344_RS14815","SL1344_RS14820","SL1344_RS14825","SL1344_RS14830","SL1344_RS15595","SL1344_RS15600","SL1344_RS15770","SL1344_RS25880","SL1344_RS15960","SL1344_RS16330","SL1344_RS16335","SL1344_RS16425","SL1344_RS16475","SL1344_RS17025","SL1344_RS18160","SL1344_RS18520","SL1344_RS18535","SL1344_RS19305","SL1344_RS19330","SL1344_RS20020","SL1344_RS20765","SL1344_RS20845","SL1344_RS21465","SL1344_RS21910","SL1344_RS22625","SL1344_RS23430","SL1344_RS23435","SL1344_RS23440","SL1344_RS23445","SL1344_RS23525"
"SALMT_As_1 (GE) - TPM",-0.514368342912922,-0.576871068393487,-1.02960433923283,-1.15986427020657,-0.787358647659262,-0.283147780672021,-0.411831599001118,-0.858267148188338,-0.200900793764864,1.35888822459137,-1.10194967130298,-0.641399375937501,-0.193233264047879,-0.537124467428798,-0.424189036865103,-0.372582693142068,-1.26958440804146,-0.530003817475397,-0.499503841824328,-0.536541870133606,-0.486044148059205,-0.237013978063671,-0.838184536077615,1.48598055068447,-0.318203068398314,-0.83319245576885,-0.914875638794485,-0.92546550917249,-0.555358348195175,-1.17712126038317,-0.376031916457093,-0.311859287018179,-0.625390971859785,-0.64487472410675,-0.13247722383667,-1.12470742012613,-0.431805407790379,-0.525110471172546,-0.630410068341928,-0.656517162150792,-0.641253413399339,-0.509855021274073,-0.234792096339512,-1.02213710332167,-0.797157967729191,-0.89150442778479,-0.561050854035738,0.506662982042374,-0.146888854023951,-0.815571025230152,-0.452910263565948,0.637449680656634,-1.11193678428823,-0.640583471315109,-0.336606403885233,-0.838816756284811,-0.476160214120184,-0.327955521302433,-0.299953275719358,0.246705713911332,-1.03991404792937,-1.02302634448401,-1.04524870506584,-0.851188474562773,-1.26617550800699,-0.952328740453706,-0.724265192768998,-0.103498636943486
"SALMT_As_2 (GE) - TPM",-0.540036265029156,-0.744102372106113,-1.25171313843402,-0.962262882094596,-0.736761822391361,-0.0889581067735237,-0.531038776815524,-0.867726151990988,-0.786484482102461,1.61970612590467,-1.07446357093751,-0.644657645967541,-0.0210439816557608,-0.641766644210207,-0.491934892267479,-0.425677459178896,-1.56617595862472,-0.521398406594993,-0.493299892163062,-0.532497933505269,-0.535754617663163,-0.189366801601497,-0.54728278872616,1.30291530192018,-0.271277461107796,-0.699133934485347,-0.917331013041311,-0.745986596862592,-0.523495236879349,-1.20587662811543,-0.190408135241217,-0.153751141171264,-0.600971458566697,-0.69507524458892,-0.181581249245855,-1.35875985563314,-0.670618150933914,-0.559300228212653,-0.627323392818753,-0.648534315847174,-0.623735810821582,-0.534443770695197,-0.39584586128487,-0.745709375269854,-0.804175487155271,-0.420794168781382,-0.531961600612841,0.335101096563998,-0.0930549198399495,-0.827030378311197,-0.648813200378489,0.693628590296381,-0.666825794507235,-0.645329740917637,-0.412496395347163,-0.382482879951437,-0.558568331261363,-0.568152848275281,-0.389446667135313,0.258722995274471,-0.823891648700884,-0.373988394848225,-0.913107759477794,-0.880087125475617,-1.07229180585658,-0.938135246613901,-0.514437031535903,0.272377513215448
"SALMT_As_3 (GE) - TPM",-0.541939444742047,-0.744102372106113,-0.512195616464567,-0.710703031138092,-0.559802590960175,-0.379351964980884,-0.443916074732624,-0.795530071397155,-0.247625949379848,1.23877613934267,-0.808871898446449,-0.650907965510437,-0.311145267780146,-0.587079799721391,-0.628299288566691,-0.417323616693507,-1.13747007103291,-0.519694665760387,-0.496499040997062,-0.528379793814593,-0.495643423975888,-0.141990134177942,-1.02367580982615,0.951098749750765,-0.377724361713121,-0.752068219424984,-0.888511650558026,-0.926931811522871,-0.554269074067775,-1.13572847740775,-0.223166729694145,-0.317262739051646,-0.634056821465839,-0.707799211801261,-0.373388492790788,-1.25903672621033,-0.638762195889291,-0.559300228212653,-0.633478689911001,-0.654721738178999,-0.638266839136995,-0.539331931250006,-0.504499021623485,-0.844746228481474,-1.23092200773223,-0.466958109496823,-0.584480999190401,0.224354206984152,-0.23402777821484,-0.891052885392637,-0.546210810422301,0.416649636416943,-0.926817961967772,-0.642690788257333,-0.728977999745483,-0.8173849285952,-0.56399956093425,-0.399392410246562,-0.494694549045746,0.345327339494516,-1.17497875262154,-0.834525403483477,-0.977561175189211,-0.92883556901047,-1.01248930509109,-0.97452011037607,-0.959770663336795,0.506467417508052
"SALMT_Bs_1 (GE) - TPM",-0.591635115623298,-0.487280784675581,-0.670459425793152,-0.324455681825798,0.387579766495366,0.104865405865461,-0.528455451720093,-0.7602674834241,0.298347810988651,-0.351893956011764,0.226779192273106,-0.660969042794794,-0.741400190926905,-0.608278550608131,-0.748394497056464,-0.541640704340105,-0.294390038805509,-0.509003730929202,-0.496398370452178,-0.516405367158956,-0.443505519426398,0.189224857443672,0.574538938720742,-0.731743283441885,-0.596089327680255,-0.612711631371038,-0.214433111372767,0.31758582534548,-0.55106693223402,0.0431874780750877,0.0736663635688511,-0.235032427941505,-0.578065453750739,-0.50865499126873,-0.657038244031045,0.456849505166408,-0.543374331493656,-0.454287978418878,-0.645409596822827,-0.661725766052265,-0.628829977168243,-0.658862252883496,-0.1890547963647,-0.118230204877339,0.688689186438895,0.254342357429914,0.576643318388659,-0.641310888013473,-0.809272580053325,0.667857019736113,0.860378531122068,-0.26768319769856,-0.156787017322994,-0.409628926066481,0.28862226679381,0.320061444152482,0.308152322325863,0.0354739674706545,-0.365642873151926,-0.542482028744191,-0.446518477484457,0.0222048085051775,-0.802515271798892,0.837083976530203,0.185455191470217,0.0183540774127215,0.489981458732332,0.248456191629221
"SALMT_Bs_2 (GE) - TPM",-0.593508607734377,1.72575843187464,-0.544921363779615,-0.665965558339711,-0.129888784640947,0.69890189373479,-0.559325836232207,-0.643493500752472,-0.948352306194804,-0.444981180716303,0.460744785811121,-0.647175365348603,-0.659573668311839,-0.529665064235802,-0.615628601689907,-0.567172728364689,-0.251037832083092,-0.521644712160692,-0.495871821638775,-0.498644503809868,-0.44560092227177,0.309199997753793,1.08827036850371,-0.840331676710117,-0.619781198696532,-0.75346835434138,-0.223046825135686,-0.440240750642644,-0.555768127323297,0.0706097720656697,0.29395177809855,-0.209208455777805,-0.527998683729319,-0.525373263994427,-0.603871782371739,0.762728674334478,-0.591800201048027,-0.559300228212653,-0.642988742590024,-0.667905019514022,-0.65580235267129,-0.655712486355948,0.358097652793788,0.232997990894901,0.162143231770907,0.908663220369985,0.827272661935316,-0.725445318632117,-0.834334580557726,0.269215868660845,1.07426095497243,-0.194335520687892,-0.0651258212654573,-0.33909333813178,0.453323590614023,0.794003162537872,0.20958472640759,-0.0097237390203049,-0.27424575325355,-0.460228658157268,-0.0548819584453025,0.0590390697452039,-0.859861978861101,0.905982824263247,0.12392126593315,-0.109544246929381,1.1073843774367,-0.285485744222029
"SALMT_Bs_3 (GE) - TPM",-0.59057851389064,0.536804457641913,-0.56003980223378,-1.15112947613433,-0.279732660680053,0.546730452349126,-0.581486836600551,-0.656104204340722,-0.559984737332594,-0.860609162124918,0.218438317589534,-0.644278597023541,-0.727887444339677,-0.594464886533746,-0.735263352809122,-0.514626335841145,0.395243866978624,-0.519237868457219,-0.495205794559329,-0.532453595396371,-0.464312862226818,-0.605248100152453,0.531162896744034,-0.864046676901011,-0.610219183116417,-0.485678467691092,0.089881317575803,-0.428325645661232,-0.538883605550113,0.567595053682752,0.116009094489157,-0.350365888371481,-0.514518268042472,-0.683967315559748,-0.578000013619691,0.310315550369345,-0.556237826668416,-0.0355478869907309,-0.644313289948387,-0.66218961186577,-0.630831543454423,-0.647315571024626,0.444900985213361,-0.00804850707117171,0.581397456433218,0.0404314811707268,0.445572763874676,-0.834164908053372,-0.850953475956763,0.498352768829804,0.688892814052649,-0.284860198261662,-0.337915060301237,-0.280599820021776,0.0598365500630638,0.532555265768039,-0.18202054771007,0.309616025124838,-0.192364030013633,-0.493308279447217,-0.271193780208831,0.36245584049789,-0.595154375410648,0.908748112540419,-0.200659323894932,-0.312787675487908,0.426816099230487,-0.482975169193732
"SALMT_Ctrl_1 (GE) - TPM",-0.557285076581156,-0.744102372106113,-0.405800041326624,-1.11145074624412,0.35417446518046,-0.3464958533326,-0.483705108074139,-1.02010647761413,-0.926964125388754,-0.00628124961809672,-0.33543652087179,-0.601993534755421,-0.454255910643975,-0.556753712773836,-0.548799110822456,-0.364391279422866,-0.135163922880087,-0.503381252663918,-0.476668599681234,-0.511765927316797,-0.43951763694986,1.47601302555693,-0.0734635673957873,-0.567978975039416,-0.618426474418385,-0.206616976962444,-0.271873196656099,-0.608599797165597,-0.532532179369059,-0.695770524702794,-0.478142323930803,-0.393476881389133,-0.468906502694155,-0.197907803297343,-0.694289496428766,0.00166006602600069,-0.602271518163183,-0.559300228212653,-0.628145044832077,-0.652702232984041,-0.65025462533276,-0.636334515776431,0.444938083720513,0.0693568525626742,0.657117915221656,-0.674521399200687,1.01148813907605,-0.577529953625228,-0.716002601161154,0.605315607691053,0.127181014730345,-0.153965552194905,0.297127391231758,-0.387016502422749,0.502550808013011,0.69425468890894,0.0487463635433553,-0.467006659925923,-0.318407707996465,-0.494741751567085,0.0753556644831179,0.0179404601977676,-0.96944652420548,1.48309666274409,1.02669762679281,0.127254092075487,1.00212677578603,0.16759233526293
"SALMT_Ctrl_2 (GE) - TPM",-0.554871700704496,-0.744102372106113,-0.399822316341706,-0.82874999443524,0.488808285087964,-0.71134914198514,-0.456533715918519,-1.0054008906932,0.748830618875621,-0.360988554808627,-0.136575679028505,-0.617524719233808,-0.408542312819352,-0.509934867053818,-0.635173932998438,-0.399353857536461,-0.352902845751917,-0.489067227176521,-0.46933083455872,-0.516049464201939,-0.469577838766115,0.797966306907467,-0.162369275489527,-0.485162512162601,-0.634278591183079,0.0192669973939178,-0.263988885695078,-0.556254142947465,-0.562034964032328,-0.676582146785665,-0.535122916577651,-0.499274311525371,-0.491428801575565,-0.358705980581017,-0.758250501995338,-0.154420068248109,-0.589811562790119,-0.559300228212653,-0.624837267562877,-0.653202803940156,-0.621734253781351,-0.658901180503669,0.732959564148346,-0.233358266897438,0.165964850376598,-0.399897661549435,0.963452776314059,-0.604112670247186,-0.727410000836904,0.552463096204809,-0.175287491069757,-0.145857435919868,0.111915131381278,-0.369784819647955,0.47813241044678,0.36188675482725,-0.041533303216389,-0.365487731615236,-0.309380475094299,-0.494095545197624,0.0127779726179362,0.432407822743285,-1.01011864968366,1.52303060943144,1.30509378808904,0.0750416561840632,0.840102398932028,-0.198901412693181
"SALMT_Ctrl_3 (GE) - TPM",-0.57884971695946,-0.222032776289381,-0.442544669788341,0.100497750694003,-0.154911300159171,-0.93391798741476,-0.642875757492665,-1.12596157126417,-0.0161072094823763,0.0508517097261378,0.146026311124579,-0.634679855717734,-0.657690582040635,-0.458145418440718,-0.79881898104788,-0.454511761981287,-0.482180600219531,-0.518339971797346,-0.466515028215296,-0.540539245944545,-0.432353712832018,-0.0325221506090252,0.41745243948863,-0.511808528250661,-0.634278591183079,-0.376925927473539,-0.287505446294793,-0.351281970252146,-0.591442923964789,-0.0941187643443714,-0.305560583625135,-0.614466950509226,-0.655095610744719,-0.438199560959224,-0.55692495758975,0.484168582771292,-0.599515519435221,-0.559300228212653,-0.63354952946259,-0.667829370769284,-0.64563587603264,-0.662213040385071,0.196200691193555,0.148042309791177,-0.524851969980845,-0.643284181994886,0.151567559332846,-0.626024321212455,-0.715119150407635,0.405280690687814,-0.837072391437775,-0.270829878235658,0.867442384857604,-0.434989989553873,0.103621017227954,0.0908766107086525,-0.217441188890989,0.126647420104697,-0.385683503711713,-0.321636153894272,0.242554993237248,-0.660504156364774,-0.830574461880018,1.07385454325407,0.282671508836108,-0.292262831678238,1.07805344301152,-0.383827899568408
"SALMT_Li_1 (GE) - TPM",1.65563365800567,1.14009518988472,1.34971417242294,0.679653150528591,1.14025585049827,1.30852642292697,1.12117253660469,0.51135358546265,-0.129580537871966,1.8512289996385,2.63888029674599,2.03278062683236,1.40079973771003,1.01006370949452,1.0612069202146,1.85752637605952,0.802206444769644,2.08196996505336,1.57965809879442,1.97733169717477,1.40809594052289,-0.219125275948221,-1.22711447337589,1.93127328589272,0.338976150596724,1.01755960796311,0.569613720218886,0.506009695786958,-0.575891240177724,1.56164389508922,0.920727713112346,1.95728921103809,1.69435976759173,1.03433269448525,1.98510666373807,1.67528980173745,0.42540225397525,1.75199875552843,1.1961563596331,2.17784876199292,1.76405239012239,2.06705382339208,1.36590236766285,0.652047174682128,0.742654102813064,0.235645396878269,0.498722452488698,1.77927421944511,0.864095055089956,1.38642264986644,0.505605665426463,1.89258262804781,1.17216493742088,1.786900059113,1.65301223911304,1.09060850217425,1.32729203144906,1.04582053963361,1.08210583954039,0.614876415158801,1.99100770769743,2.26739130240548,1.08429000141392,1.34065453831084,1.84954852918914,1.59805813977499,1.95534644958965,-0.128330470917907
