"","SAS_RS00005","SAS_RS00040","SAS_RS00355","SAS_RS14320","SAS_RS00640","SAS_RS00655","SAS_RS00665","SAS_RS00670","SAS_RS00705","SAS_RS00770","SAS_RS00825","SAS_RS00830","SAS_RS00920","SAS_RS00925","SAS_RS01070","SAS_RS01075","SAS_RS01090","SAS_RS01130","SAS_RS01170","SAS_RS01175","SAS_RS01180","SAS_RS01200","SAS_RS01205","SAS_RS01530","SAS_RS01625","SAS_RS01630","SAS_RS01635","SAS_RS01645","SAS_RS01715","SAS_RS01735","SAS_RS01870","SAS_RS02070","SAS_RS02205","SAS_RS02220","SAS_RS02310","SAS_RS02830","SAS_RS02985","SAS_RS03045","SAS_RS03055","SAS_RS03280","SAS_RS03385","SAS_RS03415","SAS_RS03455","SAS_RS03905","SAS_RS03910","SAS_RS04025","SAS_RS04120","SAS_RS04145","SAS_RS04150","SAS_RS04285","SAS_RS04415","SAS_RS04425","SAS_RS04430","SAS_RS14545","SAS_RS05730","SAS_RS05735","SAS_RS05740","SAS_RS05915","SAS_RS05920","SAS_RS06295","SAS_RS06555","SAS_RS06565","SAS_RS06665","SAS_RS06735","SAS_RS06740","SAS_RS06910","SAS_RS07130","SAS_RS07135","SAS_RS07140","SAS_RS07180","SAS_RS07185","SAS_RS07525","SAS_RS07545","SAS_RS07555","SAS_RS07650","SAS_RS07735","SAS_RS07740","SAS_RS07745","SAS_RS07910","SAS_RS07980","SAS_RS08455","SAS_RS08605","SAS_RS08685","SAS_RS08695","SAS_RS08840","SAS_RS08845","SAS_RS08915","SAS_RS09030","SAS_RS09410","SAS_RS09480","SAS_RS10445","SAS_RS10515","SAS_RS10885","SAS_RS10910","SAS_RS10955","SAS_RS10960","SAS_RS10965","SAS_RS10970","SAS_RS11025","SAS_RS11075","SAS_RS11205","SAS_RS12015","SAS_RS12060","SAS_RS12070","SAS_RS12615","SAS_RS12635","SAS_RS12640","SAS_RS12665","SAS_RS12800","SAS_RS13050","SAS_RS13180","SAS_RS13280","SAS_RS13335","SAS_RS13710","SAS_RS14050","SAS_RS14170"
"MSSA_As_1 (GE) - TPM",-0.0510987007769345,-0.363167358635151,-0.75171171946236,-0.477447342177424,-0.919757527079889,-0.32959405530225,-0.956101861911517,0.040814020809431,-0.685045898331369,0.535379268265702,-0.956369637568271,-0.596101751874088,-0.124992297900728,1.81941218971212,-0.402433813503494,-0.359622025953308,-0.218824627374615,-0.0588979884664837,-0.569256837105955,-0.564563647108479,-0.57813813936258,0.12361500348034,-0.168146576536748,-0.435813401623373,-0.897365829355123,-1.01472376381189,-0.542009386120174,-0.638479628846736,0.168878400183057,-0.357548063630488,-0.232109515068191,0.342792389979562,0.697548525217046,-0.0711431172971848,0.66980336293323,-0.808872590959952,0.129245640347689,0.456901177869526,-0.375290530816751,0.78616675220922,0.426894811398511,-0.0680089204024392,-0.398683537910219,-0.0317805039200446,-0.486792642020853,-0.277498250745335,0.201608906700092,-0.270694880793571,-0.289089472518117,-0.804692806108696,-0.275708039765524,-0.473026767266092,-0.490514642763061,0.688083970697647,-0.383180080761379,-0.639168592811423,-0.705287603091213,0.337135460603424,0.186680990697668,-0.421727077776708,-0.575715354306028,-0.322182424905524,-0.247889288763348,-0.964088590994761,0.397807287382353,-0.122916818574307,-0.677262254952652,-0.557100304572578,-0.743941376724662,-0.769317802678011,-0.664507590316539,-0.970572328371239,-0.333043298728665,-0.947113507810876,0.338481006739287,0.151245744754699,0.141419201877934,-0.523320104930819,-0.708693326006666,-0.317206754826954,-0.500247312313567,-0.725095826621219,-0.762181294316528,-0.539334486686051,-0.486573416825455,-0.465588641001725,0.121516916177224,-0.627371627940094,-0.601286684221523,-0.143649124508037,-0.81400914383552,-0.0576377894702768,0.376912437495808,0.0606237264162373,-1.23822071560637,-1.45599512032467,-0.998385084321303,-0.776451539223239,-0.829343755198752,-0.894776656125318,0.595894915309689,0.133179749549257,0.758943552395975,0.386309725190968,-0.135454125212242,-0.644655014024753,-0.920194040070005,-0.125289688240924,-0.0817890606475226,1.79051759726955,-0.569251599687348,-0.428593296064166,-0.625121636036759,0.613343271670392,-1.03362805002029,0.246019323091735
"MSSA_As_2 (GE) - TPM",-0.0640810781798654,-0.474440918557563,-0.676037100722495,-0.422983979274239,-1.07293567855382,0.395482434807518,-0.364229395454459,-1.15011897362451,-1.09367670715457,1.15213053550507,-0.595538476233647,-0.441326023075282,0.160638232917336,0.969485106327208,-0.376970256386428,-0.314410810536835,0.124409518039427,0.351862492918958,-0.487984192355815,-0.63086413984589,-0.551086903153677,0.0379293838897441,0.36915780657349,-0.536934944634743,-0.850566098005458,-0.919597204183932,-0.791732036493995,0.324917792537108,0.530696241127363,-0.448976448583893,-0.202853235385337,0.812972254210983,0.649211187635411,0.146884202478634,0.463131334768172,-0.268595162144895,0.622510230623125,-0.0576674776935605,-0.181887138909053,0.706709437431195,-0.0276064915137598,0.174185537629893,-0.196805790885511,0.0869731643268084,-0.631596510776584,0.037318881856435,0.702367021237529,0.00758313109275151,0.241629664322254,-0.00296792181709536,0.181180020520077,-0.479307632599424,-0.426879195689785,1.3159102258086,-0.212036590226469,-0.574496312416331,-0.246118460346008,0.215841995882108,0.495985392333447,-0.321215440588618,0.17748484531772,-0.27853944327301,-0.469638555945595,-0.269427620549593,0.965856440603215,-0.206933909161491,-0.591588348739498,0.0378383950582969,-0.136859921259583,-0.482491625053575,-0.47508811191466,-0.932043790913249,0.594178893506217,-0.807281742892242,0.3789906129305,0.400120494607312,0.365439371188266,-0.736961474194551,-0.504335538383093,0.451664568255276,-0.504752864519728,-0.213827433958775,-0.490147100341426,-0.447544602690885,-0.386911869328186,-0.454463679598607,0.19042227476955,-0.760497823350745,0.80602021470017,-0.243134153010599,-0.645789824346772,-0.0290415823230805,1.28348215209382,0.662112102489074,-1.25270867675628,-0.806653809947572,-0.922961005542756,-0.692856906088924,-0.504861368452808,-0.701599565869031,0.274732355084557,-0.611598668274936,0.633381731946749,0.709110488960777,0.340472173055884,-0.687228078108882,-0.761326335846756,-0.168013716884294,0.189117665727526,1.03602494963724,-0.309943724630351,-0.452479050243354,-0.652324192185657,0.192978315773869,0.137486045207725,0.88202024020082
"MSSA_As_3 (GE) - TPM",0.0921347907902125,-0.368677228078996,-0.537663952098094,-0.742969698828437,-0.315174000500708,-1.06292356712427,-0.99152535930416,-0.162394716882893,0.383594168324247,0.47646953015984,-0.602225758770928,-0.500488867907698,0.399770452848527,0.81184044925439,-0.253863323244613,-0.387696306944408,0.166861014155534,0.0341464410002926,-0.511551875488087,-0.554596423225703,-0.582945015726857,-0.217805235463408,0.0610188019599052,0.345560965043116,-1.03337189922964,-0.642253705077433,-0.645392070196752,0.882724757322387,1.43935551762808,1.24643170376762,0.342933236874369,-0.383631560061246,1.69008383025129,0.619298988549441,-0.668260209856452,-0.243970012866725,0.273903604513051,0.763580374269164,-0.196453884040492,1.13280397323668,0.166718837908212,0.0595482944053388,0.442040592677296,0.232604632665504,0.264980768684853,-0.253055243513261,0.901984248727016,-0.310498821596432,-0.435784526454505,-0.68306725134994,-0.210425518360393,-0.539960863542342,-0.733051929894598,1.18201583754738,-0.676500756734166,-0.971221873840271,-0.658575663382715,0.676498534808716,0.646428923594199,-0.356103469764013,0.0351729677161722,-0.701307182999305,-0.548265348542066,-0.393075068980863,0.909602028790588,-0.442677626556775,0.0171930181050328,-0.184648695131936,-0.476113095309393,-0.848716637241514,-0.735038240760061,-0.950707482200664,-0.419148476993925,-0.783836970594359,-0.208106979232652,0.341158548502607,0.0745120209385702,-0.708740505319009,-0.235168463078926,0.0263622220922021,-0.460041809330636,-0.347185377111399,-0.446710094986952,-0.789325542659795,-0.33106317146377,-0.457932701213802,0.123406328465074,-0.80375444538192,-0.0455364042087662,-0.545425575442356,-0.852973519988526,-0.0981633774389363,1.13329100786071,-0.236549012735936,-1.1942351686143,-1.32085959838755,-0.844480730630227,-0.825112414912318,-0.299955444436277,-0.781766349249571,-0.0444913147346976,0.297471192614498,0.251597500764318,1.43625270805522,-0.770569756114537,-0.195554981403154,-0.83430771310611,-0.280711845571638,-0.0727892708358278,0.00340769890659559,-0.424898094738509,-0.56587701256496,-0.489464773657261,-0.235249955578483,-0.492561384866647,2.40320509825333
"MSSA_Bs_1 (GE) - TPM",-0.352149814246213,-0.476107546779625,0.27537142881456,-0.285947444167846,-0.611597473290092,-0.420539581256844,-0.229825982878864,-0.192502227317388,-0.0702239571463241,1.43251474733402,-0.864057754445548,-0.550155690219066,-0.0742238709208992,-0.236066382599927,-0.386634958904589,-0.393920464337287,-0.348381792877915,-0.236420651181934,-0.50156885532047,-0.582758057327121,-0.586624841288723,0.312708960106779,0.285869823175674,-0.433386637835221,-0.40410925376441,-0.551517658204671,-0.840359218014139,-0.064305096988723,-0.0513920530119522,-0.152582869180822,0.626445204822421,-0.0368687432474898,0.891828714840283,-0.0826525537307853,-1.04038639682539,-0.945509708453497,-0.0863460625296004,-0.582076120881642,-0.841722430236383,0.00281081627580477,-0.0735997303514092,0.429362526892494,-0.940367174058714,0.409355942782677,-0.883643662180148,-0.358563155143669,-0.140424339984461,-0.211100979302977,-0.309727844650222,-1.0140732606399,-0.149094860488509,-0.460799140983403,-0.409818782348171,0.760749134434039,0.541493101036793,0.0246139212164876,-0.422729855114485,-0.168695807041367,-0.366306073403496,-0.574272341599199,-0.193072534950063,-0.684988241234473,-0.235105198716994,-0.705650525030636,0.708962691139548,0.281248301991607,-0.438797226941793,-0.0723197708186667,-0.742632781568427,-0.731586268258831,-0.517186007124605,-0.859541384592864,-0.0919108977593512,-0.890004492296496,0.304829820249456,0.194996877199309,0.242447623510234,-0.551669908606462,-0.88972547569972,-0.336493748989471,-0.59050979658083,-0.248344208249705,-0.544577824361353,-0.492693098242636,-0.500479715555361,-0.476328815341394,-0.212253568162578,-0.753664835324143,0.279739265747757,-0.180611189373558,-0.74394596893839,0.0154864001186173,0.160393369267708,0.120252606613164,-1.11427500033665,-0.66668855026743,-0.946607440786655,-0.901780233221598,-0.962312734865599,-0.805305102492607,-0.0757293576521067,0.765417072678762,-0.0324583612429414,0.280106862460411,-0.311478590035134,0.210118251583014,-0.644453702550549,-0.150955329905069,0.0542681034878763,2.78155529238544,-0.50356563230432,-0.392277264004033,-0.696804372201498,0.878121334342032,-0.57540320233531,-0.024761614477518
"MSSA_Bs_2 (GE) - TPM",-0.00368648356476636,-0.593289361795077,-0.515261065860063,-0.5074432181665,-0.979659847054784,-0.686052191144413,-0.693101290938027,-0.319443111916109,0.00521137506525689,1.64135991150366,-0.731465529717203,-0.367634220280226,-0.319066152766745,0.0093141986919861,-0.399144992427855,-0.371851038350701,0.454785214638753,-0.0839253043761202,-0.464122697222181,-0.564649448836955,-0.625564871943695,0.326276287969679,0.877290277208344,-0.432341092028491,-0.736196330508559,-0.643131339546525,-0.970325507057376,-0.304017601252612,-0.416258967828576,-0.103488206433285,0.75513825351431,0.332492202375562,0.499543424738782,0.0837294361131036,-1.45391029615875,-0.570273201325154,-0.0371529802735606,0.0831856021589947,-0.703196355415638,0.0584577922359275,0.105205824908878,0.316577889260716,-1.03555004280925,0.449251385970581,-0.393888158885052,-0.274606841110224,0.323064677340296,-0.323787465038186,-0.0384656446186203,-0.0287008113925755,-0.191808679101032,-0.507332198341398,-0.509356360179164,0.328048586342761,0.506840073687264,-0.137053395849007,-0.368813185529078,0.344355924635483,0.0440221862799761,-0.494591785945353,0.368249341628944,-0.460400296707322,0.34251684175191,-0.678308557620016,0.867467110089333,-0.745877004795525,-0.492788081139814,-0.11094304771324,-0.306471074506411,-0.486506622176131,-0.445301015380179,-0.865986349566149,-0.00110561901765045,-0.632752803090543,0.35479104438595,0.673427566038167,0.58096446704412,-0.367552671682616,-0.746240928587442,-0.000434852878093072,-0.557914732466208,0.424345790499218,-0.324077627392352,-0.451832812243913,-0.455435296905822,-0.476055747262194,0.192447136266935,-0.712481050381345,0.821340406625642,-0.15868634374498,-0.678596231431131,0.0527946429068067,0.114655461042843,-0.106331303618202,-0.54630732367099,-0.309022190162641,-0.806932428801377,-1.1654346527481,-0.704931733384847,-0.634556977823985,-0.29067483471695,1.59929107012977,0.116989124013529,0.113126320482557,-0.543270875638323,0.0715311771426876,-0.486257284896984,-0.393777303658504,-0.00469440901379469,1.03587415420991,-0.417546895028474,-0.41052764836581,-0.687745374792805,0.881568390469923,-0.617631447424812,0.0149117902029332
"MSSA_Bs_3 (GE) - TPM",0.140740268969217,-0.524821346234465,0.188892608234261,-0.591423957843636,-0.693026472785078,-0.474011040644059,-0.903835238768917,-0.449494359804712,0.761152379265855,1.50929533150157,-0.879137786445984,-0.558881916079696,-0.101410494192041,-0.554853417143036,-0.38692470094743,-0.521621033361211,0.250563368361103,-0.311184176369091,-0.497873318042999,-0.584237848881275,-0.568991204349496,0.524679999728305,0.982902406729843,-0.627004464983023,-0.769461435400066,-0.929371970820361,-0.631103407184011,-0.380622715923985,0.229094123758977,-0.949313348075773,0.528393342270322,-0.0687246064349143,-0.408952614083859,0.257006212193892,-1.03636801514906,-0.21250483680577,0.071198552392042,0.168221564412631,-1.02866370909601,0.247025800652471,0.158520183970193,0.356149367096433,-1.07465761547787,0.103185276814143,-0.763505701929193,-0.185160857709496,0.510318715370096,-0.13703452084896,-0.397491118595618,0.0818215813205363,-0.414893747651164,-0.571304632372047,-0.68034822421505,0.99335768366268,-0.260357790608848,-0.756567522615431,-0.78009218373309,0.504736266941729,0.0649776775046606,-0.420240159809274,-0.18451294853645,-0.476090519948116,0.35046276667661,-0.527631136007711,0.37623003544926,-0.236076606926023,-0.489072678391065,-0.0861038086690219,-0.303709888407165,-0.809334060336198,-0.68385440866737,-0.795694087271867,-0.141003191230313,-0.782334469949748,0.444665103125893,0.987987277180823,1.25965267531936,-0.582295058705,-0.858641198598593,0.119123281531818,-0.510785529933963,-0.241280874139893,-0.348393674267874,-0.752599301563058,-0.502803453259825,-0.522962158183348,0.0825143872488506,-0.988505692947844,0.75202693716969,-0.492983477543367,-0.728139464029118,0.0847846998631096,-0.264052584648332,0.0385049967576125,-1.09129035390858,-0.346367968653289,-0.788261096355,-1.34891872617201,-0.0522972795012259,-0.761240048827604,-0.390547133133254,0.594314310004186,-0.151474293784668,-0.282932237367463,-0.969440803975906,-1.06483226156084,-0.894472860446523,-0.557611270628185,-0.142621056696917,0.0680367465401993,-0.424413105787227,-0.565141350497273,-0.67372343700785,1.44350482894042,-1.07378317983162,-0.104017075526571
"MSSA_Ctrl_1 (GE) - TPM",-0.985946121939669,-0.429167956551478,-0.646518437211219,-0.572430715455773,-0.663886499784584,-0.672020063168451,-0.015931824641602,-1.53012324350192,-1.00556698611374,-0.691745705930395,-0.445934336033399,-0.629333997053797,-0.435587106296789,-0.935781891098183,-0.430173645617228,-0.435387952458512,-0.0836090797620645,-0.651744524726255,-0.660337267385323,-0.542970864151433,-0.508806175017725,-1.19289476091305,-1.0836669133722,-0.228860819129355,-0.52523070911184,-0.739103433673133,-0.628879121787136,-0.579448069956671,-0.632077527170748,-0.218460566393081,-0.468680449305615,-0.702526859836064,-0.798834706313533,-0.577502267818043,-0.383635408828837,-0.196689859143271,-1.18885742799284,-0.73787419644864,-1.06791617303084,-0.158917341753985,-0.895669881637788,-0.9651717635698,0.666080204331364,-1.06288791160877,-0.524676021018603,-0.916190545963186,-0.115028422009902,-0.541747291945164,-0.41353883662809,-0.252835212504217,-0.910243226810852,-0.497837854843008,-0.516266640185363,0.206257424668048,-0.516895837786918,-0.431049425178209,-0.418116175360363,-0.884030354807625,-0.467410599601903,-0.919001193228358,-0.518206698947701,-1.12630092381619,-1.04390569480548,-0.587434375732238,-0.855026087797175,-0.272993454397014,-1.03202260137179,-1.04300473728591,-1.02209782809662,-0.733079038151802,-0.722926609042192,-0.450308066266705,-0.322012046380265,-0.60068149207602,-0.363514371118837,0.519518978471049,-0.423220724980116,0.405864492400286,-0.59624885453949,-0.902088121092338,-0.674625249283958,-0.949469292036886,-0.666968142139646,-0.513894415202085,-0.602331155821425,-0.543683684755409,-0.749293392986846,0.157151637696048,-0.434036734947751,-0.722930430843352,-0.360353563782836,-0.819903414926606,-0.838703569737842,1.13174418149693,-0.765226433677139,-0.579234579998326,-0.559907548828656,-0.309051072623469,0.931079890920056,-0.569253085587102,-0.805303845298003,-0.463259369740906,-0.391611135659182,-0.594524599627411,-0.295600539032225,-1.13839038023652,-0.705445863839855,-0.610727445999279,-0.720231310220923,-0.587058629685406,-0.678007610864366,-0.520156813683591,-0.417020246831032,-1.2266522660511,0.211531190273524,-0.452220566505389
"MSSA_Ctrl_2 (GE) - TPM",-1.31457269008848,-0.621561516161396,-0.752905434771457,-0.325844022790692,0.0834733927081734,-0.96802720800196,-0.740304286968689,-0.423845722804431,-1.67589616086113,-0.780470497114973,-0.480058595225033,-0.693750706634963,-0.75498958265252,-0.707764512836093,-0.391381693585269,-0.484983731936738,-0.610848406448286,-0.850990207915768,-0.605186486831006,-0.570193421852582,-0.496744199695241,-1.04242778873148,-1.23576557489094,-0.483606206295145,-0.72952950637284,-0.918644175361065,-0.857066560896792,0.153090891223077,-0.717546124393198,-0.606255421011155,-0.818673440002815,-1.03462648036758,-1.52963751929135,-0.807777964628258,-0.4924015121519,-0.578600977824684,-1.00181765724866,0.00867096000597116,-1.28491823695721,-0.663204352610515,-1.31745762583332,-1.19350767838218,-0.038404929624034,-0.833286216241228,-0.774016321436558,-0.673457811920881,-0.774033120093205,-0.448354252289507,-0.0151390523032067,-0.217374951559929,-0.844015592259959,-0.498515711614769,-0.489931318950076,-1.14613362551356,-0.847635172929723,-0.526110131471039,-0.364557751498633,-0.689108445827515,-0.606735764811786,-0.713453937198035,-0.916106339885934,-0.376551723205144,0.458705744760466,0.0173200633783163,-0.981043933452532,-1.09089442856684,-0.287718805226756,-0.922583831645049,-0.7751376465384,-0.808301424043044,-0.757527856836076,-0.438912226751518,-0.213123645544328,-0.787881226462607,-0.840910980543399,0.565652570486128,-0.641662425171168,0.686077018785791,-0.588047466214573,-0.614754164727865,-0.888875485786839,-0.670632997352028,-0.828083866948285,-0.576529483461595,-0.579799075538738,-0.572383158023138,-1.2414569431668,-0.0645458349995669,-0.662472807672353,-0.500090612897582,-0.480160802443286,-0.798925079648581,-0.610430344789327,2.54004841365623,-0.695208992910688,-0.8539078257051,-0.633852408386308,-0.625441886516936,0.400339786975023,-0.687875497336271,-0.678131407368421,-0.313490550490447,-0.423559020147316,-0.552944180143476,-0.910250228368626,-1.01768349893945,-0.834026740220124,-0.71913092791766,-0.802367917778164,-0.612406180395814,-0.728602258527683,-0.512598607107717,-0.172828573815137,-0.504233288369017,0.472577952497129,0.206844363170296
"MSSA_Ctrl_3 (GE) - TPM",-1.08352631156629,-0.5558052291545,-0.292972062853738,-0.468277183214927,-0.124714357241367,-0.721100214981989,-0.549043413900715,-1.07934182448176,-1.70963449824629,-0.578919293407949,-0.550010518442975,-0.648593633193308,-0.957061645319959,-0.589133961401195,-0.42124601681303,-0.365737616699045,-0.400115799120408,-0.865977061106431,-0.57175872637602,-0.524401452887201,-0.498137991908147,-0.991828521308102,-1.13993323872053,-0.894883785999071,-0.867277769395996,-0.713912898328916,-1.02504250697331,0.25200580746299,-0.437445436219219,0.572804837424015,-0.693163687622539,-0.911109221449205,-0.980535381508976,-0.778200022854849,-1.19511836652145,-0.80992878543897,-0.828314588955664,-0.327710513429418,-1.26193353106404,-0.0914287995476284,-1.13682933070427,-1.14311311475166,-0.0725213716852419,-0.868191191599792,-0.850147397000381,-0.609066569323786,-0.523422875345702,-0.400350476415128,-0.138466076802943,0.131558444992427,-0.858810352410122,-0.464539677296378,-0.481721588484178,-0.484122363098636,-0.642744846959049,-0.427655644638182,-0.318168541117739,-0.784209879114811,-0.613093352765179,-0.827017188205776,-0.583530336062249,-0.390742745287507,-0.572966406283929,-0.181905743960512,-1.24867804630184,-0.79128268587572,-1.11676187932578,-0.812015597427377,-0.991206819379986,-0.722591047850869,-0.719949641738951,-0.51055969999447,-0.668803296033831,-0.677096719409827,-0.326309323720033,0.307984240767273,-0.521083994353835,0.66141664459665,-0.520362353091216,-0.890353121426538,-0.716513054075167,-0.929590788947392,-0.723789253591221,-0.598192925579691,-0.580310987367188,-0.545832172977013,-0.712020318413182,0.350381009978437,-1.11466509136115,-0.664579914779163,-0.449846472412329,-0.874149366728459,-0.673918994042376,2.13174002374994,-0.599537615395411,-0.670314846725408,-0.497096207094033,-0.335055927691732,0.381974064440999,-0.592043710950521,-0.616957252645642,0.244280329689314,-0.921048403396686,-0.867250994813412,-0.213003518074614,-1.10150702164864,-0.875208371713058,-0.731157373145093,-0.716283059923742,-0.535541108158544,-0.737920788846793,-0.507337684773795,0.0283987734199959,0.28806574403006,0.307623911054828,0.827144574011656
"MSSA_Li_1 (GE) - TPM",-0.45663311295193,-0.630052619567166,-0.927275417362811,-0.334399190899577,0.542745765412541,-0.616703932795058,-0.940336355659602,-1.13408096271621,-1.35240448754946,0.342069357628793,-0.590190458060943,-0.629797190126392,0.666632661223123,0.849859153691049,-0.369473759614744,-0.226409456718167,0.710031629608776,-0.648751214570084,-0.259475758100126,-0.29664502982638,-0.403004147759076,-0.422325996343499,-0.292369349214989,-0.490413838039568,-0.0238301537818796,-0.135485986611511,-0.645848104810264,0.332456893215159,-0.49860230379767,-0.358529551631296,-0.586329429373505,-0.52632974565656,0.591868653696345,-0.731669422383525,1.59291273491134,-0.449549524930343,-0.488041592773087,-0.502478473691225,0.0745293345763909,-0.237644321105292,-0.624754139668705,-0.733627348882913,-0.0773879182853512,-0.156043440227527,0.410059432298153,-0.3020802804707,-0.463402390797815,0.740508649814623,0.937534075877517,1.44077887499709,-0.623655022614075,-0.519334957882266,-0.195268808797198,-0.590566241218083,-0.807538007877477,-0.722811654342092,-0.777111150408998,-0.795397270317293,-0.707081344032514,0.22228785394707,-1.3729367874065,-0.300447305595773,-0.239584599877374,0.22518368150107,-0.195124597438791,-0.457167494466331,-0.40476113748684,-0.472423418332285,-0.214950532027388,-0.486012018030364,-0.483367066885101,-0.355005539796121,1.21263196674715,-0.47203988873313,-0.148646264588708,-0.639802652231912,-0.242271554803465,0.588262875105801,-0.545435049316643,-0.361899422578104,-0.821441121013326,0.0993215074878769,-0.0567704478544979,-0.280950558051248,-0.482691674187134,-0.563918916976826,-0.718253097437495,0.547802291553084,0.108712093849085,-0.518651900573408,-0.463866018605117,-0.600913199597084,-0.510408648794699,0.460303006435404,0.735036526468976,0.850016965556203,0.845364424277778,1.08146284354142,1.40543277402645,-0.388920118711785,-0.5058302861804,-1.03527892752811,-0.898004729369663,-0.375354635694604,0.394540436943485,-0.190329189661981,-0.30914159376355,-0.71104529603024,-0.511257598188026,-0.838667184664577,-0.611072763069897,-0.451962926186315,-0.172892373579698,-0.205099198073908,-0.150721439660059,1.00817485549045
