"","ETEC_RS01750","ETEC_RS27440","ETEC_RS02210","ETEC_RS02340","ETEC_RS27535","ETEC_RS03130","ETEC_RS03180","ETEC_RS29765","ETEC_RS04535","ETEC_RS05470","ETEC_RS06090","ETEC_RS06585","ETEC_RS27835","ETEC_RS07770","ETEC_RS27915","ETEC_RS08340","ETEC_RS08410","ETEC_RS29890","ETEC_RS28020","ETEC_RS10725","ETEC_RS10845","ETEC_RS11970","ETEC_RS11990","ETEC_RS12035","ETEC_RS12300","ETEC_RS12520","ETEC_RS12835","ETEC_RS15060","ETEC_RS16045","ETEC_RS16530","ETEC_RS16750","ETEC_RS17560","ETEC_RS19470","ETEC_RS20875","ETEC_RS23315","ETEC_RS29165"
"ETEC_As_1 (GE) - TPM",-0.197878518106992,0.144860507106855,-0.148234807309344,-0.245738085089786,0.0782535928340764,-0.479227023797016,-0.384913286088574,-0.41492872198945,-0.309662962082639,-0.0297591912313149,-0.398828628447734,0.952114540310169,0.582266552962318,0.192624250367079,0.182989900352298,0.907568420378111,-0.455026097683619,0.328176935345211,-0.238605267244835,-0.20339823901907,0.229977851716225,0.268770549648513,-0.475189969080815,-0.481559031034037,-0.221886273746534,-0.310581520971593,0.194201576626126,-0.194396503317042,-0.0405453740016638,-0.152382874998533,-0.166666666666667,1.4064562770268,0.554192025369298,-0.499550211417715,-0.219608534223564,1.70249820929445
"ETEC_As_2 (GE) - TPM",-0.681353942570094,-0.294863872669917,-0.433285687703958,-0.245738085089786,-0.0920288489187198,-0.291050641017936,-0.401849662400718,0.253137668593173,2.45074490844622,0.104260100216892,0.00354664344833011,-0.39585555404503,-0.286389078693769,0.889593103484905,1.13371460275831,2.05683714115804,-0.120476464216453,0.494538687821984,-0.238605267244835,-0.22105312070832,0.246611620637128,0.474423205567231,0.443440389091591,-0.334054066451983,0.0200933288394023,-0.1038460391491,0.3682559670051,-0.194396503317042,-0.266623994371804,0.221704885115336,-0.166666666666667,-0.933860647421754,0.753605815625982,0.191231406894623,0.672094557958037,0.47506852952272
"ETEC_As_3 (GE) - TPM",-0.589686912456189,-0.294863872669917,0.2334897270498,0.351722437101632,-0.636901182537515,-0.392878019560522,-0.652607170827907,-0.41492872198945,-0.6595792429239,-0.362785640244355,-0.242207995730956,-0.39585555404503,-0.286389078693769,-0.198617153463125,0.32851259399762,0.68363403290688,-0.0643655951403162,-0.288380057940341,0.0587426481332723,-0.299248576037509,1.04740950380301,0.109343863662483,-0.477159261673893,-0.0262748255067041,-0.0683251488935831,-0.244760710198253,0.314338530933113,-0.194396503317042,-0.266623994371804,-0.285535239460989,-0.166666666666667,-0.933860647421754,0.940901500735301,-0.366351894789202,0.117261752228123,1.35052972997932
"ETEC_Bs_1 (GE) - TPM",-0.683352924676859,-0.294863872669917,-0.319821653825642,-0.245738085089786,0.260189669183413,-0.296633707452342,-0.517468146918026,-0.41492872198945,0.657226732727674,-0.214925680125313,-0.398828628447734,-0.39585555404503,-0.0684605833495326,1.18169582031504,-0.240858518408646,-0.42389076930687,-0.455026097683619,-0.288380057940341,-0.238605267244835,-0.574048782592589,-0.292601168543072,-0.493403336695636,0.645621619516273,-0.0108734800043357,-0.379051849165592,-0.0218006158398751,0.0346382198111473,-0.194396503317042,-0.266623994371804,0.048517673251179,-0.166666666666667,0.0447046346474283,-0.153298993342347,1.23945617039588,-0.36286933737256,1.82066275512186
"ETEC_Bs_2 (GE) - TPM",0.406951103588703,-0.294863872669917,-0.482655844239791,-0.245738085089786,-0.636901182537515,-0.55632374387802,0.118787386978707,-0.41492872198945,0.467905227682133,-0.348626826175064,-0.058488635970744,0.0867409458142522,-0.286389078693769,0.567533224552988,-0.434505102948054,-0.71818336142645,0.252401941083046,-0.288380057940341,-0.238605267244835,-0.275475412631895,0.98355895105008,0.488933604616112,0.644240122840337,-0.276743322802863,-0.210247903769837,0.0286750150366188,-0.312298252141889,-0.194396503317042,-0.266623994371804,0.000489793029295321,-0.166666666666667,-0.933860647421754,0.75305963134559,-0.305933032893851,0.694146874731083,0.262449864304642
"ETEC_Bs_3 (GE) - TPM",-0.572660297125626,-0.294863872669917,-0.817842692400544,-0.245738085089786,-0.335330141203304,0.2033390552843,-0.740479367756111,-0.41492872198945,-0.6595792429239,0.869870325399153,-0.064774055716337,-0.39585555404503,-0.286389078693769,0.401497138450979,-0.434505102948054,1.00765433185233,-0.455026097683619,2.31155692031949,-0.238605267244835,-0.574048782592589,-0.376586842685822,0.149393385277081,-0.646924857789406,-0.245182446862245,-0.379051849165592,0.165370160950258,-0.450865274716046,-0.194396503317042,0.210047400562489,-0.00479253480796969,-0.166666666666667,-0.317060763403036,-0.234433937908411,0.424855512133254,-0.0660967163059131,0.698880515459072
"ETEC_Ctrl_1 (GE) - TPM",0.474041396638227,-0.294863872669917,0.0801074567159571,-0.245738085089786,-0.636901182537515,-0.289896825213233,-0.51415957696216,-0.41492872198945,-0.6595792429239,-0.526451069789154,-0.398828628447734,-0.39585555404503,-0.286389078693769,1.37811315236422,-0.434505102948054,-0.938490294958489,-0.119636723934821,-0.288380057940341,-0.238605267244835,-0.102206513025294,-0.284793458417369,-0.493403336695636,-0.209684005988933,-0.361115976209936,-0.379051849165592,-0.193352759172113,-0.450865274716046,-0.194396503317042,-0.266623994371804,-0.285535239460989,-0.166666666666667,0.0592225219048828,-0.66170752162747,1.09376492406902,-0.503857932919087,-0.904025656616991
"ETEC_Ctrl_2 (GE) - TPM",-0.845938286486289,-0.294863872669917,0.706906468465708,-0.245738085089786,0.132752515035236,-0.750727264032006,-0.740479367756111,2.41608178934772,1.22333036153411,-0.526451069789154,-0.398828628447734,-0.39585555404503,-0.286389078693769,0.50298310760621,-0.434505102948054,0.717125576610229,-0.455026097683619,-0.288380057940341,-0.238605267244835,-0.574048782592589,-0.818872967064704,-0.493403336695636,-0.646924857789406,-0.180930908821518,-0.379051849165592,0.415311626941968,0.24335939420957,-0.194396503317042,-0.266623994371804,-0.285535239460989,-0.166666666666667,0.115582096103635,-0.66170752162747,0.455927017812163,0.447822724418204,-0.904025656616991
"ETEC_Ctrl_3 (GE) - TPM",1.10637693853386,-0.294863872669917,-0.319072291822157,-0.245738085089786,-0.0982905386529572,0.271659246862409,-0.740479367756111,-0.41492872198945,-0.6595792429239,-0.526451069789154,-0.398828628447734,-0.39585555404503,-0.286389078693769,-0.00804552793135278,-0.434505102948054,-0.938490294958489,-0.455026097683619,-0.288380057940341,-0.238605267244835,-0.574048782592589,-0.818872967064704,-0.493403336695636,-0.000224016443419331,-0.235540859005496,0.212785434430544,-0.200987427854518,-0.450865274716046,-0.194396503317042,-0.266623994371804,-0.285535239460989,-0.166666666666667,0.902163246795565,0.101409848770254,-0.000566211939520017,-0.798769044816022,-0.904025656616991
"ETEC_Li_1 (GE) - TPM",-0.845938286486289,-0.294863872669917,-1.45239787818974,-0.245738085089786,-0.636901182537515,-0.750727264032006,0.630899938515169,-0.41492872198945,-0.6595792429239,-0.526451069789154,-0.398828628447734,-0.39585555404503,-0.286389078693769,-0.873984159522833,-0.434505102948054,-0.938490294958489,-0.455026097683619,-0.288380057940341,-0.238605267244835,-0.097529309753925,0.259874328561856,-0.493403336695636,1.11937539695097,-0.434016635551847,-0.379051849165592,-0.739973387524417,1.53949629689336,-0.194396503317042,-0.266623994371804,-0.285535239460989,-0.166666666666667,0.0690665993048584,-0.66170752162747,0.388524565418378,-0.203100124952281,-0.904025656616991
