"","ETEC_RS00485","ETEC_RS02915","ETEC_RS03515","ETEC_RS04210","ETEC_RS05000","ETEC_RS05285","ETEC_RS05850","ETEC_RS06215","ETEC_RS10195","ETEC_RS10450","ETEC_RS10455","ETEC_RS28070","ETEC_RS10780","ETEC_RS10995","ETEC_RS13860","ETEC_RS13885","ETEC_RS15885","ETEC_RS16035","ETEC_RS16630","ETEC_RS17630","ETEC_RS18865","ETEC_RS19600","ETEC_RS19615","ETEC_RS20160","ETEC_RS28885","ETEC_RS21365","ETEC_RS21960","ETEC_RS23950","ETEC_RS24040","ETEC_RS24895","ETEC_RS25035","ETEC_RS25970","ETEC_RS30335","ETEC_RS30340"
"ETEC_As_1 (GE) - TPM",0.298604289123623,-0.307982384920843,1.69759705068033,-0.0861032593932679,0.431980363921577,0.591186820240505,-0.307469905911315,0.861926191060082,1.85839115737721,-0.0268131598264961,0.404866475872385,1.94409043950709,-1.42344806473863,0.82811038429264,0.258399180737034,-1.30278343731971,-0.298119526336659,-0.265210690853941,0.371523728161473,1.64091009336164,-0.474296400482824,0.110285834687502,0.775511998440822,-0.0610380263779618,0.674663593359594,-0.835551328574818,0.351808410751968,0.0338681600976903,0.507861219570722,0.689705379625891,0.586689830656153,0.428491642521452,-1.45333037842866,-1.64075915604137
"ETEC_As_2 (GE) - TPM",1.13810910941121,1.47012142764707,1.69292013204195,2.30714614429545,1.32775019295153,1.6190638603184,2.68026241863609,0.630434398444615,1.66165055393538,2.21173669137061,2.61219601029434,3.12215035523139,-0.775211121694946,1.91173800782991,1.76097414573779,-1.30440486539417,2.9639323181383,4.83818080885107,1.50419481438485,2.13896629767618,-0.0944509962846462,0.705813662424711,1.62793391390816,0.543421942277977,2.401622930937,-0.857977261135791,1.85912706036498,1.36441460966298,2.24804418820345,2.0814209205496,3.298564266238,1.5291508646653,-1.61892343319358,-1.76119827904406
"ETEC_As_3 (GE) - TPM",1.76691000044092,-0.0237392757763696,1.69491456897609,1.73505043581633,0.772090320040993,0.64437915291077,0.481499490308553,1.06847627959061,1.22592241658652,2.02893787354683,1.51515129417418,-0.0996220636542991,-0.942748481908141,0.81224858097216,0.398911742655713,-0.859263611476076,1.39484277250913,1.05908606686577,0.707842896345052,2.50870752751435,-0.622989251576827,0.610721746786772,0.638242329816735,-0.152272164683792,0.409812128172764,-0.647461794822302,0.549207422255382,0.844927600708278,2.67114675611446,0.736179998517213,1.49647738760765,1.42191066783143,-1.55037725325391,-1.68600031241834
"ETEC_Bs_1 (GE) - TPM",0.889343914240618,-0.541609069570204,-0.751675093761635,0.228109262581475,-0.0395947713914989,-0.215792488931959,-0.386426590315042,-0.466209190621589,-0.409805442181168,0.214142036180232,-0.0653714388263217,-0.502752949118868,-0.438171937116735,-0.697235027441673,-0.207629782591391,-0.994602319633068,-0.298119526336659,-0.265210690853941,0.783782417533548,-0.745595442512741,-0.117877357636771,0.0830133198775111,-0.386954791896159,-0.685805726756238,-0.514308702132675,-0.470167849909662,-0.563426458721189,0.13773471535554,0.243595587311055,0.188367463423643,-0.212548309694295,-0.589785248264552,-0.338787276694176,-0.234175511372823
"ETEC_Bs_2 (GE) - TPM",0.1056966164508,-0.823727111735482,-0.724977639396413,0.311801140351179,-0.390664382974492,-0.0234983731088868,-0.617052771177029,0.00385783976673637,0.31616136563042,0.174279195463716,-0.179444767029356,-0.502752949118868,-0.618054733627209,-0.705856829728358,-0.0186089919859934,-0.977515654767532,-0.298119526336659,-0.265210690853941,0.4899397760023,-0.888835838515209,-0.197794796623575,0.085826628849209,-0.260558068048674,-0.590392608075658,-0.209157650424936,0.0248449728940352,-0.461482544938718,-0.0912245390149165,0.234396580788776,-0.330357465714319,-0.369429580509276,-0.274236275247365,-0.381964293419543,-0.607707168066084
"ETEC_Bs_3 (GE) - TPM",0.549443395156036,-0.655983956107648,-0.351668256247658,0.0251057532307148,-0.125365494379683,-0.00458138159914866,-0.789699138094454,-0.465345622478176,0.242434427070504,0.152954717156232,0.0453251181357061,-0.502752949118868,0.306394528351486,-0.928148415485999,0.226480105830371,0.448394770823264,-0.298119526336659,-0.265210690853941,-0.0988019896926841,-0.612158195093288,-0.33324534844478,-0.438280211884425,0.113137605936128,-0.441747224951844,0.532101122267044,-0.0440708067404481,-0.465275167128518,-0.152807592401314,0.0550225019302911,-0.43192574726354,0.315269636218004,-0.520001810526101,-0.79352486639193,-0.803740057681005
"ETEC_Ctrl_1 (GE) - TPM",1.28782358701078,-0.575662457910499,-0.710333886161614,0.354449358021201,-0.602618197880491,-0.511398363393451,0.0288117721363153,-0.355305363505199,-0.290402824714944,0.0797531186041769,-0.0473566732514871,-0.502752949118868,0.0853994416518373,-0.663756162477679,-0.594457828541656,0.442327389176814,-0.298119526336659,-0.265210690853941,0.0242934967588531,0.0267380820897909,-0.839582100128384,-0.331968188637769,-0.433796190274101,-0.610963248472409,-0.481393043802151,-0.559573659851603,-0.211461147567089,-0.0453402416339125,0.0860797075256316,-0.204870476321641,-0.102868327543597,-0.607948423441627,0.509190030442671,0.4232272982598
"ETEC_Ctrl_2 (GE) - TPM",0.666664663455617,-0.498586967172667,-0.862064807643963,1.07084580460464,0.27194997211592,-0.360123895133743,-0.789699138094454,-0.501948224487322,-0.538099198121517,-0.194690059630006,0.225275814249697,-0.502752949118868,-1.52961693835521,-1.05192539830337,-0.341139951728435,-0.6476187835491,-0.298119526336659,-0.265210690853941,0.743950250336668,-0.352731588695515,-0.833785313046085,-0.626112057502492,-0.150360312427254,-0.118271841434261,-0.613600844183609,0.228902895222687,-0.88693245224743,-0.30286391982895,0.185409324066049,0.157694118016042,0.603569618314425,-0.927621307730153,-0.565489774936009,-0.171826781004968
"ETEC_Ctrl_3 (GE) - TPM",0.322390476833034,-0.319735529832689,-1.15560761488967,0.281714936503766,1.08055776799189,-0.427170118550872,-0.789699138094454,-0.0346048027504546,-0.793179010903818,-0.22177808941965,0.00386122685435237,-0.502752949118868,-0.442829391126502,-0.85407092511591,-0.562409401272312,0.662927142080613,-0.298119526336659,-0.265210690853941,0.0906119072159792,0.211014561332024,-0.91620392025346,-0.141466800440688,-0.140749044729311,-0.485282070210377,-0.318001754931094,-0.381764064246871,-0.814245230584065,-0.409957432254269,-0.374390832713123,-0.35916097677987,0.117930244180836,-0.538714479799164,0.166702619290323,0.166563835963173
"ETEC_Li_1 (GE) - TPM",-0.958121585148345,-0.869983564350841,-1.136978953064,-1.16069704458884,-0.971495602341243,-0.877726321393968,0.0369253772310532,-1.10412683280799,-0.9885889598716,-0.925268270107531,-1.06977152657691,-0.502752949118868,1.38147469831723,-0.624231518022127,-0.406422695369797,1.64150436544737,-0.298119526336659,-0.265210690853941,-1.56113039908397,-1.09180299602639,-0.484930092254939,-0.705605781039856,-1.14374371181362,0.0410910032286281,-1.01500952881013,1.06496728801728,-0.982391494472569,-0.545069394197671,-0.521797987304536,-0.909878943672839,-1.08442853920328,-0.950482600804941,0.436897925535476,0.765275100434999
