"","ETEC_RS01070","ETEC_RS01090","ETEC_RS01970","ETEC_RS02325","ETEC_RS02615","ETEC_RS03375","ETEC_RS03600","ETEC_RS03810","ETEC_RS04160","ETEC_RS04380","ETEC_RS04460","ETEC_RS04860","ETEC_RS06165","ETEC_RS07250","ETEC_RS07705","ETEC_RS08075","ETEC_RS08135","ETEC_RS08155","ETEC_RS08300","ETEC_RS08755","ETEC_RS09505","ETEC_RS09625","ETEC_RS09825","ETEC_RS09855","ETEC_RS09970","ETEC_RS10325","ETEC_RS10335","ETEC_RS11555","ETEC_RS11980","ETEC_RS12165","ETEC_RS12235","ETEC_RS12280","ETEC_RS13280","ETEC_RS13645","ETEC_RS13895","ETEC_RS13925","ETEC_RS14370","ETEC_RS15790","ETEC_RS15890","ETEC_RS16340","ETEC_RS16930","ETEC_RS17425","ETEC_RS18165","ETEC_RS18610","ETEC_RS19235","ETEC_RS19735","ETEC_RS20440","ETEC_RS20805","ETEC_RS20900","ETEC_RS21130","ETEC_RS21305","ETEC_RS21495","ETEC_RS21890","ETEC_RS22095","ETEC_RS22700","ETEC_RS22985","ETEC_RS23005","ETEC_RS23125","ETEC_RS24105","ETEC_RS24355","ETEC_RS24665","ETEC_RS24860","ETEC_RS24885","ETEC_RS25300","ETEC_RS25320","ETEC_RS25965","ETEC_RS26115","ETEC_RS26480","ETEC_RS26545","ETEC_RS26550","ETEC_RS26565"
"ETEC_As_1 (GE) - TPM",0.157283352267634,0.864401476269816,-0.740435169695241,-0.653098638396605,-0.817462470332323,-0.593437913231004,0.0246199360619497,-0.640317878710081,-0.406908221664106,1.25599943824145,0.487363129615155,-0.513037760058875,-0.765091760131867,0.0572418293635946,-0.043809750685214,-0.0907456548858531,0.737336813566554,-0.486462408343983,0.383457267025855,-0.635553973798331,-0.504368755515646,-0.461822237555541,-1.52241996317229,0.464773078101943,-0.177766458331475,1.74877497637368,-0.642843703675316,-0.624853169837974,1.21916868509651,1.52478951730965,0.208964196505721,-0.892111702322126,-0.567330497983215,1.40852891087886,0.871343068577634,-0.347140373815819,-0.736330530038127,0.556134092186372,-0.704336755287909,-0.313764543673813,-0.164891329552359,0.0195322666151461,-1.49155644940459,-0.011317104629128,0.127282364672572,0.0387677609424108,-0.635374309049912,0.589028824405643,-0.615644448309468,0.19762226810478,0.291205058695797,-0.694022205345966,-0.157712703191156,0.844866433365409,0.327425802761096,-0.742885270298606,0.109544493782802,-0.578438690725864,0.408307634382298,0.0619368371378228,-0.329416045006078,-0.250141473753082,0.0359947555729219,0.395464790786714,-0.336367244071015,0.154834427290461,0.605370409413364,-0.00179798567358923,0.964683513488573,-0.00852667502384261,-0.830664389928272
"ETEC_As_2 (GE) - TPM",0.934959993884514,1.21098591334872,-0.354826323041433,0.165706251349379,-0.690748153493058,-0.574166278543109,0.739293566444103,0.31001382446702,1.81894765657848,2.59069634667644,0.561121354764909,-0.304726962725654,-0.757992059537465,0.868662611271679,-0.163390673676227,1.12685777339484,0.844648375117569,-0.435118325563868,1.92712973165548,-0.458316171073328,0.0106058450365622,0.0507350048562298,-1.72003830659683,0.537914029065067,-0.00425075587887954,0.755915151282709,-0.47053437945466,-0.905077382303343,1.23806559278451,2.13807887088257,-0.00877545591624911,-0.471813139454748,-0.343197756201362,1.24643719789004,1.30517858602797,3.01376878749085,-0.438814445395206,1.38376829083541,-0.701878085876952,-0.350630670933128,-0.269133227338608,0.888681910769511,-1.15690282850064,0.466400117746459,0.525252109161605,-0.432035735910221,-0.364151083136389,0.624682342740676,-0.255417119072292,2.09112958742167,1.27979948026099,-0.383628645406264,-0.464858992994562,0.502166326675667,0.763636867241953,-0.447288079962916,-0.243422234375104,-0.843380445518492,0.987094817113924,0.980698670000809,0.904781788803119,-0.176858397356066,1.56444586714052,0.129795833998289,0.836625571093039,0.225759731979506,-0.0242881093646279,-0.214295843340422,1.08832664705259,0.938811566825622,-1.36325850522313
"ETEC_As_3 (GE) - TPM",-0.145327503845142,0.263247119967923,-0.281703349911133,-0.362979312324485,-0.650647428541013,-0.447998683837749,0.461766785191155,0.480420203530771,1.57260650007526,1.26510294077178,0.65641886858903,-0.571954331553366,-0.699723127526159,0.583189503117664,-0.311454375316153,0.634847861622047,2.34738479022681,0.380209460040095,0.928653623985671,-0.441836367763389,-0.242448393089959,-0.319789599306855,-0.873854742129421,0.904209610248679,0.190473667054432,-0.111292548773647,-0.843741035806145,-0.631383423054696,0.776084167373227,1.04320688537464,-0.706020348649598,-0.68060876076877,-0.425095055127973,1.03411549523177,0.76069453925568,-0.347140373815819,-0.618547305421737,0.596737188587103,-0.547140509971842,-0.624608446027234,0.308754492567569,0.771541103258198,-0.9709065360305,0.136231010425313,0.320511166715416,-0.141458126537632,-0.796177025579885,1.22996051595485,-0.0135260476872758,0.893078622561656,0.945696753293369,-0.373714087856381,0.722837999158282,0.153570165637793,0.640963073282899,-0.104597951192563,0.355850706608615,0.241610793025097,0.78118417532027,0.687047572686826,-0.176554048018051,0.0151834049332714,0.904670247467046,0.345490056746368,0.0171213621292827,-0.0201056726892776,0.823886516328068,0.718628104855522,1.45619674055961,0.497187778869287,-1.28041780884764
"ETEC_Bs_1 (GE) - TPM",-0.117687781489943,-0.659190465305959,-0.687652273041799,-0.598118897527686,-0.848043232271973,-0.588326602085458,-0.472571747731226,0.90823755833694,-0.167712955990997,-0.461657587022902,-0.292324569333427,-0.685851164850582,-0.807330115783879,-0.519940230500443,-0.444982988259293,-0.455905508088505,-0.288014632003634,-0.480938171330659,-0.54231931694382,-0.480600699742328,-0.93806110456806,-0.554943109516917,0.933256208122756,0.916966487573342,-0.462107596390201,-0.436675498373461,0.0945570991915028,-0.408541337073896,-0.452326050343657,-0.52920021636995,-0.832119635695361,-0.644662445794905,-0.621600433497339,-0.0690910365864705,-0.133450539627267,0.127158022547247,-0.630339237283896,-0.207047236580006,-0.303445080771794,0.620633283529051,1.16592995025153,-0.492922596032957,-0.65523202924203,0.270555802437195,-0.494475922820225,-0.20640896814992,-0.700559982502228,0.0799289378251329,-0.309756455076835,-0.0265037325863608,0.0284962992543498,-0.858950331849321,-0.287091690081297,1.06845150888407,-0.235755981491751,-0.444968372804582,0.924982287328292,0.380338587522671,-0.447186911667545,-0.452216149395988,-0.485866082765717,-0.419713547892021,-0.0624682007397518,0.0679138391468336,-0.219987076524136,-0.594522705706605,-0.433105581708687,-0.236956324344505,-0.118190827469898,-0.424397916637501,1.26354533313876
"ETEC_Bs_2 (GE) - TPM",-0.318731565546307,-0.582937809745987,-0.623303636074356,-0.66731820437459,-0.870600050742742,-0.633649433745794,-0.184469055449856,0.601260604659026,-0.116984866016042,-0.484663170412958,-0.310195939801452,-0.713146555728966,-0.81117801535292,-0.200743206489596,-0.680716550656298,-0.0762022722704136,0.171585244595335,-0.474560169696869,-0.0721436753051425,-0.590449803783551,-0.872586568956568,-0.444720285714773,0.0644377662834095,0.857186180942849,-0.421658933856624,-0.256753200995422,0.0242781076393637,-0.643847325707164,-0.225589391644231,0.455032476712885,-0.738773088495898,-0.660559927850295,-0.712904550999864,-0.280974425399864,-0.322038872618291,0.0589665892548638,-0.86638383345733,0.130566498593148,-0.471503460012641,0.309368820514016,0.696135818306836,-0.195052735707443,-0.527342681596906,0.355068024847284,-0.578504750297116,-0.371644087178278,-0.788010461318013,0.554288921313945,-0.442012968718858,-0.361013015556227,-0.00775224837163054,-0.92431433508047,-0.263974958587093,0.413122475423434,-0.297015879583756,-0.341704946052096,0.517307808131787,-0.554992576710758,-0.14231144888932,-0.0890895978389805,-0.485866082765717,-0.334195639092656,-0.340743597089655,0.356956482578728,-0.0441060739275979,-0.281903319814152,-0.5636006837522,-0.399442489883066,-0.255611600333852,-0.160732598155274,0.451205364714362
"ETEC_Bs_3 (GE) - TPM",-0.075504614728978,-0.411708185482716,-0.977191179699576,-0.809761861143377,-0.927926449104964,-0.592394036201841,-0.275147407947936,0.616331710362313,0.945214825266904,-0.150909338522221,-1.12528797458496,-0.662420066337058,-0.702146290992165,-0.168335811321614,-0.484626374195119,-0.362863117791316,-0.110687747378901,-0.666320610523071,-0.295387599726898,-0.666742831680758,-0.660144831091347,-0.230220429438367,0.493119162730727,1.07959058597584,-0.565252347141073,0.782708910961269,0.840871679320536,-0.71404920311317,0.740273147111911,-0.0595904006467838,-0.935575538450473,-0.326658719450212,-0.405971560899817,-0.14689290602089,0.0512975578786154,-0.347140373815819,-1.0268137400797,0.0600730541882541,-0.165950321324296,0.449097271582391,0.792078641341938,-0.235306277441481,-0.823971700792584,0.135747924065573,-0.676049921464051,-0.702851571501235,-0.557819089380281,1.18492186847278,-0.545106428414639,-0.306671962825771,0.429451712183207,-0.847401042159773,-0.796519532210692,0.591797062379462,-0.536677722090935,-0.288502180914403,0.517813505113668,0.16228043128675,-0.228497386978874,-0.336620406175524,-0.485866082765717,-0.552304920996582,-0.347921222253953,0.315015056180768,0.424739532028397,-0.849372248496359,-0.468760631856468,-0.266416309214195,0.612352373361084,-0.195264906727233,0.14519372052513
"ETEC_Ctrl_1 (GE) - TPM",-0.415934012336294,-0.777239390768018,-0.969160909944986,0.331648011814777,-0.890157946029618,-0.611445922942269,-0.840714017343538,0.729238488948206,0.136081935406592,-1.10690206149988,0.323834012427325,-0.639269953948419,-0.810196363477794,-0.72530580946712,-0.900735657618206,-0.869116100483795,0.0886520514537985,-0.511864069061692,0.285783611772099,-0.624341278333666,-0.828606981255031,-0.209061011209502,-0.565225954108518,0.967650026434084,-0.875755151166021,-0.418895286552746,0.677345924723823,-1.19433299906353,-0.377738382985758,-0.857098787944453,-0.914620584750946,-0.465289072476253,-0.527587160378963,-0.0461867730192807,-0.861656658798471,-0.347140373815819,-0.73456072469505,0.294474438670083,0.338601993442122,0.212328001349528,1.27410645238915,-0.748168352513097,-0.945158056909526,0.702232409789997,-0.761121087692218,-0.227842280492634,-0.738884971728144,-0.609750948895839,-0.879779335562421,-0.313395690692537,-0.0753875980525078,-0.90846732615251,-0.172568908265523,0.690480301327112,-0.0597619825455772,-0.0790723102216684,1.16527058343827,-0.661386748863362,-0.641149778741556,-0.645299123898201,-0.485866082765717,-0.660658153404604,0.00880662170282145,0.606706036412493,-0.673385202158827,-0.758179060499355,-0.82022949688877,-0.431677238610739,-0.799691970165686,-0.692769736678577,0.368469864023703
"ETEC_Ctrl_2 (GE) - TPM",-0.618291839116522,-0.724537663475477,-0.404577720118224,-1.07942745725456,-0.897896485222749,-0.727507111389348,-0.932370182421982,1.2257186898664,0.461762461368281,-0.777903142668252,-1.12528797458496,-0.344156089969797,-0.827405007896153,-0.880307683221606,-1.11991963660381,-0.747926702069273,-0.672550356899647,-0.548410015345302,-0.299122266430751,-1.19001910656223,-0.994042835258673,-1.16349446192591,0.541467022860581,0.642978393624565,-0.803678071182688,0.429881863728666,-0.0549081166940338,-0.5814555193547,-0.399263774996074,-0.852838293139057,-1.3240014813203,-0.921117665409702,0.0704336293522806,-0.247379741657061,-0.441376731305115,-0.347140373815819,-0.749183723324293,-0.554464964919485,0.573532356403184,0.660461328240438,0.4854365081554,-0.712971849004622,-0.492045960727905,0.737764198470891,-0.722339071899173,-0.410285568766456,-0.736245539418328,1.16359637511657,-0.956478816172558,-0.330029247156387,-1.31329295887054,-0.904998651424647,-0.518832316428309,2.54288990575107,-1.06327122513614,-0.382106719390066,1.01217640445927,1.11512504963154,-0.920933998472849,-0.977898896118571,-0.485866082765717,-0.485472526301049,-0.916943172763755,0.0200643181026753,-0.5203583095312,-0.617916657758367,-0.63393982412433,0.0593735295756114,-0.400921588571723,-0.836639085618203,-0.778536981703712
"ETEC_Ctrl_3 (GE) - TPM",-0.701169675215999,-1.02484203857173,-0.889952469588303,-0.27671576618989,-0.954367561465536,-0.673171616554371,-0.950490799171828,0.549851270755594,1.18019970767176,-0.688824876691459,-0.768067461441028,-0.628255988864061,-0.810125603186146,-0.673150237292243,-0.795735692887625,-0.826249279532628,-0.0733466501950657,-0.655456929256033,0.437881705428166,-1.05350730721881,-0.418319786318461,-0.292634738630442,0.659099458521224,0.620051116895967,-0.461791080918166,0.201151370681629,0.727838205182027,0.0923586712119123,-0.554634025345773,-0.689128066792166,-1.16216595306177,-0.436463760444057,0.657563371493099,-0.451243536206798,-0.37014287012821,-0.347140373815819,-0.991503749207846,-0.979351485458695,0.494556129420718,1.15608847332869,0.754017966355308,-0.82693372831336,0.515960968359499,0.14997510538366,-0.83230398155865,-0.41902150861452,-0.561147638732851,0.598436792247068,-0.828724680052818,-0.889526546958574,-0.764015985917912,-0.908490041889456,-0.689798217043014,0.673870753117404,-0.972975701474435,-0.230824755978442,1.05982214687605,-1.12090639061173,-0.91121169613677,-0.961029870224008,-0.485866082765717,-0.74735665327414,-0.144451061552851,0.452292579337531,-0.584250279328732,-0.635732913689419,-0.535612032339121,-0.0569834523717952,-0.581035255165025,-0.95361461148748,1.04416369729975
"ETEC_Li_1 (GE) - TPM",-0.479646457375667,-0.495852494773701,-0.792386281914276,0.0167748147019636,-0.336869090294813,-0.548225920406878,-0.83227794356078,0.777815560815772,-0.813404974643676,-1.09825107740058,-0.637459103432751,-0.709656386732353,-0.450338987767271,-0.926039227728009,-0.566527958641119,-0.555265476856731,-0.884738283358052,-0.791177359044184,-0.0518862006364576,-0.983622913260957,-0.528053302597256,-1.08315637319479,-0.128743007880592,0.781038814206563,-0.940485106585311,1.21661103319882,0.557307825230994,-0.608620698871427,-0.256361407981856,-0.868505179264374,-0.471144715139571,0.955337914309419,-0.712904550999864,1.43099773597502,-1.02608229768691,-0.347140373815819,-1.0527405530849,-1.26483845932153,0.892729081896134,1.51031637335501,0.824429486260119,-0.83716978706008,0.0787568356958899,-0.563296935627942,-0.526840694513067,-0.656457205261305,-0.894836594174282,-0.695691917400969,0.973567142744166,-0.932637441837634,-0.563187195493338,-0.795536537923034,-1.15819489618561,0.424829902214074,0.00641007628504537,-1.3071507453534,0.253670842396592,-1.19217779638102,-0.726381922937627,-0.597461612541834,-0.485866082765717,-0.72121095642961,-1.09320603065413,2.38727225226093,-0.570234918668281,-0.7145259153629,-0.639183460524712,-0.84701166001922,-0.00630007078392639,-0.579075584203477,1.25435634059832
