"","SPD_RS00130","SPD_RS00145","SPD_RS00230","SPD_RS00235","SPD_RS00240","SPD_RS00520","SPD_RS00725","SPD_RS02680","SPD_RS02795","SPD_RS03320","SPD_RS03325","SPD_RS04330","SPD_RS04540","SPD_RS06140","SPD_RS06480","SPD_RS06495","SPD_RS07710","SPD_RS08000","SPD_RS08220","SPD_RS08705","SPD_RS08865","SPD_RS08875","SPD_RS08915","SPD_RS09110","SPD_RS09165","SPD_RS09820","SPD_RS09860","SPD_RS09865","SPD_RS09870","SPD_RS09875","SPD_RS09880","SPD_RS09885","SPD_RS09890","SPD_RS09895","SPD_RS09945","SPD_RS10150","SPD_RS10730"
"STRPN_As_1 (GE) - TPM",-0.349412250582033,0.574392934851045,-0.442108545137788,-0.348935049764555,-0.389714614330109,-0.423845808313279,-0.524730569876002,0.521993509324087,-0.356779416538706,-0.579817161460668,-0.389738410988486,-0.603516171136168,0.0200346709426187,-0.39577364985538,0.272121928168727,-0.290950675538263,-0.618333879604883,-0.462520910457429,-0.622230570836851,-0.415522142478037,0.136878349283814,0.0512804188898938,-0.429928883259947,0.646181434353198,-0.865691711543575,-0.575576898216717,-0.480072799027182,-0.39328600359392,-0.455528692065296,-0.308841543500099,0.195985838311154,-0.207287998913605,-0.214365258827923,0.20528843967078,0.129733472729594,-0.766205038807032,-0.0936421640184459
"STRPN_As_2 (GE) - TPM",0.0812933144173656,0.466922935306301,-0.168378684055211,-0.0775268285563408,-0.0528663691821044,-0.353160127647106,-0.377990327873333,0.0582357899837712,-0.474480537376698,-0.64253093309936,-0.345308957888281,-0.666105097968591,0.895412686092904,-0.302485863622325,1.39106108564782,-0.133222477098393,-0.303508272790905,-0.406387370216414,-0.523328932828767,-0.463938113675579,1.12305853125322,0.954615929156216,-0.506128255243804,1.13064930370959,0.642081450266422,-0.274932499809902,0.0921732621351672,0.0476757586534166,0.683762468320674,0.0400078017870472,0.902140192254443,0.611230431881512,0.48556147328579,1.00214888386787,0.457577278108874,-0.412825008137906,-0.056692348998048
"STRPN_As_3 (GE) - TPM",0.0918148031857677,3.40222000429325,-0.155962573510668,0.339529357718031,0.160772647076008,-0.251854645118757,-0.524730569876002,1.28181497852339,0.0139182558294764,-0.364294355550519,-0.336747805537754,-0.259883290964436,2.76557588353979,3.34570207579741,-0.103025942979846,0.0553300497759909,0.777292046259194,-0.15805470216532,-0.230869685265992,0.392382779953234,2.36593121934184,1.89124169906481,-0.479149935373738,3.72704354371923,1.33377806149836,4.11704727145786e-05,0.723887210469268,0.776620000896473,1.03212633808257,0.709743656952445,1.90399410727964,2.06413943594616,1.46020829599205,2.6315509768983,0.47084427311518,-0.500662938804255,0.542965325928256
"STRPN_Bs_1 (GE) - TPM",0.0572106259651182,1.26926087978304,-0.531190095015824,1.08191431509793,0.54296120525626,0.774913305870074,0.598210837248708,0.0432315088189256,0.38706845707381,0.349878605020519,-0.13033799104884,-0.549419137700187,-0.262367223379855,0.0492472646537895,0.198635361553204,0.329736116030261,1.32042672273779,0.744260600981905,0.751748107258194,0.150985287723318,0.21347870777091,0.357470239354722,-0.60373096315831,-0.360243941046617,-0.865691711543575,-0.575576898216717,0.472220350562772,-0.155681788604539,-0.381526197259876,-0.185917786866939,0.770964162486581,0.706302479148492,0.548644527933438,0.233419660103482,0.267157407046158,-0.581255582546797,0.182820182826198
"STRPN_Bs_2 (GE) - TPM",0.524752107329296,0.635700474136584,1.43933233153289,1.95925504137402,1.48282019030711,2.69295711620894,1.667997312022,-0.863713461992228,0.814709368125376,1.68615534508244,2.27699888809833,1.11751542701924,0.665612573865872,-0.408344876014248,-0.127660089766437,0.830551586829038,1.52080725544927,2.52221797884252,1.41472749809677,0.356687792220639,1.51286087200594,1.80612134900821,0.854738617179821,-0.07282695316775,-0.865691711543575,-0.575576898216717,1.91628523496892,0.485015639980571,0.0403089642358508,0.605574518872281,-0.128335784463401,0.442975166009056,2.0520995269035,0.860231285389918,1.57716499543393,0.589702703720216,0.526208721408442
"STRPN_Bs_3 (GE) - TPM",3.80534268836529,2.78699580018727,4.64594944726495,4.8859897836588,5.23051802016724,3.60238594344817,4.87073687006798,3.90436296644679,4.9276267686776,3.61641567183349,3.34674346463717,3.2147445074009,3.87606077220028,3.31013451874059,4.70060643754555,4.94410249264211,3.09452240706946,4.7864857055794,4.50110337478325,4.65583343018163,4.02745796309537,4.32858263219961,4.77937553026334,1.37568089264108,3.09424110853277,4.95159493194001,4.30097042442769,4.27396487436315,4.69838339518762,5.47629401783417,2.73106486177987,3.78340243947024,4.47598003710974,4.17471269321448,4.96998648536202,3.23115404580821,4.06774240509795
"STRPN_Ctrl_1 (GE) - TPM",-0.210339409888236,0.219983944619048,-0.0287690974537106,-0.468140765038916,-0.439913896389812,-0.95038160835888,-0.524730569876002,0.117530265596624,-0.488919500682797,-0.510063259883637,-0.58336185644988,-0.172142586203003,-0.701269841243077,-0.161039762126612,-0.459792986138256,-0.612266996607212,-0.896264462768184,-0.470782667173975,-0.697652439877479,-0.270644236547141,-0.563542811683026,-0.718745124805667,-0.60373096315831,-0.449032868992559,-0.421414162201207,-0.575576898216717,-0.739600909397456,-0.848535779385328,-0.528158410694757,-0.656820007068234,-0.820910522302076,-0.552921660412947,-0.594817606557283,-0.652772719215245,-0.522619343497405,-0.562424887492121,-0.615736997726136
"STRPN_Ctrl_2 (GE) - TPM",-0.423540226752681,0.140658409453712,-0.117435254943722,-0.462021267839443,-0.46230556127714,-0.820022268895612,-0.524730569876002,0.171214655853306,-0.61078329901087,-0.597056750988211,-0.57438503471682,-0.274361654044982,-0.540593732640473,-0.115313551450832,-0.424772171330201,-0.448693648449437,-0.822466296669294,-0.435385331881196,-0.728762137456013,-0.335225140493057,-0.61089265232865,-0.693444619641289,-0.60373096315831,-0.471969691748664,0.0705810556449624,-0.575576898216717,-0.67233975743831,-0.668826065208604,-0.648471038590988,-0.609768908487483,-0.94460007339558,-0.780122156790576,-0.61115235996829,-0.64620570185809,-0.483893849849896,-0.480013383993016,-0.424297166782221
"STRPN_Ctrl_3 (GE) - TPM",-0.124682759015242,0.33207521074521,-0.0663206805523628,-0.471445417267717,-0.431183568182845,-0.916546262932102,-0.032662313415566,-0.0331276448872356,-0.564291849195338,-0.657552311301602,-0.376848413153981,-0.59042346738371,-0.649858898174812,-0.107814799977859,-0.537639423314549,-0.386092071735968,-0.904499018466309,-0.463446981715553,-0.708407787536298,-0.31397787092681,-0.615808196832293,-0.701547549199258,-0.60373096315831,-0.427879756957698,-0.865691711543575,-0.197517095922877,-0.687508922492606,-0.820113077979402,-0.653937815828686,-0.533825352508487,-1.16090427166491,-0.655457515033855,-0.634315450595935,-0.547874202716727,-0.506370710494178,-0.426212015893053,-0.503859187834473
"STRPN_Li_1 (GE) - TPM",-0.943511152996184,-0.789542404577553,0.191191454628049,-0.352648503478764,-0.321159572841421,-1.00851661162054,-0.524730569876002,0.154484944043218,0.0172807068183554,-0.200495712288559,-0.269257699536437,-0.606515479324286,-0.34821818224516,0.727357345136299,0.363278841548333,0.387231341834679,0.52854989135491,0.0131764440821435,-0.152878003773047,-0.691178984335713,-0.470641811202155,-0.428398610487821,-0.43812941808126,-0.562755815914222,-0.500231176346536,-0.320526716043821,-0.595943516606137,-0.588081543182823,-0.518156352615576,-0.164448377195846,-0.423165783034346,-0.0991948489406744,-0.581648426504591,-0.420742323371884,-0.18453959960813,-0.234435841297865,-0.512308612000949
