"","SPD_RS00535","SPD_RS00540","SPD_RS01410","SPD_RS01900","SPD_RS02905","SPD_RS02910","SPD_RS03900","SPD_RS03905","SPD_RS03910","SPD_RS03915","SPD_RS03925","SPD_RS03930","SPD_RS04300","SPD_RS05410","SPD_RS08265","SPD_RS08270","SPD_RS08275","SPD_RS08285","SPD_RS08520","SPD_RS08525","SPD_RS08530","SPD_RS08535","SPD_RS08540","SPD_RS08710","SPD_RS09080","SPD_RS09465","SPD_RS09470","SPD_RS09475","SPD_RS10165","SPD_RS10735","SPD_RS10740","SPD_RS10745"
"STRPN_As_1 (GE) - TPM",-0.801145252233548,-1.09415157048628,-0.448169428798137,-0.607353523951056,-0.486632477615129,-0.808211676753607,-0.550880225909507,-0.14127902369965,0.209501389192225,-0.0712891675752401,-0.449875443524526,-0.087633841053436,-0.425884137451013,-0.197435394202343,0.371512638433317,-0.301786527535458,-0.392924981535775,-0.215595641638156,-0.464457349352772,-0.538680371213157,-0.204877686631164,-0.45680993050247,-0.579337629548312,-0.437890495775742,-0.0703480387108253,0.157180956452746,-0.592684036959515,-0.806638798354786,0.447653749481245,-0.0656201938537315,-0.222476911695014,-0.245804393008953
"STRPN_As_2 (GE) - TPM",-0.633770900723141,-0.864192263521617,-0.194013143523392,-0.558492861797211,-0.395785424145222,-0.634717151603386,-0.293180171141054,0.0490026871104611,0.866903148234248,-0.0507005685048621,-0.314773572378441,-0.222684866554671,-0.268521084401318,0.436402478234021,0.126980751990464,-0.00547734920029523,-0.173468428492302,0.210160363950786,-0.503903128586215,-0.364831915349575,0.116604702183399,-0.178858718972106,-0.46489608831761,-0.673441111446886,-0.16443484108841,0.186840975012689,-0.388236045260714,-0.595957704829738,0.419490664624828,-0.10021154328752,-0.123239551199454,-0.238043180718892
"STRPN_As_3 (GE) - TPM",-0.94150280841325,-1.15654878150965,-0.818984939157625,-0.986066894198915,-1.00283124714035,-0.740722159876906,-0.762267842779979,-0.454584206359278,-0.473458638017486,-0.633038896624639,-0.717480867041853,-0.355891813284441,-0.688737334376384,-0.765277715013127,-0.585555534766149,-0.447329158238569,-0.448258910551234,-0.357848395507309,-0.715460790559016,-0.528351925594572,-0.365921232103607,-0.614375643115833,-0.684164220911628,-0.913413510236851,-0.0789445395926261,-0.494301903152969,-0.814848187933816,-0.714555446769417,-0.452899445315006,-0.696711236486686,-0.973154682261467,-1.13663538125123
"STRPN_Bs_1 (GE) - TPM",0.881940879899571,0.618440418654516,1.64513798908881,1.100778212439,0.460984633474093,0.922843418002922,1.28471096977563,0.0805205983307453,-1.02549800249413,0.439435535374254,0.149443460449145,1.66350542899349,1.0727949262754,0.26933884777676,0.312454081912702,1.25402717422262,1.31248999538722,0.425749277239024,1.43189659312306,1.06807519332597,1.43261624673816,1.29864365557249,1.09020053188371,-0.136935952642154,-0.931765053278236,1.26768479437519,0.847604839019628,0.777723644508112,0.915048131782338,-0.871820982771018,0.00981513435680932,-0.387673397692309
"STRPN_Bs_2 (GE) - TPM",0.819416459565299,1.6218180147675,2.41501682952642,2.5076002126908,0.605358521739819,0.42472860780549,0.988366157548203,0.297622517543451,-0.76107931456031,0.491914250980011,0.141874397004669,0.752981311821386,1.39381208664779,0.705538036013591,0.380761337813771,1.02529951542159,1.80074186959254,0.163687268366501,0.754728438715493,0.657797581043587,0.42991463141419,1.67687576103463,1.46876780683774,0.823959135872813,0.735194928788885,1.37198049823236,1.10271984807247,1.1612017655952,1.82743808148888,-0.775998249815419,0.397390822984817,-0.405605438943699
"STRPN_Bs_3 (GE) - TPM",0.0534713269360993,0.599793443231429,1.86884591778092,1.93659225000754,-0.0102211414884617,0.437169534992622,0.0530905458539933,-0.315422467194559,-0.786093999119763,-0.410030596071791,-0.434911847851136,0.582533133886605,-0.516861536727475,0.042061718601884,-0.45290788571361,0.140424182894255,1.31907065494722,-0.354177993086495,-0.319840546074874,0.875166043844599,-0.292454321264424,0.597546727052645,0.189089044110048,-0.678561634004299,0.32715876773326,-0.104267316318015,0.202836934543,0.28674176180176,0.218793645928562,0.0758976848703855,0.184967997318832,-0.499063961781116
"STRPN_Ctrl_1 (GE) - TPM",-0.191644406760031,-0.127719016577235,-0.229320580810071,-0.485974021781705,-0.366626793352493,0.349833392172742,0.0347110249577632,-0.0905717034281683,0.204156484166487,-0.0457703454336665,-0.393152290972516,0.0823230944946162,-0.162629320703021,0.0573585629295126,-0.0496874203774446,-0.0393096703669603,-0.0704131794888278,-0.563639419387252,0.367375855024894,-0.155870141679146,-0.110605139532217,-0.233866338610852,-0.0736700915124623,-0.350811877803263,0.225410676980852,-0.19925420906805,-0.180063769247844,0.174645135625885,0.258947556056409,0.37302098645243,0.372525084115397,0.804860701396699
"STRPN_Ctrl_2 (GE) - TPM",0.0533434594347891,-0.174784090407481,-0.324549218230443,-0.514870010418922,-0.364188168770538,0.0265770578500236,0.0161889049603511,-0.0272141695728734,0.0617859729646436,-0.0330830839825256,-0.384021311127538,-0.349226361703694,0.0752511980937235,0.049687879360686,0.0105187652720021,-0.0451048388891835,-0.220031593648253,-0.464849250939042,0.206340526637907,-0.255027023063656,-0.176297982654667,-0.237004142818549,0.00232718530658661,-0.482039858663828,0.170517059748517,-0.155899348973082,-0.251527148873033,0.189566965681064,0.207049072734812,0.301056984645124,0.351405029373381,0.709597443640931
"STRPN_Ctrl_3 (GE) - TPM",0.0454988186403206,-0.214037100136468,-0.211065617917159,-0.352035823198615,-0.365282945105692,0.0706435725338422,0.0636861285725922,0.00467834895504623,0.29870782968524,-0.0706952324936358,-0.428958015099925,-0.0667891847763447,0.127110340701628,0.548464196479375,0.000968797564419462,-0.206131419413728,-0.296163555025757,-0.485015652478484,0.304086379431176,-0.158491477192994,-0.0807596771220855,-0.259591500385448,-0.00975699145615331,-0.480971019161564,0.150011544956906,-0.295201306938635,-0.222690968891939,0.162075639929971,0.257800370989388,0.297934850240162,0.362877700208553,0.773973782253126
"STRPN_Li_1 (GE) - TPM",0.841044380492443,1.99781872209182,0.776640043452926,-0.0675706021888512,1.50318962808863,1.98452046039818,0.565705014120011,-0.0721205462318473,-0.502249623171826,-0.131344170588113,0.418324301086539,0.360679723473472,2.01153701870734,0.645752665493844,0.130075702379558,1.80872217309625,1.74668279238896,1.85248825558808,2.06197380978782,2.02357987003957,0.805308259519826,1.18446635291082,1.18470508047041,1.24114079044621,0.567472826520481,0.6368255595162,1.86970732168519,2.55656588193722,1.32652319633739,-0.261609907057224,0.408899617776041,0.684855662921411
