"","ECP_RS00560","ECP_RS01165","ECP_RS03005","ECP_RS04770","ECP_RS06455","ECP_RS06970","ECP_RS26355","ECP_RS12390","ECP_RS12420","ECP_RS12590","ECP_RS14400","ECP_RS25275","ECP_RS26410","ECP_RS15615","ECP_RS15800","ECP_RS16175","ECP_RS16465","ECP_RS26490","ECP_RS25620","ECP_RS19670","ECP_RS23920"
"UPEC_As_1 (GE) - TPM",0.700731867454638,0.35581367949844,-0.341254827541386,-0.0557844942409058,-0.359164670906789,-0.274190525562655,-0.302918490367239,0.192815283449729,0.189408653985495,-0.0452285264776463,0.0300094200488042,3.19640482078308,0.182045708088333,0.669193956611894,-0.189713230861198,0.336784812934457,0.253041642403686,0.320843159890163,0.127958391472357,-0.239219044312923,-0.676930404010937
"UPEC_As_2 (GE) - TPM",1.74249483703668,0.0772061072164275,0.0593583394269798,-0.542802349467582,-0.359164670906789,0.397458299623077,-0.302918490367239,1.25687316705292,1.41972764084817,-0.285270946455966,-0.18037404803758,-0.527911221781522,0.608308801796885,1.66843407172953,-0.18912237481463,-0.216385309324037,0.291882997408958,0.852983602284665,-0.322566010943455,-0.239219044312923,-0.655488057452631
"UPEC_As_3 (GE) - TPM",1.23679444725266,0.521473752067008,-0.129939069034353,1.10568219683631,-0.359164670906789,0.447947774498991,0.798335123364877,-0.143988911118019,2.35327337070923,-0.285270946455966,-0.190292518428971,0.52361684655984,0.173708189595436,-0.325604267222464,0.759877707079112,1.35559410837206,0.284844872995501,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.626216927728055
"UPEC_Bs_1 (GE) - TPM",0.367594593229771,0.99980932277019,0.326442808856981,0.0785399215278299,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.14214500543556,-0.357201805227672,-0.285270946455966,0.0147210763487996,0.530093767490844,-0.223247454100794,-0.325604267222464,0.203484170290837,-0.183846245080775,-0.425512755545762,-0.208931775497158,-0.322566010943455,-0.239219044312923,0.819142402469668
"UPEC_Bs_2 (GE) - TPM",0.322090279350597,0.868052353083693,0.207661407157827,0.4165928896461,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,0.4111477953586,0.307359176269111,1.03028192406391,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.291019128904044,-0.593185832839946,-0.581779473339994,-0.208931775497158,-0.322566010943455,-0.239219044312923,0.970022830323048
"UPEC_Bs_3 (GE) - TPM",0.83771637347939,0.201807438186876,0.187560137701224,0.385903602541568,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.145982891902902,-0.285270946455966,0.0634359352920968,-0.527911221781522,-0.388257319340064,-0.325604267222464,0.182367001156588,-0.494108153175381,-0.660353611122772,-0.208931775497158,-0.322566010943455,-0.239219044312923,1.0576157923785
"UPEC_Ctrl_1 (GE) - TPM",0.110634180972429,0.761775162523944,0.104684277097656,-0.368526905825383,-0.359164670906789,1.03576054874493,-0.302918490367239,-0.443347014603777,-0.200283157450456,-0.285270946455966,-0.64584645740686,0.111597661024486,-0.402919548050262,-0.325604267222464,0.454517130739032,-0.47223041555774,-0.194415797138918,-0.208931775497158,-0.322566010943455,-0.239219044312923,0.803336001324891
"UPEC_Ctrl_2 (GE) - TPM",-0.956469404005084,1.76803405654919,-0.580767167079498,0.0182470950100319,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.497690727689819,-0.285270946455966,-0.888487604725379,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,-0.759580559795463,-0.461227316367605,-0.208931775497158,-0.322566010943455,-0.239219044312923,0.77126688585488
"UPEC_Ctrl_3 (GE) - TPM",0.143032442119839,-0.836211376335099,-0.580767167079498,-0.140162864349097,-0.359164670906789,-0.497409003137857,3.83759012064197,-0.443347014603777,-0.649228977889498,-0.285270946455966,0.986572087371435,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.103187691696089,-0.206458997376467,-0.938292456575738,-0.208931775497158,-0.322566010943455,-0.239219044312923,0.921382599993382
"UPEC_Li_1 (GE) - TPM",-0.35520942003106,0.846087525283297,-0.580767167079498,0.628037013536487,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.81687029160902,2.50165236156525,-0.0681900384943996,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,0.128512952952759,-0.728723641087477,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.432559206700771
