"","ECP_RS00560","ECP_RS01165","ECP_RS03005","ECP_RS04770","ECP_RS06455","ECP_RS06970","ECP_RS26355","ECP_RS12390","ECP_RS12420","ECP_RS12590","ECP_RS14400","ECP_RS25275","ECP_RS26410","ECP_RS15615","ECP_RS15800","ECP_RS16175","ECP_RS16465","ECP_RS26490","ECP_RS25620","ECP_RS19670","ECP_RS23920"
"UPEC_Li_2 (GE) - TPM",-0.780511454507237,0.101259497065159,-0.445135763927317,0.248237575655833,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.0831000837855202,-0.607827681457842,0.530318521437735,-0.768458098844291,0.737495509712936,-0.52418822316913,-0.325604267222464,-0.229564256163495,0.45931017252092,-0.141001933436833,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.328634817488744
"UPEC_Li_3 (GE) - TPM",-0.956469404005084,-0.301736647867243,-0.329880399777797,-0.787127660368691,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.718496771034834,-0.285270946455966,-0.000380160293685153,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,-0.211044302936306,-0.484506823754793,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.354518132262523
"UPEC_Mig_1 (GE) - TPM",-0.956469404005084,-0.628813771892447,-0.580767167079498,1.04514214868069,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,0.776789577323013,-0.285270946455966,1.23565595655113,-0.527911221781522,1.59904667294424,-0.325604267222464,0.540208970380228,0.819589885554585,0.689729866649713,-0.208931775497158,-0.322566010943455,-0.239219044312923,1.61624004203512
"UPEC_Mig_2 (GE) - TPM",-0.956469404005084,-0.884219144361036,-0.580767167079498,0.382188571917836,-0.359164670906789,1.64396320590595,-0.302918490367239,-0.443347014603777,1.1554874004774,-0.285270946455966,0.467096346061702,-0.527911221781522,0.153313806808279,-0.325604267222464,0.180350441543924,1.54645561613171,-0.245645947687567,-0.208931775497158,-0.322566010943455,-0.239219044312923,0.75461655367122
"UPEC_Mig_3 (GE) - TPM",3.68085877111742,3.92146771592547,4.78103089169863,4.6702312106116,4.79613963232524,4.49962956539405,4.06289892751288,4.30376230212017,3.95249369477146,5.08839365976727,4.64737122033305,3.64077390235894,5.00930247700895,5.24186168976184,5.47026209534381,4.242857771162,5.12297511919272,5.72092182923138,4.72022400031064,5.27155581102654,4.12241784554197
"UPEC_Nd_1 (GE) - TPM",0.0430035479708426,-0.126328648853939,-0.0671599124508065,-0.395056883898271,-0.359164670906789,0.220591348223133,-0.302918490367239,-0.443347014603777,-0.205450322389275,-0.285270946455966,-0.206698319138583,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,-0.480305332991304,-0.473804840397906,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.670117996730394
"UPEC_Nd_2 (GE) - TPM",-0.453702256068053,-0.650870141427326,-0.193225632128281,-0.787127660368691,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.985125698773722,-0.285270946455966,-0.545525592691376,-0.527911221781522,-0.52418822316913,-0.325604267222464,0.509132205569936,-0.266340836925452,-0.412574871411552,-0.208931775497158,1.86433908252396,-0.239219044312923,-0.704338123558993
"UPEC_Nd_3 (GE) - TPM",-0.956469404005084,-0.965512874943889,-0.580767167079498,-0.787127660368691,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.656974043267388,-0.285270946455966,-0.888487604725379,-0.527911221781522,0.58629337397696,-0.325604267222464,-0.454367333646957,-0.184848073978642,-0.370640134218053,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.683277694880533
"UPEC_Ns_1 (GE) - TPM",-0.956469404005084,-0.97170912475541,-0.375051490613728,-0.158981509399094,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.416857272036445,-0.285270946455966,0.0217717604290949,-0.0480923978604611,-0.52418822316913,0.31521529315453,-0.454367333646957,0.013287258616381,-0.612719422288478,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.671308158799349
"UPEC_Ns_2 (GE) - TPM",-0.753039125563521,-0.181814430626044,-0.110344531103052,-0.547724281712563,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.94368641231087,-0.285270946455966,-0.125254130905962,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,-0.154776008122886,-0.690123191045565,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.647148031125924
"UPEC_Ns_3 (GE) - TPM",-0.506870278971702,-0.213588737950868,-0.060929099758368,0.535629582484595,-0.359164670906789,-0.497409003137857,-0.302918490367239,0.937380927304283,-0.593261180418489,-0.285270946455966,-0.275100587740094,-0.527911221781522,-0.370907067541598,-0.325604267222464,-0.167164432941199,0.882234231008145,-0.546523677105117,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.347893298982105
"UPEC_Oss_1 (GE) - TPM",1.16485270816259,0.438548484726562,-0.52966868444328,0.77314794555439,-0.359164670906789,0.788392756440122,0.196361734759312,2.40680046338764,0.311530938178057,0.175633201117256,-0.210179469098705,0.663928615395537,0.515439329959476,0.311097956461519,0.0961403151008303,0.744748794351612,0.494267104715727,-0.208931775497158,0.254133628820681,2.28165679460556,-0.641819232019256
"UPEC_Oss_2 (GE) - TPM",0.874538752923643,0.159551182929236,-0.110309677150259,0.218441029454091,0.455045915216963,1.60716340738145,-0.302918490367239,1.30605030704402,0.518345668331962,-0.285270946455966,0.860140446932151,0.788863640876807,0.807529891311008,0.260599695410766,-0.220438562689085,0.851393419999019,-0.00227045246766415,-0.208931775497158,-0.322566010943455,0.341015856694353,-0.613272269039961
"UPEC_Oss_3 (GE) - TPM",1.22594738045928,-0.0978746726239859,-0.580767167079498,-0.787127660368691,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.961013100716361,-0.285270946455966,-0.144121098022474,-0.527911221781522,0.219859858986466,-0.325604267222464,0.242694110483976,0.0328113494856105,0.77323775044391,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.223843562365021
"UPEC_Oxs_1 (GE) - TPM",-0.162143450196715,-0.494397290034201,-0.172580460693452,-0.787127660368691,-0.359164670906789,0.643845120752055,-0.302918490367239,-0.172303575064843,-0.44841055472658,-0.285270946455966,-0.346639099796006,0.42415849344258,-0.0728409621175515,-0.325604267222464,0.137615218979022,-0.346725720293398,-0.38456876422421,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.565153995175613
"UPEC_Oxs_2 (GE) - TPM",0.0509626330034948,0.187793128840225,-0.0630699130267939,0.00325823374420827,0.38747484783867,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.386012794982543,-0.285270946455966,0.2568766719504,0.67958493039051,-0.52418822316913,-0.325604267222464,-0.239852234102205,-0.6759977186006,-0.587152609905016,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.632079934045599
"UPEC_Oxs_3 (GE) - TPM",-0.503206210268566,1.02854855947766,-0.406075647798674,0.0129946790587463,1.15250946875761,0.967857358279203,-0.302918490367239,-0.443347014603777,-0.587761254665835,-0.285270946455966,0.0390912411284778,-0.527911221781522,-0.0605971997539727,-0.325604267222464,-0.309595583853586,0.208090264817698,0.246592199482298,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.497531598210191
"UPEC_Sp_1 (GE) - TPM",-0.956469404005084,-1.33470264514941,-0.580767167079498,0.566041953082205,2.19738376125909,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.189403828423407,-0.285270946455966,-0.888487604725379,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,-1.10423160659303,0.264036112827746,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.713743039737733
"UPEC_Sp_2 (GE) - TPM",-0.956469404005084,-1.33470264514941,-0.580767167079498,-0.787127660368691,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.132856797378917,-0.285270946455966,-0.888487604725379,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,-1.8105687858543,-0.938292456575738,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.713743039737733
"UPEC_Sp_3 (GE) - TPM",-0.956469404005084,-1.33470264514941,-0.580767167079498,-0.787127660368691,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,0.974005576905568,-0.285270946455966,-0.888487604725379,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,-0.709475252803308,0.727737436879613,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.713743039737733
"UPEC_Tm_1 (GE) - TPM",0.534375011314004,-0.167208176543753,1.61309983088295,-0.787127660368691,-0.359164670906789,-0.497409003137857,-0.302918490367239,1.22153049013961,0.410237545783759,-0.285270946455966,0.0360376179732912,1.42144353258142,0.307528533763143,0.976121086321375,-0.021481865937413,0.062685210623379,0.195452157341062,-0.208931775497158,0.266959606382949,-0.239219044312923,0.57418437332943
"UPEC_Tm_2 (GE) - TPM",-0.314489664353401,0.120598662689888,0.573880468224976,-0.787127660368691,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.424944477160363,-0.285270946455966,0.27931430450483,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,-0.298845091844006,-0.192420248695981,-0.208931775497158,-0.322566010943455,-0.239219044312923,0.639278794618515
"UPEC_Tm_3 (GE) - TPM",-0.956469404005084,0.106781911998496,1.86998707998506,-0.787127660368691,0.11210947178674,-0.0406027843717563,0.495287295105372,-0.443347014603777,0.123836374704568,-0.285270946455966,0.846584447712847,-0.527911221781522,-0.235133252482409,-0.325604267222464,-0.454367333646957,-1.15953780131313,0.243772880470229,-0.208931775497158,2.44336561879306,-0.239219044312923,0.86433418207634
"UPEC_Vic_1 (GE) - TPM",-0.203441882298716,-0.993295628880231,0.580125873369243,-0.787127660368691,1.31511235911255,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.27909289425064,-0.285270946455966,-0.888487604725379,-0.527911221781522,0.502725953022678,-0.325604267222464,-0.454367333646957,-0.191544342647656,0.636511353969407,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.629224859695641
"UPEC_Vic_2 (GE) - TPM",0.193552485343172,-0.813306639530449,-0.580767167079498,0.566255563974658,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.620791689267316,-0.285270946455966,-0.888487604725379,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,-0.574283593632533,-0.136613544229003,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.606179732183649
"UPEC_Vic_3 (GE) - TPM",0.368127471119355,-0.133613298757611,-0.580767167079498,-0.787127660368691,-0.359164670906789,-0.497409003137857,-0.302918490367239,-0.443347014603777,-0.77105961234708,-0.285270946455966,-0.888487604725379,-0.527911221781522,-0.52418822316913,-0.325604267222464,-0.454367333646957,-0.590035866843977,-0.0149175261588275,-0.208931775497158,-0.322566010943455,-0.239219044312923,-0.565073151947871
