"","lmo0210","lmo0245","lmo0407","lmo0438","lmo0555","lmo0563","lmo0564","lmo0602","lmo0608","lmo0669","lmo0670","lmo0872","lmo1439","lmo1830","lmo1984","lmo1985","lmo1986","lmo1987","lmo1988","lmo1989","lmo1990","lmo1991","lmo2046","lmo2142","lmo2385","lmo2448","lmo2462","lmo2463","lmo2698","lmo2699","lmo2724","lmo2735","lmo2736","lmo2748"
"Listeria_As_1 (GE) - TPM",-0.539856384209921,0.672268286631626,-1.17841266085383,-0.67610714614135,-1.01089446383007,-0.90587006451888,-0.541954393571413,-1.05945264332017,-0.914721183634762,-0.952690592696236,-0.94439080684495,-0.693961537642156,-0.749709478647296,-0.860619949666803,-0.559038946352111,-0.62340102666943,-0.601548848120629,-0.576640490101608,-0.613558762203407,-0.593511302049406,-0.428457540384627,-0.472118350814916,-0.596641811234108,0.0845109306638091,0.26135621727674,-0.359981601263537,-0.750094374511166,-0.966150020107644,-1.31211592741186,-1.51392902714867,-0.869357333706111,-0.863004736282354,-0.626078019728715,-0.847376843448709
"Listeria_As_2 (GE) - TPM",-0.517667994346241,-0.32429763136546,-0.774248935477722,-0.870044658501488,-0.991553865364079,-1.36491830215187,-1.02263399052366,-1.00163545382907,-0.908512072698503,-0.880387661407638,-0.774452513200405,0.0571281066500135,-0.797490559665707,-0.817293378541967,-0.495395893388041,-0.592212942991577,-0.617272154116723,-0.517088743813424,-0.609792713499276,-0.629209105167065,-0.636366098404367,-0.524961023870861,-0.371606162345156,0.172879329179718,-0.093330169045021,-0.396414317172327,-0.546787882904144,-0.879208965094805,-1.2743898361267,-1.27551540417463,-0.665207849649838,-0.767390661937157,-0.695287843008497,-0.81029174609531
"Listeria_As_3 (GE) - TPM",-0.328619246086502,0.872870121589739,-0.97142585680347,-0.946392688961998,-0.957785647994253,-0.37883330293223,-0.803304814417519,-1.11694889483155,-0.920546748951386,-1.03470572243897,-0.978826342389359,-0.878403236877138,-0.575027937941573,-0.875798752381927,-0.562422830261195,-0.583132444959464,-0.624663537301317,-0.548901158826763,-0.667516460169399,-0.580898661007321,-0.628126070460616,-0.509967216483515,-0.451936425413658,-0.0991651177050981,-0.0288213183799938,-0.324238600735476,-0.654951648632498,-0.992102076781447,-1.29944903988866,-1.61179695061254,-0.8597936722064,-0.876381061972367,-0.483793023445406,-0.872376592564439
"Listeria_Bs_1 (GE) - TPM",1.01777402654325,-0.540214675498339,0.84843608609848,1.13170655020459,0.594076267693358,0.0744297088658147,-0.0428610970259746,1.75012642745625,0.484401735554784,0.668089128937998,0.601504459824505,1.70112221357632,0.0546303781266876,1.00856891119836,1.34446395553031,1.12286631903486,1.16621201082211,1.46034528145476,1.02412567128652,0.746100624778885,0.953342018241427,0.357303551774691,-0.0875394732580255,-1.00108658364584,-0.976148218868252,2.41231513512866,2.27753733297556,1.61197214955316,0.779611800135828,0.777562843314303,1.12588734819145,2.30978645896738,2.44416588664951,0.62407825362894
"Listeria_Bs_2 (GE) - TPM",0.660405843232958,-0.931241133478712,0.982307522427684,0.815834397195462,1.09184993214707,-0.492076356886418,0.795652306177422,1.58871297758791,0.692340889182467,0.823685375257283,0.817926204923454,1.08505084480402,-0.0107374187836652,1.22853668357775,1.13728676419216,1.07462791446268,0.776330308763601,1.18171731965104,0.870669701792228,0.392888732606876,0.259599240907314,0.144749406593556,1.14162692678541,-0.554198040770049,-1.29173972320108,2.02349023577467,2.71762868945971,1.99180598336395,1.27001458046073,0.459671474236577,1.29894118211692,2.21630286604814,2.39052458397448,0.728992863895322
"Listeria_Bs_3 (GE) - TPM",1.20468401697534,-0.715624369312164,1.88062845938233,1.49631664942291,1.86924365197284,0.152992480043937,-0.540590895253192,1.71885457555047,0.777557388346402,1.30464297730749,1.10443729226209,1.858551564426,0.205410143154547,1.65816565320137,0.937538973221504,0.736224920529668,0.712872364836322,0.789879521570805,0.459249914896901,0.238258273067364,-0.296236577241593,0.114775053958733,-0.768228993713904,-0.94041840210611,-1.36051847659513,2.35499219167017,2.40338306679162,2.27844084860295,0.56080343989012,0.804638523740173,1.24584946979462,2.22711165292445,0.952558194928585,0.990620917489285
"Listeria_Ctrl_1 (GE) - TPM",-0.480010423858356,0.796142043446435,-0.706659255419818,-0.724485488402116,-0.772726213584051,-0.818137646525964,-0.779881957583001,-1.02834515063745,-0.92029569452615,-0.950197238296508,-0.917952135818082,-0.992567737455737,-0.815978596257549,-0.750599109594964,-0.435991239683297,-0.468301271920272,-0.474264462685424,-0.484631743017296,-0.491228069439473,-0.51892221400207,-0.568089197338489,-0.505379527521991,-0.359328034114432,0.769125612952315,1.70245355301077,-0.867989188978614,-0.345759692602743,-0.930983205677787,-1.0741262180594,-0.328498536362976,-1.013410330659,-0.592555552678593,-0.835452220975899,-0.816705480187179
"Listeria_Ctrl_2 (GE) - TPM",-0.517276784387738,0.486330623076887,-0.818338471422957,-0.640253718534398,-0.861002511737575,-0.134507532387625,0.260715627436436,-1.0532054006505,-0.961327615286134,-0.965818266711612,-0.91366911607792,-0.810444112420308,-0.896646233137855,-0.72897437031168,-0.473848349100125,-0.507103050110448,-0.540739288378181,-0.507368526487806,-0.392519637782702,-0.505592836937145,-0.594140418748495,-0.531209282838587,0.775491863868714,0.828373344743569,1.05877400709496,-1.00900323257336,-0.494994907595218,-0.90255848757544,-1.20341485108819,-0.475945283744648,-1.00504160924552,-0.659791293341996,-0.5664491176074,-0.799088980961012
"Listeria_Ctrl_3 (GE) - TPM",-0.693169926247993,0.501843784152816,-0.899085818475841,-0.704424448576927,-0.832747305921174,-0.670268876019458,-0.663429614876992,-0.967039741349307,-0.950584162344483,-1.02880635598421,-0.71373335399837,-0.986150230862425,-0.805049373659589,-0.801941608848379,-0.473522606615104,-0.532555981627012,-0.416957189358113,-0.432416293051292,-0.481445528689223,-0.536437226507992,-0.46693699259366,-0.547553555709839,0.417772013949464,1.11824087413298,1.18140711634961,-0.925327018576962,-0.396024918814703,-0.608461380633454,-1.05224179067411,0.401251731136132,-0.988954675313173,-0.65187366337939,-0.736427992788206,-0.810112030402196
"Listeria_Li_1 (GE) - TPM",1.38778977889998,-1.0329704254838,-0.26520661509569,-1.00698770223984,1.05204581607603,-0.174115507499801,-0.620809490174296,0.551200236233787,-0.0457701896114729,0.468003379628451,3.14085503451327,-1.11875415678156,1.90482998539589,1.44344128426236,-0.420659116621819,-0.547852467723762,-0.49910084414413,-0.543071348066634,-0.471342394533754,-0.285958836820428,-0.443228351052825,-0.520874086969657,0.0662004995767823,-1.53893635271291,-1.23283531894647,-0.552248858058055,0.13455152551825,0.488537880428495,-0.502308560795637,-0.240976144242318,0.230266431712384,-0.166009540975615,0.147416577293063,0.587392531527443
