"","E2348C_RS01000","E2348C_RS01005","E2348C_RS01155","E2348C_RS01360","E2348C_RS01985","E2348C_RS03010","E2348C_RS03380","E2348C_RS04645","E2348C_RS05680","E2348C_RS06145","E2348C_RS06165","E2348C_RS07165","E2348C_RS09265","E2348C_RS10510","E2348C_RS11585","E2348C_RS12045","E2348C_RS13270","E2348C_RS13905","E2348C_RS15725","E2348C_RS16650","E2348C_RS17080","E2348C_RS18700","E2348C_RS19335","E2348C_RS21250","E2348C_RS21255","E2348C_RS21260","E2348C_RS21265","E2348C_RS21270","E2348C_RS23345","E2348C_RS25195"
"EPEC_Li_2 (GE) - TPM",-0.377552844357047,-0.597729790241602,-0.594723800538012,-0.472593156327309,-0.0328540390332905,-0.971969540175583,-0.00946231021766819,-0.361759262392484,0.380528890074488,0.575591232633547,1.41884169024445,-0.546353664531372,0.523702213124517,0.424439328020524,0.265398872049133,-0.0791570102141693,-0.628146844188861,-0.62594214624144,-0.0693611051606506,-0.213786457616498,-0.422031307449113,-0.452762830860381,-0.46476922927888,-0.617443060279075,-0.60656737491201,-0.575148135950609,-0.546764198447105,-0.579406903304019,0.301978657540207,-0.337397087335441
"EPEC_Li_3 (GE) - TPM",-0.278370832687106,-0.367067442442028,-0.619273638062206,-0.999802700578107,-1.24604654745353,1.28090152819806,-0.224723522192701,-0.594846563618423,-0.048570263516477,0.339206284306373,0.519492655364665,-0.546353664531372,0.212107960365742,0.0431470519783706,-0.663835227756673,-0.695814702158972,-0.533497838870497,-0.477376944278724,-0.745657954150169,-0.619286040411456,-0.867297061103769,-0.514979836367984,-0.689831882585728,-0.62513660317146,-0.611686714600792,-0.582308477015398,-0.570662295576431,-0.590880420976421,-1.07885076691403,-0.396467599821031
"EPEC_Mig_1 (GE) - TPM",-0.556590547232694,-0.844369901822639,-0.43136794947725,1.64172019836,-0.800536445782351,-1.30834068213658,-0.405236671565582,-1.66457665352685,-0.587683461611514,0.179599175798441,-1.16235540049737,-0.546353664531372,-1.12196040507069,-0.780448817300238,-0.147282847923761,-0.967021071941153,-0.0500951344206017,0.533667565259973,-1.12011392769418,-0.436030094735492,-0.0798396608688412,-0.141168783960413,-0.791965920938742,-0.590316264407204,-0.570694528062214,-0.523892569750716,-0.484697556392615,-0.554755096115924,-1.3084076126613,-0.945131212497163
"EPEC_Mig_2 (GE) - TPM",-0.450630888128887,-0.782344868719557,-0.554888433867455,-0.235310472886533,1.06082871075173,-0.310905019744042,-0.908092648898825,-1.47459304539761,-0.911749090467835,0.751992467335328,-1.36589738459604,-0.546353664531372,-1.33952611250699,-0.525360179612732,-1.482500654474,-0.967021071941153,-0.572605777430481,-1.15103884358745,-0.600817329759125,0.101758044248841,-0.148678927488782,-0.243834329816501,-0.40359606862072,-0.567259726844947,-0.564124176871781,-0.571718699654714,-0.559112697663554,-0.600205134498487,1.07921798380801,-0.945131212497163
"EPEC_Mig_3 (GE) - TPM",-0.876039673540849,-0.696397832432081,-0.575101716965902,-0.485098436899598,-0.851855217744093,0.63457832395096,-1.05940285836429,-1.68347463222536,-0.829154808730586,-0.20352416315027,-1.15550238165126,2.49052112621146,-0.775960834014226,-0.821494662684369,-1.00173532889908,-0.600706319697642,-0.649182368341945,-0.241132885494335,0.902976419472904,0.261430854283522,-0.98839858277483,-0.219409426352025,0.369429488566292,-0.522409416024196,-0.554679027601223,-0.568920283411698,-0.54329771557426,-0.554905201411457,-1.3084076126613,-0.555093068498091
"EPEC_Nd_1 (GE) - TPM",2.05032628895212,1.3587883264383,2.1990014743895,1.30217128641353,1.34086189062325,2.98020829286421,0.995031657770775,1.54821073377115,2.38867497884708,2.30021345668492,1.78114559301141,2.58180911892064,1.11815656301001,1.59953371402205,1.73641022145228,1.78206921498266,2.39669105049824,1.03589553940314,0.666089615742222,2.31644462844943,0.997341903176045,2.75971318805728,1.83290302632329,1.50806176694598,1.70779830649665,1.94247866283021,2.10622473581099,2.02876927986534,0.972875546537975,1.35065525008994
"EPEC_Nd_2 (GE) - TPM",1.44709139193506,2.30148626596942,2.07656373409324,1.87010188900939,1.75794259157199,1.68666574854878,1.52194097985244,1.16829831596478,1.66868339024342,1.74034195989596,1.75004489492448,0.173852098673938,1.38284931629888,1.48229728290454,1.4818951584369,0.336071814233023,2.12648897933763,1.94191483254427,1.87853070607273,1.81673441349085,0.466273476323093,2.39763093807483,1.18711094198106,1.84065239562597,1.44732224207848,2.01267509245335,1.80225492649912,1.97408359778859,1.26520112324109,2.10733402558477
"EPEC_Nd_3 (GE) - TPM",1.92311570788411,2.97653060731853,1.97008509999973,2.35588120590513,0.786889283941787,0.119083024853966,1.34866831857758,1.14361373183108,2.55817719458697,1.61474490053071,1.04013614221303,2.2932677701641,1.29841844650996,1.48424471294547,1.31105876728383,2.80071656472504,2.24144240746707,1.92806521178784,0.704010964670304,2.15651937892091,2.07051831485703,2.13844803026457,2.62430252952288,2.41856319892622,1.79873785429675,2.16081374031941,2.05820486380639,2.39297390940818,0.762450269745066,0.800238388033538
"EPEC_Ns_1 (GE) - TPM",-0.971454650890415,-1.14976719650924,-0.655369883117598,-0.503189844293262,-0.600704767875351,-1.05854818534673,-0.27974395924289,-0.321758716268286,-0.658287432337885,-0.682859755420646,-0.883671382882692,-0.546353664531372,-0.368965158524798,-0.754919946597323,0.433605313070054,-0.967021071941153,-1.50387830435508,-1.07305045591108,-0.990064042094131,-0.972061541566725,-0.98839858277483,-0.902577056047575,-0.96034085787712,-0.596468652274684,-0.59908098794543,-0.571659486158942,-0.560611908465026,-0.540337573349939,1.08336954778026,-0.59411286822065
"EPEC_Ns_2 (GE) - TPM",-0.974582635119893,-1.12475095107445,-0.639592156510477,-1.11277958086097,-0.290908181856835,0.254698745451802,-0.10533783895918,0.482764043075885,-0.669932596849173,-0.45831376472725,-0.790907732007184,-0.546353664531372,-0.715336599432534,-0.123693350902834,0.838095800522667,-0.598654969829011,-1.41299181991173,-0.846038377035994,-1.12011392769418,-0.8021161483369,-0.98839858277483,-0.935474855390942,-0.852397450995356,-0.61217976409164,-0.607572860785706,-0.570196281881019,-0.568206514924715,-0.502198440717455,0.562366156238943,-0.709797806131368
"EPEC_Ns_3 (GE) - TPM",-0.836292967839116,-0.912746598384295,-0.612547722030468,-1.1192035731569,-0.0584127980874071,-1.30834068213658,-0.501170899778973,-1.15021835324164,-1.38533836566627,-0.469625079358592,-0.547717224585492,-0.546353664531372,-0.437470465509909,-0.6721645921676,0.736299615084272,-0.768127587767828,-1.4036496680112,-1.15103884358745,-0.708194104604138,-0.914972737570837,-0.766369288234614,-0.958521439757591,-0.689817648741901,-0.628118559303923,-0.598963664348273,-0.581761720581011,-0.570921912084139,-0.570663689984013,0.795956716884812,-0.415695495356248
"EPEC_Oss_1 (GE) - TPM",2.30510456140076,1.67367681180031,1.15385001681102,0.987881846435252,1.79202812316219,0.944833511151136,2.23345768423559,1.95163330445058,1.34948519944264,1.61400528652165,2.46272942904468,-0.546353664531372,1.3622976056815,1.9131431213325,1.74534153076296,2.47617378144144,0.962122866854106,2.69953148411832,2.46084835271899,2.4590154038719,2.15646019625341,1.43508359562445,1.44449875815758,2.0296494425746,2.24908975115557,1.92385699632467,2.16639979586319,1.90519795646777,1.5303120215469,2.34015066677531
"EPEC_Oss_2 (GE) - TPM",2.09779270748465,0.515240071339065,1.88385870952695,1.32250929720502,1.69286768742454,1.26886625523368,1.90241918143426,1.69523262292142,1.54585161950261,1.83789148963783,1.77238439847088,1.46779482914128,1.32939578605032,1.33534471593027,2.0887123911596,1.94839305834549,1.36228581319846,1.58472598449656,1.16090452541991,1.57900540048361,2.2661441458926,1.46706065953965,1.78799768679932,2.62161320406424,2.75005709434922,2.31455929879639,1.89437846120538,2.11487910943517,1.05646205835149,2.00388073494643
"EPEC_Oss_3 (GE) - TPM",2.27370622929905,2.11396591155874,1.1075165624545,1.43356299902985,1.90765031137598,1.89617917862936,2.71885012143378,1.48892290573018,1.6910426493168,1.31914258945507,2.21707359357525,2.79285761155738,1.72769877477692,1.15218521291398,1.38090092189307,2.3895061575385,1.74912165661553,1.85043646782447,2.12394767275744,1.82295021913823,1.40966046188958,1.93144985582895,0.434581728518055,2.08190324368596,2.57932208860285,2.49752683109471,2.66165864968861,1.90308713268078,1.95881238007953,3.164858049889
"EPEC_Oxs_1 (GE) - TPM",-1.03973068427441,-1.1634236595471,-0.620584519886834,-1.26910655096355,-0.793929515973385,-1.08061657986282,-0.799007157093775,-1.20192526973572,-0.371720071346939,-0.877929899259397,-0.77542053107192,-0.261598784435058,-1.10907223094092,-0.104999993634316,-1.0091677176378,-0.606369360448154,-0.0412839928460242,-0.880865094783885,-0.835569014380415,-0.775624253271559,-0.835025759151987,-0.958181184735931,-0.521020689233658,-0.482196161936491,-0.489686664375022,-0.515756258146612,-0.513962631990541,-0.57945818260349,-0.872313403065498,-0.35997562901419
"EPEC_Oxs_2 (GE) - TPM",-0.661923731246105,-0.704519578490355,-0.588431394932404,-0.470603691437234,-0.0336691570933576,-0.791175725260805,-0.514872016374061,-0.975283399715593,0.700439465308445,-0.83014752411399,-0.436724837204165,-0.223012296959399,-1.04462640881751,0.0887753039099738,-0.305178388839208,-0.0309689443161893,0.00430254428300416,-0.472883898363645,-0.635459505136232,-0.806624916013094,-0.683625536114554,-0.892517980702484,-0.0031729993472439,-0.336128094189026,-0.28333939018213,-0.384863304767268,-0.447608212761772,-0.50298408668775,-0.48309370300442,0.0723058405105591
"EPEC_Oxs_3 (GE) - TPM",-0.86539711381264,-0.842259075692095,-0.587161710243506,-0.942304155089657,-0.833606771834551,-0.75755568928551,-0.728006729415942,-0.679887642539554,0.375177213127566,-0.862653698490809,-0.624895470831054,0.314549468174083,-1.03520570661541,-0.155024813539553,-0.551193058032087,-0.343956494686124,-0.128568599347163,-0.549171616384877,-0.451016332167791,-0.980009428511409,-0.833833898666571,-0.984325615368062,-0.41471812154022,-0.326384267571115,-0.332913802875566,-0.386033819213248,-0.460183569814038,-0.499415214323022,-0.429441415447525,-0.152718036668682
"EPEC_Sp_1 (GE) - TPM",-0.460091675645963,0.0065314535618012,1.57745618531401,-0.580497295023421,2.53509881071523,0.0387323791284073,1.38608877855284,0.571780519062856,-0.182356806663693,0.485451435174426,-0.689607248158554,-0.546353664531372,1.44180918154827,0.62904819370813,0.850783500507781,-0.459071195284155,0.784050440664684,0.951827686971349,1.33453723015766,1.03989562129324,2.41381702725653,-0.428213542654992,1.03992154959407,0.285795224330162,0.142415425886361,0.275738375214647,0.427298048411025,0.529896244075654,1.91616740860381,0.271772033421184
"EPEC_Sp_2 (GE) - TPM",-0.568412031966172,0.173756635041383,1.51163115964545,-0.212808445337079,0.37295416900282,0.463145178510404,0.761308456917839,0.783240454120058,0.364120048365474,0.262018541285004,-0.489422984034926,-0.546353664531372,1.83248586992132,0.886725983476129,2.02425994179534,-0.633028042829091,0.560943004682298,1.06128263020892,0.724469368667984,-0.376249142485414,-0.615554610832107,-0.497854550586644,2.40534848471839,0.439810368809563,0.0876588753311085,0.261139108180876,0.412004185372814,0.693977865796769,1.51860512610262,-0.0560732343895341
"EPEC_Sp_3 (GE) - TPM",-0.308709116274942,0.518258051065899,1.58648042266641,0.14263395912376,0.763783510267116,0.437069666735695,0.861422620978489,0.141795435581378,-0.158020707251575,1.81013314929074,0.172909619150245,-0.546353664531372,2.2929113574428,2.70492606649111,0.245070637835814,-0.308867482014747,-0.528613152102521,-0.0611603183677029,-1.12011392769418,-0.0447549910188863,0.481024891365588,-0.509156082175627,0.760587119200058,0.110085272174079,0.145075704093811,-0.0893093845053379,0.305197178292963,0.903341914975211,0.780642630408522,0.106034498826542
"EPEC_Tm_1 (GE) - TPM",-0.124571161802681,-0.390339124814545,-0.600600402481778,0.76881217648956,-0.858842040033131,-0.488234515708518,-0.79885960522049,0.114135003919545,0.348131109781478,-0.796982244462356,-0.405344965085766,-0.546353664531372,-0.772658609646845,-1.1557058696099,-0.63695458248166,-0.29699471457598,0.412387822664136,0.00117514711327261,-0.195005228568828,-0.748757711762322,-0.0678255660371544,-0.0580825227965127,-0.705825997363724,-0.528115138995716,-0.487677080922641,-0.471476230466591,-0.523196375167707,-0.528637436849558,-0.654027402295621,-0.670739360047855
"EPEC_Tm_2 (GE) - TPM",-0.0160573810704104,0.299106175210874,-0.604744170466227,1.06104669921433,-0.785843015540812,-0.400115120556443,-0.57639170373099,-0.231804524533274,0.0491534966992599,-0.781109549005802,-0.569549930424203,-0.546353664531372,-0.564130260152645,-1.27647648035568,-0.98308787920385,-0.396236562526059,0.25486853601664,0.203745658817902,-0.489645935735388,-0.496936651143467,0.838183099717548,-0.0674968541852584,-0.929105801310028,-0.574659463210001,-0.515615564981509,-0.506239048064035,-0.517743452851189,-0.547304383335778,-0.342150871499043,-0.64125629433652
"EPEC_Tm_3 (GE) - TPM",0.0508398677701669,-0.329306763006457,-0.55462291895934,0.37646725403729,-0.860093297928279,-0.56621352614668,-0.591720299569343,-0.138768683195389,0.291038986160879,-0.790741495718119,-0.483480570568634,-0.214930798058044,-0.643568766625532,-1.09199427872188,-0.774192097522447,-0.287412398540679,0.162889495881322,-0.257332993192338,-0.623346195108027,-0.426446977216748,0.305790442838163,0.0404476067101338,-0.881916588532433,-0.498299197947624,-0.465989700287336,-0.448518118476632,-0.495904098202558,-0.523301088327468,0.129693043561528,-0.540754377241869
"EPEC_Vic_1 (GE) - TPM",-0.897875226764931,-0.704552544592211,-0.431784325505585,-0.958822129299985,0.0196392370815861,-0.748104714597151,-0.0434089653335175,-0.883466904207517,0.278597359734914,-0.638930367151518,-0.679368685027294,-0.546353664531372,0.14149423476215,-0.836112093493197,-0.0962255377696885,-0.122013332706774,-0.470457519464507,-0.451387726899684,0.338269018068886,-0.411792856301977,0.190727979092728,-0.819256917440076,0.0125274493021205,-0.0110310295563785,-0.0500779987682473,-0.240222882447739,-0.361636495829191,-0.31507689462178,-1.3084076126613,0.179534284033369
"EPEC_Vic_2 (GE) - TPM",-0.801203576886391,-0.604804734511925,-0.449782694785976,-0.597544642787966,-0.190582635070207,-0.718386996780751,0.279775072107868,-0.965232533390593,-0.199436564450078,-0.614038232760464,-0.858459649271219,-0.546353664531372,-0.233176291775059,-0.821282377980084,-0.168671580158104,-0.522105483983705,0.18667024932223,-0.59846576016705,1.95137181450646,-0.607879119924611,0.00494008326126292,-0.769750525938948,-0.172704250361771,0.104421214592403,0.0938985561841609,-0.198451972243024,-0.339532287753453,-0.273815415517055,-1.3084076126613,0.712921518901972
"EPEC_Vic_3 (GE) - TPM",-0.682105876947818,-0.653548839170518,-0.374112961016938,-0.810986933602786,-0.628038515860435,-1.30834068213658,0.0755945013999479,-0.539163280753402,-1.1099380903823,-0.591863988504115,-0.715882877544264,-0.546353664531372,-1.01644076839506,-0.818171998224794,-0.769182828069428,-0.967021071941153,0.0435217133895249,-0.251012564970583,-0.744903213655324,-0.646595918024399,0.528421538622728,-0.716655632277218,0.0130677614100702,0.147055749470333,0.197048484255808,-0.0125035450505247,-0.229565237185582,-0.302536844099971,-0.733358781505115,-0.800455033558159
