"","E2348C_RS01000","E2348C_RS01005","E2348C_RS01155","E2348C_RS01360","E2348C_RS01985","E2348C_RS03010","E2348C_RS03380","E2348C_RS04645","E2348C_RS05680","E2348C_RS06145","E2348C_RS06165","E2348C_RS07165","E2348C_RS09265","E2348C_RS10510","E2348C_RS11585","E2348C_RS12045","E2348C_RS13270","E2348C_RS13905","E2348C_RS15725","E2348C_RS16650","E2348C_RS17080","E2348C_RS18700","E2348C_RS19335","E2348C_RS21250","E2348C_RS21255","E2348C_RS21260","E2348C_RS21265","E2348C_RS21270","E2348C_RS23345","E2348C_RS25195"
"EPEC_As_1 (GE) - TPM",0.336355585306273,-0.259849353269687,-0.448480169975961,0.901885517720002,-0.34660147418839,0.880236255138109,-0.463424040685263,-0.539881582176132,-0.350314547204647,-0.548984333701119,-0.301044541748761,0.186685582263474,-0.290122000111082,0.209113704609656,-0.82490165338782,0.241397390069402,-0.371290428752649,0.0203351496414585,-0.224837698281026,-0.304752638503084,-0.692279955181621,0.159253979267357,-0.154200088469188,-0.581377828042998,-0.536511850926067,-0.518596857235974,-0.522662651242638,-0.546594200473858,-0.248146609900074,-0.411630395778349
"EPEC_As_2 (GE) - TPM",0.382697568416112,0.221501144427547,-0.439391417212841,0.990392300990091,0.0152321445867659,0.242729904070411,-0.262803889386665,-0.519741185157394,-0.518838946030895,-0.47607906767131,-0.174596628179452,-0.546353664531372,-0.0731070813297838,0.405565443544615,-0.695701537327558,0.114993223314296,-0.161876337080107,0.180686942802752,0.0508139613172275,-0.462551781660312,-0.270201430758913,0.131158862252294,0.075270239048644,-0.586201833115035,-0.521569934909325,-0.513687234417681,-0.518964841871692,-0.539349425347226,-0.503946605671177,-0.369087188988541
"EPEC_As_3 (GE) - TPM",0.56915848857236,0.65881769688626,-0.446388443982116,0.480948706434327,0.15252228510345,-0.325307544538243,-0.263164904072854,-0.278464166089006,-0.51534892751141,-0.445963130557104,-0.137676053046838,-0.546353664531372,-0.106153127094684,0.104412991302053,-0.752761157074887,0.0708798485926338,0.510467333551165,0.0766228426706884,0.381160754999759,-0.081950705870801,-0.464255412736216,0.159726442120526,-0.132982214443913,-0.558035385213648,-0.535275604273293,-0.518012690882313,-0.517540650889003,-0.52790820394713,-0.210271248929364,-0.471509303295385
"EPEC_Bs_1 (GE) - TPM",-0.0242950244042885,-0.428586490924312,-0.598187222809895,-0.741640514602465,-0.733103004271391,0.443216373778903,-0.802812403205386,1.54764961516606,-0.882799018291478,-0.83448943040135,0.00931995463801758,0.449197958446929,-0.271394455844882,-0.567126621745407,-0.405533044639572,-0.226492566143822,-0.820804862799887,-0.803038080110467,-0.512169873688469,-0.311314274781785,-0.407496239758706,-0.012241512046487,-0.623149773341696,-0.629081804564469,-0.614249638403385,-0.583825774633627,-0.571387877195689,-0.621085699869703,-0.92724268053173,-0.636129610368014
"EPEC_Bs_2 (GE) - TPM",-0.194817016999087,-0.156597417715581,-0.590324402634545,-0.476092359723133,-0.490921537842893,-0.671249643447866,-0.967549116435051,0.657014633276864,-0.89782282760024,-0.822977960097023,0.0605257956138857,-0.119580698977236,-0.486186090419887,-0.545734378034749,-0.570412280251534,0.216980446108249,-0.752450293209599,-0.469068873927986,-0.0776603539380841,-0.526421587956823,-0.892621215198448,0.0329012217376051,-0.761622471970386,-0.625773700752728,-0.612675263381524,-0.589718479337981,-0.57206609707725,-0.622730638053149,-0.691127249547719,-0.634528844719432
"EPEC_Bs_3 (GE) - TPM",-0.2577531687105,-0.00338617879778345,-0.604280500290395,-0.749856854259997,-0.645205186237686,0.305181127297843,-0.972170112547472,0.814508909854416,-0.926145157235399,-0.850385651378025,-0.00795185937622057,-0.220932850242983,-0.53155183373813,-0.816648067896849,-0.568071770611058,0.0339304175316122,-0.665698211352346,-0.744779176771651,-0.605244229766237,-0.478858466433949,-0.637846493265011,0.0363909560225607,-0.715195385953399,-0.634164100976761,-0.620194101828455,-0.582671401316123,-0.576323148016047,-0.628970719731559,-0.602379251247792,-0.43314105668334
"EPEC_Ctrl_1 (GE) - TPM",-0.080633713573017,-0.0838778100429028,-0.607116198235124,-0.486716860871552,-0.159280001343193,0.510810759821475,-0.987864494097082,0.682244409121251,-1.19717823653619,-0.912124691439534,-0.156313470074236,-0.546353664531372,-0.576575003212002,-0.743263159459377,-1.00235166480977,-0.281061433205771,-0.82798039041223,-0.772397398407487,-0.488708688112188,-0.238872423301614,-0.324746625547276,-0.464983887535217,-0.912570772244885,-0.618138981130352,-0.588854532824935,-0.562526526631741,-0.563114214278027,-0.604088002338029,-0.727791711087518,-0.677323755422588
"EPEC_Ctrl_2 (GE) - TPM",-0.562249825101261,0.411609752017171,-0.602693353669005,-0.601056344176522,-0.984680376689339,-1.01151623311434,-0.808065733465363,-0.013832502187731,-0.775816788694121,-0.94176503495353,-0.260937574528893,-0.237053179721751,-0.658053086867819,-0.821035572451371,-0.796988929615188,-0.631244313089003,-0.695984340337154,-0.780349403425539,-0.811041508735879,-0.527505219225261,-0.780156810678397,-0.271110176482766,-0.87045057091349,-0.624005709332498,-0.62571173472202,-0.585504830118854,-0.573319515263399,-0.61585502474476,-0.913670010126679,-0.508159342037425
"EPEC_Ctrl_3 (GE) - TPM",-0.393108908039675,0.112893738031361,-0.61706706933216,-0.842859775656964,-0.960876327518596,-0.101668550158207,-0.873668854114155,0.183230808299443,-0.628153694380264,-0.890105576744817,-0.161518981777135,-0.546353664531372,-0.805363988211705,-1.00843757364539,-0.655650385543264,-0.407011279773618,-0.786560666863001,-0.658380996022077,-0.830160820905408,-0.143104100054485,-0.832110683658504,-0.352950536626265,-0.841461826077373,-0.595457995311819,-0.596417327198641,-0.556828231857308,-0.559137224551339,-0.596388798555438,-0.938088595991528,-0.497923219873004
"EPEC_Li_1 (GE) - TPM",-0.175738123704361,-0.541936488465296,-0.617824187910828,-0.967141018532543,-1.01170790034994,-0.460546622229773,-0.137596639293889,-0.755596545794993,-0.184495198433057,0.491262670517134,0.62964459792258,-0.546353664531372,0.313277975365713,-0.0228079990317394,-0.276252519825276,-0.24773343532625,-0.752637364328472,-0.75400074572947,-0.678725487542424,-0.198497780480642,-0.542311329491223,-0.517759255394307,-0.494730152999988,-0.61922834295573,-0.608294856743252,-0.578435860997555,-0.565497463881518,-0.577354290709022,-0.124579913020724,-0.349454258232578
