"","SAR_RS00195","SAR_RS01770","SAR_RS01775","SAR_RS01780","SAR_RS01785","SAR_RS02730","SAR_RS02735","SAR_RS02740","SAR_RS02745","SAR_RS02965","SAR_RS03085","SAR_RS03090","SAR_RS03270","SAR_RS03540","SAR_RS03645","SAR_RS04105","SAR_RS04180","SAR_RS04200","SAR_RS04770","SAR_RS05325","SAR_RS05330","SAR_RS05335","SAR_RS08475","SAR_RS08480","SAR_RS08485","SAR_RS08490","SAR_RS08495","SAR_RS09375","SAR_RS09380","SAR_RS09385","SAR_RS09400","SAR_RS10995","SAR_RS11000","SAR_RS11360","SAR_RS11365","SAR_RS11370","SAR_RS11375","SAR_RS11905","SAR_RS11910","SAR_RS11915","SAR_RS11920","SAR_RS11925","SAR_RS15405","SAR_RS12595","SAR_RS13955"
"MRSA_As_1 (GE) - TPM",-0.332969629845129,-0.325385113380551,-0.537620357177069,-0.658585349122112,-0.916476467480231,-0.532184869139571,-0.530621533295681,-0.48878484154093,-0.45708697011915,-1.05882047822821,0.408139168805844,0.975445116967151,-0.452190239499955,-0.112332658465909,-0.617023543108987,-0.206839146324841,-0.741843383975849,-0.496443052796944,-0.987047653468005,-0.170037767848522,-0.315878310737762,-0.124684989296487,0.136909803008762,0.241844763412129,-0.311134685815506,-0.30429416656091,-0.494706531317726,-0.485427609134269,-0.534088754335974,-0.573008075763525,0.00638671410362004,-0.379256734325241,-0.275833877791092,-0.0667498676745381,0.69896677708175,0.620286134859763,-0.357425225527079,-0.531162542780825,-0.542687193887587,-0.540289194881605,-0.45693095632847,-0.65638349678457,-0.799199850997592,-0.419333447402282,-0.584079783527592
"MRSA_As_2 (GE) - TPM",-0.356575272320312,0.189957653222861,-0.485507701008768,-0.615740455912281,-0.500764914516767,-0.541029825991729,-0.591086575645052,-0.525764151403571,-0.431386989683809,-0.155174947849053,0.52242619322319,0.926121654918672,-0.38218186360135,0.140792849103854,-0.589318752691761,-0.260563205129838,-0.169612816577655,-0.521851432915897,-0.989169828466116,-0.176304762473769,-0.437455517403615,-0.492051992820097,0.0944200850142648,0.198437861032055,-0.30741007543993,-0.278418928817138,-0.427006343925227,-0.535564861580392,-0.524847797953079,-0.484136776603508,0.0835221509004075,-0.368460732821515,-0.329971975831917,0.921046642976459,0.386838911295931,0.914187670385244,0.407412072214928,-0.29514276322944,-0.58358375543953,-0.779206204500492,-0.54099417032066,-0.592379491001701,-0.604365355808079,-0.365451538459832,-0.625713558324303
"MRSA_As_3 (GE) - TPM",0.909832432876762,-0.290846039983098,-0.463387782057114,-0.697724933001481,-1.03985161667722,-0.543621144306377,-0.577901870632511,-0.459776028003461,-0.452025615653589,-0.937967484021794,0.774889908956074,1.05503096862938,-0.285834905862331,0.119082592262141,-0.634595516132978,-0.136356370642508,0.125656459691929,-0.436277716978483,-0.999796975003875,-0.0759019181765306,0.264413068064634,0.743857156654678,0.071978848945287,0.33249710502561,-0.291135719521094,-0.311452105251132,-0.348755156854712,-0.535089820434859,-0.556150794414112,-0.618209776960993,-0.0881674178617959,-0.381140421629339,-0.393603822847691,0.540855379496734,0.686400840455316,0.65912052665091,0.960724008708012,-0.53328279626889,-0.303777191448445,-0.485474102443886,-0.569269537922606,-0.575661976118473,-0.532289405404553,-0.157353705450932,0.0666975917385473
"MRSA_Bs_1 (GE) - TPM",-0.455885421875173,-0.45364806342222,-0.559021265290541,-0.539612468184398,-0.200824819460818,0.77327750380051,0.443144783463796,0.102799732497836,-0.192990713358703,-0.733982690119107,0.282367285816476,0.431501832796711,-0.599987636676285,0.4473769123807,-0.531657769128763,0.326525324427437,1.06131948148902,-0.0731819299593418,-0.549000591649527,-0.655921073387572,-0.622019630697329,-0.368700336032943,0.239921159343725,0.204400388899328,0.0486103377106325,0.207412943275702,0.204482244769704,-0.503301007100381,-0.526847104569684,-0.560772349029071,0.327504121984715,0.0499328270600404,0.241745607303044,0.738678089588846,0.687117991311841,0.0200350852820211,-0.244242547528502,-0.551167242367014,-0.570534887980319,-0.620874843105563,-0.709805652884121,-0.575644085064469,-0.117262587745925,-0.649785093951476,0.256870927556694
"MRSA_Bs_2 (GE) - TPM",-0.377667739054994,-0.43435613799979,-0.4755356084273,-0.056492909622574,0.428373360781993,0.891146055646603,0.881669785193872,0.40149343585542,-0.0903949350649067,-0.0792029776345985,0.404026225575381,0.744103440134257,0.154360365465825,0.316519785967929,-0.689873498429054,0.185004741808518,0.347996842324294,0.321373945032095,-0.487932230896594,-0.420751851153878,-0.496329810963889,-1.14950375135665,0.111941871973629,0.0998589187045305,0.170997058304809,0.328053229676092,0.487537927316891,-0.483185092906508,-0.510417209673438,-0.622612107609999,0.287966589496958,0.20269271320447,0.444197673307486,0.0787475188246628,0.277822702245134,0.291843628491195,-0.245581647184604,-0.567359233258107,-0.50053583130751,-0.694540586208671,-0.552805025337547,-0.335848120230454,-0.209537863933334,-0.830874195105631,1.59160965623367
"MRSA_Bs_3 (GE) - TPM",0.552477439542613,-0.239932448342777,-0.618560302944963,-0.814673499992218,-0.425553164103148,0.271181613502348,0.187138662313248,-0.0132245720989391,-0.292761478526746,-1.25975951470977,0.246539125275643,0.534765556976682,-0.423277872935596,0.0183630584748825,-0.650740299912666,0.293366930997948,0.221858723821833,0.00571753111975073,-0.674404399488351,-0.623099107011911,-0.402656931396561,-0.215979417876053,0.166655130815118,0.14475461387237,-0.111519585450006,0.0109511340212469,0.0782622465167435,-0.533923668688262,-0.580905898097737,-0.61902804951769,0.339534033953704,-0.123276049424093,0.251650831114594,0.908501510323522,0.406197170073234,0.804685449002162,0.638102002106376,-0.58311329182775,-0.611368465881094,-0.500681844648823,-0.698782815791442,-0.61975530823782,-0.294798068423979,-0.407475246667212,-0.179641423381117
"MRSA_Ctrl_1 (GE) - TPM",-0.704629928051098,-0.793136012821023,-0.361477648386808,-0.0836384750311226,0.15779532457491,-0.659804204629557,-0.567174726616755,-0.485297808509563,-0.46817451002867,-0.0602379277041159,-0.859125009148074,-0.853421406167365,-1.41748563170639,-0.663404691730882,-0.568473438135496,-0.456800178146874,-0.863501665652964,-0.263402927563796,0.567497257324001,1.67948890724629,1.36921348833526,0.00566858480550508,-0.620943940448811,-0.537442178511367,-0.495795943180792,-0.372436578527864,-0.167858853509202,-0.653095137554147,-0.639833647039657,-0.555270340174011,-0.444186696335144,-0.41527054992746,-0.36679378260302,-1.27270003545598,-1.55320090883381,-1.40758268499633,-1.53061142838539,-0.549457384707392,-0.348900019784504,-0.604531319505426,-0.0025122175589598,-0.237220543141123,0.058217461145589,0.343414992835425,-0.858931177796726
"MRSA_Ctrl_2 (GE) - TPM",-0.747768294200913,-0.757665341553585,-0.416319253826703,-0.207135754351478,0.105460061935229,-0.483575109823186,-0.502223582078981,-0.499623822618494,-0.455114782897583,-0.390482856323742,-0.937124401086845,-0.677485629389968,-1.26812225329723,-0.83221002120725,-0.512738870352067,-0.396486869128643,-0.835865792630093,-0.408461920349074,0.654001473769894,2.26083080874017,0.743590693743673,-0.0672069255172416,-0.488175450865545,-0.556716831769386,-0.507740267527691,-0.314473238730382,-0.243067010674516,-0.611635444051113,-0.699276094216361,-0.62823081058457,-0.440785481678348,-0.380159000873974,-0.229661670720889,-1.34809574660877,-1.00345918153939,-1.25977236118946,-1.31796050069009,-0.315589455314933,-0.49290128934987,-0.314182965332816,-0.562940452608337,-0.283190914470564,-0.318440812548553,0.597811095341911,-0.348042926892097
"MRSA_Ctrl_3 (GE) - TPM",0.545864832564437,-0.616895352398874,-0.528223141835075,-0.0482619449383462,-0.158092561854084,-0.481836067137379,-0.452934588919239,-0.514314578256681,-0.469195448883361,-1.10832131830437,-0.870912400889759,-0.939568505317011,-1.49058392854688,-0.689614615616073,-0.596543998366953,-0.542543930650916,-1.07541768442502,-0.395655113624797,0.776640850781658,0.973588893831992,0.876556618071825,0.36381063408496,-0.594745356783784,-0.522272818167577,-0.479587611647268,-0.317030829024224,-0.245112596129392,-0.652053685188492,-0.682201904628865,-0.662140754936596,-0.473193286542368,-0.3882166067663,-0.275043572287441,-0.868483164961524,-0.993640504374494,-0.762999534384137,-1.0249700118175,-0.590031506804862,-0.565819207457755,-0.46906176590595,-0.580087944352101,-0.322080496881591,-0.144875739354675,0.52869319263622,-0.435718754494965
"MRSA_Li_1 (GE) - TPM",-0.384295003373913,-0.559746812312132,-0.677132966066264,-0.281559348448077,0.0522176385611494,-0.484890621694957,-0.342449830004898,-0.477939144861818,-0.365608677882476,-0.656605466556368,-0.71328129708697,-0.639899821589951,-1.10389516095595,-0.821034602689656,-0.738611785798477,-0.48243196933432,-1.18755592920227,-0.202282828936895,0.502270208916521,-0.206000919517902,-0.533080231908994,-1.0297217027451,-0.357663414712439,-0.312385421904658,-0.292495045549741,-0.0896227185523975,-0.105032584052196,-0.627775424140033,-0.647796772119585,-0.557969019773043,-0.30261936086881,-0.292344099278997,-0.171919736925177,-1.08610851306098,-0.495267843166561,-0.0986593529329072,-0.135176427078862,-0.566696073206112,-0.334216959229596,-0.53111470980922,-0.480766294532057,-0.410706236277797,-0.450203937885424,-0.406377890823217,-0.214057093289246
