"","SAR_RS00195","SAR_RS01770","SAR_RS01775","SAR_RS01780","SAR_RS01785","SAR_RS02730","SAR_RS02735","SAR_RS02740","SAR_RS02745","SAR_RS02965","SAR_RS03085","SAR_RS03090","SAR_RS03270","SAR_RS03540","SAR_RS03645","SAR_RS04105","SAR_RS04180","SAR_RS04200","SAR_RS04770","SAR_RS05325","SAR_RS05330","SAR_RS05335","SAR_RS08475","SAR_RS08480","SAR_RS08485","SAR_RS08490","SAR_RS08495","SAR_RS09375","SAR_RS09380","SAR_RS09385","SAR_RS09400","SAR_RS10995","SAR_RS11000","SAR_RS11360","SAR_RS11365","SAR_RS11370","SAR_RS11375","SAR_RS11905","SAR_RS11910","SAR_RS11915","SAR_RS11920","SAR_RS11925","SAR_RS15405","SAR_RS12595","SAR_RS13955"
"MRSA_Li_2 (GE) - TPM",-0.48406607792606,-0.0906076271005179,-0.445886551252789,-0.277900128449699,0.449883085672181,-0.503979796500346,-0.437530827203281,-0.40631747946507,-0.384394089974503,0.0400554959490843,-0.534799024950679,-0.774389823159311,-0.747396795969075,-0.626445277972772,-0.566284878043142,-0.651233044173139,-1.20926091730122,-0.251306619833236,0.370177223775156,0.2728099126427,-0.954823353246299,-0.678216585787207,-0.380195560095712,-0.388088814567933,-0.235297400487681,-0.152121646292966,0.236233434693449,-0.602019075950374,-0.612126911876385,-0.533623962813249,-0.368967496702486,-0.294097918524561,-0.236345839555438,-0.235795891277169,-0.125508736412061,-0.703267981812221,-0.316201008825315,-0.216932217719443,-0.506148845788512,-0.390572687016873,-0.588029344017514,-0.641140982221692,-0.504745273721645,-0.661110745995436,0.173801797404565
"MRSA_Li_3 (GE) - TPM",1.21666432443892,-0.0617764285521928,-0.599442445016128,-0.21681229035245,-0.310603823497508,-0.158852499864311,-0.125464749033247,-0.121190057959199,-0.0980660677265421,-0.0770652332791312,-0.582564611041579,-0.410215723395001,-0.641762485767665,-0.223636217253478,-0.439256914180933,-0.318978942411365,-1.02132577432643,0.0987079138708866,0.707719076517713,-0.563991751566594,0.149169998688681,-1.11353458403745,-0.0858803306518961,-0.10299882689399,-0.108074063790598,0.123710564084794,0.209187673251545,-0.306901698646336,-0.428558188775192,-0.379636322596618,-0.0767362612022028,-0.0502017466104468,0.0929328651633427,-0.247722470090075,-1.40370972656275,-0.7011716763585,-0.558784888645827,-0.597613127305577,-0.38624727749525,-0.347258642306657,-0.429579439744852,-0.410856891390766,-0.349271475368516,0.0163767994783144,-0.10749615069263
"MRSA_Mig_1 (GE) - TPM",-0.543900129032123,-1.36354725848141,-1.03880229699123,-1.17544606522721,-1.09529340184628,-0.423777885479621,-0.319724230303994,-0.220554524142494,-0.223293426315349,1.02530528062687,-0.87253454857947,-0.71310632930297,0.385921595324106,0.248140834322238,0.0895318510105332,-1.40672949411491,-1.16262467801097,-1.02653238953799,-0.615957581820868,-0.555058639171648,-0.413010054399126,0.159525468259767,-0.405317671814683,-0.346213857510182,0.0126924552005325,-0.234648355754367,-0.446724425111193,0.669397577967102,0.745811431606171,0.174034503831583,-0.488223697251301,-0.44449580433251,-0.677969358625767,-0.246143901445622,-0.669643090507113,-0.644446286478443,-0.717408879585818,1.46572553435852,1.674774209308,1.77439555947852,1.39273878394645,2.64664389849257,2.8613695283134,-1.1672367931212,-0.649641998419817
"MRSA_Mig_2 (GE) - TPM",-1.02667191401732,-1.45318431926047,-1.13488117533465,-1.19048381957742,-1.17376217065804,-0.521031735037732,-0.363574904525317,-0.278468727179619,-0.272735930068861,-0.420188863712904,-0.933181177138924,-0.875013702256863,0.1767445632529,0.645612446178292,0.193699009205029,-1.8133327558977,-1.27591658214195,-1.12555351943639,-0.665415733023667,-0.32873052697143,-0.948333342518066,-0.500525197403823,-0.337627358582894,-0.359205674400439,0.0673371646706547,-0.286270568011048,-0.50683759286661,0.948902825421209,0.80427020155183,0.397362910576874,-0.675147163001905,-0.449881548123389,-0.693761926236418,-0.00977628526430478,-0.242349303733496,-0.651101144011676,-0.274404320543952,1.67582517883491,1.58357946404326,0.81626789275934,1.95630946621382,1.66781216330274,1.93600937459658,-1.01414052891166,-0.663312057863084
"MRSA_Mig_3 (GE) - TPM",-1.24681221653785,-1.80247820903735,-1.09116549177828,-1.21688067388776,-1.3134067626679,-0.525369539764212,-0.455598021137381,-0.335123297457194,-0.336336695230226,0.0230259335891904,-0.915169033109245,-0.547607646998453,0.366569323898906,0.0370866037686756,0.313416649338328,-1.9700466292261,-1.69088205845617,-1.14987226712992,-0.706688526294113,-0.64940690909102,-1.4696677801109,-0.357119987536843,-0.462641017323819,-0.465739276528344,-0.0688901445407281,-0.465794603561765,-0.476369813336119,0.825505829001989,0.84521702485398,0.435355069922079,-0.63501155690425,-0.504992233966378,-0.666313071634977,-0.0693555717148284,-0.946989307348605,-0.922004821378483,-0.582434452391262,1.19493057245034,0.943724687608421,0.535674256062751,1.64345025214215,1.27629882920847,1.74004677297934,-1.12263816685778,-1.10975891282008
"MRSA_Nd_1 (GE) - TPM",-0.816344691541427,1.07014331983097,0.640701038233506,0.27231829232106,0.068005887273544,0.0309034464996591,0.13664137821189,0.214894555981482,0.0439248226083174,1.87181752607696,-0.921942702115209,-0.825116227705303,0.902735747280376,-0.572482502806381,0.979631368987476,0.210469034511194,1.05219160583368,0.161352687962816,-0.711718664433815,0.258390915083823,0.71670484617191,0.534936467625283,-0.635847955687038,-0.607121963770854,-0.27694215462793,-0.381417738789066,-0.424732048948695,0.106512234426508,0.393406466577336,0.668169696466747,-0.59005904522905,0.0337653607562202,-0.298496464362645,-0.0375699768235024,-0.301147925246552,-0.130604282710689,0.30016738040926,0.217149424386101,0.139156442050943,-0.314219965437876,0.068432841776748,-0.195676687277295,-0.0349925389979433,1.17947281442199,-0.152541423452462
"MRSA_Nd_2 (GE) - TPM",-0.86339003676566,1.18911262392698,0.556520959016444,0.145518558225482,-0.509109772000348,0.0608536867255496,0.0360225081840419,0.0505775814259256,-0.0139959527722261,1.28354465403326,-0.96006366086276,-0.864998176011217,0.942574967531847,-0.722397365538603,1.3574382162658,0.830131659598424,0.788403656013839,0.0963789481793804,-0.674092256488352,0.0268528231609423,0.664284501476709,0.516913232746062,-0.562016202215454,-0.554245623238429,-0.25921680958248,-0.36108372606977,-0.444411490225773,0.144569229174725,0.431266601186995,0.972089999481998,-0.580542335579618,0.0329205473442954,-0.179360718399324,-0.0725584258058026,-0.944996653442079,-0.537613365426592,-0.418566661803763,0.356865059654545,0.323824006556506,-0.133359637607232,-0.203868305425811,-0.354421255895766,-0.175527246297309,0.891828794897849,-0.366739386548414
"MRSA_Nd_3 (GE) - TPM",0.0552822244367974,1.49613528216839,0.687418241983588,0.28055651448922,-0.334826194396547,-0.0779740570359077,-0.0750625225879671,0.0626631095388835,-0.0451457612112806,0.795310141058153,-0.980751446844743,-0.974734157539551,1.36542881603276,-0.491466312622099,0.865859211588663,0.275507108316551,2.00014637974021,0.221994510655109,-0.694282376944733,-0.885961040048197,-0.8563459698253,-0.361924462455641,-0.487639282572916,-0.517860877277017,-0.254283299613541,-0.389958879137767,-0.39100185588756,-0.0785657533276788,0.378030096125463,0.592621224417667,-0.57576759181802,-0.0138665779038553,-0.176818909756095,-0.188174946211713,0.636519622136315,-0.65289359040722,-1.00164611239897,-0.17896508854494,0.255847826032266,0.462169928349879,-0.268980626529482,-0.494154997427365,-0.62927569104298,1.18398535467611,-0.188482459881163
"MRSA_Ns_1 (GE) - TPM",-1.30396663494674,0.165414436205965,0.533200686950168,1.24250487566938,0.875691806209898,0.0626507054850784,0.1067711777331,-0.010979160362107,-0.290849775927275,-0.232344960648518,0.660612935221879,0.489483366217443,0.28921507998216,-0.733452887846906,-0.741582414133253,0.939146782581989,0.145666012069769,-0.117156469953994,0.736724695731611,0.35565678740452,0.959832186295503,0.502798146439658,-0.598658211363614,-0.675146583931536,-0.416453357214439,-0.327063437590856,-0.0698070406907677,-0.637620717304153,-0.692065536469788,-0.731384128690072,-0.686281766377958,-0.294655819970661,-0.211412110832725,-1.26754553449301,-1.0616246350235,-0.847117813948131,-1.40860357930383,-0.128171086265909,-0.00612180835584112,0.353091265492843,0.614408110435124,0.451483018614926,-0.136245965082964,-0.645362902322864,0.737476027028352
"MRSA_Ns_2 (GE) - TPM",-1.43432809638089,0.436170909135347,0.761198895390631,1.35302260783966,1.32019570868999,-0.185896674296595,-0.221464980350892,-0.207090646050523,-0.36290787449202,-0.362454356293584,0.20407664835009,-0.172293536706081,-0.145734749002023,-0.835138944651072,-0.755787640381679,0.444172630215559,-0.427776728030321,-0.209550805334148,-0.0185042144700871,-0.0175636560235819,-0.422805863855831,-0.181680100446525,-0.560259521560933,-0.640999730717348,-0.488342334269295,-0.532899492668734,-0.458148485263792,-0.664090237440788,-0.697822580825112,-0.735848738700341,-0.783339375433453,-0.345269752236086,-0.242864146136727,-1.13951206984995,-0.990545214678226,-0.606793927778891,-1.14141248551601,-0.42182009602853,-0.132691002825639,-0.281003119987853,-0.107869067267652,-0.0258497543655234,-0.147595996312961,-0.421473039346808,0.48619652725043
"MRSA_Ns_3 (GE) - TPM",-1.10263920990522,-0.0921741814874354,0.438509166481084,0.847879980068268,1.65381840302975,-0.223752309196592,-0.246675289675687,-0.281782650284533,-0.38802325151162,-0.026221028852916,0.512644122284555,-0.0222035186741263,0.150420204190846,-1.06019603954014,-0.878063548981838,0.586391538011553,-0.746676033947045,-0.200588566634578,-0.0458939868326957,0.710367336213024,0.193777906767934,-0.233440174089366,-0.642123250159484,-0.615588150456356,-0.483467565596904,-0.565804642238259,-0.434005256518175,-0.652175107914699,-0.712057487333632,-0.766804933711229,-0.780898233447273,-0.313430854522881,-0.238624112120942,-1.52835714935302,-1.30630616302989,-0.213315206631157,-0.75712834430129,-0.2017322247131,-0.26292513531524,-0.346030951613978,0.0216857362175665,-0.185619885429902,-0.0791505467887983,-0.760611151753295,0.297108144368354
"MRSA_Oss_1 (GE) - TPM",-0.752393839451143,-0.268981497381281,-0.300508206490484,-0.17417577997314,0.692335637963549,-0.532861221142018,-0.552817897376932,-0.468337906547233,-0.432166533078871,-0.46822129235009,-0.719126962251592,-0.837143685297369,-1.21468776222569,-0.994542556437868,-0.779769217697563,-0.642353195091056,0.0540867150769466,-0.277122066706386,-0.465456512776434,0.993922075701203,0.251552189325809,-0.0753058581139224,-0.434590529659235,-0.480741994234834,-0.596126098160522,-0.652647220500721,-0.765474498205643,-0.621925052917882,-0.697981500628516,-0.684355004800023,-0.643115068488695,-0.483684874716286,-0.586009337191148,-0.630519519470037,0.203051555602125,-0.49906720060558,0.517828729528821,-0.643559648124815,-0.515536435132299,-0.451437070078733,-0.216871845654838,-0.318856519304699,-0.61611745776969,0.415618589550628,0.643411659407185
"MRSA_Oss_2 (GE) - TPM",-0.829093016547734,-0.453707841738991,-0.112582619589122,0.288864835075982,-0.497248235748309,-0.392311998869969,-0.602797687393187,-0.530583725287849,-0.406001539922172,-1.0621938738407,-0.440790600930105,-0.669475398583734,-0.939375244672209,-0.940842548789091,-0.480761249301141,-0.643479658544202,-0.202346786461445,-0.40454728457852,-0.249478257995251,-0.276794684313293,-0.455741534877364,-1.17540242528335,-0.456169437946166,-0.467922600398097,-0.578479331945951,-0.595134215419489,-0.67845456681553,-0.630782358073805,-0.664999670204165,-0.587832287025356,-0.536593607310252,-0.47944765571948,-0.482054338521846,1.32501290609185,-0.377986395797674,-0.855181807781774,1.59269937309524,-0.0184728874723624,-0.710242712508907,-0.557091424671091,-0.742868606411507,-0.173592297255345,0.0100400326520157,0.135326784582342,1.1454943540541
"MRSA_Oss_3 (GE) - TPM",0.269522487334857,-0.763608749832422,-0.357789353494092,-0.318276979375986,0.549515452855532,-0.536833736887803,-0.504281543584285,-0.527032383758154,-0.422142180230269,-0.588651924371836,-0.631176064498085,-0.637812553035002,-1.22893323240372,-0.674303880114209,-0.770429852412825,-0.242261108330332,0.00877521193250563,-0.239997898240497,-0.297081400492673,-0.973717050319449,-0.17543517159424,-0.693693939390098,-0.495595493657906,-0.421365647907393,-0.568073515838063,-0.575794225574742,-0.73874468272262,-0.67653808488566,-0.751474712939864,-0.716700465431069,-0.618204993173482,-0.460481327814776,-0.511777045213186,0.831264863007325,0.0304079046607315,0.614256452009674,-0.782839225263679,-0.655854265205312,-0.400671225502851,-0.180954293786672,-0.37995402411589,-0.550093155469264,-0.608018768843258,0.301383114712409,0.314799828371351
"MRSA_Oxs_1 (GE) - TPM",-0.182123242484815,-0.602902709917128,-0.840441505013068,-1.06305371657345,-1.19182161022814,-0.352624518329161,-0.386726601374762,-0.336743219163434,-0.246944218531731,-1.12022809284591,-0.11112653498557,-0.393906511859838,-0.829023908224332,-0.527903785703211,-0.675949809620624,0.628401371248957,-0.984472430494044,0.220444283392316,0.475843402945091,-1.91451106975023,-2.17098887534916,-1.20590098810682,0.0480555037590216,-0.174055536083708,-0.249465233486728,-0.066010350258537,0.153054000152577,-0.637457058622872,-0.678557270141434,-0.695668826733315,-0.404809060446532,-0.385137925155591,-0.301644003068408,-0.22054388451517,0.350438341648336,0.266664322155567,0.768110641077678,-0.63502172208571,-0.7004324389022,-0.701771146370638,-0.757729430133953,-0.832705114026598,-0.728493122413161,-0.984271162446984,-0.8588960815123
"MRSA_Oxs_2 (GE) - TPM",-0.174175196571835,-0.753231530164021,-0.876273493321254,-1.02617869110998,-0.958630893282961,-0.344335301194525,-0.350043169102912,-0.322803962126878,-0.238895724192617,-1.06092368889395,-0.216267034390991,-0.514535689304754,-0.628096482812463,-0.51503050665312,-0.689491709889716,0.76356431604314,-0.0745246140771398,0.424245038355157,0.515181605932497,-1.7392360814374,-1.75282293886253,-1.60315830789837,0.141024691124421,0.0964341219003241,-0.252881464611436,-0.0978281781721901,0.162820998883143,-0.633832780340312,-0.659129855768001,-0.729237446157858,-0.397263933092902,-0.362442082149825,-0.144187581557878,-0.108034848319491,0.607782004985044,0.607831419796085,0.67168827155788,-0.677800895687783,-0.642033896759818,-0.584785202348415,-0.678190688844556,-0.725350824841816,-0.732467327818811,-1.10308298123312,-0.908817178489772
"MRSA_Oxs_3 (GE) - TPM",0.925915097111902,-0.211090868266064,-0.800460529367264,-0.850837927785658,-1.22016757739011,-0.131173462053756,-0.10809748444501,-0.0939647795950584,0.0740108850744119,-0.053750079804583,-0.290985739995984,-0.338091391479371,0.554500525818492,-0.459691818629431,-0.808964168180785,1.32555674193742,0.876851913922721,0.867855399391532,0.529773330206872,-1.5919493567097,-1.47362002400154,-1.43846580622083,0.0936616523080682,0.0608171264615567,-0.0718105659787128,0.017667081393603,0.178024287037603,-0.627850547811826,-0.706074550915306,-0.762636163059317,-0.369760041064932,-0.423771935287546,-0.395256077048919,-0.529551616160786,-0.126540747107512,-0.307831696364941,0.326272283047905,-0.662971112430316,-0.657359818555946,-0.324789899315187,-0.69793876046344,-0.762686659518445,-0.779167684802126,-1.04052336624029,-0.397838356314678
"MRSA_Sp_1 (GE) - TPM",0.880168063779808,0.913444949583501,1.82141695323942,0.824307740263277,0.266323653241062,-0.525966509511592,-0.536477632015837,-0.573962614566651,-0.357415096120731,-0.554868481444538,0.132813504535186,-0.268890077599444,0.431775220119563,1.30674293555504,1.04559718298087,-1.12840860247708,0.760005780174122,-0.847991169611124,-0.987657882424048,1.05923837639753,0.753467577482259,2.36745053275059,-0.509727899531023,-0.52704426653682,-0.573650103996817,-0.691524834216579,-0.798972872537387,0.57324324513721,0.776773380798302,0.90768222772178,0.983543870947377,-0.499782429769948,-0.721528572143985,-1.1122632313995,-0.239376641624759,-0.677887794638635,-0.258853010116238,-0.494574434808086,-0.26908781782963,-0.311172391008982,-0.517967526541908,-0.323019904076937,-0.609462308944744,0.429385934484556,-0.942396014848784
"MRSA_Sp_2 (GE) - TPM",0.331683878448433,0.757846365979981,1.15929567978478,0.771543067206556,0.557170613683439,-0.587369450493654,-0.605465102372524,-0.609534428058511,-0.426964386871759,-0.744447599432394,0.208135713028284,-0.121220077261082,0.418445038824152,1.39830033647152,1.39885162334775,-1.35871511620013,0.255617531891186,-0.948421325535054,-0.98094960471577,0.860313397859575,1.06544589860864,1.0535216323422,-0.592109468778644,-0.615331490009457,-0.594799148093071,-0.739153800129193,-0.832939198608071,0.644296439402855,0.739235709966487,1.10002069399328,0.534515780804117,-0.538882533215982,-0.682586721822744,1.56748760293595,0.477759461676349,-0.637393816311534,0.821332335674541,-0.444223663143263,-0.597318293809297,0.0809823291628473,-0.336496666799996,-0.328782742002127,-0.509849816298888,0.205340122189703,-0.9342565670946
"MRSA_Sp_3 (GE) - TPM",0.681840489842639,0.557990832765943,0.482241616613528,0.124395785203518,-0.174018491421819,-0.589872175337103,-0.601663953211587,-0.568750838584329,-0.449300498989926,0.325041089043115,0.165176473461577,0.00403715230961193,0.448825503634775,1.17093608189165,0.64155793512959,-1.6260725426218,0.298166115379698,-0.898666535119511,-0.99971498143661,0.0909795370550141,0.673504647549221,0.60982270417038,-0.652632404971603,-0.65465341431283,-0.601256772234192,-0.743382804360443,-0.802815083305782,0.371007177997074,0.512897823168501,0.712132272144507,0.13148672045378,-0.538079742323987,-0.737295292520339,0.924979246537337,-0.643573845633314,0.909156175894855,-0.708338696402792,-0.183699340362852,-0.37425158291161,-0.647635057312989,-0.189990359633417,-0.244320069134789,-0.639312379206577,0.0835401290422033,-1.30864020785878
"MRSA_Tm_1 (GE) - TPM",2.29201402547415,2.57887736994229,2.20596326804697,1.7948628313136,2.3039877821504,3.41727673718256,3.34023337588369,3.23971938358535,3.44940024407763,3.08164818934175,2.79013424927099,2.53839055855894,1.73244811853436,2.90227038404701,2.57496207266133,1.97393508103083,1.69916593619632,2.48949464719586,3.08081167671245,1.9955626524917,1.47111359496599,1.56193363716072,3.13353972011456,3.09291346600054,3.41204163067407,3.65927040828593,3.8091531454022,2.90533758423158,2.95204231949288,2.93648437706559,3.47814569385071,3.47185411123602,2.53566507245862,3.08372024812049,2.12626700109846,1.30315693654878,2.43845882541532,2.74994153969099,2.67546463067152,2.85882584604922,2.95946697164585,1.58679366678736,1.79176589392597,1.40757328884734,2.91554081184214
