"","BPSL0045","BPSL0126","BPSL0127","BPSL0210","BPSL0330","BPSL0378","BPSL0384","BPSL0418","BPSL0506","BPSL0574","BPSL0584","BPSL0585","BPSL0586","BPSL0594","BPSL0675","BPSL0694","BPSL0751","BPSL0752","BPSL0753","BPSL1129","BPSL1172","BPSL1173","BPSL1264","BPSL1447","BPSL1621","BPSL1643","BPSL1810","BPSL1835","BPSL1895","BPSL1973","BPSL1975","BPSL2066","BPSL2067","BPSL2120","BPSL2121","BPSL2142","BPSL2175","BPSL2193","BPSL2328","BPSL2332","BPSL2572","BPSL2574","BPSL2575","BPSL2576","BPSL2577","BPSL2746","BPSL2851","BPSL2852","BPSL2853","BPSL2854","BPSL2889","BPSL3348","BPSL3349","BPSS0028","BPSS0144","BPSS0167","BPSS0337","BPSS0345","BPSS0347","BPSS0502","BPSS0536","BPSS0537","BPSS0538","BPSS0539","BPSS0633","BPSS0697","BPSS0698","BPSS0786","BPSS1021","BPSS1022","BPSS1133","BPSS1248","BPSS1312","BPSS1325","BPSS1383a","BPSS1560","BPSS1589","BPSS1590","BPSS1681","BPSS1818","BPSS1840","BPSS1894","BPSS1895","BPSS1900","BPSS1905","BPSS2087","BPSS2089","BPSS2090","BPSS2114","BPSS2211","BPSS2233","BPSS2237","BPSS2242","BPSS2250","BPSS2251","BPSS2252","BPSS2256","BPSS2309","BPSS2310"
"BURK_As_1 (GE) - TPM",-0.570247644940848,-0.949441871253788,-0.836649246109303,-0.0262426741546454,-0.827072822195782,-0.926506520705871,-1.22439657283596,-0.819657548041303,-0.92720997349088,-0.654851951453346,-0.667454881799332,-0.653427964118922,-0.743995006258297,-0.727027208199335,-1.12553676833102,-0.808423359707831,-0.829695050585788,-0.982761293045903,-0.967466423492311,-0.503071361583889,-0.79981487630966,-0.548649064234805,-1.12711656630379,-1.16162216250937,-0.872855959110639,-0.904659816043274,0.496890630084924,-0.808267405643337,-0.752164584871163,-0.639729184689132,-0.759970174007701,-1.21090384936451,-1.05821939805586,-0.73016724114606,-0.738055360279724,0.103747414999879,-0.658999711216257,-0.606381818713566,-1.16777912468755,-0.966882926579164,-1.25926650278094,-0.277812174912895,-0.649111295361553,-0.569174010653098,-0.602188925935249,-0.827889166932184,-1.01822269640978,-1.51001191114741,0.444257073125996,-0.775224246013121,0.0595721441767279,-0.216693749137042,-0.518233550211935,-0.654949533437469,-0.59813946805085,-0.799214815890526,-0.849966587327179,0.0340451431166688,-0.145828700069335,-0.803201382832091,-0.756458285969153,-0.750108746829629,-0.951567800999308,-0.955684948183012,-0.606764383231979,0.369400643675557,-0.558352452530074,-0.700566571571583,-0.950945735406376,-0.264146949141742,-1.0138564679884,-0.938039017293484,-1.15521789857616,-0.66867777253698,-1.34307332126614,-1.08271948874268,-0.50386819547604,-0.271313560130393,-0.912802117777283,-0.118112898983248,-0.764273535866127,0.288955992220384,-0.925013132769556,-0.82913663888022,-0.734546302717576,-0.723309606273835,-0.603136272108032,-0.542805192570708,-0.771520867884436,-1.02248815538579,-0.731954527044985,-0.538945162276456,-0.628467223207939,-0.753291494378234,-0.523948062189727,-0.928671706712884,-0.0339679244183058,-0.973290375028409,-0.846844913358893
"BURK_As_2 (GE) - TPM",-0.013116282071314,-0.794166022065109,-0.418507119672618,0.0861140854928864,-1.08122140118839,-0.838849221649962,-1.20894479510207,-0.537438717636057,-0.75766519511822,-0.64775511850455,-0.712869173266966,-0.675365518941686,-0.711179132615163,-1.10411713917898,-1.31270244501554,-0.35190496071387,-0.898443478046095,-0.895755158084346,-0.970706634165954,-1.0806182546657,-0.618535506758498,0.477177646318109,-1.22807019716409,-1.16490493708481,-1.01314650871955,-0.70375667452096,-0.414016680111144,-0.780853930604423,-0.746687825437432,-0.0522254181316201,-0.279676786592926,-0.839559271517299,-0.733343128965542,-0.642081268267988,-0.829924301250629,0.0775734562745212,-0.910631440295974,-0.163382563228769,-1.07968582344511,-0.898890617526105,0.497837976290331,0.240881969383369,-0.611846872372567,-0.568206912385617,-1.0984865793963,-0.782689423076413,-0.0307480226791342,-0.564824066508357,-1.24383964820532,-0.958468875087644,-0.598840663530277,0.790499332341375,-0.460129271622433,-0.693034057122332,-0.592261812420717,-0.566332993742882,-0.621703243415779,-0.290768023642061,1.22611482867356,-0.712254454393994,-0.912549974558254,-0.54623613662957,-0.430223259794871,-0.928013714930606,-0.519020095600886,0.720964803477049,-0.659418797027638,-0.56961575158252,-0.950945735406376,-0.849929645711169,-0.973002767106279,-1.60948956491503,-0.87238174654223,-0.930904352363937,-1.62546681093104,-0.863648335459966,-0.60785848844059,-0.6719670945269,-0.165016832620027,-0.598669540148274,-0.804023357950491,-0.163699097365853,0.301736765083371,-0.869700698954342,-0.327493963409003,-0.793576539436853,-0.645118273320522,-0.610829387919293,-0.0558222922535329,-0.797347121663892,0.142471762054392,0.211428602431524,-0.97723908969992,-0.732165912508628,-0.756899028078886,-0.272646824331585,0.459338950091925,-0.926617793684953,-0.929545699927623
"BURK_As_3 (GE) - TPM",-1.1496520420011,-0.698781190612172,-0.3689816487383,0.643060132932835,-0.923405616604201,-0.842343740749069,-1.33884540382285,-1.0432809866796,-0.76242244801771,-0.619162017618936,-0.659555859030429,-0.650426419605802,-0.710357060209338,-0.780176965994395,-0.871805295325062,-0.485641897688996,-0.790731788094784,-0.854700471209359,-0.900697542011362,-0.799742976920099,-0.991163332097299,-0.973823434881043,-1.06949510673643,-1.19320130383674,-1.08557020893482,-0.728640187801341,-0.697689000371255,-0.410324679689649,-0.774163162943707,0.065641258962512,-1.13830592334414,-0.272663569341347,-1.16348585816586,-0.360635762470195,-0.71191295269718,-0.438282247761159,-0.469228342354579,-0.487980465551078,-0.641681619947521,-0.878210379957761,0.154827786335971,-0.764257126506255,-0.897864697160321,0.172976451854011,-1.02177294967339,-0.813461738058865,-1.47536752551355,0.125191213670689,-0.992436171785799,-1.00531233959102,0.181488318321579,-0.169082918591545,-0.667594712015941,-0.850199919089467,-0.478928482789957,-0.582181183734486,-0.838759445853634,-0.923531232157302,-0.372650541308632,-0.668522500819078,-1.01849066880473,-0.618830820605848,-1.03861987560963,-0.253959971218176,-0.960141089101944,0.0808995651222389,-1.13689085925494,-0.610229584606103,-0.330469004999217,-0.272401484098984,-0.732617759679856,-0.273713734676985,-0.89765301477262,-0.304028475322695,-0.513606794036502,-1.23506339194156,-0.749874813909205,-0.31676616554689,-1.06889763276946,-0.243024105422996,-0.593936354435656,-0.438757799867954,-0.382350642543419,-1.03167048343126,-1.49949016930362,-0.715714830695838,-0.732591996837872,-0.568281155126926,-1.42201102413849,-1.1988151643793,-0.87652241701419,-0.81187523225465,-0.974558685112783,-0.735333423510974,-0.823403704737219,-0.643842020651722,-0.722839940647462,-0.667142130068663,-0.824498891078707
"BURK_Ctrl_1 (GE) - TPM",-0.537646841756341,-1.05244552683056,-0.548893794845578,-0.030205643102901,-1.028511519948,-0.938155381731151,-0.940676147702534,-0.579955093684324,-1.03912804456342,-0.667122873802681,-0.711535504640014,-0.751805891502392,-0.691198256196345,-0.491633382788217,-0.472192008907492,-0.750998438211955,-0.874620811031111,-0.846451068834796,-0.928144846817139,-0.750866493005177,-1.1726973545339,-0.82536526036272,-0.943116709750026,-1.02159935806056,-1.02860936417137,-0.616353046389598,-0.39560819205596,-0.647688704927179,-0.825749971342033,-1.1394966185253,-0.771915527901679,-1.04391543551689,-0.927379835120031,-0.608534989003809,-0.641052976614879,-1.17503630209709,-0.66029906199742,-0.556534386248414,-0.0766132859667979,-1.06834595009094,-1.14564827256876,-0.839088762242618,-0.856455137348532,-0.901211173503745,-0.863237380595471,-0.855718489642463,0.548779209622621,0.302245414686979,-0.545732526293485,-0.96740545375811,-0.651723390810477,-0.737119231093,-0.856501570552046,-0.57148637886416,-0.570137134786843,-0.836347062606299,-0.435234387954541,0.597563228472028,-0.404546102918174,-0.29448039464754,-0.955778732764852,-1.0058120353608,-0.889628967528939,-0.637413221824008,-0.847335476964102,-0.223360061453739,-0.134021634861386,-0.630975357957618,-0.950945735406376,-1.46135951506835,-1.15425233944422,-0.437773234716182,-0.792911106025777,-0.589774408632659,-0.865251515884979,-0.89092447514318,-0.51722440166705,-0.0656006813775874,-0.635913846512472,0.118944520593039,-0.43002319694385,-0.642994107587543,-0.346230769948478,-0.816657598960103,-0.884977757759878,-0.762689000685142,-0.493000348406441,-0.885950266655495,-0.493556340948222,-0.872396250426877,-1.23365343989706,-1.25849015827642,-1.07349062818035,-0.749139337798676,-0.775138562713492,-1.15971526030036,0.91127146746209,-1.00943691196456,-0.845761700701324
"BURK_Ctrl_2 (GE) - TPM",-0.363422514995896,-0.977378877459467,-0.665251012253939,-0.0541221191011294,-0.805995937827642,-0.893747703665998,-0.614971516355891,-0.585494688558129,-0.952781404189037,-0.663606605057317,-0.687779719541241,-0.764855710664443,-0.596401608398716,-0.595865689832751,-0.428273877088964,-0.806056663814915,-0.858490215444397,-0.902257443265735,-0.876819757003081,-0.869921994700191,-0.811764010529705,-0.705093579848274,-1.00336882568365,-0.922565229087376,-0.499886721053401,-0.624900898274429,-0.417045976034624,-0.720336481108944,-0.811799874788316,-0.840589930262481,-0.692741365493671,-0.833428215217887,-0.344864622268439,-0.48401854387444,-0.631289101459089,-1.30986136043181,-0.595763842693446,-0.557307820946552,-0.820704831337397,-0.981541118317661,-0.575837321360292,-0.836391753575993,-0.721852285118793,-0.877765084600771,-0.814535727169695,-0.751556340794437,-0.745715405527538,0.132941556038608,-0.50469986908142,-0.114377299945068,-0.758323736437144,-0.726149354659884,-1.98215930363577,-0.64011609303003,-0.471974480987154,-1.02134475654087,-0.399444851804787,-0.780986597990054,-1.2199206967467,-0.934972957976017,-0.815288761922649,-0.688880235609385,-0.824863784204244,-0.976262325400342,-0.691586531674152,0.80600179908926,-0.201625363257799,-0.635679495130027,1.25099997031065,-0.53837228242401,-0.930223914088201,-0.771904821975929,-0.987648890903695,-0.637451115527969,0.0412535466832694,-0.99135318755007,-0.42914464651007,-0.298739710021702,-0.768122430627,-0.250533929741016,-1.11568557922847,-0.124843538728041,-0.272821793796732,-0.551619255477004,-0.235780778909022,-0.719853682140084,-0.554626972873109,-0.761766231075886,-1.02713487868522,-0.575637349137303,0.276514863496741,-0.0697810138690486,-0.681118602531472,-0.744253786038791,-0.676274525905468,-0.882359903159942,-0.409602190945175,-0.765104259146116,-0.844363454837047
"BURK_Ctrl_3 (GE) - TPM",-0.788372621102778,-0.939215286488213,-0.987350694204522,-0.398208726095214,-0.970335572545858,-0.913638118285002,-0.715088097863162,-1.18580310911583,-1.06059944105466,-0.656141826801803,-0.672277282189524,-0.727078647863604,-0.69867554383207,-1.07457501659108,-0.733920314107408,-0.890397297405959,-0.816276198755246,-0.927274678281459,-0.909751473125156,-0.81041068915756,-1.17909141824164,-1.02849136539298,-1.05523442298139,-0.900720899653466,-0.981757477145601,-0.581882469079468,-0.775140422906301,-0.846668938020883,-0.766177058243733,-0.890166481618736,-0.527464592939596,-0.354297843736982,-0.606646720604562,-0.637467909644693,-0.582586279034082,-0.677201431479469,-0.93916000164896,-1.1770238272788,-0.993468430597383,-0.947996995816381,-1.22402144066572,-0.903082778181009,-1.01796071497,-0.943840201520353,-1.22777464186424,-0.915656045039299,-0.740907216816044,-0.499375642916424,-0.867323955217284,-0.847600450827017,-0.620975508286195,-1.339671248595,-0.311462946598011,-0.604015771823825,-0.440596720566879,-1.30227335315431,-0.481048438860406,-0.846215484105875,0.46475115496889,-0.894919144336531,-1.01929787156281,-0.802214407037044,-0.68186683249513,-0.900455305951899,-1.00715547085697,0.0422485827330717,-0.80217496036174,-0.646273530249526,-0.950945735406376,1.43085499579208,-0.874655520918239,-0.994350278920779,-0.837103448394029,-0.560022206238076,-0.799921237811915,-1.11925386671675,-0.380455328436903,-0.439954990700765,-1.03347521678895,-0.136737627708711,-0.950908715638779,-0.177322408708959,-0.345514075912573,-0.84235008328501,-1.35949441329231,-0.71156005090491,-0.644305250576115,-0.500383516094254,-0.59100164068318,-0.609920057359403,-0.956624408099324,-0.731741725764348,-0.576668504361826,-0.755665715071382,-0.71725178231298,-0.382095483240986,0.0474165504038612,-0.872510969964958,-0.766074814212466
"BURK_Li_1 (GE) - TPM",-0.213390622832171,-0.442602957208746,0.384294236805316,-0.703133330354403,-0.337527119166904,0.123636643953462,1.10885906378832,0.660875056909259,-0.000851214683125957,-0.234046077911231,-0.499684027629428,-0.535399548174585,-0.50169544478516,-0.27119829119609,0.805341207026704,0.844384357104797,-0.0764948176187779,0.0601423062511655,-0.0197578071608884,-0.0393890897773528,0.762734674332944,0.939373323631236,0.60249585575564,0.375271189182617,0.133120876998886,-0.232831708128785,-0.564517137132916,-0.43984852471894,0.174186559557094,0.338300169919553,0.797359476809044,-0.779139279933285,-0.467822498334654,0.058198258653193,-0.399639125777425,0.137279121220005,-0.178254714924028,0.654077191111666,-0.383038551402377,0.347743082909567,0.000774093479376091,0.582747942491393,-0.25858143069161,-0.20428999434895,0.0870597611326784,-0.644042475884857,0.0331506536550559,0.388193496124645,0.271108691306401,1.37830011478387,-0.118278695321051,-0.832308879608288,0.454607123738605,-0.0827353878489282,-0.701425076574901,0.221554007285728,-0.933593198185884,-1.35444170579887,-0.344775164835591,-0.205061079301419,-0.403126874611615,-0.572295570985493,-0.391300948280879,-0.748529878018424,0.0334787259917776,-1.53996210006823,0.0493472896231488,-0.373655086654249,-0.632764349720137,-0.0895357807985957,0.274366436777867,0.14616510882147,-0.525169105636369,-0.188262060651038,-0.41103778262259,0.285334926628635,-0.592150654231085,-0.669718950418894,-0.461705220985196,-0.840937751527092,0.462338782141676,-0.492791692980406,-0.814107975738322,-0.202059078300479,-0.769065610714197,-0.531517581678449,-0.203740553315885,0.286129082766603,-0.199399546591292,0.431244070620512,-0.324980883271225,-1.02946536365324,0.3228642327672,-0.0909053890846757,-0.280599592706922,-0.401098071458951,-0.853666529182466,-0.023863915470045,-0.226014224595886
"BURK_Li_2 (GE) - TPM",0.184329563425448,-0.193506051513226,0.273932191893453,-0.597934016252938,0.384187630785864,0.252148127540169,0.420056231191789,0.585068775395526,0.174401271311818,-0.247499533890542,-0.480857625536952,-0.537389585148805,-0.560732887335888,-0.332358544489455,0.0653338349310045,0.811014309047482,-0.0890197039242769,-0.174708993708777,-0.0748081516269676,0.106713730977327,0.348961351655624,0.0471003748444369,0.479038139716611,0.192757130076081,0.3769512970674,-0.0243021545545763,-0.697889210721587,-0.471414193871362,0.282153917679271,1.36761432996375,0.831871565393537,-0.370133882798105,-0.734019202419086,-0.304392419999079,-0.209008624753185,0.225196913590825,-0.475214236449594,-0.348318948020624,0.485413173234303,0.123353085072649,-0.409050959376208,-0.17796785334834,0.530058939188456,-0.0633691760561872,-0.000338237234308314,-0.514687719515035,-0.087667321572252,0.0723121766834564,0.514717461262293,0.36079867429475,0.0637234312189506,-0.540120202805048,0.0655476193705291,-0.207412864549284,-0.705824888188728,-0.358847326532194,-0.897747150272885,-0.762267134932906,-0.849319630136447,-0.300904520326279,-0.578329173273852,-0.727908601155234,-0.675386260619469,-0.446559675548285,-0.0762011067463248,-1.58142594827758,0.0536997149850742,-0.429214281061381,-0.175778303246171,-0.013117444522165,0.841615214130411,-0.228033478533771,-0.260467214235841,-0.440778969833452,-0.526545917363522,-0.161942088270779,-0.692390213827455,-0.64988585589211,-0.0885317176954696,-0.84926504348709,-0.198249035049988,-0.11609037558658,-0.400965510803857,-0.332064499111355,-0.194529141133229,-0.518495746103467,-0.37481169816584,-0.224922128472897,-0.00170715995831045,-0.321081476841715,-0.61682467410417,-1.03530606257209,0.860631977288312,-0.247217037500218,-0.545301538167075,-0.349889344275621,-1.11264379976597,-0.194647935532191,-0.124508026564755
"BURK_Li_3 (GE) - TPM",-0.386366132557762,-0.0826949983974672,0.499448142660839,-0.735488374523999,0.640853852666597,0.339975494843034,0.420005613989218,0.232301124191772,0.266395863615591,-0.113810944619856,-0.424595760524546,-0.48022742444042,-0.432111752664292,-0.893866520183562,0.213965316714543,0.446762051190725,-0.142298745974736,-0.169331910377695,-0.138912399840764,-0.549269109841583,-0.15089687854436,0.501689173934788,0.398891295429932,0.352179031474661,0.494668189665582,-0.0502370718946358,-0.517901491619824,-0.315279927197596,0.565910641577789,0.519777796899554,1.03291943143024,-0.598443481449628,-0.455772102775923,-0.415600537899284,-0.0538805520748122,-1.56441594873037,-0.651519905677465,-0.425033610626763,0.179889686972424,0.168811436128018,-0.420876789039345,-0.0865194772881304,0.254398808197356,-0.363054890852978,-0.186242181417286,-0.490500495008755,0.656055534718709,-0.971775343422058,0.358535259346046,0.31690676986889,0.0287562317796001,-0.776927999951758,0.0540969886659451,-0.362142532448796,-0.516096869813735,0.450556027930143,-0.929751503783033,-0.87092767846202,-1.46140654690948,-0.339176704482282,-0.208877838575434,-0.535037476604661,-0.356100982490243,-0.655383224949433,0.120156024937307,-0.603246783161227,-0.386125788952197,-0.156838597510995,-0.602834909074982,0.373028692431153,1.38618101720227,0.0124628094393537,-0.248627173270264,-0.440628307639962,-0.598389482795063,-0.136166986556673,-0.389953590727723,-0.33043351624434,-0.383465114686293,-0.562816613162495,-0.231909455857618,-0.106975158927272,-0.665687526972321,-0.199930256088354,0.0987723829388638,-0.339373945725419,-0.106889013781817,0.605124788980688,-0.0208314428096209,0.0907514859169973,0.376157371635943,-0.757354552817861,0.91777817214901,-0.27091239187611,-0.528987090708613,-0.847050039554997,-0.256115303659313,0.0267732891074814,-0.173322270830792
"BURK_Mig_1 (GE) - TPM",0.997424187011798,0.347892829473602,-0.2193495862395,-0.477373801883455,-0.0786487553942908,-0.213639092469256,0.0459319268954277,-0.566217224354425,0.262744424145072,-0.515947424252705,-0.595602500633033,-0.562525175231049,-0.576201906321297,0.643122950260227,0.100580859795753,-0.0266360440862053,0.204473064944926,0.260473324588511,0.73911887666518,-0.344078893796788,0.0741632439011301,0.23883653542068,0.718498386190845,0.731389658956644,-0.22148394407758,-0.590251723807849,-0.188111044866756,-0.267245669706968,-0.489856476761715,-1.48159075353017,-0.919465952212594,0.371778606538011,0.936988445648858,0.0272244158322679,-0.0682697879881409,-0.115806546422728,0.312361984335867,0.731225878875586,-0.47526590237004,-0.170708560950641,-0.373787209066319,0.83000562462567,0.0281911624728834,0.382911109817421,0.239814812402266,0.316692482991735,0.872990789678852,-0.108354529890897,-0.488329285572294,-0.44293663018669,-0.166473494723796,0.528761256450154,-0.430113660803383,-0.270202084947098,-0.271304346217566,0.443406431893292,0.494672098554607,-0.359094454759274,1.68219973195067,0.364605220519408,0.246890990615941,0.525536502930683,0.00201443136442927,0.76632368117009,-0.19595100699557,-0.0482693229472325,0.224033193358209,-0.190084917271854,-0.950945735406376,-1.46135951506835,0.149784069285037,-0.634140524709189,-0.515477750185659,0.350060290542653,0.168345805106221,0.473271515269198,0.766252999486176,0.155393183333933,0.681154471562288,-0.484292127654431,0.459854908957715,-0.797850393820947,-0.432511273024324,0.0311593192764187,-0.128600744939275,-0.458508847870392,-0.441890414036776,-0.134085593429214,0.221156152764497,0.355210255702426,-0.769007849430939,-1.00058453417247,0.61386608018134,-0.0628146110505858,0.0796460465223933,0.806516739693455,-0.716849408527587,0.471325783202331,0.388211421417637
