"","BPSL0169","BPSL0456","BPSL0798","BPSL0849","BPSL1763","BPSL2559","BPSL2722","BPSL3362","BPSL3427","BPSS0032","BPSS0305","BPSS0306","BPSS0308","BPSS0309","BPSS0310","BPSS0311","BPSS0321","BPSS0528","BPSS0529","BPSS0530","BPSS0532","BPSS0534","BPSS0710","BPSS0812A","BPSS0886","BPSS1163","BPSS1253","BPSS1493","BPSS1498","BPSS1512","BPSS1513","BPSS1518","BPSS1520","BPSS1521","BPSS1525","BPSS1526","BPSS1527","BPSS1528","BPSS1529","BPSS1530","BPSS1531","BPSS1532","BPSS1533","BPSS1538","BPSS1539","BPSS1541","BPSS1542","BPSS1544","BPSS1545","BPSS1546","BPSS1547","BPSS1548","BPSS1550","BPSS1551","BPSS1552","BPSS1568","BPSS1712","BPSS1830","BPSS2125","BPSS2243","BPSS2326"
"BURK_Oxs_3 (GE) - TPM",-0.465150285046983,0.0488998610288167,-0.530720938925593,-0.175532070468751,-0.246523585696116,0.632761013441938,0.474513657472231,-0.951775496570862,2.13720805482325,-0.594372542076488,-0.280942165370497,-0.411011182288199,-0.424799185282781,-0.618415898520812,-0.566062195463394,-0.589185362169622,-0.679957947934211,-0.775251551180195,0.0864998193522943,0.0564230786900288,-0.345898425295204,-0.467943508736315,0.0687375758535672,-0.679571900047176,-0.0370341748750738,-0.504233246657004,-0.400337285361112,-0.157270218734058,-0.842245117980032,-0.30191978643027,-0.802082844792826,-0.385712014448249,-0.0828400226170471,-0.495815799265473,-0.481951244150405,-0.540898535761845,-0.492669718053193,-0.444910117490591,-0.595625823253128,-0.456438811495319,-0.648276115269045,-0.617177541172477,-0.526891423802893,-1.02926602320255,-0.692025695694461,-0.539557021769683,-0.655461413814495,0.0464163311674028,-0.392163472292441,-0.326387637872138,-0.313483229130288,-0.384871667356532,-0.326356170070276,0.290629368646443,-0.369621437318371,-0.0835849893367251,-0.107273887404041,-0.059948605359938,-0.115738316127365,-0.825711022151186,-0.29750246414766
"BURK_Sp_1 (GE) - TPM",1.90864920388415,1.10335385109066,1.03366971944874,1.44617337071428,1.67072672637336,1.52527055230032,-1.40814244926367,0.787664018893379,-1.32798453571959,1.01817276384957,1.48746301338706,1.10573570318679,1.646070320051,1.52469202037449,1.68092320978354,1.65591938450245,1.77694054252559,1.55272535957745,2.03897814400193,1.75353890676827,0.901950151788725,2.03761599077842,2.09747444808641,2.07815333258677,1.75397582560944,1.66749228581257,1.95317394572289,1.29511656181878,2.0758123025281,1.87895403785305,1.48348084692903,1.31467867613128,1.90691430232776,1.78538550474249,2.27422043799986,1.42786288256546,0.835081059606597,1.86317321642513,1.87856768126559,1.67233402697486,1.55942900708648,1.79527429517435,2.20699758763785,2.37138919155547,1.72697303590692,2.15329605464227,1.83813008792296,2.46930741142004,2.05368184720803,2.08453542589867,2.63586547460637,2.76746505813647,2.66686100712918,1.78666706556315,1.39769014795678,1.64380774650317,2.74999666491495,1.60028695988784,0.780485096751324,0.393074353593415,0.769119898512378
"BURK_Sp_2 (GE) - TPM",2.0756539149168,1.2328113529188,1.50499169266854,1.57770480091628,1.71191841368975,1.44437969428743,-2.10433961904528,1.42406155253268,-1.4399482048408,1.16023962753009,1.10983531735224,1.26264547126959,1.6589466313429,1.34153635102915,2.0788283881396,1.99131001525956,1.44969527186961,1.35394227124109,0.843416176973499,1.32153586541311,2.00783328022821,2.10100446397436,1.35078596764268,1.88854972811606,1.2677463006658,1.77737873733757,1.12769283449386,1.17403874428483,2.14854449677776,1.50981505309752,0.628986638820635,1.12970229206468,2.00717750398863,1.75529827055034,2.30929891809774,0.788828884593474,2.26462485670843,1.70401344701859,1.50831965393412,2.00890204601212,1.72998261299022,1.58342373236833,1.87411838959515,1.83864886942407,0.94108638370046,1.80748720056565,1.41245863403345,1.78481482024799,1.45047744177938,1.83215168077719,2.26726286293789,2.08963877280721,2.02808592359562,1.14706295016335,1.12048173325453,1.55446976192982,2.22649988512463,1.06440968021602,0.764047472750517,0.659158388554948,2.26348066551664
"BURK_Sp_3 (GE) - TPM",1.68902444982547,1.70463216921372,1.58294483846545,1.51152347149409,2.23422871058452,1.67518327862153,-0.852383037758144,1.18295575155988,-1.47393850735163,1.34791078860374,1.04990734949052,1.40103886973736,1.95094532018919,1.4959828117515,2.09219691472943,2.48134915522922,2.15139194720521,2.17940303951742,1.86043180053311,2.43678817875526,2.10369834781847,1.09298195464445,1.79845134928941,1.91061902881027,1.22499184089797,2.50395523326819,1.35504375075919,1.84507389812234,0.393203123196379,2.50347888792616,1.01887193657731,1.53529112371867,1.72474368458223,2.39375746175839,2.87669879744674,1.443689640695,1.35740432483588,2.14740908745428,1.85165362482743,2.20583295667245,1.95241528661255,1.76628616469733,2.05212105720456,0.895569191599595,1.50059783654417,1.76475940462692,1.53412150915814,1.92320372072899,1.79382555083123,1.55200588493547,2.49911646957518,2.33039223947111,2.2019783011556,1.58879560526439,0.907815803054703,1.75121282230515,1.13853211694975,1.33673123858481,2.01185770970048,3.27169591944362,1.55802466401649
"BURK_Tm_1 (GE) - TPM",-0.452884243592771,-0.437159974899851,-0.836214276029854,-0.541778193404032,-1.34819678009823,-1.0239203561355,1.09477483958111,-0.169398016541847,0.535073260710282,-0.242960192783825,-0.587842266567757,-0.645877767438906,-0.609374813824289,-0.695458807672141,-0.735092462259378,-0.70408197040915,-0.288687404523174,-0.22578210536448,-0.781676189336049,0.0782625109146965,0.210485409339387,-0.109393573778467,-0.593906514311415,-0.586132821894729,-1.03233431516853,-0.368828049034539,-0.601460055099298,-0.726868278891733,-1.12118207529419,-0.938440585657314,-0.93341103665902,-0.652582710369813,-0.772275076804964,-0.692465031270278,-0.641620643539719,-0.68518483360936,-0.659826806265732,-0.80800581413139,-0.409468915640374,-0.730347057945183,-0.671595021163721,-0.803864219606163,-0.784061451056858,-0.90541361075182,-0.911783002494637,-0.666441589233989,-0.506654560217289,-0.363356659246047,-0.451557969076981,-0.49637836703532,-0.606003065194551,-0.675955063519668,-1.17233892918875,-0.886573818137912,-0.913158799478564,-0.56677558829307,-0.715154329404816,-0.490495541707083,-0.725366270024033,-0.90773060767576,-0.462353709449942
"BURK_Tm_2 (GE) - TPM",-0.903892407121229,-0.566603636266276,-0.621679103539966,-0.418394429812828,-1.43741021863137,-0.905011611517869,0.0510208454125902,-0.362289020109914,0.365334833046474,-0.377495737463521,-0.685552622306477,-0.569286869486944,-0.552286528491499,-0.598740605359415,-0.764877814468863,-0.734834959770571,-0.234289163791979,-0.201362219789905,0.395578970054284,-0.447968432433898,-0.372598222008567,0.19194868375289,-0.465464483519076,-0.5411336558743,-0.892834538537125,-0.382696755174598,-0.50461403835408,-0.712201234865188,-0.890880659155436,-0.882399115950081,-0.888957256303204,-0.622477078841049,-0.725067214641292,-0.699186479523852,-0.64406782793338,-0.75831410858228,-0.34608825270823,-0.750924515927569,-0.348897647686715,-0.703579301185288,-0.62933831445529,-0.810025308943577,-0.738742276515539,-0.719390747535772,-1.07794543737247,-0.602505562800844,-0.538564257070339,-0.265672686932058,-0.323794111013145,-0.285845522180144,-0.599400234882137,-0.665973568595938,-1.05297676293,-0.85401194173644,-1.03376965959559,-0.36318695099066,-0.507036575961967,-0.390298271930739,-0.839279533103698,0.309922119031735,-0.379837715334307
"BURK_Tm_3 (GE) - TPM",-0.369879843358422,-0.573501348669663,-0.735664877453668,-0.277142154742052,-1.45625327090837,-0.924386128375476,0.143892495608693,-0.456052292451101,0.412145895856852,-0.239892674606683,-0.52137528614573,-0.568798458042906,-0.598109230906764,-0.582318007150566,-0.712882104123825,-0.699766030937436,-0.273044735712846,-0.481535405368411,-0.68328274793299,-0.276476333583244,0.0626347329629748,0.0197882402510506,-0.504907616858023,-0.425784855348432,-0.979039596095713,-0.389175958333977,-0.492683910293007,-0.899370263564127,-0.623509317240932,-0.915792462058288,-0.893454737896691,-0.638360698849824,-0.748490094702823,-0.695848030443537,-0.643596440342395,-0.792442216767434,-0.286304738506182,-0.736203220144047,-0.349197258108928,-0.686160243972392,-0.643256832136881,-0.790750585562794,-0.717828449771604,-0.512473721693615,-0.904551684801908,-0.626019766901271,-0.427574998742781,-0.276751399389658,-0.429185657308648,-0.316412223113161,-0.529154885759613,-0.655711476980618,-1.08464576863446,-1.04767376762384,-1.00185698057611,-0.355391499564604,-0.606427755658223,-0.428342537920343,-0.698965122398509,0.612118882204972,-0.125574933483927
"BURK_Vic_1 (GE) - TPM",-0.138153416645461,0.708837608578701,0.314113063318026,1.32705325825424,1.20658642703547,0.386743798410966,0.627435848089998,0.5189761041067,-0.111026706947782,0.742324530994765,0.0101931087910944,0.156790025948817,0.12931303758812,0.434124747706664,0.0994460628419031,0.509403265694103,1.53213043831115,-0.31181158214785,-0.467635354146762,0.164043903453602,0.0107175773370848,-0.10208603250377,0.709311353640787,0.407519286265541,0.112221072181028,-0.0262958565002259,0.815758504431113,0.0457769883156366,-0.876513657001082,-0.110483989609983,-0.493721594559066,-0.0980542389214597,0.113752386322796,-0.13677801186808,0.0527688003745052,0.626804438282984,0.0880535264867102,0.281853090942996,0.374842183613723,0.276542392944532,0.60971850123819,0.322150219607279,0.0805894259476516,0.518320865773722,0.352390229164499,0.621904359866659,0.614075684738105,1.33154410590239,0.869454560908564,1.03619331502375,0.226776529281873,0.283231799549366,0.0598988947889194,0.212290888021147,0.748622712282622,0.815598242287449,-0.523813631894668,0.519493539287631,1.44346329852867,-0.743963876109672,0.963297317907124
"BURK_Vic_2 (GE) - TPM",0.769159006629591,0.367195847453066,0.255482374111461,1.48934023226651,0.762355766106575,0.813795542331437,-0.894878133070605,-0.282471620758078,-0.47194428070223,0.988855391605658,-0.147058456443552,0.0213830991602551,0.294062912299415,0.0595245177408319,-0.136399520686406,0.232924723136488,1.13070878229557,-0.766783604966458,0.85514049947572,-0.855198479160639,-0.671306991906944,0.143759959269084,-0.150397733820018,0.383599392394235,0.239267238886901,-0.0776276183560462,0.206068340874463,-0.708946371609937,-0.331659410326327,-0.238195854935035,-0.449369287803852,-0.184520086507299,0.0526184458446162,-0.125074526841818,0.00839296301355186,-0.244864448298606,0.54262172876452,-0.0541970533641128,0.111707218649447,0.0355110193134499,0.433906580505861,0.293074194236224,0.0784614275996934,0.424865264384304,0.0948811106258353,-0.122070710831265,0.248796274823058,-0.0160957996327357,0.639648174352595,0.738704839826043,0.0312144003368726,0.120266725452874,-0.378587911834365,-0.869616238432416,-1.41221960985173,0.0498564809180924,-0.479867335172952,0.17322363651211,1.25253799818107,-0.361032922091643,0.411755899152378
"BURK_Vic_3 (GE) - TPM",0.142274724024762,0.203206121589541,-0.191636532223715,0.967161991518007,0.339194488282315,0.390214232669567,-0.0824393582111066,-0.0709679889389238,-0.502663863404275,0.810531620920529,-0.337748395396273,-0.00365104865934429,-0.125858482457861,0.483843624261255,-0.0370676973134504,0.314350253860135,0.684178507548102,-0.296028753873097,-0.199752241858059,-0.854669876857062,0.663975288550052,-0.379945913090429,0.600471854399847,0.101320390890559,0.268760500032826,-0.144310331808077,0.655793124732334,-0.740765289963763,-0.885726419356892,-0.433366815682195,-0.873421766430156,0.0391215787924006,-0.102995309456788,-0.219438745162051,-0.148471326175254,0.117162779868425,0.0891004476707441,-0.251779032182116,-0.0215165154693928,-0.0701824873766177,0.253639850213222,0.0247652808282066,-0.162791023493884,0.00847027584251017,-0.576729881399711,-0.2541357079004,0.163221775100449,-0.274819188510637,0.178428143745631,-0.0135698705417996,-0.0488543826537686,0.0338309915135222,-0.545005966568868,-0.844204475433768,-1.31248163806214,0.737297149217144,-0.29078260983034,0.0833264003628715,1.32592856787638,-0.547538345912578,-0.452637371290076
