"","VC0012","VC0105","VC0127","VC0134","VC0147","VC0149","VC0179","VC0180","VC0181","VC0213","VC0236","VC0239","VC0344","VC0345","VC0349","VC0350","VC0354","VC0419","VC0440","VC0526","VC0566","VC0578","VC0581","VC0630","VC0674","VC0692","VC0700","VC0830","VC0909","VC1018","VC1039","VC1041","VC1187","VC1321","VC1445","VC1461","VC1590","VC1713","VC1836","VC1837","VC1838","VC1839","VC1882","VC1894","VC1965","VC2041","VC2096","VC2162","VC2242","VC2403","VC2408","VC2460","VC2514","VC2635","VC2646","VC2690","VCA0026","VCA0029","VCA0030","VCA0167","VCA0567","VCA0599","VCA0717","VCA0721","VCA0732","VCA0789","VCA0836","VCA0846"
"Vibrio_As_1 (GE) - TPM",-0.612249223972923,-0.280937289047355,-0.437506884049678,-0.228312132715656,-0.601017964600591,-0.837135765031624,-0.734381027659349,-0.71017845866383,-0.956392440508168,0.00560852147506579,0.234606876697595,-0.364617967183206,-0.655516302154199,-0.544926021712525,-1.24057623300824,-0.68991531520409,0.218270883166387,-0.419248364836192,-0.232045110461124,0.427996321247652,-0.567812043871026,-0.56847037110726,-0.688565813074226,0.387436433429302,0.180222619206022,0.259510700655804,-0.637295309077154,0.122650098051202,-0.0426771036361982,-1.29676991457548,-0.457509153618316,0.364068462085807,-0.0691408592232318,-0.683921695200492,-0.578716032688679,-0.606313490350769,-0.980879940030515,0.210999648274776,-0.0266702483923072,-0.633972837628866,-0.611114216502834,-0.2127092171028,-0.314443299681251,-0.541709073511347,-0.358359797658951,0.21709402449533,1.25196472139307,-0.713460111490537,-0.229746719102981,-0.888404417055894,-0.169430600942421,-0.406454669642295,-0.0103145948957874,-0.550504314901866,-0.619083260476048,-0.257078756996875,0.943832995712687,-0.380424703183537,-0.549621025909922,-0.641055729395856,-0.438846608261657,-0.800370562029734,0.0756262641766394,-0.986035331240062,-0.823842444424457,-0.567024055225942,-0.688977156281937,-0.654011888004737
"Vibrio_As_2 (GE) - TPM",0.310421177827205,-0.960629843325982,-1.12644885418886,0.128514331610665,-0.0170357357721804,-0.387483920004462,-0.805638805207115,-0.963970582119615,-1.23173159718068,-0.609076900563227,-0.114519530637262,-0.416326370534527,0.0179537669891518,-0.183198118974985,-1.50082658689618,-0.797961160250475,0.0897469068689692,-1.57102564769184,-0.713990116762999,0.0398834230240048,-0.591198915090202,-0.734648550124092,-1.3628751566838,-0.0294489439393945,-0.091716454880939,-0.871856165822794,-0.910544343369208,-0.90539476305705,0.297647117413617,-0.96189056116535,-0.35501947800078,-0.50272229964334,-0.734757863731722,-0.830822512244132,-0.609321933271467,-0.485890897383443,-0.980879940030515,-0.299837892210693,0.621591601318425,-0.0254907248866375,0.241187749266941,-0.031739863985383,-0.350029172092649,-1.05276389121056,0.173807425569843,0.565236568594337,1.08931819187085,-0.928961490858588,-0.35520091757928,0.323939645667917,-0.383580346470874,0.864489660164,0.376280119451724,-0.317177034406771,-0.745177479927711,-0.0537267634318523,-1.04389482369425,-0.844013673332763,-0.814566853119706,-1.15728408714769,-0.346389836538514,0.118882370221712,-0.396431290759096,-0.866750694217491,-0.988659145157753,-0.744059232615908,-1.18312652190235,-0.626279134077758
"Vibrio_As_3 (GE) - TPM",0.0131802861366632,-0.572831187469171,-0.369435424300401,0.575131584055141,0.321103822970543,-0.153596433148505,-0.740478445988373,-0.775475464810467,-1.05948146796383,-0.127090507859539,0.641563299376637,-0.266822905315737,-0.31439294570981,-0.0045228335304264,-1.16358190567729,-0.730108343373872,0.0996360492835976,-1.04922407705043,-0.162947249646063,0.861134898041718,-0.726368060207489,-0.578645150228825,-0.935694732363679,0.783958581060548,0.00795135513635652,0.413498733706162,-0.746901842341101,-0.271683695537993,0.874737850101793,-0.719633208736915,-0.489466915570662,-0.610117015035235,0.265006220253175,-0.625121506981187,-0.515378449547832,-0.0728754081307161,-0.79630680160327,-0.184234985841104,0.606380910175137,-0.109596985103541,-0.399699668440395,-0.171893472999837,-0.0725857404927255,-1.09127400279273,-0.0756318800080831,0.5468805137516,0.785325823498073,-0.546318829380174,0.30347861673584,0.0455960132706883,-0.12091772652945,0.327459745874596,0.436303647758109,0.0215712970843431,-0.712145501464711,-0.125078474774544,-0.655344785287981,-0.57583370037486,-0.715859229382839,-0.865043840773583,-0.218665521270577,0.196960568302109,0.481390687534502,-0.673274545304857,-0.81732627708964,-0.484936622894802,-1.04309636350346,-0.542540491313766
"Vibrio_Bs_1 (GE) - TPM",-0.576473246024304,-0.0124853760876193,0.931278259672974,-0.0724502499687849,1.15130419691047,-0.00825246644759883,-0.309036549562082,-0.121547719192586,0.567821497099867,0.748388736439286,1.29959481328871,0.662037691364129,1.29192161322573,1.09114318591845,0.156023358945861,-0.0288447887223316,0.667277173298387,1.51631378020294,0.456869088185715,0.724676660487585,0.634246984754513,0.984038635415116,0.627527533184279,1.88902758406086,2.21536776708025,1.62113674574163,0.14990377973046,1.12245376765535,0.486556549399761,0.846134041897601,0.735975284841776,1.42191339205462,2.42550903848855,0.404201818601093,-0.157057542687901,-0.607863148904733,-0.339543151534953,-0.320090410582717,0.396954639590642,-0.421922114408525,-0.242804941120301,-0.0128354335815829,1.56054399863055,-0.285317648485168,0.905850794661196,0.550567609067888,0.452662954666522,0.173364686677375,1.00695803047211,1.45531155400396,1.61924221149035,0.402835950837142,0.794369406237941,0.833447627349023,0.301579427250193,0.863963698996956,-0.554210842788924,0.513757338470637,0.191555586172808,0.227480927089232,0.386035330731463,1.44260569565931,1.15467143331055,0.13607316370458,-0.700381887684156,0.24515628139768,-0.0392226234131971,0.0465684042540569
"Vibrio_Bs_2 (GE) - TPM",0.229000598603926,-1.04706449221814,0.485530879848266,-0.0647273672608944,0.698006222707339,-0.278337928588511,-0.588119340936963,-0.597973891575469,-0.784365924262117,0.234968147495707,0.359263303672692,-0.499369790835851,0.932299914992043,0.778129113658496,-0.667951762699022,-0.591002040338523,-0.174519818228786,0.811074071800557,0.319107033066859,0.696736460280236,-0.0293063601483666,0.0294259312491281,-0.400261101634731,-0.178539143608183,0.559323657408648,0.0121971427022515,-0.499088001164407,-0.0555428769018294,0.397210649004863,0.127709424964034,0.188627823107516,0.0772987905220252,0.599961301643855,-0.38920547330304,-0.507869634668177,-0.470621490939645,-0.818653173089418,-0.1563795843459,-0.36046196088681,-0.554961950030775,0.0610343676631855,-0.231991355338761,1.23089424113588,-0.806115381920402,0.714030350935214,0.491829945806498,-0.908568190144619,0.112094220679989,0.438037238760986,0.824325853794581,0.741379327909043,0.587790638425449,0.669569310263203,0.564271344868499,-0.102985868721824,0.834757594870679,-0.446214102629677,-0.150834096894483,-0.32446302452735,-0.506970489866197,-0.195929027053277,1.21766850655418,0.968881939851961,0.998962977663198,-0.855277556348707,0.10586385270763,-0.569983669479751,-0.138509552505086
"Vibrio_Bs_3 (GE) - TPM",-0.325404548382799,-0.554194977092685,0.740927619539192,-0.180802764940138,1.04809333901258,0.503921949504426,-0.547562030680729,-0.56054689082969,-0.558971374349019,1.33720218543678,1.2077697110175,0.0649766706970344,0.871728981113999,0.697609503089227,-0.45762027117323,-0.305280675526177,-0.168599018192922,0.506728440041781,-0.299134444771747,1.07399504529484,-0.25309555750889,-0.157245304909444,0.0863059863129459,0.752082659480525,0.907854470418697,0.335002338751617,-0.368533640503164,0.621274997896385,0.514881135052396,-0.00905944749880623,0.0470776697674299,0.928370065689589,1.42408539863327,0.307194501163455,-0.622111755833575,-1.02058893886019,-0.915409441007448,0.107454783438981,-0.101268037725786,-0.396656885535851,0.259674538223597,-0.213487566666777,0.747650675072625,-0.8183446463031,0.0858059835100658,0.386061753934936,-0.0398895084515186,0.25164606482775,0.90797742742821,1.52770856745418,0.949452760950742,1.52881208189448,0.880210435615069,0.418010631548008,-0.438783594232077,0.707402827814389,-0.0949371343328562,-0.0965811384373106,-0.406727842998273,-0.534884234284305,-0.132440697899991,0.8943295535742,1.03346015288422,0.157283512552172,-1.16506273906651,-0.37080535421002,-0.227895718429518,-0.368402704805272
"Vibrio_Ctrl_1 (GE) - TPM",0.954209657828824,0.549850799439726,1.29332856169066,1.41796282636,0.823521101152443,0.553218945476478,-0.0683099690155196,0.190891670675725,0.370924105704151,0.561886312365396,1.17136508090701,0.431885666683388,0.32770752626073,0.536974233134771,0.984850844966688,1.31295686204923,1.60050777733659,0.929697688097789,0.678150381420122,0.266691901246853,0.033747673847842,0.916991696877997,0.30208048800887,0.680060809827168,1.37321685859989,-0.108987188568648,-0.0864820920940235,1.53925549568741,1.23096380775177,-0.89531772756713,-0.16294718573948,0.295740026169071,0.588968483334034,1.26175769572835,0.499405474386864,0.2920030582557,0.679501757033754,-0.157936425295682,1.80636676951444,0.63940519267786,1.0786912454716,0.856568240062847,1.13460740073945,1.41599163339607,1.03792740378876,0.836834383602839,0.601630675627929,0.0141806826673899,0.375837355178756,1.78983897760594,0.728783026200815,-0.101700948496691,1.43115496859285,0.99456016741265,0.710433076379649,0.360029636584405,0.36565861796521,1.48409760627186,1.40266960800837,0.612094824232078,0.887215902569401,1.17936112514993,0.425057098422929,-0.350752723193817,0.0182252511660632,0.0712873847637438,1.71314805250918,0.0869461920439007
"Vibrio_Ctrl_2 (GE) - TPM",1.17930756184369,0.869261631336556,1.57190045792209,1.08607504826252,0.284900565686419,0.215364945007191,-0.163959853829004,0.0416077432797735,0.531298509515974,1.02097024583327,0.670640690604031,-0.273107076595393,0.274647178579089,0.495373552188312,0.919004875920564,0.300223831952134,1.26573981206983,0.0160221994329421,1.048832423833,0.488568398980999,-0.267158014153082,0.32174026289455,-0.0413497846871775,1.44094002110057,0.719150204347623,-0.0348418498545691,-0.605270182990942,-0.451180200375626,0.420752748310871,-0.808912534576995,-0.0997771058181151,1.424107563891,0.295745196688364,1.43545821948608,0.403801017347773,-0.386792702292574,-0.504234928120608,1.16057556672836,-0.199927120993652,0.212297461157629,-0.0576118716226916,0.391466350323224,0.931640022542549,-0.359837683160083,0.257568288274121,1.14039923887638,-0.35716123560787,-0.348735511729573,0.292724014257183,0.255806530283257,0.22590824311628,0.318580035853289,0.772726092064774,0.575177547582449,1.00115018618771,0.177978678874668,0.990446395499618,0.725681647926064,0.0788260525868082,1.04595222141293,1.09837105622526,0.296637383808651,0.402075851828648,0.150429592568205,0.772983510561715,-0.520432644693156,1.07057954805195,-0.118715111931875
"Vibrio_Ctrl_3 (GE) - TPM",0.663423744364998,0.85609077833345,0.80577691478912,0.872664665240714,1.3591579731319,0.0105304802966705,-0.0603264501736065,0.109775309147577,0.0741578962296952,1.10551345764334,0.507889607680096,-0.128697875467764,-0.134351164338646,0.471824800483076,0.586949507386885,1.3202532566394,0.933557357086553,1.41904795781955,1.9255858181951,0.463211127595002,-0.245248482386285,0.470620338663989,0.249461771006572,-0.211039654265283,0.727474086834274,0.910623782512127,-0.240716227961615,0.725982484272348,-0.232796286245439,-0.114491025597123,-0.638652001858631,0.400793979323864,0.843423920283445,0.580684767096267,0.202645479258664,1.1256028891644,0.566925738705681,1.84340013973315,0.0654439147030022,0.249388503958857,0.0693615402006536,-0.211477139081794,-0.269511965285373,0.843250113993835,0.425572785135829,0.196149583745538,0.230880872818582,-0.220482750678525,0.188641531713357,1.01005444527681,1.12106946922099,-0.42425796645638,1.01705110529867,0.295172198203839,1.04075195147943,0.087217407772991,0.908540678130447,1.00495495573936,0.158984991100908,0.861418418093931,0.175667222868197,0.518564489666604,0.630994269010904,-0.237077289123715,0.414987967990491,-0.0639614448285949,1.83956894627827,-0.203446506780134
"Vibrio_Li_1 (GE) - TPM",0.857044051423075,2.22842239486068,1.60775349363276,1.39155318843398,1.89826145225958,2.16342870972666,3.89994563958774,3.25353709605277,3.05369426122541,1.65525590410593,0.597406688339036,2.49447116828639,0.686202624297819,1.028575619066,1.1733004173181,0.621180438237871,2.55334007200106,0.380643401182026,1.84862063603656,2.286849515304,3.20762880085575,1.36818168478607,1.37334817128151,1.21103731906052,0.997047030201421,2.12813045266663,2.5596841069253,0.988633129570562,0.051752981588185,2.27580488313074,2.64351277741019,0.703810476015374,1.80641654216003,0.906476000682099,0.817498735746454,0.0532471102157353,1.81917170930964,1.47272341223386,1.18566124294761,1.6594360424618,2.49565472373247,2.11736051380332,1.82706661474395,1.50294696427567,1.42707708086231,1.37309185856875,2.53112377495351,3.41082642382283,1.99806926398988,0.697882933354229,1.28765135873729,-1.82652520932081,1.61420384420269,1.55052886787101,1.34112535029238,1.1823780646744,1.93488921076863,1.35351047006067,1.22013931548651,2.33969052523205,1.597383953967,1.45495607960163,1.16282989585769,3.60272793647169,2.0833327484385,3.19468628508335,1.13741109647894,3.064628655993
