"","KPN_RS00035","KPN_RS00140","KPN_RS00145","KPN_RS00365","KPN_RS00675","KPN_RS00915","KPN_RS00930","KPN_RS01100","KPN_RS01110","KPN_RS02115","KPN_RS02170","KPN_RS02175","KPN_RS02235","KPN_RS02250","KPN_RS02255","KPN_RS02295","KPN_RS02310","KPN_RS02380","KPN_RS02385","KPN_RS02480","KPN_RS02485","KPN_RS02570","KPN_RS02575","KPN_RS02610","KPN_RS02755","KPN_RS02800","KPN_RS02880","KPN_RS03255","KPN_RS03260","KPN_RS03265","KPN_RS03825","KPN_RS03850","KPN_RS04490","KPN_RS04875","KPN_RS04880","KPN_RS04885","KPN_RS05030","KPN_RS05080","KPN_RS05295","KPN_RS05485","KPN_RS05550","KPN_RS05565","KPN_RS05570","KPN_RS05595","KPN_RS05735","KPN_RS05905","KPN_RS05935","KPN_RS05950","KPN_RS06065","KPN_RS06280","KPN_RS06445","KPN_RS06725","KPN_RS06745","KPN_RS07030","KPN_RS07065","KPN_RS07240","KPN_RS07245","KPN_RS07385","KPN_RS07545","KPN_RS07775","KPN_RS07940","KPN_RS08080","KPN_RS08095","KPN_RS08100","KPN_RS08315","KPN_RS08355","KPN_RS08520","KPN_RS08530","KPN_RS08710","KPN_RS08735","KPN_RS09005","KPN_RS09010","KPN_RS09130","KPN_RS09410","KPN_RS09500","KPN_RS09580","KPN_RS09715","KPN_RS10160","KPN_RS10705","KPN_RS10750","KPN_RS10865","KPN_RS10870","KPN_RS11080","KPN_RS11085","KPN_RS11090","KPN_RS11095","KPN_RS11100","KPN_RS11105","KPN_RS11275","KPN_RS11285","KPN_RS11305","KPN_RS11345","KPN_RS11350","KPN_RS11450","KPN_RS11455","KPN_RS11485","KPN_RS11555","KPN_RS11560","KPN_RS11665","KPN_RS12000","KPN_RS12130","KPN_RS12385","KPN_RS12475","KPN_RS12480","KPN_RS12855","KPN_RS13095","KPN_RS13220","KPN_RS13225","KPN_RS13230","KPN_RS13295","KPN_RS13335","KPN_RS13340","KPN_RS13535","KPN_RS13625","KPN_RS13725","KPN_RS13860","KPN_RS13890","KPN_RS14010","KPN_RS14145","KPN_RS14160","KPN_RS14710","KPN_RS15050","KPN_RS15210","KPN_RS15215","KPN_RS15435","KPN_RS15575","KPN_RS29135","KPN_RS15905","KPN_RS15910","KPN_RS16050","KPN_RS16330","KPN_RS16335","KPN_RS16340","KPN_RS16430","KPN_RS16435","KPN_RS16495","KPN_RS16520","KPN_RS16605","KPN_RS16610","KPN_RS16880","KPN_RS16945","KPN_RS17245","KPN_RS17300","KPN_RS17320","KPN_RS17405","KPN_RS17410","KPN_RS17590","KPN_RS17600","KPN_RS17735","KPN_RS17825","KPN_RS17835","KPN_RS18420","KPN_RS18495","KPN_RS18835","KPN_RS18850","KPN_RS18960","KPN_RS18970","KPN_RS19135","KPN_RS19250","KPN_RS19300","KPN_RS19565","KPN_RS19570","KPN_RS19590","KPN_RS19935","KPN_RS20195","KPN_RS20345","KPN_RS20425","KPN_RS20440","KPN_RS20550","KPN_RS20575","KPN_RS20580","KPN_RS20845","KPN_RS20890","KPN_RS21535","KPN_RS21560","KPN_RS21720","KPN_RS21745","KPN_RS21750","KPN_RS21910","KPN_RS21975","KPN_RS22090","KPN_RS22095","KPN_RS22165","KPN_RS22180","KPN_RS22475","KPN_RS22640","KPN_RS22645","KPN_RS22650","KPN_RS22655","KPN_RS22675","KPN_RS22760","KPN_RS22860","KPN_RS22870","KPN_RS23110","KPN_RS23205","KPN_RS23310","KPN_RS23390","KPN_RS23620","KPN_RS23695","KPN_RS24010","KPN_RS24015","KPN_RS24030","KPN_RS24090","KPN_RS24365","KPN_RS24535","KPN_RS24540","KPN_RS24800","KPN_RS24830","KPN_RS25330","KPN_RS25510","KPN_RS25515","KPN_RS25840","KPN_RS26115","KPN_RS26285","KPN_RS26410","KPN_RS29580","KPN_RS26415","KPN_RS26540","KPN_RS26545","KPN_RS26715","KPN_RS26745","KPN_RS26790","KPN_RS26910","KPN_RS27150","KPN_RS27255","KPN_RS27305","KPN_RS27310","KPN_RS27490","KPN_RS29810","KPN_RS27770","KPN_RS27810","KPN_RS27895","KPN_RS28030","KPN_RS28125","KPN_RS29990"
"KLEBS_As_1 (GE) - TPM",-0.530808619338173,-0.101274819827425,-0.443949148003721,-0.822325764351803,-0.0928594337097441,0.36181190949071,-0.469311008628191,1.37413610245572,-0.397475065606058,0.380472186177946,-0.0606619142272264,2.07480437584989,-0.0406609071623566,-0.0132185990453669,0.683681340265328,0.509712375410713,0.179690459598905,-0.192001123356655,-0.123353604067272,-0.750633703228073,-0.340927393340146,0.543664600257424,0.176130995464989,-0.309813865643116,-0.265955812058621,-0.566202045611877,-0.624519539768498,-0.418812646358708,-0.604759791172345,-0.515423708908108,0.219247992890407,-0.683340749752418,-0.332951776948499,-0.79024850594543,-0.252440540575715,-0.660204016495913,-1.36713880167896,-0.498493585220086,-0.488047701616703,-0.483926089967725,0.769419640091363,-0.0636022363143806,-0.378414176408295,-0.225151094434588,0.0921997037937402,-0.350753407011971,-0.44150110158931,-0.224261665598891,-0.613088589702666,-0.2168157696444,-0.694568313535064,0.206304939178591,-0.910156734660445,-0.553801412738189,-0.522519714941329,-0.548714928102712,-0.417584981076865,-0.463330744728543,-0.69679146304684,-0.192304431052144,-1.64875711401913,-0.395783692703648,-0.371352579852293,-0.589431176320154,-0.681819813165971,-0.61220396697543,0.00904762491634776,-0.357466874730043,-0.339676313456488,-0.922671800612768,-0.700203699991455,-0.904811999805255,-0.337847710276268,0.407398691070442,-0.230217016342571,0.0815674857185318,1.72550439860555,-0.983450278212328,0.199454804698463,-0.918286701623562,-0.263046272199509,-0.368630788713075,-0.109702126824846,-0.119882319680978,0.512127633615664,-0.607746569910704,-0.684652611641788,-1.22347159561636,-0.82257411629228,0.466446674265334,-0.573905934354921,-0.428982731781839,-0.536214012989908,-0.51434198788146,0.393261113775275,-0.209425661101919,0.0709497427758414,-0.288755246725834,-0.636289628060463,-0.527247793462886,0.81205732027787,-0.979574963736678,-0.303821801558386,-0.345291123930519,0.475087302495764,-0.441473743109084,-0.256674847202579,-0.411312934627086,-0.422128167325728,0.721609631802427,-1.26372282087448,-1.02838843443885,0.247427006569572,-1.36868024413489,0.935014541145799,-0.586838851070346,1.26964523026128,-0.474370832674559,-0.480411227804482,0.0745975897734458,0.937324547706148,-1.31906250906941,0.0397416023947189,-0.327690099235892,-0.30403702261839,0.455792467239867,-0.6806529043509,-0.344604123199871,-0.492472609636438,-0.453724798351187,-0.298763160140128,-0.301700388069897,-0.312815250168598,-0.597031268036003,-0.565281568301923,-0.0901768577373352,-0.778785221954797,-0.395388091510478,-0.864750901708085,-0.744646890798311,0.022359022408317,-0.542048090509928,-0.959305871215568,-0.614149382062619,-0.384584364717176,-0.622333011119582,-0.651754820325035,0.707948214714009,1.07381771119366,0.37208770827969,-0.889865347924284,0.0650413019793814,-0.845552910274279,1.05301763823292,-0.634390500324926,-0.367045742097387,-0.33387044556705,-0.0187371378568662,-0.489486349592038,-0.64678267252023,-0.29683774843047,0.579379322209493,-0.686501520104466,0.191943483436168,-0.72305616267208,-1.06064072407351,1.14249775382924,-0.370209030161952,-0.945277269418663,-0.416246251921903,-0.848987434037144,-0.165940139193742,-1.01527845042749,-0.35221987085983,0.428620933333674,-0.538393693284623,-0.492694214708035,-0.983178665230158,-0.527672849867432,1.40964937108991,-0.358636344802972,0.545398009945166,0.0408080945799481,1.47706238872404,0.183473886664555,-0.998524452700161,-0.402666716419145,-0.147467988261542,0.240673878471428,-0.0234658073683893,0.319484748234414,-0.908814740378102,1.00122310214512,-0.933448123607431,0.310501198489596,-0.241512252743908,-0.28779125145286,-0.734945639325992,-0.864013593851646,-0.391039688083781,-0.0724741443241356,-0.0644656037113202,0.11135003843128,0.614894123355559,-0.771810104667657,-0.783701865622438,-0.292136218346904,-0.24406180276235,0.797796796884033,-0.672570721706381,-0.268154919688819,0.0884468349351714,-0.51103880816441,-0.033033281856842,-0.64969811706274,-0.0584174326505797,-0.0215186224790017,-0.626636509824663,-0.814857419629006,-0.699657953520018,0.294211668591006,-0.670196473081076,1.1865688559827,-0.428965676300955,0.913285651953464,-0.246807740087607,-0.0686392399112835,1.72644234024991,-0.289685767057113,-0.282899628568109,0.94841229140253,2.51159525100388,0.171177943599709,0.93054056234091,-0.354316369150343
"KLEBS_As_2 (GE) - TPM",-0.252631731812466,-0.0561842554762983,-0.257702426138962,-0.747478575461399,0.103603544108772,0.281065901944604,-0.468440714690337,0.146804012137353,-0.781411473750971,0.990408828808897,0.70849285686302,1.76060207336928,0.532402094792221,0.152567386916814,0.521184158890807,-0.332880974705145,0.666507987778399,-0.0915266906959253,-0.0433010683628927,-0.811525091877252,-0.268035415863995,0.0116341931443085,-0.206596738880278,-0.766125830047111,-0.38199126879963,-0.448682028580737,-0.37239589993463,-0.355460058624763,-0.429566399699023,-0.468301941334431,0.251454368278481,-0.597281735816535,-0.0793733338670181,-0.038240125626795,-0.240662800819477,-0.441770059062011,-0.38752702487937,0.0822420626492151,-0.536898955789057,-0.345075759189928,-0.494149512704723,-0.357926097494295,0.0563208414207684,-0.173796312721168,0.0195022866375303,-0.420745534758482,-0.203398826281689,-0.224261665598891,-0.676542048807881,0.337274374293483,-0.836206078661149,0.379968641699514,0.604959765660555,-0.50143858195295,-0.0210090214864852,-0.138882879960916,-0.579471821013558,-0.463330744728543,-0.435004583025609,-0.185054707793113,-1.57230258933765,-1.19518590231382,-0.601029738918158,-0.872021248839897,-0.718352237494587,-0.676265642484487,0.141441810193989,0.00851939820425672,-0.747003322094981,-0.987743005583503,-0.492402784938722,-0.863035350180654,-0.61205118617394,0.451954347040616,-0.0948287623431835,0.244847863380651,0.474307275737323,-1.37481549052231,0.549437273656879,-0.805644421941398,-0.357505922436208,-0.736744574140202,0.551025273335831,-0.135140174923787,0.326630786226055,-0.554043745102742,-0.823577938856787,-1.04863719157936,-0.572602865252238,0.956645611578543,1.27042511632846,-0.301469973646276,-0.638768499936657,-0.176589056844146,0.393979938944273,-0.235579481599806,0.190825853507509,0.422014531437709,-0.882765193289338,-0.750612584738618,1.48588917535702,-0.979574963736678,-0.298707881253818,-0.326312769670543,-0.174788835173438,-0.294426961832012,-0.930466876531096,-0.367419559052529,-0.0833319432710665,1.26131817275483,-0.936456063161932,-1.00509637666035,0.616780240537257,-0.963820345924565,-0.10181395251008,-0.388496690377062,2.30464794887661,-0.32369785389696,-0.459011963037143,0.0652654898399307,0.717951765723268,-0.814939717160585,1.02858287710704,-0.331965495145002,-0.296981406325443,0.376692690615416,-0.765721410446849,0.0859010160790306,-0.278758697218369,-0.332642921934092,-0.297514738807281,-0.290095298169222,-0.422548476215988,-0.0618481688619725,-0.565281568301923,-0.0896799524213296,-0.681520749193144,-0.502633956025946,-0.788482214504341,-0.512245952310172,0.256428481208791,0.500448572908284,0.385568608269326,-0.18982547058745,-0.420702402898827,0.133517767692493,-0.522908783625539,-0.160399351232991,0.978535589876679,-0.101376674205436,-0.612445361041295,-0.0225426010136215,0.114950933906736,0.768089067101124,-0.972108670039142,-0.481258432715224,-0.310305646069539,0.0503308183007087,-0.140783798859014,-0.48085632680575,-0.254462836151579,0.521028073388922,-0.595149949805534,0.23119513750391,-1.06222994688925,-0.784508460504644,1.20210524666627,-0.172045102473301,-0.474617953239183,-0.166545810622435,-0.168300590258963,0.115600961364252,-0.182186736382297,0.045177681756868,0.305962113678579,-0.434077359236244,-0.514740887900884,-0.651694875323986,-0.462419274893525,1.37352189608507,-0.30288352093838,-1.00245737982793,0.149480001721501,1.5428068042843,0.665797284593659,0.193677908169275,-0.136143305451036,0.643789526102016,0.771777940502859,0.563556444307197,-0.166450700317543,-0.891162326493979,0.313368675254539,-0.149594625684643,0.931425468717673,-0.262541112872637,-0.196443092050487,-0.475163703345633,-0.736678479213452,-0.628957277246186,0.392410040249759,-0.0310375963435429,0.2331556951377,1.17167562884517,-0.605682294158162,-0.746488160097475,-0.298733224360607,-0.528024337132916,-0.458894318153308,-0.629739674737115,0.28468563104828,-0.0777196342823061,-0.513676525776954,0.243652991042477,-0.64969811706274,0.46342914034402,-0.200835394508553,-0.760632785271809,-0.252391671353402,-0.714020486802544,0.137325620876678,0.341817028393017,1.66509532184157,0.684199596312231,0.582609987166089,-0.804791833913067,-0.968210470933044,2.37600387807804,0.145483495878889,0.224725278536162,1.20253541192585,1.53273940016214,0.16833671209078,1.07929252596385,-0.23077221561366
"KLEBS_As_3 (GE) - TPM",-0.0808770343470977,-0.0245535663872423,0.0565358362390051,-0.531781341178478,0.590411711533069,0.00346450505031453,-0.437043711795529,1.00405928039461,-0.570199081616682,0.485195248122008,0.683304876535988,1.80173613842409,0.530877303990995,0.265686865945357,0.860106838720474,0.143847442709642,1.04456237533863,-0.449135993323294,-0.247240212949373,-0.628604731331049,-0.439192074188157,0.106671828308779,-0.126708218982905,0.420976646401789,-0.225919639902564,-0.404926096187476,-1.05052620057938,-0.461221775529207,-0.515540437907827,-0.473646963783099,-0.212457631516871,-0.569443233426203,-0.359358378934096,-0.336307969005127,-0.314602371075722,-0.612544491482055,-0.686456938000296,0.212520083084717,-0.243741758025954,-0.867289826654283,-0.494149512704723,-0.0793428150091124,-0.488551756012242,-0.398254642515519,0.647114923577124,-0.314831139714801,-0.510174900813402,-0.224261665598891,-0.65650470729888,-0.465998681377854,-0.736825498137105,-0.203767419717833,0.334968564916591,-1.63720795828501,-0.298199163741081,-0.0139242253847135,-0.451848680426445,-0.463330744728543,-0.0693765979539532,0.00747303883589081,-1.42833850119345,0.276475116675449,-0.124628306007227,-0.452603604025961,-0.433523500682632,-0.44725715273761,0.262482146146575,-0.308317505197054,-0.425896180066808,-0.913732937808643,-0.572865368739587,-0.767977423294953,-0.263046022113309,-0.157190521110523,-0.912227236442054,0.993511926248052,0.219447453887042,-0.943729835093491,-0.210123799541942,-0.340268232482905,-0.0117571311353293,-0.33464632106665,-0.561092373035605,0.516004134170418,0.458978714464303,-0.550700385740571,-0.648101452017183,-0.971157436510734,-0.43544883802406,0.545791299135007,-0.0720606023570656,-0.299726734660153,-0.311277254839573,-0.765312501059759,0.911568834852756,-0.406844656120972,0.029388647252038,0.0869938986728539,-0.825201749144676,-0.170365271243731,1.19958231603206,-0.12592325418119,-0.302645226771895,-0.310417425471323,1.34936296330699,-0.324402393892677,-0.327442134108811,-0.335721310978466,-0.271056858754336,0.797887920530933,-0.678974432482295,-1.24254084882567,1.01142160864553,-1.42231767952176,-0.0604364690414247,-0.514470383452627,1.03898961481674,0.195547099478744,-0.390541721813122,0.429807985997837,0.339026840585695,-1.32539733799422,0.905528721387814,-0.262094278955852,-0.297963126915246,-0.118972717265282,-0.381785780035764,-0.158543475061519,-0.499989112810929,-0.209103113578328,-0.298333865905939,-0.304308983618966,-0.371118405548565,-0.436116006158475,-0.565281568301923,-0.419706710369117,-0.716343456383183,-0.74639595793384,-1.04158038556731,-0.680422385321139,-0.215392200602403,-0.762983432939931,-0.356409322292434,-0.425968677257682,-0.0746207368521705,-0.273073847209951,-0.582420137526859,0.349623531642428,1.07634386187582,0.680146521041719,-0.210786032371289,0.311357487574625,0.167654288933044,0.183543841985684,-0.336168571127697,-0.561528707220901,-0.278762806930793,0.274272011761553,-0.390159262905309,-0.792861297684257,-0.0026204214884508,1.31204292007526,-0.634222491574896,0.204830239224065,-0.829661196948397,-0.760897171030533,1.61186389700087,-0.485957874042177,-0.595143846157178,-0.218736924149215,-0.0413067402010513,0.450683767306606,-0.759215616510692,-0.129223215305209,0.18193398875084,-0.391314846655904,-0.46285020850902,-0.509626969276529,-0.395872528617671,1.25772458677472,-0.43526184448728,-0.10047164306735,-0.273804885612813,1.61254980941998,0.659484096845944,-0.642990349499901,-0.179786561915739,-0.0480586102909929,0.00884897080811146,2.15626661729989,0.0746817358624956,-0.921541658131555,0.160927607960724,-0.523847468622412,0.660667917944834,-0.0853952486614526,-0.245709979652347,-0.680549287786422,-0.826487700174062,-0.269485760670468,0.250422698104359,-0.308927780291479,0.769146940473293,1.23501128940025,-0.33368830088799,-0.56783224291252,-0.297874657735425,-0.264895430420507,-0.458894318153308,-0.171048480560598,0.730047683973623,0.122899629904032,-0.193246667232712,0.484795872683652,-0.0818065635857627,0.655202937668043,-0.00317730976980031,-0.640844743897941,-0.450549897447407,-0.209166611528369,0.426430474331489,-0.589941973103376,1.20669753263317,-0.123770592277763,0.734264954409158,-0.804791833913067,-0.903475785668664,2.06052538884644,-0.0205550890462728,0.10209103459803,1.60217795506099,1.06017078306341,0.456141215599806,0.32828297896258,0.196450644395115
"KLEBS_Bs_1 (GE) - TPM",-0.203836461084283,-0.277699382223515,0.0658790974236507,-0.607200680503463,-0.398139266649918,-0.589897819451899,-0.527438431843727,-0.444983417558326,-0.441508423990756,-0.834012883431336,-0.351994135814334,-0.583844008595036,0.0945447176024597,0.216240927124848,-0.406542117798,0.16311322864494,-0.480292634271049,-0.546353539649529,-0.701238412077696,-0.393519388118011,-0.410638145025258,-0.410768944734763,0.514647343975466,1.24720507574434,-0.159164329482705,-0.314452869668541,-0.954965784817005,-0.538630393546646,-0.609017288317841,-0.820446496864981,-0.104716411370531,-0.730563868365387,-0.572314411783644,0.118515280215207,-0.159724051697539,-0.0346124050995796,-0.798558735291786,-0.716427675745138,-0.304700867973988,-0.71307883396816,0.230539622660687,-0.21884321010105,-0.647288881464349,-0.732791542621272,-0.769979814021373,-0.148427797263593,-0.683272821288036,0.0461302920542183,-0.150918064327112,-0.27827536773216,-0.289913272328262,-0.769264726235999,-0.121997881725701,-0.165122305514535,-0.472899448118609,-0.516128825249466,-0.365595992695851,-0.463330744728543,-0.180259651718627,-0.26334543962784,-0.0840462646801343,0.00679688534678681,-0.278491631056651,0.0994527965338714,0.734614259699386,-0.192891480811182,-0.435608610615959,0.521265321581954,-0.547003726327405,0.367798997967374,0.331432405043819,-0.316937957729045,-0.809025153817019,0.785015789506766,-0.621104011560286,-0.0157759831669525,-0.41520514325409,-0.0611219656779041,-0.86874320895617,0.996523920819663,0.0187214126746732,0.13344264784832,-0.564065150317342,0.122265454153614,0.148697962627626,-0.240264618328921,-0.192136732169845,0.525336461066107,-0.380236194060072,0.552154339256265,0.543079214428277,-0.919799942651841,-0.763143652377368,-0.57220380429299,-0.41300298480049,-0.442343500649304,-0.486137158792034,-0.564337795586253,-0.911245788499405,0.00193289933541299,-0.540261785570342,0.250557899679264,-0.293672624126388,-0.267486100189089,0.301804175500595,-0.456453039629642,0.684912075744446,-0.0350039041650699,-0.260585104040363,-0.0823675651864325,-0.680863786805366,-0.522002452639531,0.395491687816005,-0.69469678200971,-0.158674084431627,0.160269082488943,-0.438203407726919,1.05370213691911,-0.482209872912366,-0.53402581193844,0.355247609875945,-0.350678008509744,-0.206992764284599,-0.658637287616842,-0.299603998963791,-0.204000809689169,0.775592688466134,-0.194727103766622,-0.428306926655105,-0.350362450641267,-0.296677927647562,-0.297056251269516,-0.236891773106971,-0.67255476190239,0.0624963252833055,-0.471987965590518,-0.609254926296255,-0.603922402336282,-0.685133754138017,-0.322874352188164,0.688890884810617,-0.353044141205209,-0.328527486102696,-0.0727817556926015,1.30708432552626,-0.206016434279512,-0.512945026803301,-0.00768652402554334,-0.191260243653701,-0.154962680489675,-0.393023887973624,-0.234766858796546,0.526647094182251,0.31527121779544,-0.887682938067361,-0.730514421917547,-0.324084082389191,-0.318977485044949,-0.487890866280935,-0.00389087580148879,-0.0890455063444326,0.871336925241118,0.193973765196417,-0.704097831696014,-0.976298731284234,-0.617791393180158,-0.759141442928791,-0.253654315797557,0.208963028295601,-0.624201032447542,0.148588918117513,0.487692077318032,-0.256780777981381,-0.0950117410531064,-0.155721743990713,-0.0214571488586123,-0.419164739234435,-0.398973275197917,-0.107278166697847,-0.388157457857285,0.336175879348544,0.329144434158926,-0.0248666587517131,-0.801279338157151,0.0273631386356716,-0.294142945590363,-0.365766520043606,-0.770564994266006,-0.247173268551718,1.14225892573774,-0.142080645961363,0.404457461600591,-0.489324015079184,-0.284026542971442,-0.125084959436221,-0.0620897274331023,-0.200351003905599,-0.429582335411296,-0.732102962565132,-0.356053666614406,-0.369212887288783,-0.329859457856052,-0.466835444862486,-0.420334258229538,1.35030175565832,0.858683326323252,-0.290170568634657,-0.729019483901252,1.70333889796073,-0.496281480986892,-0.563040102703025,-0.0740312223106248,0.254440517864633,0.383777934442767,-0.270431666141278,-0.362881717582085,-0.366362609418252,0.624335588008012,0.489328223736239,-0.312304005161538,-0.295233416981713,-0.475650508014451,0.238825110421579,0.000521491228929627,0.480264566735237,-0.271428319220209,-0.179162253334766,-0.210506793245499,-0.652783350912284,0.00256228118783534,-0.699267509436329,-0.730318037898977,0.156071514279422,-0.571984607544408,-0.471440611121467
"KLEBS_Bs_2 (GE) - TPM",-0.392739671847493,-0.264835064012819,0.0198590578679339,-0.496104791881485,-0.68058662827975,-0.704287946856117,-0.559241047383044,-0.267014825549321,-0.652700976074259,-0.865543843563804,-0.514329650461875,-0.614955925031908,-0.249457739015996,-0.0684324420858776,-0.233474804857219,0.312788436924527,0.020695392221069,-0.200116348952565,-0.918347918593913,-0.547611585778306,-0.385679976177805,-0.567203318824,0.558132144080172,0.326961445044754,-0.1712357050208,-0.212443541142371,0.00888885572714724,-0.546201304547139,-0.614742796478706,-0.845810110082126,0.153415002152834,-0.730328945085674,-0.572428800839067,0.604051369227632,-0.00267022190831806,-0.134732596741015,0.42317337873524,-0.257586394715769,-0.183691127360605,-0.89017412090433,-0.00397871532259859,-0.427523951288456,-0.795029187045803,-0.736995251797991,-0.59483230355506,-0.0895947447031805,-0.622511639201184,-0.224261665598891,0.0801305323428437,-0.304530575122708,-0.463820087462881,-0.71736069278319,-0.336844118986949,0.133237984316082,-0.86302561941551,-0.197656614261544,-0.280339417824086,-0.463330744728543,-0.232922408890055,-0.186834935660298,0.219219308429062,0.77577985579389,-0.154926534811103,0.0488014788710681,0.851854322473827,-0.0922595311256331,-0.453440530089591,0.654351958203779,-0.302158884955344,0.911843633389578,-0.334627772535007,0.0898222905998791,-0.220193027560475,0.977054579619362,-0.571189618966621,0.153000332458666,-0.410208190244729,1.05800488685057,-1.08303380601446,0.916568507927092,-0.382515775451826,0.0133662405353052,-0.485553666339274,-0.748623091865313,0.0538343087240798,0.010530500127825,-0.0899108290805017,-0.0651129604254269,-0.41389643398748,0.00721368098844805,0.11609469516906,-0.917210222884603,-0.78564257498129,-0.280498400170645,-0.617437185393661,-0.381110627889386,-0.502048694910853,-0.42440574815493,-0.741877337360952,-0.231892601678847,-0.737341664206702,0.297519976284774,-0.296087514311524,-0.264137149967108,0.767286521997094,-0.197714592894081,1.09361067027695,-0.131067523390249,-0.505993784672743,0.0270926840095235,-0.299764324621232,-0.46815935485512,0.840735410182047,-0.319770293847043,-0.371667531224576,0.278845045791413,-0.432110187412606,-0.0647555590305642,-0.507498994470172,-0.5445871609841,0.487221707922994,-0.239580891630766,-0.0422846865336686,-0.623477808114927,-0.301745627501157,-0.0574091179653489,1.06196937833563,-0.31746423769526,-0.356281517631077,-0.116216739345993,-0.298132513519044,-0.299676023284301,-0.249320181972923,-0.549764876882289,0.199036641478176,-0.473679446732683,-0.564032737244751,-0.804464989962493,-0.55164299219213,-0.277987401697137,0.168867404312223,-0.495818515517472,-0.214746719063805,-0.0895443045464094,1.80352914095758,-0.142723789492909,-0.464234722327316,0.148814554190082,-0.135092225708928,-0.191978191063651,-0.0382176965406879,-0.0440354729364186,1.17587492633743,0.651107026076514,-0.858604694649457,-0.776795126712745,-0.34331245511725,-0.187899325256712,-0.408196119893085,-0.331203448925434,0.578228522910137,0.643448148047367,-0.378595754441339,-0.685554044526347,-0.940793161004766,-0.611942830035417,-0.69792138233241,0.450792783941937,0.784995480417134,-0.529974796161497,-0.582703665580742,0.18555451350615,-0.254408052919663,-0.0566137037551484,-0.329757963807865,0.0602146882464595,-0.419083439584436,-0.42165067923174,0.107118463031446,-0.471669510135018,-0.158167907406793,0.69882527091787,-0.505005694576757,-0.642711105820205,-0.193581958028041,0.677308090612916,-0.185570686782054,-0.538820240835877,-0.469173747790911,0.161436696894748,-0.273184506466353,0.428490038546398,-0.314963194522088,-0.138783227497703,0.0227755572759202,-0.219853095014158,-0.447943689244788,-0.518275218058707,-0.557602145902349,-0.162628087046319,-0.418719645786436,-0.395644669653972,-0.0613281701430398,0.143870330284127,1.11728398091661,0.80734874608951,-0.280473836613465,-0.892606706833662,-0.458894318153308,-0.395372506477029,-0.491176874343428,-0.10989924746171,-0.089558633254601,0.933340037551102,-0.478677349387312,-0.446737299136225,-0.266638397923403,0.64201955201868,0.516990598231987,-0.586103108531985,-0.646581672784912,-0.350368899059478,0.2730868540587,0.385735088640357,0.206095794155685,-0.371879227127007,-0.0507358835721819,-0.559658230598103,-0.699828855238215,0.417143701224505,-0.0244662057714417,-0.791872348451938,0.208581188275948,-0.550165774153175,-0.350284588756754
