"","B4U56_RS00020","B4U56_RS00160","B4U56_RS00555","B4U56_RS00740","B4U56_RS00745","B4U56_RS00820","B4U56_RS00895","B4U56_RS00935","B4U56_RS00975","B4U56_RS00995","B4U56_RS01005","B4U56_RS01130","B4U56_RS01440","B4U56_RS01840","B4U56_RS01860","B4U56_RS01880","B4U56_RS01890","B4U56_RS01955","B4U56_RS02060","B4U56_RS02110","B4U56_RS02120","B4U56_RS02125","B4U56_RS02135","B4U56_RS02170","B4U56_RS02280","B4U56_RS02285","B4U56_RS02455","B4U56_RS02520","B4U56_RS02600","B4U56_RS02680","B4U56_RS02700","B4U56_RS02715","B4U56_RS02720","B4U56_RS02940","B4U56_RS02945","B4U56_RS02950","B4U56_RS03010","B4U56_RS03115","B4U56_RS03205","B4U56_RS03625","B4U56_RS03760","B4U56_RS03770","B4U56_RS03775","B4U56_RS03780","B4U56_RS03785","B4U56_RS03815","B4U56_RS03895","B4U56_RS03900","B4U56_RS03905","B4U56_RS03910","B4U56_RS03980","B4U56_RS03990","B4U56_RS03995","B4U56_RS04340","B4U56_RS04450","B4U56_RS04495","B4U56_RS04500","B4U56_RS04890","B4U56_RS04980","B4U56_RS05210","B4U56_RS05345","B4U56_RS05375","B4U56_RS05440","B4U56_RS05445","B4U56_RS05460","B4U56_RS05480","B4U56_RS05530","B4U56_RS05535","B4U56_RS05590","B4U56_RS05695","B4U56_RS05700","B4U56_RS05705","B4U56_RS05895","B4U56_RS06135","B4U56_RS06295","B4U56_RS06430","B4U56_RS06440","B4U56_RS06550","B4U56_RS06555","B4U56_RS06725","B4U56_RS06790","B4U56_RS06795","B4U56_RS06800","B4U56_RS06805","B4U56_RS06810","B4U56_RS06815","B4U56_RS06885","B4U56_RS07275","B4U56_RS07285","B4U56_RS07340","B4U56_RS07365","B4U56_RS07370","B4U56_RS07455","B4U56_RS07460","B4U56_RS07500","B4U56_RS07800","B4U56_RS08080","B4U56_RS08125","B4U56_RS08130","B4U56_RS08135","B4U56_RS08140","B4U56_RS08325","B4U56_RS12220","B4U56_RS08960","B4U56_RS09050","B4U56_RS09200","B4U56_RS09205","B4U56_RS09210","B4U56_RS09215","B4U56_RS09285","B4U56_RS09335","B4U56_RS09340","B4U56_RS09410","B4U56_RS09415","B4U56_RS09595","B4U56_RS09600","B4U56_RS09660","B4U56_RS09685","B4U56_RS09915","B4U56_RS09940","B4U56_RS10095","B4U56_RS10280","B4U56_RS10285","B4U56_RS10405","B4U56_RS10725","B4U56_RS10730","B4U56_RS10735","B4U56_RS10740","B4U56_RS10770","B4U56_RS10965","B4U56_RS11180","B4U56_RS11275","B4U56_RS12015"
"SEPI_As_1 (GE) - TPM",0.222778636112009,0.263147354141686,-0.489655939151426,0.415038412187815,0.318686383545642,0.960277278493564,0.233339425778198,2.15979232407623,-0.767245647466711,0.580026148048536,-0.446048596773616,1.45420996355529,-0.120687038408393,-0.380002580726919,-0.484978302482918,-0.660891508585989,0.550749490419284,0.051957495654892,-0.915204800821447,-0.572070148489598,-0.327405732848633,-0.319040752181986,0.249839330994705,0.779927715681961,-0.860623184605523,-0.67354596814983,0.454890638693009,0.418078216446038,0.340854410869028,-0.800611878870457,-0.562538976857008,-0.334436305446614,-0.363137837694884,-0.476612892010951,-0.698922680545617,-0.850411074192742,-0.604592328067995,0.186727033994372,0.630713094016794,0.775056997853817,-0.846103921117756,-0.708984603371062,-1.01123846230634,-1.06718785358312,-0.794473445432328,-0.804562590303993,-0.722130551411842,-0.781926329545439,-0.946639659988868,-0.872744192843019,0.284846480336658,-0.61896929247933,0.350789408407454,-0.428299862388061,-1.42111233777686,-0.866084408351228,1.32885331013193,-0.52113398135862,-0.623684038399265,-0.522006231877257,-0.126693036222123,-0.646974133427954,-0.918362746463498,-0.52882258690008,-1.31556584543355,-0.91182691172437,-0.425018521559242,-0.437949232010409,-0.107848367492439,-0.652458162154772,0.173429987487823,0.515426515659754,-0.904633249241302,0.586112798730073,-0.736736038100529,-0.92775616283126,-0.748222319231349,-0.910985711122888,1.28575191973665,-0.278179272509262,-0.542801717191095,-0.979881305757505,-0.841458650116348,-1.07229836561139,-1.16060329670766,-1.14049076261333,0.350671746983952,-0.839180744213404,-0.406778422934725,0.626528127099676,-0.54105325947419,-0.212520568255191,0.0163719166164784,0.187092545244279,-1.04372696747505,0.769211720804028,-0.480543456817508,-0.575193107481256,-0.582145377505518,-0.659095622340932,-0.651357641246641,-0.834551819425858,-0.943610203089489,0.931266751466401,-0.564341998605428,-0.727060996532932,-0.795524315190266,-0.89304405532662,-0.822199133918438,-1.2550190791178,-0.628864986306871,-0.532059436004573,-0.668983115782941,0.254091871690041,-0.980127159312812,-0.884245686759852,0.130348051958244,-0.612294740400883,-0.207249932585125,0.657290979767081,0.0203255906461183,-0.752166591347429,-0.625384648452508,0.501828703306662,-0.378945369182321,-0.547066419782891,-0.443762405972203,-0.310518051266163,0.432982187256546,1.16828614690026,-0.430958712936611,1.2498665516429,0.725731357566188
"SEPI_As_2 (GE) - TPM",0.515064453618359,0.485703332233404,-0.552881196247487,0.466988848328189,-0.0121599453767538,0.347611974165677,0.495645565764716,1.11471507773497,-0.784068880493782,0.316480613320075,-0.445797912774747,1.25913256865713,-0.481265267268781,-0.43960875141058,-0.48368205590852,-0.278388771018244,0.18186665065848,0.0178222793372912,-0.923066344228114,-0.545413702546168,0.00485747261396254,-0.280963303608936,-0.160307118178678,1.30764410149126,-0.88284194776872,-0.801518971154384,0.721952256377645,0.270511834323763,0.26063949176445,-0.823476815577143,-0.567155447785012,-0.282763090307335,-0.389335217886249,-0.460677338778653,-0.805864631339613,-0.880849454564256,-0.591390132387415,0.498660461263132,0.525895960720191,0.570303060999709,-0.878514369371425,-0.715728186073839,-0.894849414290247,-1.01929256870344,-0.753787140377673,-0.614355285045766,-0.772243565474764,-0.820271478795281,-0.911115781884865,-0.880292649943422,0.183510259864713,0.0881506353939035,0.57984573166587,-0.553422791937891,-1.23871010800445,-0.928811134951706,1.11170557576908,-0.546371368889705,-0.695100752341538,-0.523844862859469,-0.12371567160059,-0.706274903580859,-0.778791778821087,-0.541228488945208,-1.34177341652936,-0.913163024690783,-0.416540317882843,-0.446193236393996,-0.0134613809370466,-0.442796784266463,-0.0118813517660472,0.227732906175354,-0.884593832865921,0.644352828425635,-0.687396059825211,-0.72621202880945,-0.709694483629621,-0.959292756249561,0.978045058685169,-0.0562613053087176,-0.74056291134269,-1.04534442739359,-1.037548618447,-1.12318884533257,-1.20187534261245,-1.11774275692619,-0.00434858313640673,-0.830864925152248,-0.49723669992009,1.41262705504596,-0.518544354937942,-0.521102269518459,0.0790159079446371,-0.140543088015792,-1.03037374073931,0.2719818290395,-0.558227205641244,-0.581600992778879,-0.574809514057115,-0.664273553059915,-0.387600834937187,-0.824955465387804,-0.795305109217355,0.431562293626432,-0.547115638289417,-0.795201664065148,-0.796940570113984,-0.952087312663761,-0.811519735135475,-1.10457824973045,-0.63115082546342,-0.514169968256287,-0.578969062497672,0.249113850419246,-0.989574747601624,-0.892531961354241,0.188637723820616,-0.620369387349404,-0.62417305940476,0.87527963218489,-0.0433393026268689,-0.720115301558957,-0.767228298055987,0.493748590786507,-0.527197175345469,-0.567559898959133,-0.473508769670354,-0.453791046858729,0.913312261588499,0.962954735350845,-0.441067531142174,1.41044050617691,1.39864367477885
"SEPI_As_3 (GE) - TPM",1.0791257343075,0.0853466954362976,-0.457877092865273,-0.270140692472725,0.113880575621239,0.719293112066563,1.57168956580346,0.328833983500847,-0.646046148977565,0.0884558484731672,-0.44647390358199,0.412515470083419,0.790864178334079,-0.662054153466614,-0.487943170289651,-0.413273990675456,0.65884841450722,-0.0205971745625514,-0.811990333382651,-0.712289219106848,0.534216544100165,-0.847289601860066,0.380451914617841,0.955473458403875,-1.01045024268537,-0.624034639156694,0.475101328343411,0.0812052953396471,-0.724184706285225,-0.779323441207797,-0.623156082274078,-0.216964945251292,-0.359541464875985,-0.520387486231433,-0.524449355667934,-0.782229172713311,-0.608504407345686,0.648344825657802,0.879629880461473,0.559758303035824,-0.90873100094419,-0.769949602553324,-0.890280419351867,-1.08457938059962,-0.900237106166523,-0.585524954869371,-0.589635686113927,-0.76266682320406,-0.946356824183477,-0.858603866308619,0.79602773977764,-0.485163074309427,0.199194936646045,-0.335357083931155,-1.27992487949767,-0.960638974706524,-0.0934859446230988,-0.557863867457525,-0.718376078038222,-0.528297129780622,-0.10867838783198,-0.711121119235133,-0.683322726735329,-0.616192961089665,-1.32287691522384,-1.02708191083277,-0.418905001073005,-0.43764039314835,-0.11527876632313,-0.571918863915769,0.103475689472755,0.6594920148407,-1.37202937001725,1.52350972754012,-0.603266197592916,-0.6631503614479,-0.694766309623366,-0.756198249977012,1.20942057669892,-0.138772593143614,-1.05784836251857,-0.903531038484472,-0.820048350104866,-0.945204416686991,-1.30396618861664,-0.933843416371289,0.139157548407752,-0.803312882517507,-0.552445330843563,-0.412485192564471,-0.452861953485065,-0.320010355961739,0.110422224865998,0.011266389234194,-0.947077030746072,0.425340779496125,-0.516705283966664,-0.588695363333943,-0.582823489758784,-0.626394258361281,-0.508109977583291,-0.663359779782779,-0.455103553746666,1.77456845372077,-0.516256749082958,-0.746234833274128,-0.768173988987978,-1.05476266974801,-0.699762910549533,-1.13241588038804,-0.604486146026211,-0.494934942113852,-0.366656746991415,0.57819408427832,-0.938614453798536,-0.869678882581064,0.326820491138934,-0.512998833761818,-0.684332534436051,0.801186228783885,-0.49690169691217,-0.678992370452348,-0.628599676745314,0.662481460026844,-0.385437949883783,-0.536857552144958,-0.44811554382792,-0.311061275292467,0.677204756397979,0.610756610713409,-0.594567949046288,1.56105575115688,1.49688329263682
"SEPI_Bs_1 (GE) - TPM",-0.393111483455146,0.515126356523848,-0.44924102498068,0.558403935366118,1.44705828321021,0.0968484288307112,0.027227398937793,0.713241879667847,-0.878804228275732,-0.594478209915772,-0.430574452406111,0.605680212765875,0.864898314604929,-0.332519577507033,-0.447078368646564,0.158132300849267,1.36680317920569,0.817032327907414,1.1294501384482,-0.0536512456023516,-0.627874602222272,-0.5212229933901,0.0822493520556926,0.296713457397146,-0.473828667462609,-0.468574269301627,0.933459154510797,-0.700633961059359,-0.990741680455291,-0.56010429296193,-0.518196871084681,-0.407510206182372,-0.466457888711186,-0.465943358338504,-0.104097411481393,-0.162468302135175,-0.317415494078105,1.15504732195062,-1.83818327844973,-0.338644279130459,-0.196287027188214,-0.160332611153671,-0.474826712486597,-0.674235134073539,-0.315605304071892,-0.169545495915325,-0.572019010834064,-0.288972085014802,-0.486856213721713,-0.159372721104049,0.0346152646090456,-0.211567934361839,0.455038904073996,-0.571362091758061,-1.0342394095826,-0.439631979211337,0.716703048257661,-0.391617015558571,-0.377262585185963,-0.461542100659299,-0.465412604361658,-0.658346190645057,0.025209488667503,0.281579749100908,-1.05082795747114,-0.862518482664025,-0.305670107857214,-0.328253769070414,-0.282840251676595,0.377264502251438,-0.356317179339979,-0.205418446832009,-1.56228598497123,-0.5540644572574,-0.49361489266087,-0.323181410485728,-0.453239572908483,0.0930468624905787,0.647208425423296,0.0336984270935543,1.02685949829196,-0.00631377643869468,0.335376578020752,-0.322870217436077,-0.376596114177189,-0.495035912607262,0.636466673136554,-0.0543210310403763,-0.744636776101611,0.825056196422052,-0.145432184377256,-0.0909756158484404,0.754825036275034,0.590887808334931,-0.0928866014184884,-0.50794911514506,-0.375090704918425,-0.536541128753862,-0.508514647735569,-0.56696215803505,-0.585725205063722,-0.548038972377348,-0.54404636057082,-0.921415849567341,-0.482132095725931,-0.439712473781869,-0.420092668179336,0.179557873270419,0.205815285482034,-0.160835729387726,-0.43578053696674,-0.440123298989552,-0.0578903488896025,1.03775843679766,0.384619126021701,0.143055890904409,-0.692956196515141,-0.0695181666314815,-0.71125997032205,1.13335995869676,0.121840847640522,-0.617812349144904,-0.601094868363478,0.567496392236948,-0.272235064705841,-0.350629673641599,-0.484891360038982,-0.46180252018312,1.06150319572085,0.178777882699965,-1.19697922390198,0.743011053476147,-0.900387114600761
"SEPI_Bs_2 (GE) - TPM",-0.570504825549879,0.509509397128576,-0.420379895752218,0.803965092374573,0.891252634850713,-0.118204122093855,-0.839927042910434,-0.36589189218218,-0.821788551056903,-0.69310612642605,-0.438838866725045,0.971032329764735,1.03873757069637,-0.142036860102915,-0.448752105453672,-0.141126068794387,1.50918135282681,0.322248154292346,1.00867811315621,-0.0777678633787385,-0.268170186868766,-0.588849358990793,-0.325246927098038,1.20133792706793,-0.448708910365739,-0.498550931542322,0.692703954770181,0.698726124539068,-1.13306420876776,-0.531811798420749,-0.427934181923715,-0.411611030734134,-0.412776700543546,-0.458194932192885,0.15121292521205,0.186836418341321,-0.251421453347115,0.333956543706057,-1.76655147819292,-0.826192814192786,-0.0486117422204156,-0.401023595091476,-0.707462038548228,-0.69744572095164,-0.468912461656039,-0.359499317579479,-0.613374614760079,-0.54661522817853,-0.659112945325468,-0.529790366611359,-0.31091568697751,-0.742245779529005,-1.05332182741834,-0.519279238278215,-1.02723277231479,-0.364601862603885,0.472732258990115,-0.5349898954635,-0.28018338459246,-0.473725138773318,-0.64045478783164,-0.220653495763113,0.178978261230218,-0.244231080439638,-1.01711327759329,-1.05073366993717,-0.366961196791018,-0.373268790759341,-0.375860551698349,-0.0923067126126898,-0.272647749302721,-0.163545362128368,-1.13171762598846,-0.422280199032762,-0.751387549317479,-0.565942316414587,-0.512271885127584,0.310264319394325,0.359191225054727,0.0892700988943212,0.271495928209735,0.213768259762473,-0.470661078796764,-0.0280673638665254,-0.45925573367079,-0.460905870875012,0.189965713836073,-0.227156837175364,-0.789733125078696,0.0874602146602891,-0.187491085916272,-0.576667584478379,0.457678225582031,0.139275979269218,-0.196619770910289,-0.455319989988472,-0.364865874049674,-0.543951351927237,-0.555261745947432,-0.539857308672213,-0.340612076383667,-0.692437499368544,-0.874473674392028,1.8996242314971,-0.523846345095748,-0.479345100266491,-0.545774698250904,-0.0130831795646713,0.0160814287468501,-0.420516634600372,-0.541282701042025,-0.403295564885976,-0.188733055228287,0.862806519210708,0.603758851592864,0.184996086218841,-0.274737293593323,-0.21307605620072,-0.418695611369359,0.455425508136742,-0.318298273375119,-0.621832245052895,-0.727809627045283,0.330763422702971,-0.47578488960451,-0.433263410067784,-0.376470623752243,-0.601272950433654,0.869409619246236,-0.859436195527752,-1.22174944716357,0.379015109757181,-0.987451027714125
"SEPI_Bs_3 (GE) - TPM",0.451310297622756,0.269688534086845,-0.575262703270507,1.25571100442674,0.354167167610437,-0.345864510510331,-0.515700713064062,0.617698381329745,-0.920270277034067,-0.327680756683653,-0.437069801697849,1.68016715440944,-0.277706945482642,0.400019587470414,-0.452127190609264,-0.376354266066742,1.09619847444725,0.536466822736206,0.621342556933589,-0.281192377921572,-0.211015331325683,-0.639444393366285,-1.08875047954741,0.883927294483459,0.18389271057008,-0.219734519152095,0.853782276514199,-0.576735147859364,-1.01944682743056,-0.346683860495346,-0.444324054959722,-0.329262770948,-0.400627191575834,-0.489357031860662,-0.062285396276219,-0.272000501658875,-0.324909506852024,1.02867806641867,-0.450639948697035,0.320959330069273,0.103841108229416,-0.39839026412798,-0.844484474128238,-0.679304726242112,-0.260206598824455,-0.5320871395967,-0.766060141331567,-0.80704858164954,-0.80329573070387,-0.913351045118587,-0.114551027410554,-1.82177818727563,-0.680831465389449,-0.700718043338351,-1.1497508321032,-0.32828860609468,-1.08054224562605,-0.566956706302252,-0.321992276902632,-0.466644742919724,-0.766963895593913,-0.413758587394294,0.158819144623743,-0.513720978133716,-0.774463079449931,-0.86526673817187,-0.37284125478138,-0.366792526168512,-0.662767034343873,-0.07710480175316,0.525577457492884,0.606310562464675,-1.37904936822611,-0.78764209898789,-0.773923727940236,-0.541877523878692,-0.480498290785256,-0.155771095371611,0.363997195817844,-0.599961409352776,-0.758657228233793,-0.606426219403839,-0.884840659986521,-0.746276911451395,-0.497862623897776,-0.569071992132078,0.959215220976575,-0.376298924236005,-0.483835130106211,0.418251619267617,-0.628784583485745,-0.645563111800396,0.275874529786315,-0.0840792077630041,-0.240544604204062,-0.929938896323295,-0.421037985220114,-0.50746243646826,-0.527558666976621,-0.593266338473268,-0.403128274451824,-0.12482006980313,-0.648128660584803,0.829361665334507,-0.45193570043571,-0.313377871495001,-0.484671950882602,-0.213163135277586,-0.599426548711318,-0.31860330056685,-0.53439630933479,-0.538732362596009,0.379425245633386,0.350115694750339,-0.222178731781305,-0.346064985379247,-0.298099533559544,-0.276482351472533,-0.536492583776559,0.963703985058417,0.621001754945627,-0.529706527782716,-0.731218200615009,-0.00387755011480084,-0.532928666728841,-0.458232761752552,-0.578423366407979,-0.552811645060981,0.901751754890283,-0.0481678330419964,-1.24073207715108,0.679782706683706,-0.444022756238259
"SEPI_Ctrl_1 (GE) - TPM",-0.483213390342116,0.811308716840543,-0.486370399724086,-0.601621591824498,-0.169055989883435,-0.706009428388679,0.606855150891019,0.130840172778146,0.148376520751106,-1.19460833194012,-0.442138602117343,1.08446319523214,-0.242100337013055,-0.852698906945896,-0.43012706577307,-0.142319840707125,0.12304398749046,-0.749207013759038,0.22681977839418,0.0681978050768741,-0.728080476934978,-0.329268958974245,-0.660069836501882,0.331094653342196,-0.605246961693611,-0.366070153648914,0.873738181701021,-0.0194612484669964,0.782789476721787,-0.679012533291038,-0.397630201978186,-0.552807977151679,-0.515257131778663,-0.173913791139544,0.0278017876951686,-0.323412183458578,-0.472329612098208,0.939270559391598,0.563490527020305,-0.710460092985984,-0.484503523553022,-0.629566309106147,-0.189333023953299,-0.245793060327183,-0.237167856221916,-0.175855966114468,-0.20749686997339,-0.132777128299453,-0.0613230866490674,0.0914178086429984,-0.553840364146227,-1.40104534113819,-0.578283279233334,-0.304430670009167,-0.276217775197307,0.0796058812963583,0.11138392380163,-0.210958709015223,-0.321597103515598,-0.500275932518249,-0.375533577227438,-0.195278978990734,-0.515727690898504,-0.339592275762717,-0.645912714528106,-0.683837834652196,-0.403877167459877,-0.373840810717279,1.07586513358177,1.11384537995799,-0.626668377258682,-0.764420716422196,-0.985421385608977,0.726671767331605,0.0929450639085178,-0.389322724259891,-0.322838655077364,0.0228599482546911,-0.312649080270011,-0.18347317968734,0.460672560805658,0.347210814780287,0.0941968923708352,0.0122448431646832,-0.138023205994952,0.0308246733288391,0.310406506985715,-0.0694028586526625,-0.340069006644704,0.692686495937209,-0.237955328344455,0.609544132027365,1.20136297564544,0.489870131120503,0.320622990620437,1.07220200096388,-0.461064810910929,-0.2543447061827,-0.150368544638276,-0.132186859888226,-0.615182008498557,-0.72364642006838,-0.467406079050805,-0.0478018292934507,-0.495913386652821,0.277982963846178,0.388689026460786,1.10641093575516,1.05762525823435,-0.232190373743302,-0.353920729251667,-0.428722204707925,1.50663745525167,1.58971189841095,0.165580126616387,-0.249247553111419,-0.447188944256199,-0.33478037844685,-0.696210831579587,0.348460445987075,0.839109515077326,-0.239104537623115,-0.556880664746759,0.371648326921906,-0.283647411881863,-0.279639343722857,-0.211261669353697,-0.279997092143811,0.571038027738322,-1.25101549705715,-0.146249948491343,0.383124026682064,0.230088339841347
"SEPI_Ctrl_2 (GE) - TPM",0.205280568803715,1.52994825318817,-0.432403020457146,-0.8090043770172,0.841204097040202,-0.446477330156289,-0.857125018568742,0.195969925561451,0.266870479809398,-0.704889697777948,-0.43326816439664,0.636374878852348,-0.162676336517553,0.0209997619473775,-0.432445848360889,-0.318393463039071,0.171125726129188,-0.735552411301853,0.328322687592368,0.0774175271126453,-0.337167781883254,-0.20454039744133,-0.400137289438699,0.34294881130458,-0.465207375914299,-0.225664639015169,0.932727639625072,0.359746940640688,1.89400920847219,-0.534765252527565,-0.210559756475511,-0.564350503698387,-0.487959910992605,-0.366564934336842,-0.0566740887765423,-0.435674388822813,-0.468302605459222,0.375573494091843,-0.0363553014605934,-1.30111255419311,-0.611102345114703,-0.795715183255167,-0.424195331587241,-0.330067446889112,-0.504855879687648,-0.255281506229985,-0.389537263948927,-0.209083477418923,0.0192067943009245,0.0901370970073173,-0.489822699036499,-0.597785102803012,-0.350053990098518,-0.385234313663188,-0.0140616014612626,-0.0716136699808558,0.472577178555691,-0.208246091406663,-0.408681892926806,-0.513909012843032,-0.678936005682114,-0.517702865339633,-0.631010452815197,-0.439534889061711,-0.653499082305641,-0.699226753130944,-0.404446899249953,-0.374055406150454,0.807251861465374,0.721537284385226,-0.458389282107254,-0.859211347129617,0.382524129776701,0.325071741382679,0.102130631101555,-0.276699909588851,-0.34727072834843,0.340639172611373,-0.157551048403941,-0.0183659417785064,0.203158215911018,-0.00508098953899698,0.163862084075155,-0.30694987954196,-0.890761950181187,0.1004880650012,0.145901401817618,-0.0645067531481379,-0.310204794999365,-0.287118887343814,-0.307602248172305,-0.120570771543974,1.00504138744063,0.152652344891637,0.647596208559307,1.23296896467815,-0.394841771141282,-0.239319273709991,-0.19165661273937,-0.164955204288711,-0.142398581533195,-0.451372521598611,-0.31989207843284,0.490629661954876,-0.41745667520164,0.37139133759974,0.655301165441442,0.585775045380999,0.549936324694231,-0.724775469139376,-0.195990269285074,-0.413734934140217,1.27832925296343,0.878592525134699,-0.147973493843394,-0.141517019954914,-0.762844923429653,-0.293187720897396,-0.855095764664365,0.544705825976178,0.695422412061642,-0.484583394788713,-0.649560509256961,0.060860056922074,-0.281683674823891,-0.347851924479538,-0.156493963128433,-0.253356555026887,0.38188572610227,-0.530948063365788,-0.114304029939202,0.252181368307255,0.0303933218071093
"SEPI_Ctrl_3 (GE) - TPM",1.06943866513931,0.807280080204829,-0.42283042849435,0.503102009695745,-0.486965165696316,-0.514035631736605,-0.459177656305624,-0.336884661108599,0.267919507959879,-0.728143296223147,-0.445179178806388,1.39363280575721,0.0509502016033616,-0.351937071970782,-0.430118564708736,-0.538774926344283,0.223446094353843,-0.54392795963465,0.105147034202533,0.259809240236739,-0.500265486287095,-0.70834933648239,-0.0467882958516963,0.904215403267486,-0.196406203465503,-0.380329117207122,0.840337253574062,-0.662722684293763,1.21162071815169,-0.541402957304634,-0.23982551421272,-0.575274608796006,-0.554672546996836,-0.189865549580707,0.35968446954858,-0.374928831761522,-0.460434126883088,0.678060538913283,-0.197169271613652,-1.01553871064875,-0.595670355372604,-0.546975144752673,-0.4772145525501,-0.56901812507038,-0.359733487454959,-0.441434949723551,-0.646416766685789,-0.222518516393043,-0.171363930293875,-0.118363297860812,-0.0506152100704185,0.0611362109430584,-0.495948709090722,-0.490704538054854,-0.259081923158399,-0.0937031020829165,-0.396096192750228,-0.224443653408552,-0.382070187949763,-0.482684519517775,-0.394214597675742,-0.00927507244103778,-0.489985596306415,-0.452811490327312,-0.491165433149411,-0.749746015616189,-0.425918685650094,-0.365789278468929,0.532402717462758,0.685310025035028,-0.418686683661039,-0.564060363742112,-1.29470688378483,0.342668593484946,0.0214339543767873,-0.564672236094942,-0.376051040758751,0.345222275379362,-0.277272511198875,0.0108342090610962,0.813927708151211,-0.0970591500716207,-0.131086319571799,-0.125293272060432,-0.458150064563378,0.150698094002781,-0.490836960315615,-0.110397545504524,-0.441487676524515,0.378138046425356,-0.224086550665113,-0.361583961866715,0.986411069553624,0.137522427080294,0.0577927626830834,2.16874194255962,-0.440249883137738,-0.26808842672961,-0.271263612534714,-0.252199282986366,0.0069096153083033,-0.27794897044911,-0.821872605572115,0.756884565964628,-0.464496734281298,0.407044044927134,0.336397980639924,0.916988892385056,0.59010377611825,-0.566218723960395,-0.195712891513066,-0.377075561837988,1.10051349576918,1.06208605222734,0.00761204434524986,-0.106699426729328,-0.253860941999744,-0.247215957316421,-0.722892833801236,0.229294946307361,0.463132022986456,-0.467160355900625,-0.687883026979204,0.746178075156791,-0.304606376056531,-0.23163557233223,-0.457616039230921,-0.316606725473635,0.60875622347304,-1.87841356650726,-0.195607472520251,0.371974786601472,-0.628354023665179
"SEPI_Li_1 (GE) - TPM",0.642665688758345,0.945173135830146,-0.288974661709443,1.01543359403587,-0.314700699480794,-0.377901994927567,0.641048605987579,0.935478872652987,-0.275167042322436,-0.472550332788636,-0.442398015435662,0.067061987708057,-0.44171672610869,-0.139506288695537,-0.467436783644271,-0.183778247065486,1.92988818102956,0.74348126844861,-0.966054736307636,1.48603265415874,-1.00385057473367,-1.01146436331573,-0.483249049671749,2.48775821776217,-0.209045891004321,0.119798139102729,2.7018483074676,-0.503196187445751,1.09594394414647,-0.228978304164251,0.363193175974756,-0.618827598016227,-0.567374712234766,-0.317839688033952,-1.3306911617823,-0.780258922349337,-0.229106911931892,2.30559639454242,0.608061525947906,-0.91090922754185,-0.452042741870347,0.118075086135058,-0.0904854593795395,0.0255424536553012,0.0290181845526673,-0.665340661324445,-0.335663970949561,0.00532040605698191,0.256779947492239,-0.00788968577276342,-1.10301225858378,-0.425132147523834,-0.353988935085514,0.278293535441175,0.814509311926337,-0.195589164638682,-0.00542640774545084,0.113915099482185,-0.0326073550262872,-0.507595569332394,-0.324315060281202,-0.0820747758208592,0.111086531763885,-0.190795179341202,-0.27336036479012,0.178863032450646,-0.416864512645913,-0.405320470882231,1.82554241633276,1.27437073753406,-1.09338542253649,-0.698844978767587,1.90964871526151,1.51420827316761,-0.30604256202169,-0.160482504881727,-0.203150432723656,-0.678821902949816,1.34196747337018,2.89605334720941,0.723266703638483,-0.135570176522575,-0.167213167633014,-0.573377189063443,-0.11779347105855,-0.57788992509165,2.54781520086546,-0.737262070436197,0.729737490990978,-0.00127030069399669,0.0364902613767205,-0.296811635138933,0.0780813940532578,-0.109841941986119,-0.312452066335781,-0.601983713309487,-0.442870414223589,-0.428974470912216,-0.410815577022845,-0.513129718690428,-0.688994968319543,0.549456030852878,-0.211854623281807,0.17961810870637,-0.214474885654018,-0.625368538862973,-0.45286649175883,-0.298698008770749,-0.223377226771599,0.614965156930542,0.00865150495668127,-0.491369140688414,0.124994695465345,0.581655182853065,0.336163049898334,0.00298997946614584,1.0927214008612,-0.645508900122217,-0.0770800173987244,0.942245669442604,1.40861853828195,-0.235822845545855,-0.190968216048849,2.37478576856292,-0.259118297557614,-0.000674157473599287,-0.292261465172968,-0.46410124247565,1.77910857603323,-0.556085988522538,1.38615042241767,1.29374309309805,1.0339075031082
