"","BB_S41","BB_S42","BB_N34","BB_U09","BB_Q42","BB_T01","BB_0022","BB_0024","BB_0028","BB_0060","BB_0070","BB_0120","BB_0121","BB_0123","BB_0131","BB_0133","BB_0135","BB_0149","BB_0151","BB_0168","BB_0182","BB_0192","BB_0209","BB_0227","BB_0240","BB_0241","BB_0242","BB_0243","BB_0253","BB_0328","BB_0330","BB_0342","BB_0350","BB_0352","BB_0365","BB_0370","BB_0371","BB_0383","BB_0401","BB_0403","BB_0479","BB_0483","BB_0484","BB_0485","BB_0487","BB_0533","BB_0574","BB_0583","BB_0588","BB_0599","BB_0604","BB_0608","BB_0636","BB_0638","BB_0644","BB_0645","BB_0659","BB_0662","BB_0694","BB_0695","BB_0696","BB_0715","BB_0735","BB_0744","BB_0776","BB_0777","BB_0789","BB_0799","BB_0802","BB_0816","BB_0823","BB_0835","BB_D18","BB_E17","BB_E18","BB_E19","BB_E20","BB_E21","BB_F23","BB_F24","BB_F0041","BB_G01","BB_H06","BB_H13","BB_H33","BB_H37","BB_I01","BB_I36","BB_I38","BB_I39","BB_K01","BB_K19","BB_K45","BB_K50","BB_J09","BB_J27","BB_J28","BB_J41","BB_A03","BB_A08","BB_A69","BB_A74"
"BBURG_As_1 (GE) - TPM",-0.197458755942173,-0.0374169300101374,-0.244392534228297,-0.510732423310961,0.246240482967809,-0.0838168563744431,-0.676084526646536,-0.401832764747983,-0.542153056814254,-0.684136146373916,-0.144035040734275,-0.207355100124275,0.0585758847234207,-0.252298782537046,-0.368029676244991,-0.467644808460923,0.0452963910264948,-0.362491716853876,0.171322305132185,-0.0751206975105427,0.715906741286314,-0.102453868130054,-0.165831071045805,0.266564674203367,-0.00836353471595778,0.115172819902473,-0.0938956476754321,-0.166640166660879,-0.768882516644844,0.69335727485683,0.479020325879809,-0.611490320829585,0.528543757137924,-0.355315977542455,0.500253311927047,-0.607326381477273,-0.588986317290307,-0.00103735113569579,0.112680905713028,0.14663421946888,-0.30537109908213,-0.932450455242809,-0.630758827193238,-0.732393283584346,-0.828766356420948,0.101676569795641,0.456672272380246,0.0595281119043685,0.0954358602364827,-0.577207930061743,0.64006664757269,0.771530610447413,0.0619119991763927,-0.288269420761906,0.148621620832903,-0.195967101629439,0.114232945765367,0.426250020472491,-0.0936739340349367,0.188144202284596,-0.103199423304603,-0.219233550250045,-0.345837287641984,0.423720753127902,0.0986487310897145,0.599695555359585,-0.726028699193221,-0.787492326767043,-0.405295234916531,-0.222336001270039,0.488268556475946,0.284923799590903,0.687127815073156,0.438347588394528,-0.475757412206927,-0.583753457897994,-0.666235024998447,-0.484449104607965,-0.325404658174132,-0.322143759858856,-0.715104161068292,-0.170487010725197,0.164847186919665,-0.803563530624111,-0.823946602820298,-0.0753663398923421,0.631734155526384,0.0421122430535111,0.0214163877516937,0.0749568178786504,-0.0760099125235336,-0.108896992415418,-0.710506614138781,-0.24829885718409,0.205499819351697,-0.109563229268938,-0.21294250265601,-0.22766519926042,-0.0688397967206147,-0.506093094083113,-0.145829047979518,0.0798743937464276
"BBURG_As_2 (GE) - TPM",-0.202672667336689,0.532232399371381,0.256141036927253,-0.433982259226463,0.377970137184922,-0.450941076573665,-0.974464459777078,-0.501388084574235,-0.785181779201048,-0.509247277495784,-0.476093713724205,-0.694922766233959,-1.23207880759618,-0.138809366967889,-0.223417421719023,-0.339755547014611,-0.0282800114922843,-0.00940841166520963,0.469264187158589,-0.20264287953331,0.452515735951347,1.13488009060999,-0.166673705689268,1.06147620527295,0.102660699468993,0.00821044082445344,0.347652946580622,-0.159873449021068,-0.696379997990683,0.852190556776318,0.307624169639114,0.182759064441758,0.144014221823546,-0.126273535018649,0.356097799741377,0.109340795039929,-0.351161478987705,0.399367530617359,0.818393101962983,0.386751806194633,-0.243977610347405,-0.994324008811762,-0.793965677544253,-0.525869382509676,-0.591840280146117,-0.0566267832916098,0.167068978083572,-0.282268994368971,0.0439117253527437,-0.204847750970677,0.633928566339958,0.15562910247755,-0.0485382730614022,-0.570791753611803,0.06854608505597,-0.12806506055804,-0.229561150522083,0.199756355096848,-0.375490885426286,0.21022030485658,-0.253632101090528,-0.16644558419619,-0.287868856328533,0.396090700128791,0.863622762961558,0.942961929785207,-0.562802139152102,-0.48701927230886,0.0147575162428733,-0.197088278303757,-0.232684323319565,0.383285700798022,0.820527488852768,0.123785071024077,-0.421926413830138,-0.506176443764769,-0.664035789352305,-0.448643713996501,-0.344846899635258,-0.278591659571009,-0.395947388175796,-0.27305135833177,0.51145017980905,-0.149707199722104,0.4917841560652,-0.0538635291298997,-0.68970704032488,-0.327295320955037,-0.158067314107937,-0.38053287048571,-0.117852006467627,-0.142461997934144,-0.66422083473769,-0.225081210263203,-0.00170356789889739,-0.0904863689497666,-0.282025604094964,-0.404610207396835,-0.0436478351499128,-0.184368606121435,-0.0670424202938211,0.0737926304836928
"BBURG_As_3 (GE) - TPM",-0.500905138459901,0.8406615830587,-0.13666013111918,-0.4211471716575,0.196433146581014,-0.297035396475351,-0.45672340599506,-0.403796881400934,0.0995971388162878,-0.35897636692261,0.125412909627582,0.125858883915017,0.58825455047446,-0.27710080988292,0.0589497750382802,-0.00210245364724762,0.0222269293116926,-0.238637053233905,0.782604928557086,-0.290330719143815,0.410712831426937,1.3000292615922,-0.0545081779939855,1.21380750763654,-0.315672762144145,-0.02740774246211,0.420120462619083,-0.265726755021592,-0.57653552304022,0.440457097525945,0.391798336154815,-0.153524129737308,0.191168588326419,0.137738668219966,0.021480845450809,0.306987228491017,-0.460994524912052,-0.16039667745833,1.19222023115244,0.981654848674173,-0.852400259123928,-0.907060992443105,-0.885093197461322,-1.15766429821282,-1.22683540105138,0.349929350553465,-0.461660435518566,-0.668431288844954,-0.185443789029975,-0.174574291194937,0.54323942703897,0.175461804238061,0.214167564109886,-0.918487232450311,-0.147762064119837,-0.661594311983773,0.319645983939981,0.044811410555149,-0.392367337354833,-0.0308001213854355,-0.181281232983965,-0.66784614426714,-0.362349703376909,0.401923249846453,0.417633651401275,0.410375969984116,-1.09869137053599,-0.757314145697153,0.185386975718303,0.0283446008018962,0.168838542022341,0.277802460086718,0.860559330284821,0.529080456104714,-0.544012642340683,-0.0580223295339432,-0.636287165640191,-0.513816318961407,-0.102607271318287,0.709907454887977,-0.233412328254465,-0.0424162484120684,0.564825682044176,0.0123636903258598,0.139908073045533,-0.18610075080259,-0.678333629180747,-0.381848713013292,-0.277190974544818,-0.242860886858222,0.0131067672452972,-0.0337230109226767,-0.526023526350256,-0.00704547468626361,-0.193903357404373,-0.309375210585477,0.217680721920876,-0.123992911590345,-0.222683479241928,-0.0763015977130483,-0.114566892287081,0.257491397473642
"BBURG_Ctrl_1 (GE) - TPM",-0.99743548539708,-1.27564548031666,0.605770159660988,-0.35058645344917,0.0421152778678944,-0.781176864298417,-0.707815064044125,-0.170706937566741,0.187514096322678,1.03103649907448,0.0150683605387135,1.1182301723843,2.06452735106187,1.04070804530939,0.836653378528191,0.36629799810442,-0.589938777987128,0.0862988951385311,-0.471550036060212,0.149784645405197,0.932521121724564,0.151820022090014,-0.224622139577459,-0.0875041676975023,0.755136393260274,0.507315261327205,0.582576411983551,0.480499308231702,-0.401106148830602,1.39233404231203,-0.536026497933409,-0.117951653280609,-0.19632335227069,-0.668078623568357,-0.179060311128861,0.682087010173231,-0.034036623141351,0.282351184111371,-0.873857117141461,0.274123304762641,-0.277256610497252,-0.167813048171395,-0.477883798265198,0.665981592641989,-0.726083435166234,0.205679086700645,-0.829029841255367,-0.201341687255465,-1.25160731403857,0.159785675614842,-1.08487284605283,0.110312999628464,0.723584094593414,0.63600009462941,-0.0718951349410537,-0.694047639011773,-0.746970180640369,-0.105845161917802,-0.18948443626531,-0.564036624438659,-0.648747640478825,0.224559058201657,-0.0516121430405151,-0.929305275205704,-0.246073123002958,0.491623426179338,-0.00893456984199988,0.497454392357587,0.992055301981253,1.54485639781031,-0.230388154069761,-0.282302006718426,-0.0169118140945382,1.43792318341233,0.0620284105788148,-0.241160595787778,-0.4335304770412,-0.95250512923885,-0.555856451802205,-0.434077313977813,-0.268598442771407,-0.852757838993946,-0.362273621581638,0.967084191098092,-1.10182690079228,-0.611307359445287,-0.661738156981174,-0.880790927273522,-0.854108438929858,-0.69725455219063,-0.677728410047238,-0.754062335912272,-0.0596687529880927,-0.745452133230736,0.0749641498703564,-1.08683373574717,-0.364856122493187,-0.867748307137902,-0.504902150858723,-0.1330589410642,-0.0860608853824664,0.234265567691933
"BBURG_Ctrl_2 (GE) - TPM",-0.509117599483844,0.0778445234550673,-0.270670274825779,-0.199265103448969,-0.446906369969801,-0.357075878989851,-0.626081245244085,-0.414930543120845,-0.746735028870249,0.28211090147325,-1.24870679796306,1.58793811366026,1.49046774421823,2.41423974557275,1.71378432763852,1.64800382300968,-0.345362155605455,-0.277467979059255,-1.1884119276718,0.28621631463155,-0.0858204903836172,-1.40361713580562,-0.515773067409724,-1.38430778775433,0.639834856978863,1.40942845776153,0.205690679825985,1.57482756665976,-0.346462588607489,0.439673173857485,-1.115680723127,-0.332923700624679,0.986773556138791,-1.0935596175905,-0.042332993707647,0.897000765313063,0.986185698530968,0.594209117168476,-0.961929093578379,0.525222353308935,0.351270910299231,0.553002022390316,0.696843644495609,0.940821896846531,0.888814874222965,0.374023927717962,-1.5973850663715,-0.619225027252938,-0.639017100133565,0.538239525527605,-1.16046405505444,0.842825550949519,0.851874436455374,-0.496727470456026,-0.172919667436957,-0.841945254580726,-0.821669131257343,-0.775283453613118,0.74725077308234,1.53930717295971,1.52109834660907,1.72826249871508,0.0968391012534204,-0.0371271375268329,1.25513233925927,1.07685123732082,0.235842124333164,1.09321301289657,0.613528846182475,1.54304983353627,-0.178195703050074,-0.657249172580024,-0.730540103156901,1.33482076449058,0.76723638817417,-0.823776943876651,-0.416635980004364,-1.43198359895726,-0.0605034978405614,-1.41326183428035,-0.488474631430622,-0.849663367159536,0.0163979690542375,0.155901610983254,-0.745449729099106,-0.494034139604536,-0.812307136317242,-0.903509879808291,-0.959692419849281,-0.815022954416031,-0.308324399162611,-0.833714194449236,0.0255202020733452,-0.771730430593955,-0.0525359106301694,-0.446663079706862,0.0313105340454615,-1.20670677050653,-1.0846293777921,-0.702145786943301,-0.430155488544307,0.347610127008623
"BBURG_Ctrl_3 (GE) - TPM",0.0704980969457464,-1.29345481909964,0.357900181765246,0.189198822161948,0.0684186312877071,0.558532893497449,-0.620423668282841,-0.119924426875778,0.641205405548244,0.226756409095212,-0.260920598941333,1.12261581697373,0.0495382977951187,1.91048277236698,1.00392904824968,0.772335094780972,-0.233463442525426,-0.551142250903325,-0.86288220027006,0.21271054175547,0.992015835160522,-0.51500449726171,-0.0579934703880281,-0.357697735529275,0.808679492743072,0.53930992078634,0.481699885963844,0.409193543604925,-0.585920723717043,0.792828787455621,-0.56302869966274,-0.135636343473308,-0.0280612375540373,-0.58916926044246,-0.0259140320503156,1.17667542459915,0.329633201084824,0.0865721144889185,-0.165817546019417,0.947538259049469,0.016875535490748,-0.0911500447491232,0.311117206543083,0.218623584635113,0.686035002475259,0.136947011594888,-1.20323020416882,0.0107914383083686,-0.401359727234846,0.0153156061405863,-1.06438018470622,-0.00423292030768507,0.530664762187413,0.110460885949206,-0.375816823151849,-0.869036328155239,-0.244009529621963,-0.13610955936099,0.314205150295338,0.782567650378855,0.846108808653916,0.478805689760423,0.493116644981815,-0.394177452394238,0.609352726830126,0.303610090998051,-0.361584068000117,1.03174131973583,0.784928726233929,1.29580910091124,0.00242345159011544,-0.385699538123344,0.474528531395575,0.690047070726681,-0.221596695712684,-0.0762512201611741,-0.151196820603062,-0.717254402730199,-0.326116870131626,-0.724499484582967,0.410927772904389,-0.76127963794218,-0.7822821175235,-0.12669574084635,-1.21085671772164,-0.563965340800315,-1.204528339648,-0.773850455580351,-0.623637214602001,-0.651193873129389,-0.446478923120323,-0.610607189511008,-0.00551058293487907,-0.345192392509184,0.086703407227754,-0.603291560724488,-0.430580623122779,-0.924746394131375,-0.556807712515512,-0.134498015712094,-0.119837443541399,-0.0976626715619425
"BBURG_Li_1 (GE) - TPM",-1.48935703023946,-1.27016608071101,-1.80899078215579,-0.695102941187231,-1.530807113493,-1.31221664531194,-0.983379596279367,-0.323713048979009,0.190151919291299,-0.292463119117907,1.09577088138834,0.950181373919112,1.92930407634997,1.44952111243638,1.50482921749148,0.0555559455288395,-1.72081873558484,0.626738527825264,-0.151949586814433,-0.613625033812385,0.44037095520289,-0.304474591719945,-0.695434922652955,-1.21137011602321,0.187025590888741,0.523504124587493,0.227928687989092,0.280010767826005,1.32426146257952,0.650786843645728,-1.10263589468322,-1.86168378119313,-1.61276225795268,0.170905853637961,-1.18879284103394,1.58984673449068,1.92096014296267,-1.53932751263567,-0.50420387743853,1.27715414294265,-0.625448845047156,0.14311452877888,0.45405725852162,0.232576083500271,0.402236545287309,-1.12226422556602,-1.08614133388278,-2.48925621341944,-1.61082533945272,-0.922435021048141,0.11837257220775,-1.50168699640918,-1.30388216609001,-1.41692904145852,-0.427921747423782,-0.691472187498309,0.305374444827047,-0.0895543576427917,-0.637629560952818,-1.21705926359947,0.357918964240301,0.415461742326451,0.481877082560215,-0.488393036938812,-0.810399782169066,-0.713617285916441,1.2830327898785,-0.144400920158327,0.635859165780405,0.685906068391007,-1.33261493663849,-1.07331293337942,-1.97165717473543,0.0546111296863172,-0.722430803637517,-1.25025286689391,-0.916152754781208,-1.55293742211266,-0.692016541124494,-1.01235547436979,-0.610028218035074,-0.644669134861707,-1.55226888619797,0.101351673021306,-1.21085671772164,-0.527599858313867,-1.39963357644588,-0.98541194074907,-1.06284516184613,-1.29682261814676,-0.516648940409416,-1.14288708668902,0.11579019306092,-1.84573598038847,-0.74446050470709,-1.03883954365783,-1.87513376339481,-1.21124698956165,-0.476432234196448,-0.689254603729467,-1.72984197137412,-0.355295092797029
"BBURG_Li_2 (GE) - TPM",-1.54569677616039,-1.10619339554694,-1.71930827830453,-0.435211867247287,-2.03125090862954,-1.08196745723139,-0.768495257045488,-0.200572090381196,1.36053770463809,0.535278244101191,2.4375982416638,1.53077565492028,0.840500520074836,-0.83001947810783,0.936897722928211,-0.354852121222095,-1.70656160206952,1.20807807047871,0.606729344298153,-0.819125855107094,0.00569934535653087,0.474740144876466,-0.426811335359843,0.149962295667249,0.712023811928563,0.235409016013153,1.40278807562708,0.795032781684621,2.30908545039062,1.52454488231277,-0.540665430629069,0.280519932489279,-1.69828321367236,2.04392325998832,-1.23019157427051,1.3494484157022,1.95029545527673,-1.51704951628651,2.64926395999674,0.393120487240885,-0.837535666392551,1.04078085588051,-0.120472913590344,0.444655541866617,-0.101393299936143,0.0280367384704877,0.335874966924581,-1.99587259566977,-1.42388798303238,-0.929949418751245,1.41800378614432,-1.77786370136093,-1.26172083879311,-0.0767655621642099,-0.135817697866384,-0.11988094806875,0.0633585151618338,0.55155506625196,-0.744305392839757,-1.57367432483487,0.0197661777414642,-0.749083256751789,2.29761968561829,-1.45003776347363,-0.739900546592288,-1.37713100431764,1.02372565881725,0.0494233851083966,1.09492700358527,0.515697505116046,0.384100564297007,-1.46467330607868,-1.54858045681883,0.253898463512431,-1.84248820935634,-0.527061914028831,-1.05465752343245,-1.18638551276385,-0.280981979428386,-1.22408305961421,0.446705401164127,-0.534140938152321,-1.38619804748473,0.54724865048187,-1.21085671772164,-0.702127255271275,-0.858230633340842,-0.643387666011154,-0.894333358066229,-1.22485395795943,-0.503208036400114,-1.1035300573223,0.720241017682555,-1.57552840639974,-0.929514936035609,-0.85654127709908,-0.47735138458227,-0.907622825318981,-0.557730885611936,-0.394818667419467,-1.67429637667884,-0.253930282176134
"BBURG_Li_3 (GE) - TPM",-0.852634067671739,-0.774309682866736,-0.849453652583407,-0.373151349857282,-0.668786679763297,-0.44708969050195,-0.315377736484137,-0.427136466572899,-0.598827352350954,0.256644561626871,0.680155676141713,1.30951610051792,1.8624542421305,1.3343456471999,1.14218310764853,0.481787126341145,-0.99234348389938,1.73633383191713,0.412849043422866,-0.672251952203278,0.138033608427514,-0.533726549068308,-0.973837440543043,-0.71785735131004,-0.0816720466085964,-0.0438580397039617,-0.669448604175406,0.0720285025382298,2.58586866815412,0.275979809912199,-1.20148543282117,0.0806614778729497,-1.58971390443408,-0.0549286307717818,-0.723531634752103,1.05787358363577,1.69044094250864,-0.83827316323691,0.073536411843561,1.21169153718009,0.210491663189492,0.554084624361742,0.508925036721035,1.48582235059757,0.964891625772033,-0.727888561884126,0.253574491560392,-1.65737243647713,0.0191333778973285,-0.382433090732416,0.011206860087027,-1.33456471604942,-0.906810092530076,-0.0595212682689028,0.346639841492134,-0.150034148424542,-0.222307128577919,0.681186687408702,0.406530168988167,-0.366153123833442,1.00622110543062,0.228704989423825,1.34679178797233,0.103564712887348,-0.733280791465196,-1.31976374160529,1.36162395865289,-1.11288980254565,0.241868090743057,0.258554137994106,-0.865071958126141,-1.2827814239182,-1.76958292296071,-0.157674432009843,-0.041694060001633,-0.818695905231497,-0.675986430315316,-0.872113266817212,-0.335948072828544,-1.09292853672314,-0.321582620640369,-0.233423530255224,-1.55364072075713,-0.312838784648138,-1.21085671772164,-0.512968105681198,-1.48687103966642,-0.375943752982756,-0.701807272514118,-0.994990899711919,-0.026251693928719,-0.632585746369968,0.422966431196997,-1.36719876409067,-0.423202354935113,-0.544927112653107,-0.590309106838936,-0.842832201793636,-0.0235046032596815,-0.140166017040902,-1.34385251964403,-0.603667734492075
"BBURG_Mig_1 (GE) - TPM",0.859910144293605,-0.511290761407778,-0.827071200102737,0.183067388471276,0.546153588457127,1.44690679313301,-0.578588688016171,-0.698673095394276,-0.781581927881522,-1.03010863053793,0.1149304215259,-1.67475149008504,-1.47906442084432,-0.461087068182885,-1.10498376507171,-1.64968412339214,0.571655714349373,-1.24284523510709,0.0140199483424096,0.176455746521848,0.0205524808469785,-0.598636349857702,-0.457754982646898,0.0516494349606886,-0.489633629070301,-0.625023886744954,-0.5935701034737,-0.591041673129069,-1.02186157719265,-0.550302863117628,1.42505224548935,-0.578447662472215,0.194842561091126,-0.310797535449296,0.99675275998677,-1.2630369741869,-1.01028779218445,0.858514022966827,-0.93138414754536,-1.5124571203601,0.104757118816682,-0.635977005081651,-0.857187392950385,-0.608466860790106,-0.0481746573677453,-0.416992783088414,0.433419414820325,0.741319224983256,-0.106352162789424,-0.795486665310344,1.09411398311805,0.625703920479733,-0.0990385709834764,-0.603530078407692,0.715278124751202,0.963626028250833,-0.458475529941474,-1.5581083609768,-0.391321536661597,-0.641479948396553,0.571609100357252,-0.812655389727637,-0.542572177461422,1.23413692996741,0.430953189893982,0.754409393168949,-1.24549717869537,-0.541062158697245,-1.03734904628288,-1.17460219168745,-0.499563506698767,1.25603298765954,1.28968613642101,-0.802367153230618,-0.226467707913653,-0.395219578691012,-0.365417819307516,0.0928865503890763,0.891295352987667,-0.141442765865742,-0.336091033817824,0.178354208159001,0.415843541651416,-0.952206556698449,0.918550402050795,0.83331109639909,-0.0601232530928714,0.515976324664704,0.758237905970537,1.0663453843484,0.398646152373438,0.795004013119757,-0.945303312885767,1.06486520383837,1.04935207901562,1.2064201105594,0.124739223062414,0.954411067742397,1.11078635270997,-0.885454768375689,1.25700244081658,1.05876311080008
