"","SAR_RS00675","SAR_RS00680","SAR_RS00685","SAR_RS00690","SAR_RS00735","SAR_RS01145","SAR_RS01150","SAR_RS01170","SAR_RS04205","SAR_RS04220","SAR_RS04225","SAR_RS04230","SAR_RS04235","SAR_RS04240","SAR_RS04245","SAR_RS04705","SAR_RS06900","SAR_RS07285","SAR_RS07355","SAR_RS09090","SAR_RS09095","SAR_RS09765","SAR_RS11235","SAR_RS12005","SAR_RS12010","SAR_RS13360","SAR_RS13655"
"MRSA_As_1 (GE) - TPM",-0.819862931918825,-0.727165049662176,-0.82218307273233,-0.88719282469961,-0.477756876801064,-0.5184569879306,-1.06989248911551,-1.0499606377755,-1.33350983293347,-0.684264458523259,-0.779922683283504,-0.709336592926038,-0.662404012084557,-0.587782247283466,-0.878770667694732,-0.875085267044161,-1.4910492114138,0.275245226810315,0.521021927393096,-0.836851002108322,-0.485924263127608,0.60528330450148,1.55777282359176,-0.508160985794329,-0.493370158644656,-0.884108450222301,-1.02349685963652
"MRSA_As_2 (GE) - TPM",-0.81327046218401,-0.72108402707575,-0.819709088263304,-0.874543969553166,-0.477829743124589,-0.284562924839006,-0.531963115879089,-1.04834459969061,-1.40121321758135,-0.698285081484115,-0.782826467468262,-0.761599561663298,-0.629600213320225,-0.575275561284837,-0.890035082237449,-0.726893483977088,-1.61277584601684,0.962852507697098,1.32347353478205,-0.898048795292419,-0.516615714190992,0.590722471392322,1.18752513262323,-0.533470326520894,-0.476670421682258,-0.932068207910872,-1.16129960804049
"MRSA_As_3 (GE) - TPM",-0.818643652712353,-0.733113563314762,-0.865007174685992,-0.869679063739675,-0.477392821373892,-0.393192559031826,-1.19328355372736,-1.04993668366991,-1.40132107853906,-0.607090029100719,-0.807440489454244,-0.734629089961809,-0.68298891040952,-0.57362177566943,-0.896566338406027,-0.834388803322291,-1.6574963360426,0.843992598227072,1.0552351484187,-0.889421713571111,-0.64478786003978,-0.273374760037687,1.45267839622408,-0.35032032069959,-0.449556600451666,-0.737387882069585,-0.90446898568571
"MRSA_Bs_1 (GE) - TPM",-0.725603336972639,-0.690662914242584,-0.736766386498118,-0.864607186346347,-0.478985692430148,-0.231055611853295,-0.942151617793529,-1.05068900560531,-0.344651954438835,-0.0639158239313176,-0.628209785215106,-0.671194483875728,-0.575693977161158,-0.589061554972832,-0.695584631145375,-0.194034277739095,-0.894127814568338,0.0402365517008056,0.862797296443643,-0.595003213901403,0.207452790325101,-0.597861458735004,0.0688854082370118,-0.563912764350248,-0.467929572623809,-0.918952723177281,-0.107342564906768
"MRSA_Bs_2 (GE) - TPM",-0.711107695382259,-0.677761675376846,-0.761564621222631,-0.871982047485185,-0.479411377570089,-0.306768479731122,-0.903807641687405,-1.05010126292143,0.852983537507168,0.0944493177904411,-0.557617357855187,-0.64869132798841,-0.624970682324676,-0.62975645611236,-0.537172214620891,0.0229259828602593,-0.751227847723546,0.183308281609269,1.21958983825375,-0.617911904779947,-0.42996857182235,0.295489174603412,-0.252201337651265,-0.599654744516933,-0.37772740008376,-0.271227702666511,0.890102055402434
"MRSA_Bs_3 (GE) - TPM",-0.732948656555862,-0.694051840067171,-0.80235735184158,-0.876552424027914,-0.479348614130204,-0.177489752477753,-1.01380616859232,-1.05093412136885,-0.712020125456272,-0.309564679903808,-0.747859452630834,-0.69477314253725,-0.665264022098109,-0.637764344134806,-0.771780831465008,-0.46740621042171,-1.03545620448626,0.171988904248618,0.752146062742756,-0.640588227147395,-0.413841753646621,0.0284003333680537,0.0470592623683075,-0.437283836462202,-0.571795535706043,-0.189510161499458,-0.542420192822907
"MRSA_Ctrl_1 (GE) - TPM",0.0146253044722053,-0.125287582623884,0.0465530268970023,-0.180122932481687,-0.284055672166294,0.349419705011635,0.607919900525667,1.04934441079599,0.193303745912108,0.579025492421813,0.598286062916101,0.411157822961883,0.347018814550513,0.206575537707564,-0.0698407135200997,0.410376123734684,-0.0690866177662322,-0.761999313577253,-0.267050380256789,0.0687966657299779,0.0676430832924091,-1.16933384926516,-1.15897815877211,0.240686054891894,0.233078248455799,0.953235174239597,0.38345138050221
"MRSA_Ctrl_2 (GE) - TPM",-0.0117419883936431,-0.0765572605515894,0.077657469193268,-0.101770745845425,-0.267381255021735,0.299144774192987,-0.0268842753361085,1.00735029757771,0.113005189888159,0.329062382911809,0.649537910984851,0.380784393097843,0.3515569334446,0.168416338443266,-0.0772606860548404,0.732759618707035,0.171899536776194,-0.84222923395042,-1.12489960530225,0.0734014721578434,0.0621989321586259,-0.378178567326823,-0.807180352263618,0.215656650510445,-0.042069442837518,1.05746385262242,-0.019179095753557
"MRSA_Ctrl_3 (GE) - TPM",-0.0148371118150729,-0.168892912662252,0.0557947377070207,-0.228015784903457,-0.286986133776814,0.126142143855866,-0.11285273078788,0.988748518628631,-0.0452217614020863,0.578537703098913,0.461442367860932,0.193923872384559,0.247675467492128,-0.0378150697578866,-0.169591214987974,0.658435898384153,-0.0304872828937253,-0.712698987975262,-0.885951439720817,-0.16217972480384,-0.174709577148881,-0.376261779687619,-0.74229116035051,-0.0637572823367031,-0.100645198554493,1.47921778621753,0.590883086763177
"MRSA_Li_1 (GE) - TPM",0.881368840324741,0.558352555296167,0.510774549642875,0.119004965507922,-0.407417978262464,0.409236575484907,0.639807129771666,0.796898232040503,0.951973968669973,0.684932383316018,0.160605070570734,-0.0347897908343701,-0.109797134198932,-0.180872488426082,-0.128607179324978,0.228136872817926,0.238521432916284,-0.680168845106542,-1.51422070908275,0.367790304441414,0.691295081830891,-0.880943139786704,-0.912925189296697,-0.557161628213519,-0.73434527237649,2.1128933650072,0.744766042537666
