"","ETEC_RS27305","ETEC_RS01115","ETEC_RS01170","ETEC_RS01285","ETEC_RS01525","ETEC_RS27380","ETEC_RS01650","ETEC_RS01825","ETEC_RS02285","ETEC_RS03000","ETEC_RS03040","ETEC_RS03045","ETEC_RS27540","ETEC_RS03215","ETEC_RS03255","ETEC_RS03275","ETEC_RS27585","ETEC_RS27650","ETEC_RS29770","ETEC_RS04635","ETEC_RS06480","ETEC_RS07780","ETEC_RS08380","ETEC_RS08775","ETEC_RS09395","ETEC_RS09425","ETEC_RS09430","ETEC_RS09435","ETEC_RS10025","ETEC_RS10665","ETEC_RS28080","ETEC_RS10920","ETEC_RS11475","ETEC_RS11600","ETEC_RS11950","ETEC_RS12110","ETEC_RS12755","ETEC_RS12980","ETEC_RS13920","ETEC_RS14445","ETEC_RS14670","ETEC_RS14685","ETEC_RS14695","ETEC_RS30065","ETEC_RS14790","ETEC_RS14840","ETEC_RS14880","ETEC_RS15810","ETEC_RS16360","ETEC_RS28500","ETEC_RS16575","ETEC_RS17325","ETEC_RS17330","ETEC_RS17380","ETEC_RS17400","ETEC_RS17440","ETEC_RS30130","ETEC_RS17545","ETEC_RS28640","ETEC_RS17695","ETEC_RS18095","ETEC_RS18430","ETEC_RS18495","ETEC_RS18500","ETEC_RS18770","ETEC_RS19680","ETEC_RS19690","ETEC_RS19695","ETEC_RS19860","ETEC_RS19995","ETEC_RS28795","ETEC_RS28805","ETEC_RS20785","ETEC_RS20790","ETEC_RS28865","ETEC_RS21475","ETEC_RS22185","ETEC_RS22545","ETEC_RS22585","ETEC_RS22650","ETEC_RS28995","ETEC_RS23205","ETEC_RS30195","ETEC_RS23925","ETEC_RS23990","ETEC_RS24000","ETEC_RS29175","ETEC_RS24340","ETEC_RS30245","ETEC_RS24770","ETEC_RS25120","ETEC_RS25285","ETEC_RS26225","ETEC_RS26350","ETEC_RS29535"
"ETEC_As_1 (GE) - TPM",-0.225188322626469,-0.576479732972089,-0.0419603347414192,0.792972387608956,-0.535471222787926,-0.0963932320780019,-0.932363175903219,0.131763862421432,-0.243429031102602,-1.10274517262347,0.348801250119191,-0.146560763903091,-0.166666666666667,-0.800462407920988,0.0578786056954328,-0.238926002096147,-0.166666666666667,-0.166666666666667,-0.337432089511132,0.773370072580101,1.64197737187108,-0.47539519112513,0.34276353150092,-0.3168511598793,0.423080055964513,0.0442555209635906,-0.962121405955723,1.35823555430753,-0.28137852349074,-0.28684923680706,0.5154683162351,-0.754849004155408,-0.457204675613189,-0.23206770189403,0.143959172261776,0.835458633555013,3.41926088772098,0.863197403637448,-0.653868612453534,-0.0935260360820619,-0.717176363072504,-0.847562770144826,0.485065742812392,-0.202073207180367,0.063222144060137,-0.688950176529742,-0.708017313260328,-0.699240119314815,-0.327928309411389,-0.166666666666667,-0.371014497549083,-0.304661193090631,-0.763982017214254,-0.166666666666667,1.98753911934773,0.909657303019635,-0.526865253405431,-0.682879905650996,-0.166666666666667,-0.277270304230887,-0.349501452000222,-0.229813271802432,-1.35736751201109,-1.56618646856045,-0.0333258658301319,0.41941905957275,-0.513524759045441,0.214374909469535,2.30777521903887,-0.166422219201494,-0.389690379404867,0.111968987454879,0.623818198401506,-0.581134660000128,0.223770222218766,0.374613524775609,-0.85470701940224,-0.629840921328718,-0.759013701100451,-0.309092008109659,-0.166666666666667,0.465976111143307,2.23485526953688,0.762718310755795,0.0835664288479749,-0.107999235134217,-0.36221919980392,-0.0691485688678978,-0.166666666666667,0.118614908808466,0.353183873391085,-0.233513577670755,-0.905097131913752,-0.945429880203101,0.863411151291766
"ETEC_As_2 (GE) - TPM",-0.225188322626469,1.93189331229735,1.19543293183051,0.662250068154446,-0.440616450958143,1.1040021966763,0.821179585519829,1.35433645360475,1.01340268321644,0.245242009218571,0.232917008385255,0.182442831634336,-0.166666666666667,0.182843618415304,0.837305273937652,-0.238926002096147,-0.166666666666667,-0.166666666666667,3.2004738271907,-0.549897220009842,1.35443484921411,-0.534729508647134,1.83763195415336,-0.3168511598793,0.234531059800775,0.481593562741981,0.196201252654238,1.78350990556548,0.527797455221423,-0.28684923680706,0.495783268477904,-0.451957133088867,0.189645758857797,1.4202908387293,1.09162624680441,-0.00420228262172759,0.384818520130329,1.40829664115287,-0.0733044851878222,0.0652667834950605,-0.200272642127697,0.69285468457296,-0.47511426170653,-0.202073207180367,-0.76216653971204,0.142214327737371,-0.886547630224547,-0.140274830706073,-0.151996515852364,-0.166666666666667,-0.371014497549083,2.22748662007438,0.594853178520816,-0.166666666666667,-0.356654764752025,2.09542638696457,-0.205271548835118,-0.0763508293088301,-0.166666666666667,-0.277270304230887,1.09320129291376,1.05969689567263,-1.57548304783114,-0.782403447249506,0.262563573691476,-0.246399819460759,0.11815598974293,1.22233307442647,1.36195420295909,0.524496420223277,-0.389690379404867,0.609110477379354,1.24298479641374,-1.32000369630736,1.25720464798699,0.913215268248812,0.133560941592544,-0.47304769983691,0.0851615959703257,0.963055335128284,-0.166666666666667,-0.49692410449064,3.30721114210281,0.589992449770079,-0.484575294275542,1.4282772916074,0.298026004929966,-0.38006223011266,-0.166666666666667,-0.336480363093605,0.08571208601322,-0.233513577670755,-0.932889628538618,-1.37351701001967,0.683057987538922
"ETEC_As_3 (GE) - TPM",-0.225188322626469,0.725333113428279,-0.244469999453298,0.138226578240963,0.731927087252284,-0.10272324645335,-0.193656418242718,-0.286349442134936,-0.034471871729135,-0.119682483623668,0.0591347877225448,-0.160542853609645,5.83333333333333,-0.264808881309954,1.8100753926826,3.88342812748446,5.83333333333333,-0.166666666666667,-0.337432089511132,0.207674388601609,1.00885380147043,-0.352418185961784,-0.543890307650982,-0.3168511598793,-0.670686432077462,-0.392306805778446,0.170699971442923,1.57419741681639,0.414690817411166,-0.28684923680706,-0.552443769589501,-0.813924915156347,-0.483415558337008,0.0680106057857095,0.267484413700609,0.507128617814165,-0.429782666502778,0.0517268955977904,-0.559802277181383,-0.103359681341974,0.0991573629087477,-0.00999272158477978,0.378375328135928,-0.202073207180367,0.767690793631495,-1.09917414702597,-0.357098327783476,-0.412530131278521,0.0329079974740011,-0.166666666666667,-0.371014497549083,0.680952538053449,-0.0762205640947031,5.83333333333333,1.96065813207511,-0.287014121872604,-0.370545161867761,0.755549639501692,5.83333333333333,-0.277270304230887,-0.0859784953544007,0.0208060456891114,0.0507436937189515,-1.16173492939731,0.839140762067197,0.523421326078237,-0.328353164222266,-0.150260142409392,0.912654361907146,-0.200154264844835,-0.389690379404867,1.56667698952304,0.710924357344927,-1.16507696254765,-0.447444685767752,0.264377507522804,0.254853360322485,0.0199886694745135,-0.0946570101165226,0.29842490113227,-0.166666666666667,-1.19043980173349,1.84122241687338,0.790327424634831,1.04609019755808,1.23690640697556,0.362729527066914,-0.529604882389514,5.83333333333333,0.00295938777668303,0.344782853849303,-0.233513577670755,-1.02653386601242,-1.08359464272651,0.226544499513279
"ETEC_Bs_1 (GE) - TPM",-0.225188322626469,0.249489351124059,0.143553074217287,-0.0668463510757075,0.217711864439196,-0.648410974173915,-0.14897780266869,0.557411300341317,-0.113281172112385,-0.901400582157923,1.25250813736887,-0.601125474667739,-0.166666666666667,0.370550975402209,0.622865234554234,-0.238926002096147,-0.166666666666667,-0.166666666666667,-0.337432089511132,0.348809748439298,-0.577490264157725,-0.37702679767207,-0.186585322458793,-0.3168511598793,-0.291874283026035,-0.604187772803207,0.294565734550778,0.802503137926178,-0.337211309811503,-0.28684923680706,-0.855275623520361,0.401773800348542,-0.821107019956716,0.205219796731207,-0.296250182445842,0.35037164296274,-0.429782666502778,-0.0899980025272605,-0.0839480650532036,-0.592509425854248,0.137403141853394,-0.707262953284909,-0.708235343661118,-0.202073207180367,-0.76216653971204,0.203811924426333,-0.214701816626423,0.124976395680323,1.59059128570429,-0.166666666666667,-0.00789551746540972,-0.304661193090631,-0.702993352147674,-0.166666666666667,0.819568878300177,0.0678659286620397,-0.219805901035005,1.6129232677302,-0.166666666666667,-0.277270304230887,0.734080385764025,0.269592859734996,0.614953433345667,0.611719735036206,0.240751609331241,-0.696897893213459,-0.398305192691761,0.0120291193289144,0.0191548882110299,0.00643049040239247,-0.389690379404867,3.24746599603488,-0.0877233447201428,0.0528559950999246,0.394527953240242,-0.0466149363265617,0.947646733308881,0.351048403792768,0.394452244215006,1.58999048469441,-0.166666666666667,0.379244126259953,-0.306025997690052,0.321796659060877,-0.901550100082199,0.539673021830248,0.277331103663125,0.048797974895488,-0.166666666666667,-0.952786412090179,0.539563778050609,-0.233513577670755,-0.859020874743903,-0.0744150914381415,-0.456813079353646
"ETEC_Bs_2 (GE) - TPM",-0.225188322626469,-0.576479732972089,0.373765394782018,-0.482280662567795,-0.175372438507778,0.537380155782568,-0.554258805929932,-0.199449398610148,0.436865804925147,-0.544656377780543,0.0172131852570719,0.107435042850393,-0.166666666666667,-0.171041631644236,0.118897839082326,4.24005594378453,-0.166666666666667,5.83333333333333,-0.337432089511132,-0.0271489069292041,-0.421262274161275,-0.169895197288344,-1.29121281820725,2.16812900511931,-0.512375954480162,0.315659065231818,0.120391003174365,-0.858464684084587,0.0643053492476898,1.95845374077263,-1.07726782032843,0.0544403973387914,0.0156163977779318,-0.0777506797126129,-0.223760871239455,-0.435604760458687,-0.429782666502778,-0.243405380520362,-0.737855752430318,-0.337042618039793,-0.308330715802109,0.729985414880607,0.211249690760857,-0.202073207180367,0.678412332002573,-1.11669749886787,-0.886547630224547,-0.00989652462421142,0.720795541661637,-0.166666666666667,-0.371014497549083,-0.304661193090631,-0.38213292507417,-0.166666666666667,0.146902295579211,-0.0396326215948207,0.477815625099406,1.89100955510598,-0.166666666666667,0.379032635615454,0.82919424225297,0.130327836509775,0.972995837144971,-0.299265502668761,0.538051296617082,-0.187425561781942,0.141744624993611,0.106844099181465,-0.894582605245091,-0.73121267493954,2.1561962463643,0.856555993512252,-0.931498727802909,-0.168065330057537,0.9943942688336,-0.00505459401629046,-0.359437137019126,-0.319327371711477,0.00605409915644473,1.14850368527868,-0.166666666666667,-0.346728737597987,-0.376500357367121,-0.276836971377656,-0.0198284089484031,-0.412553517300169,-1.24573614034347,0.827676006979516,-0.166666666666667,-0.274874615376375,0.0139985344565198,-0.233513577670755,-0.567470725472831,-0.923852292786657,-1.04574898516273
"ETEC_Bs_3 (GE) - TPM",-0.225188322626469,-0.576479732972089,-0.37317723916224,0.325684043402946,-0.5763131734978,2.26131869367368,-0.00271834125614151,0.101767844057784,0.955180483209789,0.0707338411831138,-1.16618822742631,1.84769819843772,-0.166666666666667,0.0383892091154091,-0.38890887245825,-0.238926002096147,-0.166666666666667,-0.166666666666667,-0.337432089511132,-0.0559697849362271,-0.326652848663506,1.04021255569965,-0.259153495102863,-0.3168511598793,-0.517792083348925,0.503587526833101,0.189329679279138,0.979585067968483,-0.670670235668516,-0.28684923680706,0.0421241205844591,-0.706602668961213,-1.05278971384846,0.813751319448407,-0.521301563803011,-0.673481689555711,-0.429782666502778,-0.372368978936467,-0.741766883073866,-0.107302745746073,0.0686430355220499,-0.632322428321764,1.23341987247839,-0.202073207180367,0.54304038952095,-0.871136547538914,0.619128495399823,-0.427445612701202,1.18036808965042,-0.166666666666667,-0.371014497549083,-0.304661193090631,0.422720734160772,-0.166666666666667,-0.356654764752025,-0.260913546290031,0.0173206813305776,0.492142235698597,-0.166666666666667,-0.277270304230887,0.518114034944975,-0.541166100585226,-0.369166587010271,-0.24054298850183,1.35821814428973,-0.368517958760029,0.216747943699258,0.277193854583814,-0.553683680611802,-0.206093162294271,2.10917865693195,-0.288341484169185,-0.703242136525956,-1.21187061216482,-0.447444685767752,0.557142654392376,0.100798408104176,-0.68585049786924,-0.173815226587668,0.973305431895012,-0.166666666666667,-1.17562120594583,-0.460267961693906,-0.881621354340818,-0.901550100082199,-0.96452573782355,0.165891768760889,0.778229692305426,-0.166666666666667,1.16614985963185,-0.379438713601558,-0.233513577670755,-0.449760180918692,0.515992067122693,-0.644520806860193
"ETEC_Ctrl_1 (GE) - TPM",-0.225188322626469,-0.576479732972089,-0.527633585957852,1.60222024925531,0.868023224213809,0.0543137593519474,0.279438219872617,-0.90277768573424,-0.258456363731686,-1.14804938669439,1.63904591869599,1.73854678143481,-0.166666666666667,1.02416615299254,-0.168798086514588,-0.238926002096147,-0.166666666666667,-0.166666666666667,-0.337432089511132,-0.894104283561485,-0.58812804491736,0.450554202026871,-0.973686480609009,-0.3168511598793,0.237141966532931,-0.858891891198365,0.323194838127011,0.197548470485306,-0.746844256144741,-0.28684923680706,-0.626696522653842,0.620942550164501,-0.236574426411352,-1.17557982550966,0.577000163000357,-1.02044073100945,1.2035091027967,-0.344877734121488,0.305407578703999,-0.368853820273388,-0.66694610528317,1.19562952948524,-1.04748917821209,-0.202073207180367,-0.76216653971204,0.240079707775556,0.0225366958997123,-0.23196832622049,0.917269241904601,-0.166666666666667,-0.371014497549083,-0.304661193090631,0.400963138107895,-0.166666666666667,-0.356654764752025,0.331887873956427,0.483261455527776,2.0665978587573,-0.166666666666667,-0.277270304230887,-0.619209929717171,0.719432272585949,0.519371301087679,0.634719159537006,-0.660394993188757,1.22979429390425,-0.319534202924976,0.478741873428148,-0.841680239753424,-0.497051632175337,-0.389690379404867,0.343077181542099,0.373942481350049,1.47089821697833,-0.447444685767752,-0.0146965387136615,0.547029319467807,-0.154164036674668,3.00697161443852,0.15981419100915,-0.166666666666667,-0.587763223313646,-0.664887220482901,-0.0357114667647714,-0.0655072258318275,-0.96452573782355,-1.40586963596755,-0.94304515288028,-0.166666666666667,-0.982483445621455,-0.379438713601558,-0.233513577670755,-0.93250477567855,0.78535014746645,-0.492340346478684
"ETEC_Ctrl_2 (GE) - TPM",-0.225188322626469,-0.576479732972089,-0.322959309115665,0.270309162367075,2.08340499764808,-0.648410974173915,-0.205671628893336,0.0761368404437446,0.548195934779638,-0.328139057735266,-1.16618822742631,-1.36588831067553,-0.166666666666667,3.07634579947599,-1.64969553700076,-0.238926002096147,-0.166666666666667,-0.166666666666667,-0.337432089511132,0.855567568822727,-0.298712948748732,-0.862061913326674,-0.194168369680051,-0.3168511598793,1.39829079845773,-0.438956608796905,-0.60040914847975,-0.722633579973431,-0.447763486899759,-0.28684923680706,-0.124983473431916,-1.37871071898588,-0.163273615645266,2.20913082196264,2.85108926925361,1.72500329577666,-0.429782666502778,3.70623590243071,3.8249297952958,-0.951082756012735,-0.901162475009429,0.315235534808852,2.34821998902192,-0.202073207180367,-0.76216653971204,-0.493012536003278,1.99548273362121,-1.36930968520935,-0.478729627888153,-0.166666666666667,-0.371014497549083,5.06047704359354,-0.548238251621733,-0.166666666666667,-0.356654764752025,0.389304951666832,-0.496400921653201,-0.247936067019884,-0.166666666666667,-0.277270304230887,-0.619209929717171,-0.453534282596548,0.522280576835851,1.53782364435735,-0.841467762461429,1.42625149465676,-0.121740188983837,0.481439276033651,-1.24090492918292,0.377234984033322,-0.389690379404867,-0.73454664283682,0.181293866324613,-0.0960417292659978,-0.447444685767752,-0.440134279970947,0.45920536906157,0.575857459611422,0.882801271351883,-0.845263898815962,-0.166666666666667,0.711182391557554,-0.207767596138801,-0.689227338900984,-0.0180600215444104,-0.96452573782355,-1.40586963596755,-0.891589427601929,-0.166666666666667,-1.693501789531,-0.379438713601558,-0.233513577670755,-1.08621379616978,1.46736666490208,0.0777308576443056
"ETEC_Ctrl_3 (GE) - TPM",-0.225188322626469,-0.576479732972089,-0.281664391733682,3.37949228046546,-0.00508810951678316,-0.648410974173915,0.661193110039418,-0.142894200822128,0.50025238109074,1.228425660239,1.94562178971421,-0.79193668374576,-0.166666666666667,-0.316462507067364,-0.276258375789171,-0.238926002096147,-0.166666666666667,-0.166666666666667,-0.337432089511132,0.122112283054244,-0.580053865574919,-0.376705877028772,-0.99569322780778,-0.3168511598793,-0.291534349205724,-0.249715916222647,-0.911030027433,1.43263023717787,-0.21628471116966,-0.28684923680706,-1.07726782032843,-1.08623070189901,0.0107100288665234,-1.17557982550966,-0.808051542612987,-0.738712712341948,-0.429782666502778,-0.956810453881692,-0.207126510510823,-0.951082756012735,-0.554744882557934,1.15401683677095,-0.708010878128043,-0.202073207180367,-0.76216653971204,0.341330219043221,0.458033042871002,-0.528217628883558,1.12461114080037,-0.166666666666667,-0.371014497549083,-0.304661193090631,-0.506447885812093,-0.166666666666667,-0.356654764752025,-0.679829024057367,0.118953490373043,-1.54732265560008,-0.166666666666667,-0.277270304230887,2.42770792147731,-1.10053819416975,0.550120280802255,1.67049929534768,-0.726381792650737,1.0961119534585,0.597756286158582,0.136783917517502,-0.471355357437035,-0.364141397069254,-0.389690379404867,0.859312282170334,0.921459730814169,0.215726559174026,-0.447444685767752,-0.967843464827569,-1.17154083625476,-0.898332239447622,0.471400129383459,0.525834357419202,-0.166666666666667,0.0510109884375916,-0.441444820636838,-0.541295663240375,-0.901550100082199,-0.31944259318341,-1.40586963596755,-0.508703009733376,-0.166666666666667,-0.0413222098232515,-0.379438713601558,4.87208948927109,-1.08621379616978,-0.731965467916029,0.222844131815178
"ETEC_Li_1 (GE) - TPM",-0.225188322626469,-0.576479732972089,2.47584268266762,1.83285981264646,-0.828620821298398,3.60973257405045,2.50629651096305,-1.02957049462242,0.223299739934618,-0.888934702003418,-1.16618822742631,-0.58208625031451,-0.166666666666667,-0.784835739319123,0.0652729917123856,-0.238926002096147,-0.166666666666667,-0.166666666666667,-0.337432089511132,-1.58772844714207,1.17640482210456,-0.862061913326674,2.83113833407819,-0.3168511598793,-0.805646010604107,-0.489380302042639,0.34260724373495,1.17919468225272,-0.985759809320198,-0.28684923680706,-0.167192521879284,-0.119312420888005,2.24009376652551,-0.36690813968506,-0.808051542612987,1.05008228224265,-0.429782666502778,-0.336827387837365,-0.949633837167138,2.87091959955456,0.0449898142965909,1.02457048882371,-0.120289816748059,-0.202073207180367,2.42126691894568,-2.05519633135651,0.0315481228756781,2.45940836903312,-0.979953046232027,-0.166666666666667,-0.371014497549083,-0.304661193090631,2.22627041847568,-0.166666666666667,-0.356654764752025,0.341916660088528,1.71351703017752,0.756677558720209,-0.166666666666667,-0.277270304230887,-0.619209929717171,0.886110485165979,-0.410089917549261,-0.0221222409809465,-1.09252330502936,-0.833482963679582,-0.690577401180193,-1.39486840552264,-0.218189472534982,-1.16509128087691,-0.389690379404867,-0.73454664283682,-0.490831156230487,1.16863917712886,-0.447444685767752,2.00193931994641,-0.251301734574576,-0.357138063962983,0.634680505591833,-0.908603914676895,-0.166666666666667,1.95419930283037,-0.339168823270455,0.262872164852661,-0.901550100082199,-0.96452573782355,0.127557051204852,-0.0183951015861239,-0.166666666666667,-0.85663718874764,-0.379438713601558,-0.233513577670755,-0.775748430446191,-1.42918690142366,-0.582919555319185
