"","SPD_RS00555","SPD_RS02390","SPD_RS03100","SPD_RS03415","SPD_RS03420","SPD_RS03425","SPD_RS03745","SPD_RS04215","SPD_RS05240","SPD_RS05245","SPD_RS05250","SPD_RS06750","SPD_RS06755","SPD_RS06760","SPD_RS06770","SPD_RS07620","SPD_RS08095","SPD_RS08310","SPD_RS09765"
"STRPN_As_1 (GE) - TPM",0.408571656185789,0.266239533986536,0.0881556692569817,-0.311365237649634,-0.318174702322605,-0.296621806151774,-0.351257738773092,0.0584001133503107,1.49661780380075,0.131226227230666,0.00769623918036158,-0.540946073442333,-0.382773838942247,-0.395306349601569,-0.373780935183273,-0.388484598006146,-0.822353538423943,0.074065423872502,-0.485031789277533
"STRPN_As_2 (GE) - TPM",0.801499003644249,0.362591555649122,-0.181098157659609,-0.295271172773325,-0.308043900277342,-0.289400257817012,-0.445150855450293,0.0930617881562476,1.21804693962138,0.300704735979532,0.155452863330176,-0.565273489329573,-0.333101073900194,-0.358396872539782,-0.328822889804236,-0.114289195402952,-0.667176014331935,0.112522247974822,-0.421386253922306
"STRPN_As_3 (GE) - TPM",0.556329679203105,-0.338132029660645,-0.491490515060029,-0.270998940430428,-0.32544334330993,-0.314380019087771,-0.671511884047242,-0.810086318850768,0.416532187571942,-0.10313964873422,0.350188035161887,-0.596036906851127,-0.434327855030722,-0.530322891697788,-0.27601988243021,-0.459779677895094,-0.873603307739679,1.10472470736997,-0.486526339562261
"STRPN_Bs_1 (GE) - TPM",-1.03184786476771,1.27747656816049,-0.815281669418804,-0.235127143128223,-0.258627669403261,-0.238832163790655,1.62943734710766,2.68026034612456,-0.244193641298728,0.361141254161528,-0.229056611603637,-0.671808924124036,-0.496776750195992,-0.498079914255844,-0.503222078114887,1.21166409713656,-0.131023250134258,0.523516586360934,-0.429929501284231
"STRPN_Bs_2 (GE) - TPM",-0.258048143070778,0.824034636413471,-0.815281669418804,-0.163320627015349,-0.307432297663025,-0.214006164797959,1.44214342744265,1.53153279997865,-0.329186757013618,0.509123030760234,-0.084535955405224,-0.633638006539287,-0.42418716087477,-0.548870265541862,-0.311344488372835,1.31880891936365,0.0817225528069395,0.0324714843093379,-0.398502983214967
"STRPN_Bs_3 (GE) - TPM",1.16563288606251,0.0508051470505922,-0.815281669418804,-0.279351777179053,-0.34051456951556,-0.278839652601862,1.29652894483976,1.17294275346245,-0.0828033004401159,0.19412259269277,-0.348336976185141,-0.391018123094388,-0.506408483651505,-0.585312856424447,0.365855441535887,0.832085708882815,0.662944857347658,0.849978187481129,-0.448017654317213
"STRPN_Ctrl_1 (GE) - TPM",-0.659103333780305,0.292059999306366,-0.292053235105301,-0.286014493790352,-0.276584635968469,-0.281452545328199,0.610147421453306,0.615023386978811,0.394116143516078,0.0424153679949251,-0.187256476768455,-0.125107029699992,-0.203302138115115,-0.173013667830265,-0.339816057992783,-0.125651856373365,-0.576420949915565,-0.0838455377209091,-0.398095733005039
"STRPN_Ctrl_2 (GE) - TPM",-0.625747764653882,0.28800813382108,-0.401786320968632,-0.260058423038754,-0.257112594720603,-0.268385821008748,0.683017286911035,0.602397146540907,0.343675363496366,0.0868419748813502,-0.249532438659218,0.00502539966558655,-0.151973238839021,-0.285471813630264,-0.266040152852882,-0.248178131045729,-0.599127090570138,-0.243283803640533,-0.401197854800826
"STRPN_Ctrl_3 (GE) - TPM",-0.642385712603203,0.311128711642218,-0.60261909587921,-0.287699708770636,-0.266274915976319,-0.275020261008666,0.523590313557724,0.562099300158655,0.258711713122025,0.00783046793127114,-0.257278470070242,-0.111997734721197,-0.190518038594295,-0.170746742171889,-0.314834440525749,-0.186750502223917,-0.517368491765383,-0.0325746450667435,-0.39779297441705
"STRPN_Li_1 (GE) - TPM",2.50114367704711,2.04671933533107,3.48876978739038,3.2863290295567,3.49969438860929,3.20814592693054,2.45587958303819,1.29033138129198,2.3381529897101,2.94571436591911,2.60939754601118,2.95111318143412,3.38940579882502,3.27017091071526,3.26750930973974,1.50729159613042,2.33946569367875,2.49851782015452,2.769620003949
"STRPN_Li_2 (GE) - TPM",2.54557384036449,2.16170133887897,1.6792850031294,3.2134239623934,2.87123825522463,3.42572280380725,2.03864048966843,1.34106023275165,3.09778764030749,3.26051519340722,2.65295389851031,3.25023755046542,2.83750048494388,3.19339282766237,2.98441616524604,1.69480598058114,1.95838823739911,2.56051264925682,2.72513470815373
"STRPN_Li_3 (GE) - TPM",2.54269765314737,2.03671724981227,1.57391105049013,3.3025673836163,3.40301404708769,3.16595951517073,2.47912796102519,1.31798767220759,2.47862570988084,2.92963238733888,2.5291812261661,2.98330717364614,3.38617944326623,3.15835781234016,3.36423130877765,1.85767534515323,2.36078807477382,2.08191048483586,2.7742236662604
"STRPN_Mig_1 (GE) - TPM",-0.662239916803569,0.70727452957442,-0.815281669418804,-0.351160296000462,-0.338816728952521,-0.339662100006292,-0.770110797974288,-0.761634818155964,-0.74020582895608,-0.522664834387447,-0.533096688860318,-0.619523744731509,-0.488630497580555,-0.541507129089946,-0.532892413089572,-1.19023551014448,-0.52289958452506,-1.09913037402279,1.01936090850932
"STRPN_Mig_2 (GE) - TPM",-0.65415764903031,0.653033241127721,-0.462864428378361,-0.352561037478818,-0.34051456951556,-0.337204380030928,-0.519110221903599,-0.534015046898043,-0.773425276883638,-0.613289977939414,-0.622233189517975,-0.641562152534416,-0.515127063858364,-0.564330270028865,-0.531678942558122,-1.27766820534675,-0.650535454010699,-1.09913037402279,0.86211703516465
"STRPN_Mig_3 (GE) - TPM",-1.16979092724764,0.702830000749514,-0.815281669418804,-0.348732495721131,-0.337078215614564,-0.339433807857517,-0.514546736319225,-1.04301183258738,-0.70184685001892,-0.559492137887063,-0.38950776516433,-0.579814976369035,-0.44652443229629,-0.584547431143004,-0.514965383663342,-1.14640494677445,-0.449871799992624,-1.09913037402279,1.70267893008615
"STRPN_Nd_1 (GE) - TPM",0.650385361838689,-0.995151586109731,-0.815281669418804,-0.327651841802294,-0.305884720116719,-0.317007588159469,-0.935037964227946,-0.483367792081552,-0.819688152231973,-0.710539891657673,-1.01309532305284,0.222277374447538,-0.113699042349018,-0.299728404369588,-0.365437061714652,-1.0978749345045,-0.62345923466138,-0.466142980536389,-0.542111815868629
"STRPN_Nd_2 (GE) - TPM",0.858164663984565,-1.16894048890867,0.553967459747489,-0.349165822598856,-0.313959047695943,-0.305542685161775,-1.31503824490716,-1.46162189256898,-0.800263251002629,-0.70937351547514,-1.03592629100059,0.67606779861054,0.221793978640679,0.14316054991631,-0.29817684776398,-1.14813286267677,-0.493881521761665,-0.853875905007127,-0.475587965103609
"STRPN_Nd_3 (GE) - TPM",-0.143836193683243,-0.629949739271343,-0.67789586162677,-0.352476553777145,-0.330922402343672,-0.331724742743805,-0.31508211853748,-0.259142739637641,-0.772579642107028,-0.653000275796526,-0.889499279975411,-0.197679730042723,-0.372958906154033,-0.520010345832553,-0.499989258439156,-0.65632490686498,1.19799240532538,-0.869455702076739,-0.549818834899261
"STRPN_Ns_1 (GE) - TPM",-0.507134328711355,-1.08322865307803,0.52364870296284,-0.287638899188155,-0.271960334910007,-0.267539892062707,-0.526279412381082,-0.209230651132834,-0.480768614060453,-0.499456111395551,-0.753678691945437,0.249839955883578,0.0767910210107454,0.0722235464165103,-0.0482650605340973,-0.427763241149387,-0.17230290108382,-0.555529548460427,-0.586608021685488
"STRPN_Ns_2 (GE) - TPM",-0.550805241341914,-1.08121855556512,0.235326832108448,-0.286802843972638,-0.250861336861176,-0.269911956798768,-0.53815406795423,-0.232088025175079,-0.404743768994391,-0.502085974356732,-0.750256540660846,0.333801423872274,0.0693323391985784,0.0300680437848646,0.0616540455976757,-0.494173286415288,-0.0074111528114017,-0.471860958720469,-0.586105858867334
