"","PA0222","PA0235","PA0247","PA0296","PA0437","PA0439","PA0570","PA0605","PA0675","PA0694","PA0699","PA0893","PA0896","PA0897","PA0898","PA0910","PA1171","PA1230","PA1233","PA1346","PA1632","PA1702","PA1705","PA1706","PA1711","PA1712","PA1714","PA1780","PA1786","PA1849","PA1956","PA2209","PA2257","PA2258","PA2324","PA2346","PA2348","PA2349","PA2356","PA2439","PA2478","PA2498","PA2603","PA2674","PA2703","PA2763","PA2791","PA2837","PA2880","PA2923","PA2934","PA3061","PA3133","PA3219","PA3246","PA3296","PA3375","PA3381","PA3382","PA3384","PA3661","PA3714","PA3715","PA3842","PA3860","PA3938","PA4082","PA4083","PA4096","PA4105","PA4152","PA4177","PA4188","PA4399","PA4497","PA4599","PA4756","PA4797","PA4819","PA4821","PA4859","PA4884","PA4901","PA4975","PA5079","PA5156","PA5174","PA5328","PA5386","PA5387","PA5391","PA5393","PA5404","PA5405"
"PSEUDO_As_1 (GE) - TPM",-1.52831623189134,0.38211596011152,-0.350712314190648,0.44002935635596,1.55024930698598,0.0574785527896529,1.79101389886671,-0.392680191439828,-0.856455210252073,0.586518356999067,-0.584554207247034,-0.863585571782907,0.145347947202732,0.468050227434019,0.272716186692307,0.445490153793621,0.653313352674739,-0.67148857218092,1.35529377446288,-1.24340765854192,-0.0168120682389784,0.239810670034423,-0.383327442201,-0.114309959839167,-0.0707516420226194,-0.421780118233076,1.48574770679084,-0.291618088940876,-0.115020314923786,0.169527388711601,-0.942047631641988,-0.762446199733535,0.357135226464372,1.4971118569404,-1.0627073102097,-0.227263328760544,-0.604494508333077,-0.537974669474977,-0.74661660269537,-1.20176213198629,0.499064838946936,0.229977841585359,0.0131809369011203,1.72567111516541,-0.0204185316881815,-0.858396196557847,0.211649868009135,-0.910140076139791,-0.68912894383596,0.370240543601904,-0.520859137195746,-1.25320544472995,-0.419281503710054,-1.53838371904806,1.23062160801736,-0.568832797660127,-0.0941592302795624,-0.430186830216007,0.792808499732097,-1.47623619253784,2.35357926928662,-1.26948308509609,1.77688510074592,-0.539283564559982,1.49048539670544,-0.761577391924606,-0.993518247366062,-0.940553562873013,0.816359316861686,0.728743902283209,-1.31928891523485,-0.33725420379355,-1.39690466538348,1.27709194176133,1.43481584726916,-0.200735477897615,-1.06511948572407,-0.211111037716897,1.44436131567128,0.940208995066415,-0.323358926271586,1.14533821330514,0.318900706515863,1.23750858417483,0.894890467324905,0.0406997825554582,0.782412124520494,-0.104724176078782,-0.0906734213773855,1.127844046449,0.632800357026418,0.631184605620578,-0.907889477398138,0.556576624484026
"PSEUDO_As_2 (GE) - TPM",-0.834514024051628,-0.656533997077597,1.14417812990292,-0.206109558102537,1.3930020231331,-0.234637310164557,1.84183021822809,-0.0517381445067143,-0.756396335258306,0.387595919915024,-1.08918048752439,-0.684643700589583,0.363724750133738,0.826113466020929,0.678498229080247,-1.46425378228559,1.89442066821945,-0.298031605859947,-0.0277267321010814,-2.11737910193984,-0.980180211155391,0.826137188870622,-0.185374483471796,-0.197072954226832,0.596898789445748,0.887761689538425,1.3926359418103,-1.00786621298753,1.6083674897041,-1.2053436894503,-0.3528947966607,-0.470522207662087,2.97092628062074,0.872413412469022,-1.02198982122429,2.43704463275072,2.5948628036969,-0.446591650020775,-1.58924891813796,0.74718653368569,0.290172028780659,-1.23080172079079,1.05874529672293,-0.915931106687703,0.426047872891097,-0.856396795897285,1.61118299608793,-0.667299390884957,-0.727799401409872,-0.0544695237614866,-1.5774428418532,-1.65615031066261,1.62918207107246,0.925816539301579,0.5023686911612,0.953534363168879,-1.42472380704615,0.0805801080782621,-1.8475909714179,-1.45076544466654,0.448980837000395,-1.318134330482,2.12406691267751,0.164636349640693,1.18744839034927,1.13192861196258,-1.11383768590459,-0.0361178340305531,-0.756384300950383,0.939171483106055,-0.659390619495684,0.548294558475311,-0.217194643569325,2.48104551376717,1.92525912787861,-0.0598911437799191,0.276247463041025,-0.877619597982338,0.473802714411189,1.25563512278558,0.718520306840657,0.478551404024989,1.19257287410118,2.65219587731752,3.16585728204014,0.00236446034586135,0.921006931801976,0.48226151408332,0.266831936846293,-2.32299265715875,1.55449171491701,-0.385694400762511,-1.24366388017973,-0.421701051440679
"PSEUDO_As_3 (GE) - TPM",-0.379794476485531,-0.20812124556376,-0.167389423969875,-0.579184955509041,1.62156305406345,-0.405430135998423,0.0741128031999479,-0.194409896014907,-1.18690498894083,0.284978435037684,-0.319900984266019,-0.720301266379941,0.11031425426063,1.10091937736861,0.955974965441968,0.653294722684166,1.26570855011143,-0.551055578796479,-0.516133605518223,0.27059572008436,0.33461344485309,1.0321406317846,-0.524901611676271,0.013392529557875,0.28255149130361,0.267336853134606,1.29183526528082,-0.735418934677401,-0.870885115980621,0.796158267182977,0.461674107193722,-0.559887754825519,1.24452991261414,2.00677187803747,-0.0634274161612273,0.831324390526734,-0.519024271033812,-0.311821544504184,0.579042712136201,-0.262016289680567,1.1357334120155,0.78292105918665,0.580669650151214,1.60569696570854,0.404136298002114,-0.584232092974939,-0.582203128495647,0.58423478587961,-0.934251928152678,0.0716401359757995,-1.7224169295371,-0.0556380241816637,-0.173772917772573,-0.00565862630951255,0.299226341791081,-0.323026164550366,0.427114434425342,-0.705710028978812,-0.802158656162533,-0.0544774789804775,-0.0343040381677698,-1.26531728922806,1.76486361619108,-0.188540982861758,1.33967403109808,-0.320360533668968,0.209018934945406,-0.522709739665782,-0.00750010996962601,-1.30149342796022,-1.17004829324716,0.296706181537623,-1.56786655239007,1.87710854018479,1.2172162706481,-0.399398250711303,0.278044327222482,0.941666687054221,0.227279088729721,-0.116014335277046,-1.21860839910198,-0.673767294544739,0.732441542435047,1.29106726545491,2.35468994845168,0.110447464749392,1.20698316394257,-0.461126432032592,0.391522763143157,-0.0382472782999476,0.578824065849382,0.0817159806888426,0.113553289103026,0.867576611753155
"PSEUDO_Bs_1 (GE) - TPM",0.176110395021056,-0.171440036442964,0.446885083143113,0.901807876740161,-0.229958793052217,-0.063350210162922,-0.107775444534909,-0.162797217246081,-0.0587436848192834,1.72306859782519,0.466895375800641,-0.128929125186354,-0.72662665168649,-0.926764353576435,-0.911271677177543,-0.667244608993585,-0.00779584351573919,0.118545429009544,-0.23008871136469,0.752702320537076,-0.980180211155391,-0.280515286421349,-0.315768441812109,-0.325354026779722,-0.211616242857792,-0.130974873089539,-0.538867844533963,0.70323909016904,0.461787494375009,0.274318310661002,1.76178691475371,1.33221869681467,0.230443051985954,0.473376974875042,-0.0273428343363013,-0.137814793779581,-0.26893599381371,0.587268644543824,0.438662232144945,0.155818842072089,-0.802286369177545,0.187073249742335,-0.00461382105434207,-0.806901750228148,-0.366262967442936,0.161387374980836,-0.430506498975126,-0.747765220737472,0.127959916003545,0.947205172447407,0.283028965569658,-0.186234370868593,-1.05058862970621,0.743672028399183,-0.130564577388187,-0.221796272698975,-0.678526871603805,0.708942519131944,-0.225063970073378,-0.422805655436092,-0.818277671648746,1.72972523531312,-0.462162317170064,-0.321588605006895,0.1196719281557,0.654646233733891,0.52413400274208,0.0190000745289784,0.445206550056453,-0.451944598129603,-0.2711761761265,-0.5055352991571,1.2626531669052,-0.14275536885993,-0.0157361185642396,-0.340274661829286,0.0883726235465763,0.0190166391973911,-0.833589009631704,-0.0139212597598924,0.534659578223702,0.362893411601295,-0.339577228173714,-0.245841449229887,-0.511275867362481,0.0923215012782632,-0.981438020194524,-1.00772000552045,-0.34027887050286,0.306161150399253,0.457435416250822,1.20429176866779,0.17713135098071,0.0723549367607937
"PSEUDO_Bs_2 (GE) - TPM",-0.715113901739179,-0.716548523192665,-1.05086729043918,0.267534764992288,0.0244500683086957,-0.164457056521199,-0.135124346391108,-0.686054396749324,0.44745676690778,-0.593058511828995,1.46405383655981,-0.317051711136091,-0.790582912521149,-1.08217338954159,-1.04121249974142,0.00202807006858255,-0.381609140738807,-0.527754444080444,0.481378117164792,0.969522303508298,0.540506669162614,0.295607015512511,-0.314475262607314,-0.433259287072833,-0.25575418020615,-0.0217931625482389,-0.530332645962949,-0.446164571744936,-0.114231864770645,0.820221716195937,1.94237573679253,1.41126619586836,-0.740037813425709,-0.932071591851001,0.368531688942798,0.0193242345464278,0.977039232515184,-1.06888697353491,-0.88037853566431,-0.209632437295363,-0.560815090439441,-0.948681946885437,0.707596335197154,2.01840599897557,0.0491765291071321,-0.37028757699764,-0.531644520377716,-0.223687624602728,-0.134241952386199,-1.24332423590356,-0.236752069187739,-0.588993995688761,-0.252184659394846,-0.516969320765676,0.0329699772763299,-0.825985124275632,-1.55903277848655,-0.510646497513553,-0.318603946925088,-0.495189278254223,0.567648765393822,-1.04387860538114,-0.27385207723356,-0.695106707107432,-0.149761978736661,0.789634733940203,-0.0259101851018934,-0.563950653653387,0.471491958378529,-0.678192271187817,0.492528730122357,0.210569346869436,-0.869948597902087,-0.192734311184101,-0.261131513471178,-1.01004919592845,-0.123903581947278,-0.877619597982338,-0.716900022344512,-0.332490770021467,0.542208582489706,-1.04260777940167,-0.466792969131559,-0.235343614768482,-0.550064967627105,-0.0689243006023194,-1.00368570114809,0.561666740815817,1.04903055317422,-0.852898770692065,0.84954573652479,0.723558160066141,0.761086829118131,-0.214989789669276
"PSEUDO_Bs_3 (GE) - TPM",-0.754128782735251,-1.47417411032617,-0.97246433068049,0.146227383072432,-0.0692390137696942,0.915886021337687,0.464125652471296,-0.328525341378252,1.43985594481533,0.38276864194091,0.209009376509175,-0.42134915501186,-0.835097433005988,-0.96986065890382,-0.905968760536667,0.651012626693673,-0.0505323618481125,1.31785773360379,0.558403831666157,0.592884338535648,1.58582641184391,-0.447718682070683,-0.439754579572104,-0.0577012577932702,0.011156227001934,0.023975656458561,-0.677263157831377,1.24750958710396,2.35937426913741,-0.71706675969724,-0.243626192284843,0.344227392872796,0.15811920994142,0.247861763753209,0.30188012090049,0.482911245605853,0.108971024893609,0.66398933451417,-0.82965295153704,0.439001890488761,-0.586850453576127,-0.0125848838773829,0.299603761217917,-0.0880869695270939,0.302693546990976,-0.132474976881402,-0.508622627150139,-0.0638289105060221,0.150704895700012,0.184134776853546,-0.444589141627211,-1.46348686178981,0.151406827578529,-0.0119333678295973,0.0702158612243978,-0.759380624851576,-0.716570987524927,0.884863953128614,2.20330499160159,1.25685167945114,0.441958523712275,-0.37583370313068,-0.713303210203918,-0.423717839729086,0.0187463556778579,2.14062625498151,0.241045719587341,0.0616052046439838,-0.579119422690466,-0.626430071716402,-0.237854410287592,0.230976709041371,1.27712495078092,-0.238332686869474,-0.662601648268765,-2.07967094678115,0.356904576236387,0.305912290661712,-0.743868615300578,-0.0243963379283981,1.08721707681981,-0.266608207632674,-0.275678386554595,-0.115221514452117,0.645533457532106,-0.455451397742669,-1.08066972039628,-0.252259509299504,0.621121386267438,-1.03098404126398,0.106101968271734,0.871168663649986,0.975813075721466,0.0280415610872594
"PSEUDO_Ctrl_1 (GE) - TPM",-0.1634337555075,0.703010371345884,-0.181436249913968,0.162789114325175,-0.496171484390097,-0.43835466970425,-1.30027707965822,-0.344097621822549,-0.164421229828863,-0.73424662467181,0.0106914299389128,-0.500627258469925,0.881125101336676,0.791355478709688,0.605500070703102,-0.0492366169365924,-0.478500239086481,-1.048687385004,0.747698520725176,-0.263959621070873,0.598235949290351,0.284832973967083,0.225167857555903,-0.0391908625043658,-0.0237220930512057,-0.316469659041649,0.0572300376239973,-0.521683942357019,-0.323198194169461,0.746941714887406,-0.164629596471159,0.626772325796051,-0.00120241392676836,-1.0111431622569,0.366998954633585,-0.677852383610826,0.931440715232207,-0.186482774931662,-0.537277351591224,-0.439129583640959,-0.397953677067585,-1.24595073103117,0.516489393722609,-1.1279267887812,-0.151869797440225,-0.235749071752711,0.0428515438956186,-0.0320312062062162,-0.937340157485241,-0.813002047637891,-0.800900090955423,-0.564001283620007,-1.25353806412905,-0.776462871990063,-0.0134773218622325,-0.2024655533939,1.1997795048807,-0.123643984692454,0.0984681828635814,0.181166198755191,0.581311910294877,-0.72988653629033,-0.588959400699461,-0.157358739880101,-0.463839901864614,0.432639557725429,-0.332060431097695,-0.853394521957614,0.180662983283013,-0.758741892621953,-0.153920400242737,-0.448459235861742,-0.999905451414322,0.473793373997706,0.0914804358306146,-0.101082329854951,-0.191776857453561,-0.149598928288206,-0.651621275029779,-0.206618011036605,0.0756347062436355,-0.0415534972610922,-0.413655731689181,-0.2024631862892,-0.185383505827568,-0.359258354471357,0.0799189619925404,-0.09256594921956,0.499607590984296,1.49764335110875,-0.364994339261918,0.140338586966496,0.536234307251412,-0.981382653538923
"PSEUDO_Ctrl_2 (GE) - TPM",0.675570752819622,1.37888741048919,-0.551648293738126,-0.625949859875807,0.516747599107701,-0.33971976497248,0.438215143327432,0.00194817974932705,-0.958343498672158,-0.197643327495149,-0.287359081915515,0.0631836736023795,0.959862053101859,0.748329781605843,0.809348943111237,-0.94029599847241,-0.628339467778255,-0.438342856098627,0.049129791450775,0.0392281374306919,-0.382811170563281,-0.0329226186307467,0.59321174495699,0.565223789673863,0.21323812863307,0.204598606903722,0.552268244304568,-0.359909829285192,0.679657822359866,-0.52331539268771,-0.018180176401656,0.558064006459493,-1.06557346043228,-0.362299322697501,-0.408135691422585,0.262475808250999,-1.41933021224315,-0.548449840884849,0.554605939524101,0.0614468262177962,-0.484123915653461,-0.932991344189531,0.428746069465811,-0.156949040350976,0.54627370527583,1.09677382930696,-1.15550542941156,-0.678997075001725,1.82093110437753,0.601873780434739,-0.245444683681273,0.337435392462981,-1.19312060129251,0.298048989109632,0.257831733958474,0.0261933055161364,0.266142651150166,-0.0648531518415874,2.45157274397587,0.75929835926164,-0.721057912826409,0.680770816624241,-0.447270522339997,-0.179268553142318,-0.39385392702959,0.396382406967819,-0.319832371934923,-0.739518429581657,0.647405925155945,0.432974534469296,-0.0694855527452415,-0.569077621070962,-0.857397875326024,0.365395870266525,0.0382440256393626,0.23098569819709,0.0607775556898358,-0.877619597982338,0.47659434202248,0.611416520891607,0.682778192607119,0.465687604994237,-1.26874818896314,-0.206902642930261,0.0961945684995845,0.204659086993736,0.0115073695023387,0.620001763175849,-0.295345951717988,0.573586093248373,-0.635803223796175,0.709627142970912,0.650883667076063,-0.182639893955752
"PSEUDO_Ctrl_3 (GE) - TPM",-0.561198503863437,1.52440404646545,0.00819146264068489,-0.286435001535319,-0.183825645161435,-0.887010164944405,0.150249658974313,-0.41177546501489,-1.4455930315983,-1.23039599247093,-0.125864260337971,-0.251872614680711,1.10996994219767,0.468302861146206,0.588101826665545,1.1258759313773,-0.86292974038173,0.833239402002312,0.573910950510037,-0.277431575777176,2.36898258030174,-0.555535002171063,0.962113241125513,0.302129119213756,0.00519677594454175,0.26445529602975,0.530651250967495,0.575538502103836,1.25944557208488,-0.659085576810241,0.533751792522957,0.692872763071849,-0.70703823502523,-0.258298282687881,-0.665563922038462,-0.674768473409499,-0.839321436080845,-0.584705200443691,-0.204070248758303,-1.40422819510061,-0.989514223540634,-0.519212372600402,-0.133562025309891,-0.404430051603554,0.234806839777622,-0.187776897130436,-1.24687597388043,-0.409093886121174,0.20233575791122,0.171905136870544,-1.04541556306204,-0.49564381131352,-1.89195697436761,1.5678127107836,0.295128880557264,-0.117454827312827,-0.898629709256044,-0.515941928576454,0.017308700899553,0.480257395364723,0.720620312276022,-0.788874300815333,-0.431620575780944,0.136955546675916,-0.655218853613618,-0.308988960732664,-0.373540362995694,-0.482589758282385,-0.676082436683969,-0.597263784233136,-0.371720933570774,-0.696326680453436,-0.804099600750354,0.518431426934749,0.593627185328623,-0.0525855461696008,-0.534613952309844,-0.215583511003611,-0.948645693348979,0.0102746914694891,1.27983052226444,-0.269488321721278,-1.01998844536351,-0.737049151899847,-0.571856231604504,0.0037365551211823,-0.0722952141305727,0.263387888269987,-0.808609357891532,0.22224688311517,-1.48648649858872,-0.467324314549558,0.742692379906174,1.91902233376652
"PSEUDO_Li_1 (GE) - TPM",0.184835960221524,1.73450478468105,-0.110498216548524,-0.0384171285276653,-0.291743066217138,0.90192917730449,-1.11509376657055,-0.389217984386933,1.38882398109981,-0.909938333370483,0.922791892586513,-0.920544182513239,-0.133341662401796,-0.280642723071643,-0.599457269412319,1.17198211099784,-0.307738207867624,0.549168894275656,1.39057221208084,0.66282265049752,0.0393021880946561,-0.82617830769702,-0.849700203601718,-0.819257481345121,-0.872749348412265,-0.812318693026443,-0.715454951527007,-0.44154556360445,1.25608247350243,-1.05984823431615,-0.304304909584958,0.182717292493024,-0.891326026971704,0.539870593260441,-0.524550107491188,0.290149568963223,-1.08683747281223,0.0630519588171948,2.39982805232617,-1.36772330432593,0.44505192529364,0.0685505165009169,-0.218573739331032,0.207518641306532,-0.576168610783567,-0.144732125940887,-0.242098207704799,0.150622076876449,0.261894790424123,-1.04474018642826,1.50040212166608,1.9178728131219,0.150395673101538,0.534710940305544,-0.457794051907249,0.0521886187447058,0.78266888821844,-0.100117520915806,0.0943393103076281,0.950103323744386,0.814615305417149,1.93321442024312,-0.0570708476359109,-0.496844932179347,-0.455163905308082,-0.864846522525639,0.473846935395077,1.80687534453605,0.488250020951641,-0.761595572712276,0.0886637371032381,1.03418183321876,0.290557723052537,0.891343617247972,-0.693368883070429,0.958424351503728,-0.889269644592939,-0.877619597982338,0.0132554516009562,-0.307012939239955,-0.342972137887343,0.33679746221776,0.026726955340879,-0.818778694375098,0.847101605471577,-0.799453200653034,0.12557713757453,1.09552846551918,-0.540010857910768,1.85686118780826,2.13669964558927,-0.0989375511310472,1.27845897906792,-0.485485044852536
