"","pWR501_0164","pWR501_0165","SF5M90T_599","SF5M90T_1373","SF5M90T_1550","SF5M90T_1691","SF5M90T_2036","SF5M90T_2037","SF5M90T_2362","SF5M90T_2366","SF5M90T_2720","SF5M90T_3414","SF5M90T_3654","SF5M90T_3814","SF5M90T_3815","SF5M90T_3816","SF5M90T_3817","SF5M90T_3818","SF5M90T_4024","SF5M90T_4025","SF5M90T_4106"
"SHIF_As_1 (GE) - TPM",1.13138850005508,1.26716697820257,1.31486505788051,1.81921709657075,0.348147149499854,1.16575862614334,0.816380440398327,1.32338082218469,0.481413438799931,1.54932920436789,-0.677481056480302,1.0323544657417,0.420842302700606,0.340749976135595,0.626194592259288,1.05858826375712,0.349306563724757,1.37189484165175,0.799931378627161,0.954278851598194,0.140192607033577
"SHIF_As_2 (GE) - TPM",1.16703701847351,1.44645420219845,1.45149154060299,1.55408761086243,0.594935586129871,1.46307674488718,0.771879405294707,1.31860214313713,0.615456304951324,1.53707895271525,-0.189527550410006,1.94475401568718,0.178090170268696,1.10190917492237,0.658824490009968,1.09523098563423,0.813158326966878,1.49968843629888,0.662555926496305,1.00710627623097,-0.141153486732194
"SHIF_As_3 (GE) - TPM",1.01773881767153,1.20257135371544,1.76047630133273,1.41799918551568,0.852069601911643,0.967682832107165,1.0445543600386,1.27302991361038,0.276449446164787,1.49573557687636,0.477942357100966,1.70511664601648,0.70127615353576,0.763342927185107,1.26110567190578,1.06834947595368,0.75319546011597,1.60920937348611,0.863897482207593,1.33675458021553,-0.122931433697316
"SHIF_Bs_1 (GE) - TPM",-0.543310302528179,-0.526425107294669,-0.159456625063879,0.545228729446735,-0.316489422864422,0.270101285860208,-0.0936028140897911,0.18159038684013,-0.463056065201864,0.401945815672968,0.591930681284966,-0.604878018830837,0.309556337982401,-0.341757314726064,-0.179047421938098,-0.377699710002023,-0.269804210138351,0.400528384062404,0.563793359903498,-0.145384261110492,0.567614560383999
"SHIF_Bs_2 (GE) - TPM",0.368362643485867,-0.0283637310391965,0.766447574150641,-0.112517216236489,1.04052560175908,0.550419885191156,0.581154528149998,0.418888977804006,0.290758868091128,0.991401334538452,0.953782224995979,0.0196083169797463,0.295246365512037,0.328170793138384,0.969628050298035,0.282211639744129,0.06076903387538,0.673120707479564,0.551611011272901,1.11625857221951,0.812666792113598
"SHIF_Bs_3 (GE) - TPM",-0.0707465757067939,0.189705734771283,0.808898794516758,0.24764563912015,0.65593695544598,0.620545914381318,0.909764520134794,0.90189292701252,0.124035420273199,0.653367365091753,0.92308165316713,0.251360916427567,1.15659308108811,0.592522676289808,0.515099860001984,0.680081094341204,0.269144330574157,1.04999576785139,1.06176496704167,0.814590986186838,-0.0541104983243082
"SHIF_Ctrl_1 (GE) - TPM",-0.544642231832583,-0.161255201805463,0.314254183042913,0.625265085931059,0.298919624870697,0.14266994230023,0.568405966214628,0.471664566679505,-0.110867828320838,0.228280260747624,0.694701810604177,-0.249287126754098,1.19038118732534,-0.120613626456383,-0.295434879034258,-0.371721758385087,-0.321712439255441,0.399572010182313,0.127699876419724,-0.257380113675704,0.828909008930045
"SHIF_Ctrl_2 (GE) - TPM",-0.830327782020899,-0.127823780578163,0.90501481313806,0.628526168535455,-0.799085746624408,0.838263132739338,0.268300576171632,0.268537556013915,-0.228856230406223,0.164731951570321,1.33861549016881,-0.0877913156634254,1.60106984136478,-0.296888293092793,0.036197326246231,-0.218796755075183,-0.321421905479696,0.503130914181401,0.273092377558183,0.488752858495425,0.54520725234129
"SHIF_Ctrl_3 (GE) - TPM",-0.959653265823908,-0.486342073226848,-0.0597481227118872,0.471011100998424,-1.0281388984358,1.41616215685397,0.442845687922762,0.164407237065595,0.269911554739585,-0.0917163840947857,0.361683761457989,-0.481273757699896,0.937017081411289,-0.45445317833086,-0.355504240062407,-0.434725962043238,-0.369195252703523,0.216860609960126,0.556379109744975,-0.245765671846242,1.09566769266839
"SHIF_Li_1 (GE) - TPM",-1.06752817496383,-0.938599398328563,-0.946786074432572,-0.631581738590776,-0.225678601317196,-0.542377308761084,-0.902857260335331,-0.996423078759991,0.946232112625835,-0.834916783766252,-0.975610641622817,-0.909913802987435,-0.85789430677025,-1.17804365865668,-0.908685181951725,-1.17075959135473,-0.737042283731932,-0.837251024435787,-0.782864586634359,-0.693143838953123,-0.610860129560816
