"","JHP_RS00595","JHP_RS01040","JHP_RS01085","JHP_RS01115","JHP_RS01140","JHP_RS01600","JHP_RS01955","JHP_RS02075","JHP_RS02120","JHP_RS02280","JHP_RS02320","JHP_RS02405","JHP_RS02420","JHP_RS02425","JHP_RS08000","JHP_RS02685","JHP_RS02880","JHP_RS02885","JHP_RS02920","JHP_RS03000","JHP_RS03030","JHP_RS03035","JHP_RS03130","JHP_RS03260","JHP_RS03800","JHP_RS03860","JHP_RS04200","JHP_RS04205","JHP_RS04715","JHP_RS04755","JHP_RS04880","JHP_RS05170","JHP_RS05210","JHP_RS05695","JHP_RS05750","JHP_RS05755","JHP_RS06120","JHP_RS06605","JHP_RS06735","JHP_RS06740","JHP_RS07070","JHP_RS07080","JHP_RS07345","JHP_RS07685","JHP_RS07705","JHP_RS07710","JHP_RS07765","JHP_RS07805","JHP_RS07810"
"HPJ99_As_1 (GE) - TPM",0.0236789588655869,0.848516396344474,-0.409324935560068,-0.852542457000138,-0.678647827386151,0.182873399787244,-0.48486260204785,-0.710412431738472,-0.323337704489988,-0.216526992755145,0.0429180594901862,-0.930338204645731,-0.681135472668177,-0.899013199393118,0.962358000122747,-0.727371275214134,-0.770037136352351,-0.284062831199289,0.345397469093709,0.464115943761563,-0.5860712030709,-0.793191678225009,-0.354626489119052,-0.675747320405171,0.52651308367948,-0.603443783793832,-0.701015029510169,-0.89330336641717,0.45211808988525,-0.453506923194447,0.0197743876249843,0.318454917329928,-0.912667291913845,-0.365687240182088,-0.599767306056447,-0.0498504345669481,-0.5553807707606,0.0725057182310587,0.201325642126869,-0.69223443151726,-0.602566990086449,-0.13443206600206,-0.5824027311399,-0.38474527882816,-0.702345862141524,0.186280954695815,-0.68340996916701,-0.804435185764883,-0.888724599582506
"HPJ99_As_2 (GE) - TPM",-0.571134157491363,0.361137947452368,-0.743880171111548,-1.07238387549298,-0.872723131215786,-0.449747584744969,-0.763507839445908,-0.824407133238217,-0.47878619931775,-0.194050728769309,-0.104232482863554,-0.727766750653923,-0.916344647134773,-0.158452343791523,-0.965609288816024,-0.938369684260478,-0.7452963670735,-0.487422817946692,0.116405061423901,-0.12442809454961,-0.509396491917673,-0.897403299744002,-0.609756496384938,-0.773049985187686,0.384384599291781,-0.632361111883189,-0.721986930458766,-0.899334283163149,-0.34145001733861,-0.0654807165287638,-0.0856905718616182,0.36181016690662,-1.16571289893103,-0.668130227967408,-0.618560502833771,-0.523764383217249,-0.13850979772784,-0.559068116387202,-0.435686370894521,-0.76580791382366,-0.679394577264123,-0.447780255373328,-0.108849557021858,-0.843878464261612,-0.753888103637296,-0.0837544179068749,-0.913446084669057,-0.728359316664944,-0.866524145878959
"HPJ99_As_3 (GE) - TPM",-0.37444916309142,-1.13334461671244,-0.628012255928506,-1.31950285231801,-0.625104008710173,-0.0127341951451393,-1.16557300642992,-0.723076815319044,-0.604585605599725,-1.24214553607966,-0.292013628708949,-0.806772534565337,-0.922913367071502,-0.815195146827804,0.27709473823229,-0.878404663569752,-1.407203450212,-0.491243074945528,-0.000338379549046957,0.396900638071025,-0.543141762575451,-1.09196393859657,-0.736475428994012,-0.865973472431909,-0.521220491725145,-0.648266631411632,-0.818677515270147,-1.01311112896096,0.0283644120298449,0.163246478402504,-0.342595911612019,-0.148403689712071,-1.48154679430433,-0.685821315386235,-0.646897906338511,-0.839640410864216,-0.623391421146065,-0.320780548478769,-1.1367195449242,-1.05729007229223,-0.860010302873567,-0.813906735110577,-0.641016321099224,-0.891013601196136,-0.797068010237867,-0.334777309162369,-0.815058021674352,-0.909584254382521,-0.93794910179938
"HPJ99_Ctrl_1 (GE) - TPM",-0.544125782674988,-0.258150756729413,-0.396140975477245,0.438963648473387,0.421747719369641,-0.689525758080928,-0.00826834560727871,-0.201987942433824,-1.11157357393482,-0.145151215275646,0.174000745011608,0.095113544253822,-0.269725621165981,-0.0508270289841167,-0.306361173726405,-0.155897657519864,-0.226547196386198,0.526514381578454,-0.532758746704344,-0.507336298648923,-0.193592646667386,0.429088759049961,-0.749111118641479,-0.450203386172337,0.435383576636998,-0.546304726671727,-0.167554650546797,0.519820953402788,-0.825183657653182,-0.409902829123747,-0.377728324085327,0.102346944336549,0.133563703891263,-0.983072977857864,0.774443263603012,-0.92974749894496,0.406076663850602,-0.490409454494529,0.495150376992695,0.446659553693332,0.22903840508768,-0.681828038950476,-0.558325921584859,-1.08019658170197,-0.247966111759844,-0.302062567157531,-0.103918809710769,-0.286782628459341,-0.0570926388510465
"HPJ99_Ctrl_2 (GE) - TPM",0.105403746079194,0.934332916698364,-0.225094897626346,1.19339257580503,0.184115516296977,-0.0476889508316294,0.458021642205723,-0.145617015187756,-0.61133448374338,-0.276411420388083,0.180293543629706,0.248623903998728,0.816662772013557,2.41543843008168,-0.0538887627323857,-0.570826835839091,0.935772414135572,0.266545093840468,-0.784304506287212,1.93682925810264,-0.666990003781505,0.484294392725073,0.35446982021788,-0.687015690853922,0.663705830723772,-0.612318409850612,-0.461690017428792,-0.0509620769105039,-0.602073078402176,-0.600663992471001,0.254064960375007,-0.37018002313924,-0.0998242942929593,-0.904930188711291,0.512229154210401,0.0176587057600908,1.11384759054933,-0.688358279273052,1.57794402460808,0.495995489072237,1.43645454812726,0.50038738712991,0.152083085056434,-0.898394523117967,-0.243917997523803,0.140355800842747,-0.330538392817551,-0.49333761528268,-0.416793692775839
"HPJ99_Ctrl_3 (GE) - TPM",-0.229784836720347,0.440979820785882,-0.511819378873694,0.309715727205541,0.00226643642387415,-0.501050147566273,0.177939143201567,-0.285920907086113,-0.927271547127714,0.156212859695638,0.110108522845733,0.678180629685419,0.648705443584362,1.19484574187693,-0.899660618538421,-0.737400766278535,0.623756015066014,-0.0653340970638315,-0.545014929043453,0.513732534177123,-0.707711292823549,-0.199361541615426,-0.669033032755899,-0.602729393849893,0.377261098727513,-0.603029674338409,-0.453067828231927,-0.197792179249853,-0.393175476812297,-0.542347082663096,0.175630070505379,0.597011188354412,-0.0412404568971305,-0.902680345578379,0.286779976292915,-0.226909716933518,1.15166654490399,-0.104693430642245,0.727149684152694,0.46808897853871,0.625052326980368,-0.269564355523428,-0.110273203603851,-0.559075733798615,-0.369019411830336,-0.0979247435061022,-0.471824421780937,-0.518591835780446,-0.465087335266748
"HPJ99_Li_1 (GE) - TPM",1.34814991687912,2.79831780199379,1.90864229896449,3.05501397453744,2.27064356104133,2.21802340092318,2.38229619945287,2.51917957102854,1.45720841010394,1.85925219219,2.24719805653661,0.947875088011863,2.48587233844133,1.75802003636777,2.30147771584924,1.8249097577495,2.55342873596817,1.81179448916863,1.60453268837358,-1.59268565415471,0.839907112445072,2.06663047871622,1.12871844480482,1.81031949946207,2.5204928421219,1.55869554081608,2.41357305469951,1.34242534973011,1.85990262174118,0.950878004850408,0.973534276385758,2.78113901112241,1.76634053909466,2.01297468986498,2.57703296306025,0.911740459137458,2.42330931816197,0.763327434340723,2.28768083697148,2.31438821628839,1.50041047495531,1.8145296833825,2.24435680992763,1.58988476005556,2.93283449323163,3.10952919688767,1.94038308302902,2.66382074591276,2.14891706719888
"HPJ99_Li_2 (GE) - TPM",1.47888445733532,2.19733521757322,3.02687349039867,1.59894416230413,3.16795563721705,1.77692244515916,2.28537641616561,1.95172014798774,1.91752179013126,1.67151009159361,2.33352963314241,3.31985644412901,1.29689816088444,1.35494432240712,1.33967150243198,2.61010133276375,2.61673752557443,2.61910252171231,2.27309014595199,-1.70586925583779,1.20460956629997,2.31530239036856,2.50862669747897,1.80310329710588,1.9434704200475,1.77350027729363,2.87374158976496,1.94301620084556,2.18590312901837,3.18704444292239,1.3483201761617,0.964137601031837,1.86178798668683,2.47815207122395,2.65219785124914,0.712579792644682,0.893284585633422,1.21122423424258,1.24951364826586,2.37694931494534,-0.0459564833814097,0.530778155533863,2.41557898579418,0.635637853796458,2.54715988025188,2.86861254166186,2.23975590640505,2.39783141225006,2.25283363415519
"HPJ99_Li_3 (GE) - TPM",2.03686581176727,1.92792953836923,1.98009130773407,1.65287389197247,2.26020006079103,2.97490836826938,1.65891678910333,2.71842436478039,1.0197511794232,2.49363523290171,2.35078747727418,1.60030239552309,2.5542909543359,1.57132522926824,2.15428807236711,2.47975428710371,1.93215291572089,1.816742006734,1.79894811131513,-1.73223386359665,1.22916708536991,1.85704862191172,2.38651454061265,2.10080913112308,1.80669372730336,2.25124202131004,2.65840037037926,1.94349856141772,2.9161736630334,1.43688693252201,1.8617270927799,3.12436213132819,2.12822932102876,2.46210484224177,2.33224267753189,1.19466748859552,1.83305613107217,1.58269667347079,1.94607722987632,2.01051931980409,0.952047849821213,1.32676977019271,1.57084520975955,1.53922269435226,2.64262979464915,2.38365863865723,2.35173634781096,2.26726861099095,1.69552848091091
"HPJ99_Mig_1 (GE) - TPM",-1.23596424952603,-0.483782643745663,-0.73208446525012,0.650532782160673,-0.20685061226797,-1.30462778992888,-1.03839809082547,-0.837108023014514,-1.6482261543505,-1.07080319813831,-0.817852027696318,-1.18278834919665,-0.479346312054104,-0.775799565496625,-1.97580451377708,-0.746054770115213,-1.1130648137546,-1.15613152363419,-1.0257367254283,0.623573188733263,-1.52415021816969,-0.124309099460576,-1.31414305813984,-0.890521476529031,-0.637807911879923,-0.64744626868637,-0.715298843586523,-0.942934442241107,-0.873781977982644,-0.522512909116198,-1.35611492357348,-0.710153249694239,-0.984376445644195,-0.894889839986634,0.144391563094069,-1.61327653729794,-0.849747430314597,-0.714879973736177,-0.524547385686657,-1.31809119825929,-1.96846109619339,-0.975074403670057,-1.39140410985312,-1.07001481218541,-0.420453960403532,-0.202534856302673,-1.22819975378957,-0.62089082491049,-0.875249324320644
