"","OG1RF_RS01345","OG1RF_RS01350","OG1RF_RS01355","OG1RF_RS01655","OG1RF_RS02610","OG1RF_RS02615","OG1RF_RS02695","OG1RF_RS02700","OG1RF_RS02705","OG1RF_RS04395","OG1RF_RS04400","OG1RF_RS04510","OG1RF_RS04515","OG1RF_RS04520","OG1RF_RS04525","OG1RF_RS05665","OG1RF_RS06160","OG1RF_RS13470","OG1RF_RS07310","OG1RF_RS12670","OG1RF_RS13045"
"ENTFA_As_1 (GE) - TPM",-0.350574243049365,-0.349050845755922,-0.294018165613586,0.264060604602814,-0.436625785934977,-0.391805281914448,-0.235895043403508,-0.284236376027633,-0.276750317757947,-0.710479462403101,-0.784188268105632,-0.990161872024498,-0.952853161490044,-1.01107129909981,-1.06590227050297,-0.439762516618325,-0.339708650712787,-0.379980149281287,-0.517169442726459,-0.0409020454583141,-0.717815909434864
"ENTFA_As_2 (GE) - TPM",-0.37678401743265,-0.358113766846044,-0.324662753149324,-0.17425364482326,-0.439546589809609,-0.394789115699967,-0.292441305177437,-0.298376602325478,-0.309478890499882,-0.688350940310365,-0.757661818858556,-0.99610359089068,-0.921727864692923,-0.91350119849418,-1.14212255495564,-0.982907552280592,-0.352828979601969,-0.313053580337529,-0.412965010549235,-0.370408038856375,-0.685924226693231
"ENTFA_As_3 (GE) - TPM",-0.354434210424752,-0.356100789784878,-0.304702199486418,0.270720193937644,-0.439422579749585,-0.392275682410534,-0.212481487174374,-0.267830439275207,-0.272342700005682,-0.681603464112164,-0.790742880585161,-0.841605676533564,-0.920064780516809,-1.03627716988808,-1.17793224612631,-0.601296951649826,-0.344190241354254,-0.264369048413663,-0.473134423431882,-0.0945723622163052,-0.722465421953318
"ENTFA_Bs_1 (GE) - TPM",-0.262818782690999,-0.313484758710894,-0.259087458757043,0.659008315143189,1.4251779950593,0.252020701377427,-0.168424291827127,-0.311273413742729,-0.3135154656697,-0.253854467573585,-0.500299711284691,1.78161651860981,1.24107018820776,0.768098254296332,-0.130805426029076,0.806405102172769,0.196015348253065,-0.256627676909773,1.45464470088697,0.0291239652025623,1.43115293976994
"ENTFA_Bs_2 (GE) - TPM",-0.193701061139744,-0.310139922470511,-0.340957101898424,-0.756893881101472,2.69412411203233,1.36864487559567,-0.0905822131899026,-0.259736646124604,-0.31495265256143,0.199762263142863,0.0122216911145527,2.62900418581132,2.58427552728197,2.39313919468667,1.50904667738758,-0.359626377232809,0.745111755684405,0.439963900298803,3.1529347165774,-0.846064504952557,3.66181288692698
"ENTFA_Bs_3 (GE) - TPM",-0.254813582616077,-0.30420145223722,-0.30852183426302,0.570176054212416,1.97869000117602,0.841127993090349,-0.142898907706452,-0.299298401573291,-0.316439666114063,-0.148435068432073,-0.414590923422506,1.65224715162945,1.36410174277525,1.14472835347988,0.809187829063737,0.560259610509814,0.412682120038565,0.129332505475598,2.24783048525398,0.17095738062286,1.80918713613492
"ENTFA_Ctrl_1 (GE) - TPM",-0.542979310057244,-0.394475454100169,-0.40899385624199,-0.0979945455680256,-0.442007336740126,-0.392675477413824,-0.294306192241111,-0.28617272233841,-0.288778339202866,-0.733862495166656,-0.782132304385477,-0.794983131594299,-0.873687815788381,-0.911579201891018,-1.06647447228595,-0.0391925536356494,-0.375029188123277,-0.441314948967743,-0.0538498848714902,0.258219400488602,-0.540097375621085
"ENTFA_Ctrl_2 (GE) - TPM",-0.597416493949669,-0.435823124665514,-0.301044778596818,-1.09499898323581,-0.444508465803928,-0.403235794508192,-0.371294366691404,-0.335379328760808,-0.337055110576839,-0.650234486664582,-0.761432091820791,-0.903516521414386,-1.09451374179057,-1.00288799795751,-0.789070920474723,-0.826649832540725,-0.38732963625652,0.270397194514567,-0.285688399911234,0.0125557054375379,-0.721533378377375
"ENTFA_Ctrl_3 (GE) - TPM",-0.562901640521406,-0.425522314842085,-0.347000782179973,-0.837060503907269,-0.444801101089612,-0.394721072332922,-0.396573711758011,-0.354862120731792,-0.337433409906036,-0.672388972286535,-0.733641771520873,-0.869343200565255,-1.03684280162996,-0.966848009244874,-0.881462300418041,-1.17937691672128,-0.382534812941176,-0.441314948967743,-0.331783176673732,-0.0125475101768554,-0.74965208357159
"ENTFA_Li_1 (GE) - TPM",2.28618217198475,3.32405872447752,4.07625512053892,2.33373402498374,2.3400769819594,2.77551392123358,2.72246918865624,2.8108448598442,2.68619728734612,2.42153524720302,2.13032235980996,2.14763967125782,1.71069624140966,2.03963620889347,2.21896783886394,2.16069537030671,3.24331326448474,2.7233501822835,1.72338996692252,2.65991130093638,1.86830692770614
